training:  19%|█▉        | 7744/40000 [01:23<05:45, 93.37it/s]
itr: 0 lr: 2.494e-07 train loss: 5.551996 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.27s)
itr: 250 lr: 6.259e-05 train loss: 5.530095 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.70s)
itr: 500 lr: 1.000e-04 train loss: 4.930214 train token_acc: 0.0072 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 750 lr: 9.998e-05 train loss: 4.309168 train token_acc: 0.0186 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 1000 lr: 9.994e-05 train loss: 4.091483 train token_acc: 0.0289 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 1250 lr: 9.989e-05 train loss: 4.013134 train token_acc: 0.0330 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 1500 lr: 9.981e-05 train loss: 3.933540 train token_acc: 0.0411 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 1750 lr: 9.972e-05 train loss: 3.844495 train token_acc: 0.0483 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 2000 lr: 9.960e-05 train loss: 3.782765 train token_acc: 0.0540 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 2250 lr: 9.947e-05 train loss: 3.718631 train token_acc: 0.0672 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 2500 lr: 9.931e-05 train loss: 3.650098 train token_acc: 0.0733 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 2750 lr: 9.914e-05 train loss: 3.581878 train token_acc: 0.0852 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 3000 lr: 9.895e-05 train loss: 3.478831 train token_acc: 0.1031 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 3250 lr: 9.874e-05 train loss: 3.369706 train token_acc: 0.1203 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 3500 lr: 9.851e-05 train loss: 3.280543 train token_acc: 0.1423 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 3750 lr: 9.826e-05 train loss: 3.187489 train token_acc: 0.1706 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 4000 lr: 9.799e-05 train loss: 3.098300 train token_acc: 0.1957 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 4250 lr: 9.771e-05 train loss: 3.011276 train token_acc: 0.2181 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 4500 lr: 9.740e-05 train loss: 2.932602 train token_acc: 0.2422 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 4750 lr: 9.708e-05 train loss: 2.861866 train token_acc: 0.2686 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 5000 lr: 9.674e-05 train loss: 2.749222 train token_acc: 0.3000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 5250 lr: 9.638e-05 train loss: 2.673315 train token_acc: 0.3224 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 5500 lr: 9.600e-05 train loss: 2.580449 train token_acc: 0.3470 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 5750 lr: 9.561e-05 train loss: 2.482465 train token_acc: 0.3736 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 6000 lr: 9.519e-05 train loss: 2.393753 train token_acc: 0.4000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 6250 lr: 9.476e-05 train loss: 2.290709 train token_acc: 0.4288 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 6500 lr: 9.432e-05 train loss: 2.206361 train token_acc: 0.4538 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 6750 lr: 9.385e-05 train loss: 2.121917 train token_acc: 0.4822 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 7000 lr: 9.337e-05 train loss: 2.037440 train token_acc: 0.5018 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 7250 lr: 9.287e-05 train loss: 1.973010 train token_acc: 0.5194 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 7500 lr: 9.235e-05 train loss: 1.905501 train token_acc: 0.5370 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 7750 lr: 9.182e-05 train loss: 1.858117 train token_acc: 0.5472 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 8000 lr: 9.127e-05 train loss: 1.814724 train token_acc: 0.5573 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 8250 lr: 9.071e-05 train loss: 1.771882 train token_acc: 0.5653 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 8500 lr: 9.013e-05 train loss: 1.721159 train token_acc: 0.5802 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 8750 lr: 8.953e-05 train loss: 1.673217 train token_acc: 0.5897 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 9000 lr: 8.892e-05 train loss: 1.638382 train token_acc: 0.5982 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 9250 lr: 8.829e-05 train loss: 1.602991 train token_acc: 0.6091 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 9500 lr: 8.765e-05 train loss: 1.560184 train token_acc: 0.6162 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 9750 lr: 8.700e-05 train loss: 1.519322 train token_acc: 0.6273 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 10000 lr: 8.632e-05 train loss: 1.491693 train token_acc: 0.6337 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 10250 lr: 8.564e-05 train loss: 1.464181 train token_acc: 0.6414 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 10500 lr: 8.494e-05 train loss: 1.433650 train token_acc: 0.6478 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 10750 lr: 8.423e-05 train loss: 1.403504 train token_acc: 0.6568 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 11000 lr: 8.351e-05 train loss: 1.370363 train token_acc: 0.6659 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 11250 lr: 8.277e-05 train loss: 1.342007 train token_acc: 0.6692 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 11500 lr: 8.202e-05 train loss: 1.318464 train token_acc: 0.6742 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 11750 lr: 8.125e-05 train loss: 1.286029 train token_acc: 0.6851 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 12000 lr: 8.048e-05 train loss: 1.260249 train token_acc: 0.6909 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 12250 lr: 7.969e-05 train loss: 1.246120 train token_acc: 0.6939 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 12500 lr: 7.889e-05 train loss: 1.217946 train token_acc: 0.7026 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 12750 lr: 7.808e-05 train loss: 1.190877 train token_acc: 0.7072 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 13000 lr: 7.726e-05 train loss: 1.161874 train token_acc: 0.7151 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 13250 lr: 7.643e-05 train loss: 1.161187 train token_acc: 0.7136 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 13500 lr: 7.559e-05 train loss: 1.123329 train token_acc: 0.7226 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 13750 lr: 7.474e-05 train loss: 1.109457 train token_acc: 0.7258 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 14000 lr: 7.388e-05 train loss: 1.094599 train token_acc: 0.7303 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 14250 lr: 7.301e-05 train loss: 1.076023 train token_acc: 0.7361 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 14500 lr: 7.213e-05 train loss: 1.060362 train token_acc: 0.7402 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 14750 lr: 7.124e-05 train loss: 1.027234 train token_acc: 0.7493 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 15000 lr: 7.035e-05 train loss: 1.010982 train token_acc: 0.7540 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 15250 lr: 6.944e-05 train loss: 0.994464 train token_acc: 0.7566 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 15500 lr: 6.853e-05 train loss: 0.969314 train token_acc: 0.7605 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 15750 lr: 6.761e-05 train loss: 0.966743 train token_acc: 0.7634 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 16000 lr: 6.669e-05 train loss: 0.965065 train token_acc: 0.7632 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 16250 lr: 6.576e-05 train loss: 0.941041 train token_acc: 0.7693 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 16500 lr: 6.482e-05 train loss: 0.918395 train token_acc: 0.7753 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 16750 lr: 6.388e-05 train loss: 0.906938 train token_acc: 0.7788 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 17000 lr: 6.293e-05 train loss: 0.893276 train token_acc: 0.7815 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 17250 lr: 6.198e-05 train loss: 0.883277 train token_acc: 0.7832 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 17500 lr: 6.102e-05 train loss: 0.866795 train token_acc: 0.7883 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 17750 lr: 6.006e-05 train loss: 0.852293 train token_acc: 0.7919 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=2.68s)
itr: 18000 lr: 5.910e-05 train loss: 0.829578 train token_acc: 0.7975 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 18250 lr: 5.813e-05 train loss: 0.815669 train token_acc: 0.8001 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 18500 lr: 5.716e-05 train loss: 0.814573 train token_acc: 0.7998 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=2.68s)
itr: 18750 lr: 5.618e-05 train loss: 0.796083 train token_acc: 0.8070 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 19000 lr: 5.521e-05 train loss: 0.784676 train token_acc: 0.8083 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
