training:  19%|█▉        | 7744/40000 [01:23<05:45, 93.38it/s]
itr: 0 lr: 2.494e-07 train loss: 5.552169 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.37s)
itr: 250 lr: 6.259e-05 train loss: 5.531131 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.71s)
itr: 500 lr: 1.000e-04 train loss: 4.954672 train token_acc: 0.0085 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 750 lr: 9.998e-05 train loss: 4.306724 train token_acc: 0.0191 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 1000 lr: 9.994e-05 train loss: 4.088706 train token_acc: 0.0284 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 1250 lr: 9.989e-05 train loss: 3.997327 train token_acc: 0.0330 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 1500 lr: 9.981e-05 train loss: 3.896622 train token_acc: 0.0421 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 1750 lr: 9.972e-05 train loss: 3.812467 train token_acc: 0.0511 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 2000 lr: 9.960e-05 train loss: 3.708857 train token_acc: 0.0648 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 2250 lr: 9.947e-05 train loss: 3.593569 train token_acc: 0.0814 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 2500 lr: 9.931e-05 train loss: 3.464346 train token_acc: 0.1034 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 2750 lr: 9.914e-05 train loss: 3.355225 train token_acc: 0.1252 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 3000 lr: 9.895e-05 train loss: 3.232149 train token_acc: 0.1552 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 3250 lr: 9.874e-05 train loss: 3.107219 train token_acc: 0.1891 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 3500 lr: 9.851e-05 train loss: 2.990852 train token_acc: 0.2303 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 3750 lr: 9.826e-05 train loss: 2.843494 train token_acc: 0.2795 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 4000 lr: 9.799e-05 train loss: 2.735667 train token_acc: 0.3154 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 4250 lr: 9.771e-05 train loss: 2.633208 train token_acc: 0.3450 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 4500 lr: 9.740e-05 train loss: 2.548766 train token_acc: 0.3705 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 4750 lr: 9.708e-05 train loss: 2.468313 train token_acc: 0.3914 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 5000 lr: 9.674e-05 train loss: 2.380768 train token_acc: 0.4112 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 5250 lr: 9.638e-05 train loss: 2.323557 train token_acc: 0.4252 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 5500 lr: 9.600e-05 train loss: 2.234298 train token_acc: 0.4441 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 5750 lr: 9.561e-05 train loss: 2.171290 train token_acc: 0.4579 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 6000 lr: 9.519e-05 train loss: 2.109267 train token_acc: 0.4722 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 6250 lr: 9.476e-05 train loss: 2.038568 train token_acc: 0.4871 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
