training:  19%|█▉        | 7747/40000 [01:52<07:47, 69.00it/s]
itr: 0 lr: 2.494e-07 train loss: 5.557200 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.28s)
itr: 250 lr: 6.259e-05 train loss: 5.369471 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.65s)
itr: 500 lr: 1.000e-04 train loss: 3.965970 train token_acc: 0.0103 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.62s)
itr: 750 lr: 9.998e-05 train loss: 3.597617 train token_acc: 0.0549 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.63s)
itr: 1000 lr: 9.994e-05 train loss: 3.335557 train token_acc: 0.1093 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.63s)
itr: 1250 lr: 9.989e-05 train loss: 3.092718 train token_acc: 0.1683 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.62s)
itr: 1500 lr: 9.981e-05 train loss: 2.854790 train token_acc: 0.2202 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.63s)
itr: 1750 lr: 9.972e-05 train loss: 2.628608 train token_acc: 0.2779 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.62s)
itr: 2000 lr: 9.960e-05 train loss: 2.400306 train token_acc: 0.3350 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.62s)
itr: 2250 lr: 9.947e-05 train loss: 2.132226 train token_acc: 0.4068 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.62s)
itr: 2500 lr: 9.931e-05 train loss: 1.781459 train token_acc: 0.4997 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.62s)
itr: 2750 lr: 9.914e-05 train loss: 1.370302 train token_acc: 0.6093 train exact_match_acc: 0.0010 (K~16.00, min=16, max=16, dt=3.62s)
itr: 3000 lr: 9.895e-05 train loss: 1.060941 train token_acc: 0.6988 train exact_match_acc: 0.0034 (K~16.00, min=16, max=16, dt=3.62s)
itr: 3250 lr: 9.874e-05 train loss: 0.826006 train token_acc: 0.7709 train exact_match_acc: 0.0259 (K~16.00, min=16, max=16, dt=3.62s)
itr: 3500 lr: 9.851e-05 train loss: 0.643392 train token_acc: 0.8246 train exact_match_acc: 0.0706 (K~16.00, min=16, max=16, dt=3.62s)
itr: 3750 lr: 9.826e-05 train loss: 0.516357 train token_acc: 0.8612 train exact_match_acc: 0.1353 (K~16.00, min=16, max=16, dt=3.62s)
itr: 4000 lr: 9.799e-05 train loss: 0.396724 train token_acc: 0.8958 train exact_match_acc: 0.2212 (K~16.00, min=16, max=16, dt=3.62s)
itr: 4250 lr: 9.771e-05 train loss: 0.309509 train token_acc: 0.9189 train exact_match_acc: 0.2986 (K~16.00, min=16, max=16, dt=3.62s)
itr: 4500 lr: 9.740e-05 train loss: 0.245060 train token_acc: 0.9392 train exact_match_acc: 0.4119 (K~16.00, min=16, max=16, dt=3.63s)
itr: 4750 lr: 9.708e-05 train loss: 0.187971 train token_acc: 0.9554 train exact_match_acc: 0.5144 (K~16.00, min=16, max=16, dt=3.63s)
itr: 5000 lr: 9.674e-05 train loss: 0.142706 train token_acc: 0.9663 train exact_match_acc: 0.6125 (K~16.00, min=16, max=16, dt=3.62s)
itr: 5250 lr: 9.638e-05 train loss: 0.112962 train token_acc: 0.9738 train exact_match_acc: 0.6726 (K~16.00, min=16, max=16, dt=3.63s)
itr: 5500 lr: 9.600e-05 train loss: 0.091905 train token_acc: 0.9808 train exact_match_acc: 0.7441 (K~16.00, min=16, max=16, dt=3.63s)
itr: 5750 lr: 9.561e-05 train loss: 0.069930 train token_acc: 0.9856 train exact_match_acc: 0.8037 (K~16.00, min=16, max=16, dt=3.62s)
itr: 6000 lr: 9.519e-05 train loss: 0.056339 train token_acc: 0.9882 train exact_match_acc: 0.8325 (K~16.00, min=16, max=16, dt=3.63s)
itr: 6250 lr: 9.476e-05 train loss: 0.045732 train token_acc: 0.9905 train exact_match_acc: 0.8647 (K~16.00, min=16, max=16, dt=3.63s)
itr: 6500 lr: 9.432e-05 train loss: 0.034460 train token_acc: 0.9930 train exact_match_acc: 0.8984 (K~16.00, min=16, max=16, dt=3.62s)
itr: 6750 lr: 9.385e-05 train loss: 0.030250 train token_acc: 0.9941 train exact_match_acc: 0.9109 (K~16.00, min=16, max=16, dt=3.63s)
itr: 7000 lr: 9.337e-05 train loss: 0.023453 train token_acc: 0.9953 train exact_match_acc: 0.9292 (K~16.00, min=16, max=16, dt=3.63s)
itr: 7250 lr: 9.287e-05 train loss: 0.019232 train token_acc: 0.9962 train exact_match_acc: 0.9426 (K~16.00, min=16, max=16, dt=3.62s)
itr: 7500 lr: 9.235e-05 train loss: 0.017820 train token_acc: 0.9964 train exact_match_acc: 0.9443 (K~16.00, min=16, max=16, dt=3.63s)
itr: 7750 lr: 9.182e-05 train loss: 0.016781 train token_acc: 0.9971 train exact_match_acc: 0.9543 (K~16.00, min=16, max=16, dt=3.63s)
