training:  19%|█▉        | 7743/40000 [01:23<05:45, 93.37it/s]
itr: 0 lr: 2.494e-07 train loss: 5.559219 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.27s)
itr: 250 lr: 6.259e-05 train loss: 5.515654 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.70s)
itr: 500 lr: 1.000e-04 train loss: 4.866537 train token_acc: 0.0002 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 750 lr: 9.998e-05 train loss: 4.230566 train token_acc: 0.0050 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 1000 lr: 9.994e-05 train loss: 3.967637 train token_acc: 0.0141 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 1250 lr: 9.989e-05 train loss: 3.607404 train token_acc: 0.0886 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 1500 lr: 9.981e-05 train loss: 3.159787 train token_acc: 0.1925 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 1750 lr: 9.972e-05 train loss: 2.690110 train token_acc: 0.3039 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 2000 lr: 9.960e-05 train loss: 2.240601 train token_acc: 0.4114 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 2250 lr: 9.947e-05 train loss: 1.935945 train token_acc: 0.4810 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 2500 lr: 9.931e-05 train loss: 1.710354 train token_acc: 0.5390 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 2750 lr: 9.914e-05 train loss: 1.526384 train token_acc: 0.5854 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 3000 lr: 9.895e-05 train loss: 1.384499 train token_acc: 0.6235 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 3250 lr: 9.874e-05 train loss: 1.243940 train token_acc: 0.6610 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 3500 lr: 9.851e-05 train loss: 1.128278 train token_acc: 0.6926 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 3750 lr: 9.826e-05 train loss: 0.994126 train token_acc: 0.7265 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 4000 lr: 9.799e-05 train loss: 0.897629 train token_acc: 0.7541 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=2.68s)
itr: 4250 lr: 9.771e-05 train loss: 0.790196 train token_acc: 0.7854 train exact_match_acc: 0.0010 (K~16.00, min=16, max=16, dt=2.68s)
