training:  19%|█▉        | 7747/40000 [01:52<07:47, 69.00it/s]
itr: 0 lr: 2.494e-07 train loss: 5.557553 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.28s)
itr: 250 lr: 6.259e-05 train loss: 5.380512 train token_acc: 0.0035 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.65s)
itr: 500 lr: 1.000e-04 train loss: 3.941955 train token_acc: 0.0092 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.62s)
itr: 750 lr: 9.998e-05 train loss: 3.572023 train token_acc: 0.0632 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.63s)
itr: 1000 lr: 9.994e-05 train loss: 3.242673 train token_acc: 0.1418 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.63s)
itr: 1250 lr: 9.989e-05 train loss: 2.842141 train token_acc: 0.2357 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.63s)
itr: 1500 lr: 9.981e-05 train loss: 2.202291 train token_acc: 0.3977 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.63s)
itr: 1750 lr: 9.972e-05 train loss: 1.544742 train token_acc: 0.5710 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.63s)
itr: 2000 lr: 9.960e-05 train loss: 1.080624 train token_acc: 0.6988 train exact_match_acc: 0.0076 (K~16.00, min=16, max=16, dt=3.62s)
itr: 2250 lr: 9.947e-05 train loss: 0.792466 train token_acc: 0.7857 train exact_match_acc: 0.0359 (K~16.00, min=16, max=16, dt=3.63s)
itr: 2500 lr: 9.931e-05 train loss: 0.589094 train token_acc: 0.8431 train exact_match_acc: 0.0898 (K~16.00, min=16, max=16, dt=3.62s)
itr: 2750 lr: 9.914e-05 train loss: 0.461912 train token_acc: 0.8796 train exact_match_acc: 0.1799 (K~16.00, min=16, max=16, dt=3.62s)
itr: 3000 lr: 9.895e-05 train loss: 0.347320 train token_acc: 0.9104 train exact_match_acc: 0.2861 (K~16.00, min=16, max=16, dt=3.63s)
itr: 3250 lr: 9.874e-05 train loss: 0.254073 train token_acc: 0.9382 train exact_match_acc: 0.3950 (K~16.00, min=16, max=16, dt=3.62s)
itr: 3500 lr: 9.851e-05 train loss: 0.191119 train token_acc: 0.9538 train exact_match_acc: 0.5073 (K~16.00, min=16, max=16, dt=3.62s)
itr: 3750 lr: 9.826e-05 train loss: 0.146670 train token_acc: 0.9664 train exact_match_acc: 0.6055 (K~16.00, min=16, max=16, dt=3.63s)
itr: 4000 lr: 9.799e-05 train loss: 0.109510 train token_acc: 0.9766 train exact_match_acc: 0.7019 (K~16.00, min=16, max=16, dt=3.63s)
itr: 4250 lr: 9.771e-05 train loss: 0.080388 train token_acc: 0.9828 train exact_match_acc: 0.7666 (K~16.00, min=16, max=16, dt=3.63s)
itr: 4500 lr: 9.740e-05 train loss: 0.064694 train token_acc: 0.9879 train exact_match_acc: 0.8271 (K~16.00, min=16, max=16, dt=3.63s)
itr: 4750 lr: 9.708e-05 train loss: 0.047812 train token_acc: 0.9903 train exact_match_acc: 0.8616 (K~16.00, min=16, max=16, dt=3.63s)
itr: 5000 lr: 9.674e-05 train loss: 0.039140 train token_acc: 0.9924 train exact_match_acc: 0.8887 (K~16.00, min=16, max=16, dt=3.62s)
itr: 5250 lr: 9.638e-05 train loss: 0.034142 train token_acc: 0.9934 train exact_match_acc: 0.9006 (K~16.00, min=16, max=16, dt=3.63s)
itr: 5500 lr: 9.600e-05 train loss: 0.032273 train token_acc: 0.9939 train exact_match_acc: 0.9077 (K~16.00, min=16, max=16, dt=3.62s)
itr: 5750 lr: 9.561e-05 train loss: 0.022447 train token_acc: 0.9959 train exact_match_acc: 0.9375 (K~16.00, min=16, max=16, dt=3.62s)
itr: 6000 lr: 9.519e-05 train loss: 0.022977 train token_acc: 0.9965 train exact_match_acc: 0.9465 (K~16.00, min=16, max=16, dt=3.63s)
itr: 6250 lr: 9.476e-05 train loss: 0.020130 train token_acc: 0.9967 train exact_match_acc: 0.9478 (K~16.00, min=16, max=16, dt=3.63s)
itr: 6500 lr: 9.432e-05 train loss: 0.013929 train token_acc: 0.9975 train exact_match_acc: 0.9602 (K~16.00, min=16, max=16, dt=3.62s)
itr: 6750 lr: 9.385e-05 train loss: 0.012171 train token_acc: 0.9979 train exact_match_acc: 0.9670 (K~16.00, min=16, max=16, dt=3.63s)
itr: 7000 lr: 9.337e-05 train loss: 0.010402 train token_acc: 0.9981 train exact_match_acc: 0.9702 (K~16.00, min=16, max=16, dt=3.63s)
itr: 7250 lr: 9.287e-05 train loss: 0.008318 train token_acc: 0.9984 train exact_match_acc: 0.9751 (K~16.00, min=16, max=16, dt=3.62s)
itr: 7500 lr: 9.235e-05 train loss: 0.007201 train token_acc: 0.9984 train exact_match_acc: 0.9749 (K~16.00, min=16, max=16, dt=3.63s)
itr: 7750 lr: 9.182e-05 train loss: 0.007742 train token_acc: 0.9987 train exact_match_acc: 0.9800 (K~16.00, min=16, max=16, dt=3.63s)
itr: 8000 lr: 9.127e-05 train loss: 0.007466 train token_acc: 0.9985 train exact_match_acc: 0.9761 (K~16.00, min=16, max=16, dt=3.62s)
itr: 8250 lr: 9.071e-05 train loss: 0.005688 train token_acc: 0.9990 train exact_match_acc: 0.9834 (K~16.00, min=16, max=16, dt=3.63s)
itr: 8500 lr: 9.013e-05 train loss: 0.006723 train token_acc: 0.9989 train exact_match_acc: 0.9824 (K~16.00, min=16, max=16, dt=3.63s)
itr: 8750 lr: 8.953e-05 train loss: 0.004541 train token_acc: 0.9990 train exact_match_acc: 0.9846 (K~16.00, min=16, max=16, dt=3.62s)
itr: 9000 lr: 8.892e-05 train loss: 0.005816 train token_acc: 0.9990 train exact_match_acc: 0.9836 (K~16.00, min=16, max=16, dt=3.63s)
itr: 9250 lr: 8.829e-05 train loss: 0.004821 train token_acc: 0.9992 train exact_match_acc: 0.9871 (K~16.00, min=16, max=16, dt=3.63s)
itr: 9500 lr: 8.765e-05 train loss: 0.005055 train token_acc: 0.9993 train exact_match_acc: 0.9893 (K~16.00, min=16, max=16, dt=3.63s)
itr: 9750 lr: 8.700e-05 train loss: 0.003674 train token_acc: 0.9994 train exact_match_acc: 0.9897 (K~16.00, min=16, max=16, dt=3.63s)
itr: 10000 lr: 8.632e-05 train loss: 0.004779 train token_acc: 0.9993 train exact_match_acc: 0.9880 (K~16.00, min=16, max=16, dt=3.63s)
itr: 10250 lr: 8.564e-05 train loss: 0.004055 train token_acc: 0.9993 train exact_match_acc: 0.9895 (K~16.00, min=16, max=16, dt=3.63s)
itr: 10500 lr: 8.494e-05 train loss: 0.003737 train token_acc: 0.9994 train exact_match_acc: 0.9897 (K~16.00, min=16, max=16, dt=3.63s)
itr: 10750 lr: 8.423e-05 train loss: 0.003990 train token_acc: 0.9993 train exact_match_acc: 0.9895 (K~16.00, min=16, max=16, dt=3.63s)
itr: 11000 lr: 8.351e-05 train loss: 0.003220 train token_acc: 0.9995 train exact_match_acc: 0.9912 (K~16.00, min=16, max=16, dt=3.63s)
itr: 11250 lr: 8.277e-05 train loss: 0.002039 train token_acc: 0.9997 train exact_match_acc: 0.9946 (K~16.00, min=16, max=16, dt=3.63s)
itr: 11500 lr: 8.202e-05 train loss: 0.002953 train token_acc: 0.9995 train exact_match_acc: 0.9917 (K~16.00, min=16, max=16, dt=3.63s)
itr: 11750 lr: 8.125e-05 train loss: 0.003222 train token_acc: 0.9996 train exact_match_acc: 0.9937 (K~16.00, min=16, max=16, dt=3.63s)
itr: 12000 lr: 8.048e-05 train loss: 0.002903 train token_acc: 0.9996 train exact_match_acc: 0.9944 (K~16.00, min=16, max=16, dt=3.63s)
itr: 12250 lr: 7.969e-05 train loss: 0.001864 train token_acc: 0.9997 train exact_match_acc: 0.9946 (K~16.00, min=16, max=16, dt=3.63s)
itr: 12500 lr: 7.889e-05 train loss: 0.001692 train token_acc: 0.9996 train exact_match_acc: 0.9944 (K~16.00, min=16, max=16, dt=3.62s)
itr: 12750 lr: 7.808e-05 train loss: 0.001569 train token_acc: 0.9997 train exact_match_acc: 0.9949 (K~16.00, min=16, max=16, dt=3.63s)
itr: 13000 lr: 7.726e-05 train loss: 0.002756 train token_acc: 0.9996 train exact_match_acc: 0.9937 (K~16.00, min=16, max=16, dt=3.63s)
itr: 13250 lr: 7.643e-05 train loss: 0.001932 train token_acc: 0.9996 train exact_match_acc: 0.9944 (K~16.00, min=16, max=16, dt=3.62s)
itr: 13500 lr: 7.559e-05 train loss: 0.001695 train token_acc: 0.9997 train exact_match_acc: 0.9951 (K~16.00, min=16, max=16, dt=3.63s)
itr: 13750 lr: 7.474e-05 train loss: 0.001334 train token_acc: 0.9997 train exact_match_acc: 0.9951 (K~16.00, min=16, max=16, dt=3.63s)
itr: 14000 lr: 7.388e-05 train loss: 0.001379 train token_acc: 0.9997 train exact_match_acc: 0.9956 (K~16.00, min=16, max=16, dt=3.62s)
itr: 14250 lr: 7.301e-05 train loss: 0.001187 train token_acc: 0.9998 train exact_match_acc: 0.9961 (K~16.00, min=16, max=16, dt=3.63s)
itr: 14500 lr: 7.213e-05 train loss: 0.001292 train token_acc: 0.9997 train exact_match_acc: 0.9956 (K~16.00, min=16, max=16, dt=3.63s)
itr: 14750 lr: 7.124e-05 train loss: 0.001895 train token_acc: 0.9997 train exact_match_acc: 0.9958 (K~16.00, min=16, max=16, dt=3.62s)
itr: 15000 lr: 7.035e-05 train loss: 0.001460 train token_acc: 0.9998 train exact_match_acc: 0.9966 (K~16.00, min=16, max=16, dt=3.63s)
itr: 15250 lr: 6.944e-05 train loss: 0.001444 train token_acc: 0.9996 train exact_match_acc: 0.9944 (K~16.00, min=16, max=16, dt=3.63s)
itr: 15500 lr: 6.853e-05 train loss: 0.001424 train token_acc: 0.9997 train exact_match_acc: 0.9956 (K~16.00, min=16, max=16, dt=3.62s)
itr: 15750 lr: 6.761e-05 train loss: 0.001082 train token_acc: 0.9998 train exact_match_acc: 0.9961 (K~16.00, min=16, max=16, dt=3.63s)
itr: 16000 lr: 6.669e-05 train loss: 0.001984 train token_acc: 0.9997 train exact_match_acc: 0.9954 (K~16.00, min=16, max=16, dt=3.63s)
itr: 16250 lr: 6.576e-05 train loss: 0.001788 train token_acc: 0.9997 train exact_match_acc: 0.9958 (K~16.00, min=16, max=16, dt=3.63s)
itr: 16500 lr: 6.482e-05 train loss: 0.001418 train token_acc: 0.9998 train exact_match_acc: 0.9961 (K~16.00, min=16, max=16, dt=3.63s)
itr: 16750 lr: 6.388e-05 train loss: 0.001572 train token_acc: 0.9998 train exact_match_acc: 0.9961 (K~16.00, min=16, max=16, dt=3.63s)
itr: 17000 lr: 6.293e-05 train loss: 0.002739 train token_acc: 0.9997 train exact_match_acc: 0.9956 (K~16.00, min=16, max=16, dt=3.62s)
itr: 17250 lr: 6.198e-05 train loss: 0.001477 train token_acc: 0.9997 train exact_match_acc: 0.9958 (K~16.00, min=16, max=16, dt=3.63s)
itr: 17500 lr: 6.102e-05 train loss: 0.000995 train token_acc: 0.9998 train exact_match_acc: 0.9963 (K~16.00, min=16, max=16, dt=3.63s)
itr: 17750 lr: 6.006e-05 train loss: 0.001187 train token_acc: 0.9997 train exact_match_acc: 0.9958 (K~16.00, min=16, max=16, dt=3.63s)
itr: 18000 lr: 5.910e-05 train loss: 0.000546 train token_acc: 0.9999 train exact_match_acc: 0.9985 (K~16.00, min=16, max=16, dt=3.63s)
itr: 18250 lr: 5.813e-05 train loss: 0.000849 train token_acc: 0.9998 train exact_match_acc: 0.9971 (K~16.00, min=16, max=16, dt=3.63s)
itr: 18500 lr: 5.716e-05 train loss: 0.000694 train token_acc: 0.9999 train exact_match_acc: 0.9980 (K~16.00, min=16, max=16, dt=3.62s)
itr: 18750 lr: 5.618e-05 train loss: 0.000963 train token_acc: 0.9998 train exact_match_acc: 0.9971 (K~16.00, min=16, max=16, dt=3.63s)
itr: 19000 lr: 5.521e-05 train loss: 0.000885 train token_acc: 0.9998 train exact_match_acc: 0.9973 (K~16.00, min=16, max=16, dt=3.63s)
itr: 19250 lr: 5.423e-05 train loss: 0.000511 train token_acc: 0.9999 train exact_match_acc: 0.9978 (K~16.00, min=16, max=16, dt=3.62s)
itr: 19500 lr: 5.325e-05 train loss: 0.001005 train token_acc: 0.9998 train exact_match_acc: 0.9961 (K~16.00, min=16, max=16, dt=3.63s)
itr: 19750 lr: 5.227e-05 train loss: 0.000920 train token_acc: 0.9998 train exact_match_acc: 0.9973 (K~16.00, min=16, max=16, dt=3.63s)
itr: 20000 lr: 5.129e-05 train loss: 0.001904 train token_acc: 0.9998 train exact_match_acc: 0.9971 (K~16.00, min=16, max=16, dt=3.63s)
saved checkpoint: ./grid_outputs/len_gen_v256_e256_k16/task_0007/saved_models/Checkpoint_N256_d256_H1_L1_npos1_mlp1_ln0_normnone_qkn0_qkrms0_gate0_gateelem0_lencurriculum_trainK16to16_testK16to16_nodup1_iters20001.pt
itr: 20250 lr: 5.030e-05 train loss: 0.001203 train token_acc: 0.9998 train exact_match_acc: 0.9963 (K~16.00, min=16, max=16, dt=3.70s)
itr: 20500 lr: 4.932e-05 train loss: 0.000795 train token_acc: 0.9998 train exact_match_acc: 0.9973 (K~16.00, min=16, max=16, dt=3.63s)
itr: 20750 lr: 4.834e-05 train loss: 0.000739 train token_acc: 0.9999 train exact_match_acc: 0.9978 (K~16.00, min=16, max=16, dt=3.63s)
itr: 21000 lr: 4.736e-05 train loss: 0.000339 train token_acc: 1.0000 train exact_match_acc: 0.9993 (K~16.00, min=16, max=16, dt=3.63s)
itr: 21250 lr: 4.638e-05 train loss: 0.000775 train token_acc: 0.9999 train exact_match_acc: 0.9988 (K~16.00, min=16, max=16, dt=3.63s)
itr: 21500 lr: 4.540e-05 train loss: 0.000475 train token_acc: 0.9999 train exact_match_acc: 0.9983 (K~16.00, min=16, max=16, dt=3.63s)
itr: 21750 lr: 4.443e-05 train loss: 0.001173 train token_acc: 0.9998 train exact_match_acc: 0.9973 (K~16.00, min=16, max=16, dt=3.63s)
itr: 22000 lr: 4.346e-05 train loss: 0.000507 train token_acc: 0.9999 train exact_match_acc: 0.9980 (K~16.00, min=16, max=16, dt=3.63s)
itr: 22250 lr: 4.249e-05 train loss: 0.000386 train token_acc: 0.9999 train exact_match_acc: 0.9983 (K~16.00, min=16, max=16, dt=3.63s)
itr: 22500 lr: 4.152e-05 train loss: 0.000380 train token_acc: 0.9999 train exact_match_acc: 0.9985 (K~16.00, min=16, max=16, dt=3.63s)
itr: 22750 lr: 4.055e-05 train loss: 0.000415 train token_acc: 0.9999 train exact_match_acc: 0.9988 (K~16.00, min=16, max=16, dt=3.63s)
itr: 23000 lr: 3.959e-05 train loss: 0.000399 train token_acc: 0.9999 train exact_match_acc: 0.9988 (K~16.00, min=16, max=16, dt=3.62s)
itr: 23250 lr: 3.864e-05 train loss: 0.000781 train token_acc: 0.9999 train exact_match_acc: 0.9978 (K~16.00, min=16, max=16, dt=3.63s)
itr: 23500 lr: 3.769e-05 train loss: 0.000937 train token_acc: 0.9998 train exact_match_acc: 0.9973 (K~16.00, min=16, max=16, dt=3.63s)
itr: 23750 lr: 3.674e-05 train loss: 0.000314 train token_acc: 0.9999 train exact_match_acc: 0.9990 (K~16.00, min=16, max=16, dt=3.62s)
itr: 24000 lr: 3.580e-05 train loss: 0.000336 train token_acc: 1.0000 train exact_match_acc: 0.9993 (K~16.00, min=16, max=16, dt=3.63s)
itr: 24250 lr: 3.487e-05 train loss: 0.000266 train token_acc: 0.9999 train exact_match_acc: 0.9990 (K~16.00, min=16, max=16, dt=3.63s)
itr: 24500 lr: 3.394e-05 train loss: 0.000735 train token_acc: 0.9999 train exact_match_acc: 0.9980 (K~16.00, min=16, max=16, dt=3.62s)
itr: 24750 lr: 3.302e-05 train loss: 0.000646 train token_acc: 0.9999 train exact_match_acc: 0.9983 (K~16.00, min=16, max=16, dt=3.63s)
itr: 25000 lr: 3.210e-05 train loss: 0.000691 train token_acc: 0.9999 train exact_match_acc: 0.9978 (K~16.00, min=16, max=16, dt=3.63s)
itr: 25250 lr: 3.119e-05 train loss: 0.000811 train token_acc: 0.9999 train exact_match_acc: 0.9985 (K~16.00, min=16, max=16, dt=3.62s)
itr: 25500 lr: 3.029e-05 train loss: 0.000307 train token_acc: 0.9999 train exact_match_acc: 0.9990 (K~16.00, min=16, max=16, dt=3.63s)
itr: 25750 lr: 2.940e-05 train loss: 0.000372 train token_acc: 0.9999 train exact_match_acc: 0.9985 (K~16.00, min=16, max=16, dt=3.63s)
itr: 26000 lr: 2.852e-05 train loss: 0.000428 train token_acc: 0.9999 train exact_match_acc: 0.9983 (K~16.00, min=16, max=16, dt=3.63s)
itr: 26250 lr: 2.764e-05 train loss: 0.000396 train token_acc: 0.9999 train exact_match_acc: 0.9988 (K~16.00, min=16, max=16, dt=3.63s)
itr: 26500 lr: 2.678e-05 train loss: 0.000536 train token_acc: 0.9999 train exact_match_acc: 0.9985 (K~16.00, min=16, max=16, dt=3.63s)
itr: 26750 lr: 2.592e-05 train loss: 0.000286 train token_acc: 1.0000 train exact_match_acc: 0.9995 (K~16.00, min=16, max=16, dt=3.62s)
itr: 27000 lr: 2.507e-05 train loss: 0.000568 train token_acc: 0.9999 train exact_match_acc: 0.9985 (K~16.00, min=16, max=16, dt=3.63s)
itr: 27250 lr: 2.424e-05 train loss: 0.001203 train token_acc: 0.9999 train exact_match_acc: 0.9983 (K~16.00, min=16, max=16, dt=3.63s)
itr: 27500 lr: 2.341e-05 train loss: 0.000448 train token_acc: 0.9999 train exact_match_acc: 0.9990 (K~16.00, min=16, max=16, dt=3.62s)
itr: 27750 lr: 2.259e-05 train loss: 0.000237 train token_acc: 0.9999 train exact_match_acc: 0.9990 (K~16.00, min=16, max=16, dt=3.63s)
itr: 28000 lr: 2.179e-05 train loss: 0.000426 train token_acc: 0.9999 train exact_match_acc: 0.9988 (K~16.00, min=16, max=16, dt=3.63s)
itr: 28250 lr: 2.099e-05 train loss: 0.000741 train token_acc: 1.0000 train exact_match_acc: 0.9993 (K~16.00, min=16, max=16, dt=3.63s)
itr: 28500 lr: 2.021e-05 train loss: 0.000257 train token_acc: 0.9999 train exact_match_acc: 0.9988 (K~16.00, min=16, max=16, dt=3.63s)
