training:  19%|█▉        | 7747/40000 [01:54<07:46, 69.09it/s]
itr: 0 lr: 2.494e-07 train loss: 5.558636 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.16s)
itr: 250 lr: 6.259e-05 train loss: 5.378814 train token_acc: 0.0032 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.67s)
itr: 500 lr: 1.000e-04 train loss: 3.966474 train token_acc: 0.0087 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.62s)
itr: 750 lr: 9.998e-05 train loss: 3.588315 train token_acc: 0.0561 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.62s)
itr: 1000 lr: 9.994e-05 train loss: 3.351446 train token_acc: 0.1034 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.62s)
itr: 1250 lr: 9.989e-05 train loss: 3.124316 train token_acc: 0.1522 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.62s)
itr: 1500 lr: 9.981e-05 train loss: 2.900610 train token_acc: 0.2049 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.62s)
itr: 1750 lr: 9.972e-05 train loss: 2.691932 train token_acc: 0.2530 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.62s)
itr: 2000 lr: 9.960e-05 train loss: 2.493927 train token_acc: 0.3003 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.62s)
itr: 2250 lr: 9.947e-05 train loss: 2.306063 train token_acc: 0.3474 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.62s)
itr: 2500 lr: 9.931e-05 train loss: 2.113218 train token_acc: 0.3993 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.62s)
itr: 2750 lr: 9.914e-05 train loss: 1.913424 train token_acc: 0.4570 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.62s)
itr: 3000 lr: 9.895e-05 train loss: 1.687503 train token_acc: 0.5181 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.62s)
itr: 3250 lr: 9.874e-05 train loss: 1.451226 train token_acc: 0.5870 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=3.62s)
itr: 3500 lr: 9.851e-05 train loss: 1.229016 train token_acc: 0.6472 train exact_match_acc: 0.0005 (K~16.00, min=16, max=16, dt=3.62s)
itr: 3750 lr: 9.826e-05 train loss: 1.044274 train token_acc: 0.7023 train exact_match_acc: 0.0046 (K~16.00, min=16, max=16, dt=3.62s)
itr: 4000 lr: 9.799e-05 train loss: 0.904389 train token_acc: 0.7425 train exact_match_acc: 0.0168 (K~16.00, min=16, max=16, dt=3.62s)
itr: 4250 lr: 9.771e-05 train loss: 0.779737 train token_acc: 0.7803 train exact_match_acc: 0.0337 (K~16.00, min=16, max=16, dt=3.62s)
itr: 4500 lr: 9.740e-05 train loss: 0.690578 train token_acc: 0.8076 train exact_match_acc: 0.0522 (K~16.00, min=16, max=16, dt=3.62s)
itr: 4750 lr: 9.708e-05 train loss: 0.608623 train token_acc: 0.8317 train exact_match_acc: 0.0847 (K~16.00, min=16, max=16, dt=3.62s)
itr: 5000 lr: 9.674e-05 train loss: 0.548242 train token_acc: 0.8506 train exact_match_acc: 0.1104 (K~16.00, min=16, max=16, dt=3.62s)
itr: 5250 lr: 9.638e-05 train loss: 0.488293 train token_acc: 0.8674 train exact_match_acc: 0.1438 (K~16.00, min=16, max=16, dt=3.62s)
itr: 5500 lr: 9.600e-05 train loss: 0.417756 train token_acc: 0.8875 train exact_match_acc: 0.1960 (K~16.00, min=16, max=16, dt=3.62s)
itr: 5750 lr: 9.561e-05 train loss: 0.363285 train token_acc: 0.9037 train exact_match_acc: 0.2476 (K~16.00, min=16, max=16, dt=3.62s)
itr: 6000 lr: 9.519e-05 train loss: 0.321849 train token_acc: 0.9150 train exact_match_acc: 0.2925 (K~16.00, min=16, max=16, dt=3.62s)
itr: 6250 lr: 9.476e-05 train loss: 0.270226 train token_acc: 0.9298 train exact_match_acc: 0.3638 (K~16.00, min=16, max=16, dt=3.62s)
itr: 6500 lr: 9.432e-05 train loss: 0.228448 train token_acc: 0.9419 train exact_match_acc: 0.4304 (K~16.00, min=16, max=16, dt=3.62s)
itr: 6750 lr: 9.385e-05 train loss: 0.193554 train token_acc: 0.9510 train exact_match_acc: 0.4795 (K~16.00, min=16, max=16, dt=3.62s)
itr: 7000 lr: 9.337e-05 train loss: 0.159289 train token_acc: 0.9614 train exact_match_acc: 0.5635 (K~16.00, min=16, max=16, dt=3.62s)
itr: 7250 lr: 9.287e-05 train loss: 0.136890 train token_acc: 0.9666 train exact_match_acc: 0.6074 (K~16.00, min=16, max=16, dt=3.62s)
itr: 7500 lr: 9.235e-05 train loss: 0.114732 train token_acc: 0.9732 train exact_match_acc: 0.6653 (K~16.00, min=16, max=16, dt=3.62s)
itr: 7750 lr: 9.182e-05 train loss: 0.094695 train token_acc: 0.9774 train exact_match_acc: 0.7114 (K~16.00, min=16, max=16, dt=3.62s)
itr: 8000 lr: 9.127e-05 train loss: 0.078005 train token_acc: 0.9821 train exact_match_acc: 0.7620 (K~16.00, min=16, max=16, dt=3.62s)
itr: 8250 lr: 9.071e-05 train loss: 0.063096 train token_acc: 0.9861 train exact_match_acc: 0.8098 (K~16.00, min=16, max=16, dt=3.62s)
itr: 8500 lr: 9.013e-05 train loss: 0.056375 train token_acc: 0.9877 train exact_match_acc: 0.8286 (K~16.00, min=16, max=16, dt=3.62s)
itr: 8750 lr: 8.953e-05 train loss: 0.045237 train token_acc: 0.9915 train exact_match_acc: 0.8750 (K~16.00, min=16, max=16, dt=3.62s)
