training:  19%|█▉        | 7743/40000 [01:23<05:45, 93.27it/s]
itr: 0 lr: 2.494e-07 train loss: 5.557316 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.27s)
itr: 250 lr: 6.259e-05 train loss: 5.513738 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.71s)
itr: 500 lr: 1.000e-04 train loss: 4.829728 train token_acc: 0.0001 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 750 lr: 9.998e-05 train loss: 4.199641 train token_acc: 0.0051 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 1000 lr: 9.994e-05 train loss: 3.986944 train token_acc: 0.0123 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 1250 lr: 9.989e-05 train loss: 3.742857 train token_acc: 0.0516 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 1500 lr: 9.981e-05 train loss: 3.395822 train token_acc: 0.1313 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.69s)
itr: 1750 lr: 9.972e-05 train loss: 3.035293 train token_acc: 0.2182 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 2000 lr: 9.960e-05 train loss: 2.666551 train token_acc: 0.2995 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 2250 lr: 9.947e-05 train loss: 2.370580 train token_acc: 0.3715 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 2500 lr: 9.931e-05 train loss: 2.058785 train token_acc: 0.4538 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.69s)
itr: 2750 lr: 9.914e-05 train loss: 1.814416 train token_acc: 0.5147 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 3000 lr: 9.895e-05 train loss: 1.623706 train token_acc: 0.5617 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 3250 lr: 9.874e-05 train loss: 1.452989 train token_acc: 0.6106 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 3500 lr: 9.851e-05 train loss: 1.306769 train token_acc: 0.6467 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 3750 lr: 9.826e-05 train loss: 1.162380 train token_acc: 0.6851 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 4000 lr: 9.799e-05 train loss: 1.035945 train token_acc: 0.7195 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 4250 lr: 9.771e-05 train loss: 0.919989 train token_acc: 0.7520 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 4500 lr: 9.740e-05 train loss: 0.849095 train token_acc: 0.7728 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 4750 lr: 9.708e-05 train loss: 0.759121 train token_acc: 0.7957 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 5000 lr: 9.674e-05 train loss: 0.689877 train token_acc: 0.8157 train exact_match_acc: 0.0005 (K~16.00, min=16, max=16, dt=2.68s)
itr: 5250 lr: 9.638e-05 train loss: 0.633507 train token_acc: 0.8335 train exact_match_acc: 0.0007 (K~16.00, min=16, max=16, dt=2.68s)
itr: 5500 lr: 9.600e-05 train loss: 0.585322 train token_acc: 0.8466 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=2.68s)
itr: 5750 lr: 9.561e-05 train loss: 0.530832 train token_acc: 0.8594 train exact_match_acc: 0.0005 (K~16.00, min=16, max=16, dt=2.68s)
itr: 6000 lr: 9.519e-05 train loss: 0.494850 train token_acc: 0.8733 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.68s)
itr: 6250 lr: 9.476e-05 train loss: 0.451937 train token_acc: 0.8855 train exact_match_acc: 0.0044 (K~16.00, min=16, max=16, dt=2.68s)
itr: 6500 lr: 9.432e-05 train loss: 0.413578 train token_acc: 0.8965 train exact_match_acc: 0.0015 (K~16.00, min=16, max=16, dt=2.68s)
itr: 6750 lr: 9.385e-05 train loss: 0.391379 train token_acc: 0.9020 train exact_match_acc: 0.0029 (K~16.00, min=16, max=16, dt=2.68s)
