training:  19%|█▉        | 7750/40000 [04:56<20:31, 26.18it/s]
itr: 0 lr: 2.494e-07 train loss: 6.038812 train token_acc: 0.0031 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.31s)
itr: 250 lr: 6.259e-05 train loss: 4.618949 train token_acc: 0.0448 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=9.57s)
itr: 500 lr: 1.000e-04 train loss: 1.389967 train token_acc: 0.5683 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=9.55s)
itr: 750 lr: 9.998e-05 train loss: 0.306318 train token_acc: 0.9230 train exact_match_acc: 0.0815 (K~32.00, min=32, max=32, dt=9.55s)
itr: 1000 lr: 9.994e-05 train loss: 0.077380 train token_acc: 0.9893 train exact_match_acc: 0.7139 (K~32.00, min=32, max=32, dt=9.55s)
itr: 1250 lr: 9.989e-05 train loss: 0.031604 train token_acc: 0.9962 train exact_match_acc: 0.8916 (K~32.00, min=32, max=32, dt=9.55s)
itr: 1500 lr: 9.981e-05 train loss: 0.020410 train token_acc: 0.9974 train exact_match_acc: 0.9241 (K~32.00, min=32, max=32, dt=9.55s)
itr: 1750 lr: 9.972e-05 train loss: 0.014074 train token_acc: 0.9983 train exact_match_acc: 0.9468 (K~32.00, min=32, max=32, dt=9.55s)
itr: 2000 lr: 9.960e-05 train loss: 0.010372 train token_acc: 0.9989 train exact_match_acc: 0.9666 (K~32.00, min=32, max=32, dt=9.55s)
itr: 2250 lr: 9.947e-05 train loss: 0.008376 train token_acc: 0.9990 train exact_match_acc: 0.9705 (K~32.00, min=32, max=32, dt=9.55s)
itr: 2500 lr: 9.931e-05 train loss: 0.007270 train token_acc: 0.9991 train exact_match_acc: 0.9727 (K~32.00, min=32, max=32, dt=9.55s)
itr: 2750 lr: 9.914e-05 train loss: 0.005468 train token_acc: 0.9994 train exact_match_acc: 0.9810 (K~32.00, min=32, max=32, dt=9.55s)
itr: 3000 lr: 9.895e-05 train loss: 0.004804 train token_acc: 0.9995 train exact_match_acc: 0.9834 (K~32.00, min=32, max=32, dt=9.55s)
itr: 3250 lr: 9.874e-05 train loss: 0.004358 train token_acc: 0.9995 train exact_match_acc: 0.9844 (K~32.00, min=32, max=32, dt=9.55s)
itr: 3500 lr: 9.851e-05 train loss: 0.003009 train token_acc: 0.9997 train exact_match_acc: 0.9890 (K~32.00, min=32, max=32, dt=9.55s)
itr: 3750 lr: 9.826e-05 train loss: 0.002937 train token_acc: 0.9996 train exact_match_acc: 0.9897 (K~32.00, min=32, max=32, dt=9.55s)
itr: 4000 lr: 9.799e-05 train loss: 0.002626 train token_acc: 0.9997 train exact_match_acc: 0.9907 (K~32.00, min=32, max=32, dt=9.55s)
itr: 4250 lr: 9.771e-05 train loss: 0.002178 train token_acc: 0.9998 train exact_match_acc: 0.9939 (K~32.00, min=32, max=32, dt=9.55s)
itr: 4500 lr: 9.740e-05 train loss: 0.002067 train token_acc: 0.9997 train exact_match_acc: 0.9917 (K~32.00, min=32, max=32, dt=9.55s)
itr: 4750 lr: 9.708e-05 train loss: 0.002111 train token_acc: 0.9997 train exact_match_acc: 0.9924 (K~32.00, min=32, max=32, dt=9.55s)
itr: 5000 lr: 9.674e-05 train loss: 0.001856 train token_acc: 0.9998 train exact_match_acc: 0.9934 (K~32.00, min=32, max=32, dt=9.55s)
itr: 5250 lr: 9.638e-05 train loss: 0.001714 train token_acc: 0.9998 train exact_match_acc: 0.9937 (K~32.00, min=32, max=32, dt=9.55s)
itr: 5500 lr: 9.600e-05 train loss: 0.001201 train token_acc: 0.9999 train exact_match_acc: 0.9956 (K~32.00, min=32, max=32, dt=9.55s)
itr: 5750 lr: 9.561e-05 train loss: 0.001470 train token_acc: 0.9998 train exact_match_acc: 0.9954 (K~32.00, min=32, max=32, dt=9.55s)
itr: 6000 lr: 9.519e-05 train loss: 0.001027 train token_acc: 0.9999 train exact_match_acc: 0.9963 (K~32.00, min=32, max=32, dt=9.55s)
itr: 6250 lr: 9.476e-05 train loss: 0.001062 train token_acc: 0.9999 train exact_match_acc: 0.9963 (K~32.00, min=32, max=32, dt=9.55s)
itr: 6500 lr: 9.432e-05 train loss: 0.000934 train token_acc: 0.9999 train exact_match_acc: 0.9968 (K~32.00, min=32, max=32, dt=9.55s)
itr: 6750 lr: 9.385e-05 train loss: 0.000940 train token_acc: 0.9999 train exact_match_acc: 0.9961 (K~32.00, min=32, max=32, dt=9.55s)
itr: 7000 lr: 9.337e-05 train loss: 0.000664 train token_acc: 0.9999 train exact_match_acc: 0.9978 (K~32.00, min=32, max=32, dt=9.55s)
itr: 7250 lr: 9.287e-05 train loss: 0.000755 train token_acc: 0.9999 train exact_match_acc: 0.9976 (K~32.00, min=32, max=32, dt=9.55s)
