training:  19%|█▉        | 7748/40000 [03:48<15:51, 33.89it/s]
itr: 0 lr: 2.494e-07 train loss: 5.556899 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.31s)
itr: 250 lr: 6.259e-05 train loss: 5.495114 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.41s)
itr: 500 lr: 1.000e-04 train loss: 4.632234 train token_acc: 0.0031 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 750 lr: 9.998e-05 train loss: 3.610559 train token_acc: 0.0096 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 1000 lr: 9.994e-05 train loss: 3.353703 train token_acc: 0.0231 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 1250 lr: 9.989e-05 train loss: 3.251790 train token_acc: 0.0381 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 1500 lr: 9.981e-05 train loss: 3.174624 train token_acc: 0.0518 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 1750 lr: 9.972e-05 train loss: 3.110342 train token_acc: 0.0635 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 2000 lr: 9.960e-05 train loss: 3.049595 train token_acc: 0.0761 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 2250 lr: 9.947e-05 train loss: 2.997819 train token_acc: 0.1032 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 2500 lr: 9.931e-05 train loss: 2.944810 train token_acc: 0.1052 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 2750 lr: 9.914e-05 train loss: 2.904683 train token_acc: 0.1144 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 3000 lr: 9.895e-05 train loss: 2.871212 train token_acc: 0.1411 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 3250 lr: 9.874e-05 train loss: 2.818824 train token_acc: 0.1398 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 3500 lr: 9.851e-05 train loss: 2.796871 train token_acc: 0.1443 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 3750 lr: 9.826e-05 train loss: 2.754196 train token_acc: 0.1707 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 4000 lr: 9.799e-05 train loss: 2.718083 train token_acc: 0.1691 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 4250 lr: 9.771e-05 train loss: 2.681024 train token_acc: 0.1853 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 4500 lr: 9.740e-05 train loss: 2.657263 train token_acc: 0.1957 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 4750 lr: 9.708e-05 train loss: 2.639899 train token_acc: 0.2073 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 5000 lr: 9.674e-05 train loss: 2.611469 train token_acc: 0.1992 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 5250 lr: 9.638e-05 train loss: 2.591016 train token_acc: 0.2075 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 5500 lr: 9.600e-05 train loss: 2.567382 train token_acc: 0.2252 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 5750 lr: 9.561e-05 train loss: 2.540449 train token_acc: 0.2294 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 6000 lr: 9.519e-05 train loss: 2.520720 train token_acc: 0.2308 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 6250 lr: 9.476e-05 train loss: 2.535292 train token_acc: 0.2205 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 6500 lr: 9.432e-05 train loss: 2.555366 train token_acc: 0.2119 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 6750 lr: 9.385e-05 train loss: 2.465600 train token_acc: 0.2496 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 7000 lr: 9.337e-05 train loss: 2.452282 train token_acc: 0.2620 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 7250 lr: 9.287e-05 train loss: 2.428687 train token_acc: 0.2519 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 7500 lr: 9.235e-05 train loss: 2.410827 train token_acc: 0.2729 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 7750 lr: 9.182e-05 train loss: 2.398894 train token_acc: 0.2779 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 8000 lr: 9.127e-05 train loss: 2.363929 train token_acc: 0.2732 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 8250 lr: 9.071e-05 train loss: 2.363753 train token_acc: 0.2653 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 8500 lr: 9.013e-05 train loss: 2.318014 train token_acc: 0.2900 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 8750 lr: 8.953e-05 train loss: 2.309258 train token_acc: 0.2804 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 9000 lr: 8.892e-05 train loss: 2.284546 train token_acc: 0.3084 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 9250 lr: 8.829e-05 train loss: 2.251461 train token_acc: 0.3053 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 9500 lr: 8.765e-05 train loss: 2.238729 train token_acc: 0.3191 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 9750 lr: 8.700e-05 train loss: 2.202364 train token_acc: 0.3205 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 10000 lr: 8.632e-05 train loss: 2.189548 train token_acc: 0.3143 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 10250 lr: 8.564e-05 train loss: 2.170778 train token_acc: 0.3221 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 10500 lr: 8.494e-05 train loss: 2.143178 train token_acc: 0.3458 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 10750 lr: 8.423e-05 train loss: 2.130043 train token_acc: 0.3327 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 11000 lr: 8.351e-05 train loss: 2.099228 train token_acc: 0.3481 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 11250 lr: 8.277e-05 train loss: 2.094821 train token_acc: 0.3653 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 11500 lr: 8.202e-05 train loss: 2.107773 train token_acc: 0.3325 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
