training:  19%|█▉        | 7748/40000 [03:48<15:51, 33.89it/s]
itr: 0 lr: 2.494e-07 train loss: 5.551896 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.41s)
itr: 250 lr: 6.259e-05 train loss: 5.525515 train token_acc: 0.0001 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.39s)
itr: 500 lr: 1.000e-04 train loss: 4.899857 train token_acc: 0.0098 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 750 lr: 9.998e-05 train loss: 3.569659 train token_acc: 0.0432 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 1000 lr: 9.994e-05 train loss: 3.432321 train token_acc: 0.0565 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 1250 lr: 9.989e-05 train loss: 3.399237 train token_acc: 0.0591 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 1500 lr: 9.981e-05 train loss: 3.369235 train token_acc: 0.0640 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 1750 lr: 9.972e-05 train loss: 3.345450 train token_acc: 0.0655 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 2000 lr: 9.960e-05 train loss: 3.340258 train token_acc: 0.0664 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 2250 lr: 9.947e-05 train loss: 3.326836 train token_acc: 0.0674 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 2500 lr: 9.931e-05 train loss: 3.294123 train token_acc: 0.0707 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 2750 lr: 9.914e-05 train loss: 3.297975 train token_acc: 0.0679 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 3000 lr: 9.895e-05 train loss: 3.262115 train token_acc: 0.0761 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 3250 lr: 9.874e-05 train loss: 3.262145 train token_acc: 0.0754 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 3500 lr: 9.851e-05 train loss: 3.261372 train token_acc: 0.0748 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 3750 lr: 9.826e-05 train loss: 3.231193 train token_acc: 0.0811 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 4000 lr: 9.799e-05 train loss: 3.226400 train token_acc: 0.0768 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 4250 lr: 9.771e-05 train loss: 3.197212 train token_acc: 0.0824 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 4500 lr: 9.740e-05 train loss: 3.207385 train token_acc: 0.0804 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 4750 lr: 9.708e-05 train loss: 3.174319 train token_acc: 0.0852 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 5000 lr: 9.674e-05 train loss: 3.173285 train token_acc: 0.0881 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 5250 lr: 9.638e-05 train loss: 3.170429 train token_acc: 0.0883 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 5500 lr: 9.600e-05 train loss: 3.147201 train token_acc: 0.0910 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
