training:  19%|█▉        | 7748/40000 [03:48<15:51, 33.90it/s]
itr: 0 lr: 2.494e-07 train loss: 5.551665 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.39s)
itr: 250 lr: 6.259e-05 train loss: 5.524701 train token_acc: 0.0002 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.41s)
itr: 500 lr: 1.000e-04 train loss: 4.704667 train token_acc: 0.0139 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 750 lr: 9.998e-05 train loss: 3.511997 train token_acc: 0.0480 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 1000 lr: 9.994e-05 train loss: 3.473980 train token_acc: 0.0528 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 1250 lr: 9.989e-05 train loss: 3.438518 train token_acc: 0.0571 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 1500 lr: 9.981e-05 train loss: 3.420985 train token_acc: 0.0592 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 1750 lr: 9.972e-05 train loss: 3.403426 train token_acc: 0.0609 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 2000 lr: 9.960e-05 train loss: 3.399068 train token_acc: 0.0631 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 2250 lr: 9.947e-05 train loss: 3.366756 train token_acc: 0.0648 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 2500 lr: 9.931e-05 train loss: 3.359878 train token_acc: 0.0676 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 2750 lr: 9.914e-05 train loss: 3.342062 train token_acc: 0.0673 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 3000 lr: 9.895e-05 train loss: 3.342418 train token_acc: 0.0666 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 3250 lr: 9.874e-05 train loss: 3.309711 train token_acc: 0.0720 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 3500 lr: 9.851e-05 train loss: 3.316951 train token_acc: 0.0699 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 3750 lr: 9.826e-05 train loss: 3.282925 train token_acc: 0.0754 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 4000 lr: 9.799e-05 train loss: 3.276471 train token_acc: 0.0762 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 4250 lr: 9.771e-05 train loss: 3.277664 train token_acc: 0.0739 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 4500 lr: 9.740e-05 train loss: 3.270065 train token_acc: 0.0781 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 4750 lr: 9.708e-05 train loss: 3.240119 train token_acc: 0.0814 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 5000 lr: 9.674e-05 train loss: 3.258039 train token_acc: 0.0776 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 5250 lr: 9.638e-05 train loss: 3.216800 train token_acc: 0.0821 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 5500 lr: 9.600e-05 train loss: 3.224642 train token_acc: 0.0826 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 5750 lr: 9.561e-05 train loss: 3.196233 train token_acc: 0.0862 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 6000 lr: 9.519e-05 train loss: 3.197302 train token_acc: 0.0844 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 6250 lr: 9.476e-05 train loss: 3.176485 train token_acc: 0.0875 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 6500 lr: 9.432e-05 train loss: 3.161456 train token_acc: 0.0859 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 6750 lr: 9.385e-05 train loss: 3.141429 train token_acc: 0.0894 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 7000 lr: 9.337e-05 train loss: 3.145642 train token_acc: 0.0889 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 7250 lr: 9.287e-05 train loss: 3.115066 train token_acc: 0.0878 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
