training:  19%|█▉        | 7748/40000 [03:48<15:51, 33.90it/s]
itr: 0 lr: 2.494e-07 train loss: 5.558987 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.28s)
itr: 250 lr: 6.259e-05 train loss: 5.498594 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.40s)
itr: 500 lr: 1.000e-04 train loss: 4.666722 train token_acc: 0.0037 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 750 lr: 9.998e-05 train loss: 3.448034 train token_acc: 0.0103 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 1000 lr: 9.994e-05 train loss: 3.300953 train token_acc: 0.0228 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 1250 lr: 9.989e-05 train loss: 3.221909 train token_acc: 0.0362 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 1500 lr: 9.981e-05 train loss: 3.160990 train token_acc: 0.0486 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 1750 lr: 9.972e-05 train loss: 3.093050 train token_acc: 0.0676 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 2000 lr: 9.960e-05 train loss: 3.030323 train token_acc: 0.0883 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 2250 lr: 9.947e-05 train loss: 2.979112 train token_acc: 0.0987 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 2500 lr: 9.931e-05 train loss: 2.921184 train token_acc: 0.1165 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 2750 lr: 9.914e-05 train loss: 2.874698 train token_acc: 0.1273 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 3000 lr: 9.895e-05 train loss: 2.815281 train token_acc: 0.1543 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 3250 lr: 9.874e-05 train loss: 2.769419 train token_acc: 0.1674 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 3500 lr: 9.851e-05 train loss: 2.720837 train token_acc: 0.1733 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
itr: 3750 lr: 9.826e-05 train loss: 2.705908 train token_acc: 0.1719 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.38s)
