training:  19%|█▉        | 7748/40000 [03:48<15:52, 33.86it/s]
itr: 0 lr: 2.494e-07 train loss: 5.557029 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.31s)
itr: 250 lr: 6.259e-05 train loss: 5.495346 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.41s)
itr: 500 lr: 1.000e-04 train loss: 4.614532 train token_acc: 0.0047 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.39s)
itr: 750 lr: 9.998e-05 train loss: 3.650601 train token_acc: 0.0064 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.39s)
itr: 1000 lr: 9.994e-05 train loss: 3.457667 train token_acc: 0.0114 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.39s)
itr: 1250 lr: 9.989e-05 train loss: 3.393872 train token_acc: 0.0112 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.39s)
itr: 1500 lr: 9.981e-05 train loss: 3.357000 train token_acc: 0.0122 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.39s)
itr: 1750 lr: 9.972e-05 train loss: 3.336772 train token_acc: 0.0240 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.39s)
itr: 2000 lr: 9.960e-05 train loss: 3.311484 train token_acc: 0.0173 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.39s)
itr: 2250 lr: 9.947e-05 train loss: 3.287921 train token_acc: 0.0237 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.39s)
itr: 2500 lr: 9.931e-05 train loss: 3.272078 train token_acc: 0.0236 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.39s)
itr: 2750 lr: 9.914e-05 train loss: 3.261049 train token_acc: 0.0269 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.39s)
itr: 3000 lr: 9.895e-05 train loss: 3.225262 train token_acc: 0.0437 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.39s)
itr: 3250 lr: 9.874e-05 train loss: 3.208275 train token_acc: 0.0429 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.39s)
itr: 3500 lr: 9.851e-05 train loss: 3.195677 train token_acc: 0.0486 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=7.39s)
