training:  19%|█▉        | 7747/40000 [03:24<14:08, 37.99it/s]
itr: 0 lr: 2.494e-07 train loss: 5.815089 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.49s)
itr: 250 lr: 6.259e-05 train loss: 4.391100 train token_acc: 0.0153 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.61s)
itr: 500 lr: 1.000e-04 train loss: 1.034330 train token_acc: 0.7990 train exact_match_acc: 0.0005 (K~32.00, min=32, max=32, dt=6.58s)
itr: 750 lr: 9.998e-05 train loss: 0.129870 train token_acc: 0.9862 train exact_match_acc: 0.6223 (K~32.00, min=32, max=32, dt=6.58s)
itr: 1000 lr: 9.994e-05 train loss: 0.041368 train token_acc: 0.9956 train exact_match_acc: 0.8643 (K~32.00, min=32, max=32, dt=6.58s)
itr: 1250 lr: 9.989e-05 train loss: 0.020001 train token_acc: 0.9979 train exact_match_acc: 0.9343 (K~32.00, min=32, max=32, dt=6.58s)
itr: 1500 lr: 9.981e-05 train loss: 0.011661 train token_acc: 0.9988 train exact_match_acc: 0.9619 (K~32.00, min=32, max=32, dt=6.58s)
itr: 1750 lr: 9.972e-05 train loss: 0.008744 train token_acc: 0.9989 train exact_match_acc: 0.9658 (K~32.00, min=32, max=32, dt=6.58s)
itr: 2000 lr: 9.960e-05 train loss: 0.005799 train token_acc: 0.9993 train exact_match_acc: 0.9778 (K~32.00, min=32, max=32, dt=6.58s)
itr: 2250 lr: 9.947e-05 train loss: 0.005124 train token_acc: 0.9994 train exact_match_acc: 0.9792 (K~32.00, min=32, max=32, dt=6.58s)
itr: 2500 lr: 9.931e-05 train loss: 0.004006 train token_acc: 0.9995 train exact_match_acc: 0.9829 (K~32.00, min=32, max=32, dt=6.58s)
itr: 2750 lr: 9.914e-05 train loss: 0.004082 train token_acc: 0.9994 train exact_match_acc: 0.9822 (K~32.00, min=32, max=32, dt=6.58s)
itr: 3000 lr: 9.895e-05 train loss: 0.003366 train token_acc: 0.9995 train exact_match_acc: 0.9841 (K~32.00, min=32, max=32, dt=6.58s)
itr: 3250 lr: 9.874e-05 train loss: 0.003227 train token_acc: 0.9995 train exact_match_acc: 0.9849 (K~32.00, min=32, max=32, dt=6.58s)
itr: 3500 lr: 9.851e-05 train loss: 0.002830 train token_acc: 0.9995 train exact_match_acc: 0.9854 (K~32.00, min=32, max=32, dt=6.59s)
itr: 3750 lr: 9.826e-05 train loss: 0.002354 train token_acc: 0.9997 train exact_match_acc: 0.9893 (K~32.00, min=32, max=32, dt=6.58s)
itr: 4000 lr: 9.799e-05 train loss: 0.002368 train token_acc: 0.9996 train exact_match_acc: 0.9868 (K~32.00, min=32, max=32, dt=6.59s)
itr: 4250 lr: 9.771e-05 train loss: 0.001473 train token_acc: 0.9998 train exact_match_acc: 0.9934 (K~32.00, min=32, max=32, dt=6.59s)
itr: 4500 lr: 9.740e-05 train loss: 0.002068 train token_acc: 0.9997 train exact_match_acc: 0.9890 (K~32.00, min=32, max=32, dt=6.58s)
itr: 4750 lr: 9.708e-05 train loss: 0.002063 train token_acc: 0.9996 train exact_match_acc: 0.9885 (K~32.00, min=32, max=32, dt=6.59s)
itr: 5000 lr: 9.674e-05 train loss: 0.002190 train token_acc: 0.9996 train exact_match_acc: 0.9885 (K~32.00, min=32, max=32, dt=6.59s)
itr: 5250 lr: 9.638e-05 train loss: 0.002142 train token_acc: 0.9996 train exact_match_acc: 0.9871 (K~32.00, min=32, max=32, dt=6.59s)
itr: 5500 lr: 9.600e-05 train loss: 0.001168 train token_acc: 0.9998 train exact_match_acc: 0.9927 (K~32.00, min=32, max=32, dt=6.59s)
itr: 5750 lr: 9.561e-05 train loss: 0.001703 train token_acc: 0.9997 train exact_match_acc: 0.9907 (K~32.00, min=32, max=32, dt=6.59s)
itr: 6000 lr: 9.519e-05 train loss: 0.001350 train token_acc: 0.9997 train exact_match_acc: 0.9905 (K~32.00, min=32, max=32, dt=6.58s)
itr: 6250 lr: 9.476e-05 train loss: 0.001212 train token_acc: 0.9998 train exact_match_acc: 0.9924 (K~32.00, min=32, max=32, dt=6.58s)
itr: 6500 lr: 9.432e-05 train loss: 0.001507 train token_acc: 0.9997 train exact_match_acc: 0.9917 (K~32.00, min=32, max=32, dt=6.59s)
itr: 6750 lr: 9.385e-05 train loss: 0.001010 train token_acc: 0.9998 train exact_match_acc: 0.9939 (K~32.00, min=32, max=32, dt=6.59s)
itr: 7000 lr: 9.337e-05 train loss: 0.001571 train token_acc: 0.9997 train exact_match_acc: 0.9917 (K~32.00, min=32, max=32, dt=6.58s)
itr: 7250 lr: 9.287e-05 train loss: 0.001142 train token_acc: 0.9998 train exact_match_acc: 0.9922 (K~32.00, min=32, max=32, dt=6.59s)
itr: 7500 lr: 9.235e-05 train loss: 0.001116 train token_acc: 0.9997 train exact_match_acc: 0.9915 (K~32.00, min=32, max=32, dt=6.59s)
itr: 7750 lr: 9.182e-05 train loss: 0.000851 train token_acc: 0.9998 train exact_match_acc: 0.9939 (K~32.00, min=32, max=32, dt=6.59s)
itr: 8000 lr: 9.127e-05 train loss: 0.000902 train token_acc: 0.9998 train exact_match_acc: 0.9941 (K~32.00, min=32, max=32, dt=6.59s)
itr: 8250 lr: 9.071e-05 train loss: 0.000808 train token_acc: 0.9998 train exact_match_acc: 0.9951 (K~32.00, min=32, max=32, dt=6.58s)
itr: 8500 lr: 9.013e-05 train loss: 0.000947 train token_acc: 0.9998 train exact_match_acc: 0.9929 (K~32.00, min=32, max=32, dt=6.59s)
itr: 8750 lr: 8.953e-05 train loss: 0.001152 train token_acc: 0.9998 train exact_match_acc: 0.9927 (K~32.00, min=32, max=32, dt=6.59s)
itr: 9000 lr: 8.892e-05 train loss: 0.000751 train token_acc: 0.9998 train exact_match_acc: 0.9941 (K~32.00, min=32, max=32, dt=6.59s)
itr: 9250 lr: 8.829e-05 train loss: 0.000736 train token_acc: 0.9998 train exact_match_acc: 0.9946 (K~32.00, min=32, max=32, dt=6.59s)
itr: 9500 lr: 8.765e-05 train loss: 0.000901 train token_acc: 0.9998 train exact_match_acc: 0.9934 (K~32.00, min=32, max=32, dt=6.59s)
itr: 9750 lr: 8.700e-05 train loss: 0.000645 train token_acc: 0.9999 train exact_match_acc: 0.9961 (K~32.00, min=32, max=32, dt=6.59s)
itr: 10000 lr: 8.632e-05 train loss: 0.000741 train token_acc: 0.9998 train exact_match_acc: 0.9939 (K~32.00, min=32, max=32, dt=6.58s)
itr: 10250 lr: 8.564e-05 train loss: 0.000735 train token_acc: 0.9998 train exact_match_acc: 0.9949 (K~32.00, min=32, max=32, dt=6.58s)
itr: 10500 lr: 8.494e-05 train loss: 0.000790 train token_acc: 0.9998 train exact_match_acc: 0.9951 (K~32.00, min=32, max=32, dt=6.59s)
itr: 10750 lr: 8.423e-05 train loss: 0.000629 train token_acc: 0.9999 train exact_match_acc: 0.9966 (K~32.00, min=32, max=32, dt=6.59s)
itr: 11000 lr: 8.351e-05 train loss: 0.000386 train token_acc: 0.9999 train exact_match_acc: 0.9963 (K~32.00, min=32, max=32, dt=6.58s)
itr: 11250 lr: 8.277e-05 train loss: 0.000582 train token_acc: 0.9999 train exact_match_acc: 0.9963 (K~32.00, min=32, max=32, dt=6.58s)
itr: 11500 lr: 8.202e-05 train loss: 0.000441 train token_acc: 0.9999 train exact_match_acc: 0.9980 (K~32.00, min=32, max=32, dt=6.59s)
itr: 11750 lr: 8.125e-05 train loss: 0.000893 train token_acc: 0.9998 train exact_match_acc: 0.9932 (K~32.00, min=32, max=32, dt=6.58s)
itr: 12000 lr: 8.048e-05 train loss: 0.000634 train token_acc: 0.9999 train exact_match_acc: 0.9961 (K~32.00, min=32, max=32, dt=6.59s)
itr: 12250 lr: 7.969e-05 train loss: 0.000696 train token_acc: 0.9999 train exact_match_acc: 0.9961 (K~32.00, min=32, max=32, dt=6.58s)
itr: 12500 lr: 7.889e-05 train loss: 0.000367 train token_acc: 0.9999 train exact_match_acc: 0.9983 (K~32.00, min=32, max=32, dt=6.58s)
itr: 12750 lr: 7.808e-05 train loss: 0.000516 train token_acc: 0.9999 train exact_match_acc: 0.9961 (K~32.00, min=32, max=32, dt=6.59s)
itr: 13000 lr: 7.726e-05 train loss: 0.000413 train token_acc: 0.9999 train exact_match_acc: 0.9963 (K~32.00, min=32, max=32, dt=6.58s)
itr: 13250 lr: 7.643e-05 train loss: 0.000556 train token_acc: 0.9999 train exact_match_acc: 0.9963 (K~32.00, min=32, max=32, dt=6.59s)
itr: 13500 lr: 7.559e-05 train loss: 0.000491 train token_acc: 0.9999 train exact_match_acc: 0.9961 (K~32.00, min=32, max=32, dt=6.58s)
itr: 13750 lr: 7.474e-05 train loss: 0.000429 train token_acc: 0.9999 train exact_match_acc: 0.9973 (K~32.00, min=32, max=32, dt=6.59s)
itr: 14000 lr: 7.388e-05 train loss: 0.000172 train token_acc: 1.0000 train exact_match_acc: 0.9988 (K~32.00, min=32, max=32, dt=6.59s)
itr: 14250 lr: 7.301e-05 train loss: 0.000274 train token_acc: 0.9999 train exact_match_acc: 0.9978 (K~32.00, min=32, max=32, dt=6.58s)
itr: 14500 lr: 7.213e-05 train loss: 0.000193 train token_acc: 0.9999 train exact_match_acc: 0.9983 (K~32.00, min=32, max=32, dt=6.58s)
itr: 14750 lr: 7.124e-05 train loss: 0.000420 train token_acc: 0.9999 train exact_match_acc: 0.9971 (K~32.00, min=32, max=32, dt=6.58s)
itr: 15000 lr: 7.035e-05 train loss: 0.000278 train token_acc: 0.9999 train exact_match_acc: 0.9976 (K~32.00, min=32, max=32, dt=6.58s)
itr: 15250 lr: 6.944e-05 train loss: 0.000182 train token_acc: 1.0000 train exact_match_acc: 0.9985 (K~32.00, min=32, max=32, dt=6.59s)
