training:  19%|█▉        | 7748/40000 [03:34<14:53, 36.11it/s]
itr: 0 lr: 2.494e-07 train loss: 5.558348 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 5.380261 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.95s)
itr: 500 lr: 1.000e-04 train loss: 3.539233 train token_acc: 0.0057 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.93s)
itr: 750 lr: 9.998e-05 train loss: 2.982863 train token_acc: 0.1223 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.93s)
itr: 1000 lr: 9.994e-05 train loss: 2.640531 train token_acc: 0.2167 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.92s)
itr: 1250 lr: 9.989e-05 train loss: 2.082884 train token_acc: 0.3850 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.92s)
itr: 1500 lr: 9.981e-05 train loss: 1.435176 train token_acc: 0.5776 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.92s)
itr: 1750 lr: 9.972e-05 train loss: 0.837333 train token_acc: 0.7668 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=6.92s)
itr: 2000 lr: 9.960e-05 train loss: 0.470830 train token_acc: 0.8793 train exact_match_acc: 0.0200 (K~32.00, min=32, max=32, dt=6.93s)
itr: 2250 lr: 9.947e-05 train loss: 0.273839 train token_acc: 0.9380 train exact_match_acc: 0.1633 (K~32.00, min=32, max=32, dt=6.92s)
itr: 2500 lr: 9.931e-05 train loss: 0.152818 train token_acc: 0.9698 train exact_match_acc: 0.3960 (K~32.00, min=32, max=32, dt=6.93s)
itr: 2750 lr: 9.914e-05 train loss: 0.096237 train token_acc: 0.9826 train exact_match_acc: 0.5803 (K~32.00, min=32, max=32, dt=6.93s)
itr: 3000 lr: 9.895e-05 train loss: 0.060126 train token_acc: 0.9896 train exact_match_acc: 0.7195 (K~32.00, min=32, max=32, dt=6.93s)
itr: 3250 lr: 9.874e-05 train loss: 0.042082 train token_acc: 0.9936 train exact_match_acc: 0.8171 (K~32.00, min=32, max=32, dt=6.93s)
itr: 3500 lr: 9.851e-05 train loss: 0.029308 train token_acc: 0.9955 train exact_match_acc: 0.8665 (K~32.00, min=32, max=32, dt=6.93s)
itr: 3750 lr: 9.826e-05 train loss: 0.023874 train token_acc: 0.9965 train exact_match_acc: 0.8938 (K~32.00, min=32, max=32, dt=6.93s)
itr: 4000 lr: 9.799e-05 train loss: 0.016971 train token_acc: 0.9976 train exact_match_acc: 0.9277 (K~32.00, min=32, max=32, dt=6.93s)
itr: 4250 lr: 9.771e-05 train loss: 0.011966 train token_acc: 0.9980 train exact_match_acc: 0.9382 (K~32.00, min=32, max=32, dt=6.93s)
itr: 4500 lr: 9.740e-05 train loss: 0.009038 train token_acc: 0.9985 train exact_match_acc: 0.9539 (K~32.00, min=32, max=32, dt=6.93s)
itr: 4750 lr: 9.708e-05 train loss: 0.007317 train token_acc: 0.9989 train exact_match_acc: 0.9663 (K~32.00, min=32, max=32, dt=6.93s)
itr: 5000 lr: 9.674e-05 train loss: 0.006750 train token_acc: 0.9990 train exact_match_acc: 0.9678 (K~32.00, min=32, max=32, dt=6.93s)
itr: 5250 lr: 9.638e-05 train loss: 0.004857 train token_acc: 0.9992 train exact_match_acc: 0.9749 (K~32.00, min=32, max=32, dt=6.93s)
itr: 5500 lr: 9.600e-05 train loss: 0.004199 train token_acc: 0.9993 train exact_match_acc: 0.9785 (K~32.00, min=32, max=32, dt=6.93s)
itr: 5750 lr: 9.561e-05 train loss: 0.004204 train token_acc: 0.9995 train exact_match_acc: 0.9844 (K~32.00, min=32, max=32, dt=6.93s)
itr: 6000 lr: 9.519e-05 train loss: 0.004142 train token_acc: 0.9995 train exact_match_acc: 0.9839 (K~32.00, min=32, max=32, dt=6.93s)
itr: 6250 lr: 9.476e-05 train loss: 0.002491 train token_acc: 0.9996 train exact_match_acc: 0.9873 (K~32.00, min=32, max=32, dt=6.93s)
itr: 6500 lr: 9.432e-05 train loss: 0.002561 train token_acc: 0.9996 train exact_match_acc: 0.9868 (K~32.00, min=32, max=32, dt=6.93s)
itr: 6750 lr: 9.385e-05 train loss: 0.002713 train token_acc: 0.9995 train exact_match_acc: 0.9858 (K~32.00, min=32, max=32, dt=6.93s)
itr: 7000 lr: 9.337e-05 train loss: 0.002248 train token_acc: 0.9997 train exact_match_acc: 0.9902 (K~32.00, min=32, max=32, dt=6.93s)
itr: 7250 lr: 9.287e-05 train loss: 0.001657 train token_acc: 0.9998 train exact_match_acc: 0.9922 (K~32.00, min=32, max=32, dt=6.93s)
itr: 7500 lr: 9.235e-05 train loss: 0.001904 train token_acc: 0.9997 train exact_match_acc: 0.9907 (K~32.00, min=32, max=32, dt=6.93s)
itr: 7750 lr: 9.182e-05 train loss: 0.002262 train token_acc: 0.9998 train exact_match_acc: 0.9927 (K~32.00, min=32, max=32, dt=6.93s)
itr: 8000 lr: 9.127e-05 train loss: 0.002198 train token_acc: 0.9998 train exact_match_acc: 0.9924 (K~32.00, min=32, max=32, dt=6.93s)
itr: 8250 lr: 9.071e-05 train loss: 0.001378 train token_acc: 0.9998 train exact_match_acc: 0.9939 (K~32.00, min=32, max=32, dt=6.93s)
itr: 8500 lr: 9.013e-05 train loss: 0.001167 train token_acc: 0.9999 train exact_match_acc: 0.9956 (K~32.00, min=32, max=32, dt=6.93s)
itr: 8750 lr: 8.953e-05 train loss: 0.001071 train token_acc: 0.9998 train exact_match_acc: 0.9937 (K~32.00, min=32, max=32, dt=6.93s)
itr: 9000 lr: 8.892e-05 train loss: 0.000903 train token_acc: 0.9998 train exact_match_acc: 0.9946 (K~32.00, min=32, max=32, dt=6.93s)
itr: 9250 lr: 8.829e-05 train loss: 0.001395 train token_acc: 0.9998 train exact_match_acc: 0.9944 (K~32.00, min=32, max=32, dt=6.93s)
itr: 9500 lr: 8.765e-05 train loss: 0.000592 train token_acc: 0.9999 train exact_match_acc: 0.9968 (K~32.00, min=32, max=32, dt=6.93s)
itr: 9750 lr: 8.700e-05 train loss: 0.001442 train token_acc: 0.9998 train exact_match_acc: 0.9941 (K~32.00, min=32, max=32, dt=6.93s)
itr: 10000 lr: 8.632e-05 train loss: 0.000485 train token_acc: 0.9999 train exact_match_acc: 0.9983 (K~32.00, min=32, max=32, dt=6.93s)
itr: 10250 lr: 8.564e-05 train loss: 0.000987 train token_acc: 0.9998 train exact_match_acc: 0.9951 (K~32.00, min=32, max=32, dt=6.93s)
itr: 10500 lr: 8.494e-05 train loss: 0.000628 train token_acc: 0.9999 train exact_match_acc: 0.9973 (K~32.00, min=32, max=32, dt=6.93s)
itr: 10750 lr: 8.423e-05 train loss: 0.001288 train token_acc: 0.9998 train exact_match_acc: 0.9949 (K~32.00, min=32, max=32, dt=6.93s)
itr: 11000 lr: 8.351e-05 train loss: 0.001030 train token_acc: 0.9999 train exact_match_acc: 0.9973 (K~32.00, min=32, max=32, dt=6.93s)
itr: 11250 lr: 8.277e-05 train loss: 0.000843 train token_acc: 0.9999 train exact_match_acc: 0.9961 (K~32.00, min=32, max=32, dt=6.93s)
itr: 11500 lr: 8.202e-05 train loss: 0.000904 train token_acc: 0.9999 train exact_match_acc: 0.9954 (K~32.00, min=32, max=32, dt=6.93s)
itr: 11750 lr: 8.125e-05 train loss: 0.000847 train token_acc: 0.9999 train exact_match_acc: 0.9956 (K~32.00, min=32, max=32, dt=6.93s)
itr: 12000 lr: 8.048e-05 train loss: 0.001026 train token_acc: 0.9999 train exact_match_acc: 0.9973 (K~32.00, min=32, max=32, dt=6.93s)
