training:  19%|█▉        | 7746/40000 [02:38<11:01, 48.77it/s]
itr: 0 lr: 2.494e-07 train loss: 5.558565 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.28s)
itr: 250 lr: 6.259e-05 train loss: 5.507165 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.14s)
itr: 500 lr: 1.000e-04 train loss: 4.870318 train token_acc: 0.0002 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 750 lr: 9.998e-05 train loss: 3.673708 train token_acc: 0.0054 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 1000 lr: 9.994e-05 train loss: 3.485489 train token_acc: 0.0079 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 1250 lr: 9.989e-05 train loss: 3.428385 train token_acc: 0.0100 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 1500 lr: 9.981e-05 train loss: 3.385448 train token_acc: 0.0145 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 1750 lr: 9.972e-05 train loss: 3.330059 train token_acc: 0.0225 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 2000 lr: 9.960e-05 train loss: 3.257793 train token_acc: 0.0440 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 2250 lr: 9.947e-05 train loss: 3.166529 train token_acc: 0.0693 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 2500 lr: 9.931e-05 train loss: 3.059206 train token_acc: 0.1044 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 2750 lr: 9.914e-05 train loss: 2.960981 train token_acc: 0.1335 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 3000 lr: 9.895e-05 train loss: 2.865527 train token_acc: 0.1617 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 3250 lr: 9.874e-05 train loss: 2.779718 train token_acc: 0.1885 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 3500 lr: 9.851e-05 train loss: 2.691279 train token_acc: 0.2160 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 3750 lr: 9.826e-05 train loss: 2.590669 train token_acc: 0.2473 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 4000 lr: 9.799e-05 train loss: 2.451354 train token_acc: 0.2864 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 4250 lr: 9.771e-05 train loss: 2.320356 train token_acc: 0.3256 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 4500 lr: 9.740e-05 train loss: 2.174621 train token_acc: 0.3680 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 4750 lr: 9.708e-05 train loss: 2.048226 train token_acc: 0.4102 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 5000 lr: 9.674e-05 train loss: 1.908753 train token_acc: 0.4511 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 5250 lr: 9.638e-05 train loss: 1.787272 train token_acc: 0.4847 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 5500 lr: 9.600e-05 train loss: 1.684380 train token_acc: 0.5150 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 5750 lr: 9.561e-05 train loss: 1.577630 train token_acc: 0.5449 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 6000 lr: 9.519e-05 train loss: 1.477985 train token_acc: 0.5755 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 6250 lr: 9.476e-05 train loss: 1.374619 train token_acc: 0.6033 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 6500 lr: 9.432e-05 train loss: 1.271133 train token_acc: 0.6369 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 6750 lr: 9.385e-05 train loss: 1.187233 train token_acc: 0.6625 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 7000 lr: 9.337e-05 train loss: 1.064923 train token_acc: 0.7035 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 7250 lr: 9.287e-05 train loss: 0.950947 train token_acc: 0.7376 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 7500 lr: 9.235e-05 train loss: 0.846835 train token_acc: 0.7677 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 7750 lr: 9.182e-05 train loss: 0.704315 train token_acc: 0.8151 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 8000 lr: 9.127e-05 train loss: 0.585302 train token_acc: 0.8423 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 8250 lr: 9.071e-05 train loss: 0.505685 train token_acc: 0.8630 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 8500 lr: 9.013e-05 train loss: 0.445861 train token_acc: 0.8800 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 8750 lr: 8.953e-05 train loss: 0.393356 train token_acc: 0.8942 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 9000 lr: 8.892e-05 train loss: 0.358771 train token_acc: 0.9064 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 9250 lr: 8.829e-05 train loss: 0.320311 train token_acc: 0.9173 train exact_match_acc: 0.0002 (K~32.00, min=32, max=32, dt=5.13s)
itr: 9500 lr: 8.765e-05 train loss: 0.286701 train token_acc: 0.9272 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 9750 lr: 8.700e-05 train loss: 0.250287 train token_acc: 0.9378 train exact_match_acc: 0.0054 (K~32.00, min=32, max=32, dt=5.13s)
itr: 10000 lr: 8.632e-05 train loss: 0.146424 train token_acc: 0.9662 train exact_match_acc: 0.3555 (K~32.00, min=32, max=32, dt=5.13s)
itr: 10250 lr: 8.564e-05 train loss: 0.086112 train token_acc: 0.9835 train exact_match_acc: 0.6157 (K~32.00, min=32, max=32, dt=5.13s)
itr: 10500 lr: 8.494e-05 train loss: 0.063924 train token_acc: 0.9903 train exact_match_acc: 0.7380 (K~32.00, min=32, max=32, dt=5.13s)
itr: 10750 lr: 8.423e-05 train loss: 0.043942 train token_acc: 0.9939 train exact_match_acc: 0.8232 (K~32.00, min=32, max=32, dt=5.13s)
itr: 11000 lr: 8.351e-05 train loss: 0.043552 train token_acc: 0.9952 train exact_match_acc: 0.8550 (K~32.00, min=32, max=32, dt=5.13s)
itr: 11250 lr: 8.277e-05 train loss: 0.036283 train token_acc: 0.9962 train exact_match_acc: 0.8833 (K~32.00, min=32, max=32, dt=5.13s)
itr: 11500 lr: 8.202e-05 train loss: 0.028275 train token_acc: 0.9969 train exact_match_acc: 0.9045 (K~32.00, min=32, max=32, dt=5.13s)
itr: 11750 lr: 8.125e-05 train loss: 0.027549 train token_acc: 0.9972 train exact_match_acc: 0.9119 (K~32.00, min=32, max=32, dt=5.13s)
itr: 12000 lr: 8.048e-05 train loss: 0.024795 train token_acc: 0.9975 train exact_match_acc: 0.9226 (K~32.00, min=32, max=32, dt=5.13s)
itr: 12250 lr: 7.969e-05 train loss: 0.020709 train token_acc: 0.9978 train exact_match_acc: 0.9309 (K~32.00, min=32, max=32, dt=5.13s)
itr: 12500 lr: 7.889e-05 train loss: 0.020523 train token_acc: 0.9979 train exact_match_acc: 0.9358 (K~32.00, min=32, max=32, dt=5.13s)
itr: 12750 lr: 7.808e-05 train loss: 0.014972 train token_acc: 0.9982 train exact_match_acc: 0.9434 (K~32.00, min=32, max=32, dt=5.13s)
itr: 13000 lr: 7.726e-05 train loss: 0.019082 train token_acc: 0.9980 train exact_match_acc: 0.9363 (K~32.00, min=32, max=32, dt=5.13s)
itr: 13250 lr: 7.643e-05 train loss: 0.014108 train token_acc: 0.9986 train exact_match_acc: 0.9556 (K~32.00, min=32, max=32, dt=5.13s)
itr: 13500 lr: 7.559e-05 train loss: 0.015648 train token_acc: 0.9986 train exact_match_acc: 0.9573 (K~32.00, min=32, max=32, dt=5.13s)
itr: 13750 lr: 7.474e-05 train loss: 0.012904 train token_acc: 0.9986 train exact_match_acc: 0.9556 (K~32.00, min=32, max=32, dt=5.13s)
itr: 14000 lr: 7.388e-05 train loss: 0.014007 train token_acc: 0.9985 train exact_match_acc: 0.9521 (K~32.00, min=32, max=32, dt=5.13s)
itr: 14250 lr: 7.301e-05 train loss: 0.011792 train token_acc: 0.9988 train exact_match_acc: 0.9631 (K~32.00, min=32, max=32, dt=5.13s)
itr: 14500 lr: 7.213e-05 train loss: 0.011086 train token_acc: 0.9989 train exact_match_acc: 0.9639 (K~32.00, min=32, max=32, dt=5.13s)
itr: 14750 lr: 7.124e-05 train loss: 0.011525 train token_acc: 0.9990 train exact_match_acc: 0.9683 (K~32.00, min=32, max=32, dt=5.13s)
itr: 15000 lr: 7.035e-05 train loss: 0.009291 train token_acc: 0.9991 train exact_match_acc: 0.9714 (K~32.00, min=32, max=32, dt=5.13s)
itr: 15250 lr: 6.944e-05 train loss: 0.009704 train token_acc: 0.9990 train exact_match_acc: 0.9668 (K~32.00, min=32, max=32, dt=5.13s)
itr: 15500 lr: 6.853e-05 train loss: 0.008149 train token_acc: 0.9992 train exact_match_acc: 0.9741 (K~32.00, min=32, max=32, dt=5.13s)
itr: 15750 lr: 6.761e-05 train loss: 0.008575 train token_acc: 0.9991 train exact_match_acc: 0.9714 (K~32.00, min=32, max=32, dt=5.13s)
itr: 16000 lr: 6.669e-05 train loss: 0.007307 train token_acc: 0.9991 train exact_match_acc: 0.9709 (K~32.00, min=32, max=32, dt=5.13s)
itr: 16250 lr: 6.576e-05 train loss: 0.008261 train token_acc: 0.9990 train exact_match_acc: 0.9685 (K~32.00, min=32, max=32, dt=5.13s)
itr: 16500 lr: 6.482e-05 train loss: 0.006406 train token_acc: 0.9992 train exact_match_acc: 0.9751 (K~32.00, min=32, max=32, dt=5.13s)
itr: 16750 lr: 6.388e-05 train loss: 0.008028 train token_acc: 0.9993 train exact_match_acc: 0.9766 (K~32.00, min=32, max=32, dt=5.13s)
itr: 17000 lr: 6.293e-05 train loss: 0.007257 train token_acc: 0.9992 train exact_match_acc: 0.9756 (K~32.00, min=32, max=32, dt=5.13s)
itr: 17250 lr: 6.198e-05 train loss: 0.006574 train token_acc: 0.9993 train exact_match_acc: 0.9780 (K~32.00, min=32, max=32, dt=5.13s)
itr: 17500 lr: 6.102e-05 train loss: 0.004742 train token_acc: 0.9995 train exact_match_acc: 0.9824 (K~32.00, min=32, max=32, dt=5.13s)
itr: 17750 lr: 6.006e-05 train loss: 0.005565 train token_acc: 0.9993 train exact_match_acc: 0.9783 (K~32.00, min=32, max=32, dt=5.13s)
itr: 18000 lr: 5.910e-05 train loss: 0.005242 train token_acc: 0.9995 train exact_match_acc: 0.9841 (K~32.00, min=32, max=32, dt=5.13s)
itr: 18250 lr: 5.813e-05 train loss: 0.004893 train token_acc: 0.9995 train exact_match_acc: 0.9836 (K~32.00, min=32, max=32, dt=5.13s)
itr: 18500 lr: 5.716e-05 train loss: 0.008167 train token_acc: 0.9993 train exact_match_acc: 0.9778 (K~32.00, min=32, max=32, dt=5.13s)
itr: 18750 lr: 5.618e-05 train loss: 0.004551 train token_acc: 0.9995 train exact_match_acc: 0.9854 (K~32.00, min=32, max=32, dt=5.13s)
itr: 19000 lr: 5.521e-05 train loss: 0.005299 train token_acc: 0.9995 train exact_match_acc: 0.9827 (K~32.00, min=32, max=32, dt=5.13s)
itr: 19250 lr: 5.423e-05 train loss: 0.006378 train token_acc: 0.9994 train exact_match_acc: 0.9819 (K~32.00, min=32, max=32, dt=5.13s)
itr: 19500 lr: 5.325e-05 train loss: 0.004799 train token_acc: 0.9995 train exact_match_acc: 0.9841 (K~32.00, min=32, max=32, dt=5.13s)
itr: 19750 lr: 5.227e-05 train loss: 0.004860 train token_acc: 0.9995 train exact_match_acc: 0.9839 (K~32.00, min=32, max=32, dt=5.13s)
itr: 20000 lr: 5.129e-05 train loss: 0.006299 train token_acc: 0.9996 train exact_match_acc: 0.9861 (K~32.00, min=32, max=32, dt=5.13s)
saved checkpoint: ./grid_outputs/len_gen_v256_e256_k32/task_0006/saved_models/Checkpoint_N256_d256_H1_L1_npos1_mlp0_ln0_normnone_qkn0_qkrms0_gate0_gateelem0_lenmix_trainK32to32_testK32to32_nodup1_iters20001.pt
itr: 20250 lr: 5.030e-05 train loss: 0.005481 train token_acc: 0.9996 train exact_match_acc: 0.9875 (K~32.00, min=32, max=32, dt=5.16s)
itr: 20500 lr: 4.932e-05 train loss: 0.003934 train token_acc: 0.9995 train exact_match_acc: 0.9844 (K~32.00, min=32, max=32, dt=5.13s)
itr: 20750 lr: 4.834e-05 train loss: 0.005817 train token_acc: 0.9995 train exact_match_acc: 0.9839 (K~32.00, min=32, max=32, dt=5.13s)
itr: 21000 lr: 4.736e-05 train loss: 0.003825 train token_acc: 0.9996 train exact_match_acc: 0.9875 (K~32.00, min=32, max=32, dt=5.13s)
itr: 21250 lr: 4.638e-05 train loss: 0.003833 train token_acc: 0.9996 train exact_match_acc: 0.9873 (K~32.00, min=32, max=32, dt=5.13s)
itr: 21500 lr: 4.540e-05 train loss: 0.003308 train token_acc: 0.9996 train exact_match_acc: 0.9875 (K~32.00, min=32, max=32, dt=5.13s)
itr: 21750 lr: 4.443e-05 train loss: 0.005040 train token_acc: 0.9996 train exact_match_acc: 0.9873 (K~32.00, min=32, max=32, dt=5.13s)
itr: 22000 lr: 4.346e-05 train loss: 0.003921 train token_acc: 0.9995 train exact_match_acc: 0.9846 (K~32.00, min=32, max=32, dt=5.13s)
itr: 22250 lr: 4.249e-05 train loss: 0.003438 train token_acc: 0.9997 train exact_match_acc: 0.9919 (K~32.00, min=32, max=32, dt=5.13s)
itr: 22500 lr: 4.152e-05 train loss: 0.005316 train token_acc: 0.9997 train exact_match_acc: 0.9890 (K~32.00, min=32, max=32, dt=5.13s)
itr: 22750 lr: 4.055e-05 train loss: 0.003434 train token_acc: 0.9996 train exact_match_acc: 0.9858 (K~32.00, min=32, max=32, dt=5.13s)
itr: 23000 lr: 3.959e-05 train loss: 0.002778 train token_acc: 0.9997 train exact_match_acc: 0.9919 (K~32.00, min=32, max=32, dt=5.13s)
itr: 23250 lr: 3.864e-05 train loss: 0.002810 train token_acc: 0.9997 train exact_match_acc: 0.9912 (K~32.00, min=32, max=32, dt=5.13s)
itr: 23500 lr: 3.769e-05 train loss: 0.005525 train token_acc: 0.9996 train exact_match_acc: 0.9883 (K~32.00, min=32, max=32, dt=5.13s)
itr: 23750 lr: 3.674e-05 train loss: 0.003780 train token_acc: 0.9997 train exact_match_acc: 0.9915 (K~32.00, min=32, max=32, dt=5.13s)
itr: 24000 lr: 3.580e-05 train loss: 0.003259 train token_acc: 0.9997 train exact_match_acc: 0.9910 (K~32.00, min=32, max=32, dt=5.13s)
itr: 24250 lr: 3.487e-05 train loss: 0.003284 train token_acc: 0.9997 train exact_match_acc: 0.9893 (K~32.00, min=32, max=32, dt=5.13s)
itr: 24500 lr: 3.394e-05 train loss: 0.003056 train token_acc: 0.9997 train exact_match_acc: 0.9915 (K~32.00, min=32, max=32, dt=5.13s)
itr: 24750 lr: 3.302e-05 train loss: 0.003035 train token_acc: 0.9997 train exact_match_acc: 0.9905 (K~32.00, min=32, max=32, dt=5.13s)
itr: 25000 lr: 3.210e-05 train loss: 0.001751 train token_acc: 0.9997 train exact_match_acc: 0.9907 (K~32.00, min=32, max=32, dt=5.13s)
itr: 25250 lr: 3.119e-05 train loss: 0.003582 train token_acc: 0.9997 train exact_match_acc: 0.9900 (K~32.00, min=32, max=32, dt=5.13s)
itr: 25500 lr: 3.029e-05 train loss: 0.002611 train token_acc: 0.9998 train exact_match_acc: 0.9932 (K~32.00, min=32, max=32, dt=5.13s)
itr: 25750 lr: 2.940e-05 train loss: 0.002860 train token_acc: 0.9997 train exact_match_acc: 0.9917 (K~32.00, min=32, max=32, dt=5.13s)
itr: 26000 lr: 2.852e-05 train loss: 0.002776 train token_acc: 0.9998 train exact_match_acc: 0.9937 (K~32.00, min=32, max=32, dt=5.13s)
itr: 26250 lr: 2.764e-05 train loss: 0.002395 train token_acc: 0.9998 train exact_match_acc: 0.9932 (K~32.00, min=32, max=32, dt=5.13s)
itr: 26500 lr: 2.678e-05 train loss: 0.001807 train token_acc: 0.9998 train exact_match_acc: 0.9924 (K~32.00, min=32, max=32, dt=5.13s)
itr: 26750 lr: 2.592e-05 train loss: 0.001863 train token_acc: 0.9998 train exact_match_acc: 0.9929 (K~32.00, min=32, max=32, dt=5.13s)
itr: 27000 lr: 2.507e-05 train loss: 0.002224 train token_acc: 0.9997 train exact_match_acc: 0.9915 (K~32.00, min=32, max=32, dt=5.13s)
itr: 27250 lr: 2.424e-05 train loss: 0.001587 train token_acc: 0.9998 train exact_match_acc: 0.9924 (K~32.00, min=32, max=32, dt=5.13s)
itr: 27500 lr: 2.341e-05 train loss: 0.002752 train token_acc: 0.9998 train exact_match_acc: 0.9934 (K~32.00, min=32, max=32, dt=5.13s)
itr: 27750 lr: 2.259e-05 train loss: 0.002673 train token_acc: 0.9997 train exact_match_acc: 0.9917 (K~32.00, min=32, max=32, dt=5.13s)
itr: 28000 lr: 2.179e-05 train loss: 0.002413 train token_acc: 0.9998 train exact_match_acc: 0.9939 (K~32.00, min=32, max=32, dt=5.13s)
itr: 28250 lr: 2.099e-05 train loss: 0.002085 train token_acc: 0.9997 train exact_match_acc: 0.9915 (K~32.00, min=32, max=32, dt=5.13s)
itr: 28500 lr: 2.021e-05 train loss: 0.001989 train token_acc: 0.9998 train exact_match_acc: 0.9932 (K~32.00, min=32, max=32, dt=5.13s)
itr: 28750 lr: 1.944e-05 train loss: 0.003212 train token_acc: 0.9998 train exact_match_acc: 0.9929 (K~32.00, min=32, max=32, dt=5.13s)
itr: 29000 lr: 1.868e-05 train loss: 0.002124 train token_acc: 0.9998 train exact_match_acc: 0.9927 (K~32.00, min=32, max=32, dt=5.13s)
itr: 29250 lr: 1.794e-05 train loss: 0.002898 train token_acc: 0.9998 train exact_match_acc: 0.9932 (K~32.00, min=32, max=32, dt=5.13s)
itr: 29500 lr: 1.720e-05 train loss: 0.001854 train token_acc: 0.9998 train exact_match_acc: 0.9929 (K~32.00, min=32, max=32, dt=5.13s)
itr: 29750 lr: 1.648e-05 train loss: 0.002570 train token_acc: 0.9998 train exact_match_acc: 0.9949 (K~32.00, min=32, max=32, dt=5.13s)
itr: 30000 lr: 1.578e-05 train loss: 0.002368 train token_acc: 0.9998 train exact_match_acc: 0.9951 (K~32.00, min=32, max=32, dt=5.13s)
itr: 30250 lr: 1.508e-05 train loss: 0.002117 train token_acc: 0.9998 train exact_match_acc: 0.9922 (K~32.00, min=32, max=32, dt=5.13s)
itr: 30500 lr: 1.441e-05 train loss: 0.003120 train token_acc: 0.9998 train exact_match_acc: 0.9929 (K~32.00, min=32, max=32, dt=5.13s)
itr: 30750 lr: 1.374e-05 train loss: 0.001675 train token_acc: 0.9998 train exact_match_acc: 0.9949 (K~32.00, min=32, max=32, dt=5.13s)
itr: 31000 lr: 1.309e-05 train loss: 0.001853 train token_acc: 0.9998 train exact_match_acc: 0.9934 (K~32.00, min=32, max=32, dt=5.13s)
itr: 31250 lr: 1.245e-05 train loss: 0.001490 train token_acc: 0.9998 train exact_match_acc: 0.9929 (K~32.00, min=32, max=32, dt=5.13s)
itr: 31500 lr: 1.183e-05 train loss: 0.002980 train token_acc: 0.9997 train exact_match_acc: 0.9919 (K~32.00, min=32, max=32, dt=5.13s)
itr: 31750 lr: 1.123e-05 train loss: 0.002922 train token_acc: 0.9998 train exact_match_acc: 0.9932 (K~32.00, min=32, max=32, dt=5.13s)
itr: 32000 lr: 1.064e-05 train loss: 0.001867 train token_acc: 0.9998 train exact_match_acc: 0.9949 (K~32.00, min=32, max=32, dt=5.13s)
itr: 32250 lr: 1.006e-05 train loss: 0.001777 train token_acc: 0.9998 train exact_match_acc: 0.9944 (K~32.00, min=32, max=32, dt=5.13s)
itr: 32500 lr: 9.507e-06 train loss: 0.003247 train token_acc: 0.9998 train exact_match_acc: 0.9932 (K~32.00, min=32, max=32, dt=5.13s)
itr: 32750 lr: 8.964e-06 train loss: 0.002192 train token_acc: 0.9998 train exact_match_acc: 0.9944 (K~32.00, min=32, max=32, dt=5.13s)
itr: 33000 lr: 8.439e-06 train loss: 0.002864 train token_acc: 0.9998 train exact_match_acc: 0.9934 (K~32.00, min=32, max=32, dt=5.13s)
itr: 33250 lr: 7.929e-06 train loss: 0.001713 train token_acc: 0.9999 train exact_match_acc: 0.9954 (K~32.00, min=32, max=32, dt=5.13s)
itr: 33500 lr: 7.437e-06 train loss: 0.001055 train token_acc: 0.9999 train exact_match_acc: 0.9966 (K~32.00, min=32, max=32, dt=5.13s)
itr: 33750 lr: 6.961e-06 train loss: 0.002296 train token_acc: 0.9998 train exact_match_acc: 0.9949 (K~32.00, min=32, max=32, dt=5.13s)
itr: 34000 lr: 6.503e-06 train loss: 0.003413 train token_acc: 0.9998 train exact_match_acc: 0.9924 (K~32.00, min=32, max=32, dt=5.13s)
itr: 34250 lr: 6.061e-06 train loss: 0.001030 train token_acc: 0.9999 train exact_match_acc: 0.9963 (K~32.00, min=32, max=32, dt=5.13s)
itr: 34500 lr: 5.638e-06 train loss: 0.003874 train token_acc: 0.9998 train exact_match_acc: 0.9939 (K~32.00, min=32, max=32, dt=5.13s)
itr: 34750 lr: 5.232e-06 train loss: 0.001717 train token_acc: 0.9998 train exact_match_acc: 0.9941 (K~32.00, min=32, max=32, dt=5.13s)
itr: 35000 lr: 4.843e-06 train loss: 0.002047 train token_acc: 0.9998 train exact_match_acc: 0.9944 (K~32.00, min=32, max=32, dt=5.13s)
itr: 35250 lr: 4.473e-06 train loss: 0.002141 train token_acc: 0.9998 train exact_match_acc: 0.9944 (K~32.00, min=32, max=32, dt=5.13s)
itr: 35500 lr: 4.121e-06 train loss: 0.002143 train token_acc: 0.9998 train exact_match_acc: 0.9932 (K~32.00, min=32, max=32, dt=5.13s)
itr: 35750 lr: 3.787e-06 train loss: 0.002462 train token_acc: 0.9998 train exact_match_acc: 0.9932 (K~32.00, min=32, max=32, dt=5.13s)
itr: 36000 lr: 3.471e-06 train loss: 0.002670 train token_acc: 0.9997 train exact_match_acc: 0.9917 (K~32.00, min=32, max=32, dt=5.13s)
itr: 36250 lr: 3.174e-06 train loss: 0.001273 train token_acc: 0.9999 train exact_match_acc: 0.9961 (K~32.00, min=32, max=32, dt=5.13s)
itr: 36500 lr: 2.896e-06 train loss: 0.002191 train token_acc: 0.9998 train exact_match_acc: 0.9946 (K~32.00, min=32, max=32, dt=5.13s)
itr: 36750 lr: 2.636e-06 train loss: 0.001212 train token_acc: 0.9998 train exact_match_acc: 0.9951 (K~32.00, min=32, max=32, dt=5.13s)
itr: 37000 lr: 2.395e-06 train loss: 0.002248 train token_acc: 0.9998 train exact_match_acc: 0.9951 (K~32.00, min=32, max=32, dt=5.13s)
itr: 37250 lr: 2.173e-06 train loss: 0.001804 train token_acc: 0.9998 train exact_match_acc: 0.9946 (K~32.00, min=32, max=32, dt=5.13s)
itr: 37500 lr: 1.970e-06 train loss: 0.001034 train token_acc: 0.9998 train exact_match_acc: 0.9946 (K~32.00, min=32, max=32, dt=5.13s)
itr: 37750 lr: 1.786e-06 train loss: 0.001425 train token_acc: 0.9999 train exact_match_acc: 0.9956 (K~32.00, min=32, max=32, dt=5.13s)
itr: 38000 lr: 1.622e-06 train loss: 0.001843 train token_acc: 0.9998 train exact_match_acc: 0.9941 (K~32.00, min=32, max=32, dt=5.13s)
itr: 38250 lr: 1.476e-06 train loss: 0.002090 train token_acc: 0.9998 train exact_match_acc: 0.9932 (K~32.00, min=32, max=32, dt=5.13s)
itr: 38500 lr: 1.350e-06 train loss: 0.002867 train token_acc: 0.9998 train exact_match_acc: 0.9937 (K~32.00, min=32, max=32, dt=5.13s)
itr: 38750 lr: 1.243e-06 train loss: 0.001537 train token_acc: 0.9998 train exact_match_acc: 0.9949 (K~32.00, min=32, max=32, dt=5.13s)
itr: 39000 lr: 1.156e-06 train loss: 0.000862 train token_acc: 0.9999 train exact_match_acc: 0.9976 (K~32.00, min=32, max=32, dt=5.13s)
itr: 39250 lr: 1.088e-06 train loss: 0.002110 train token_acc: 0.9998 train exact_match_acc: 0.9937 (K~32.00, min=32, max=32, dt=5.13s)
itr: 39500 lr: 1.039e-06 train loss: 0.001775 train token_acc: 0.9998 train exact_match_acc: 0.9944 (K~32.00, min=32, max=32, dt=5.13s)
