training:  19%|█▉        | 7746/40000 [02:39<11:01, 48.75it/s]
itr: 0 lr: 2.494e-07 train loss: 5.552094 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.31s)
itr: 250 lr: 6.259e-05 train loss: 5.527448 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.15s)
itr: 500 lr: 1.000e-04 train loss: 4.991243 train token_acc: 0.0116 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 750 lr: 9.998e-05 train loss: 3.842271 train token_acc: 0.0249 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 1000 lr: 9.994e-05 train loss: 3.527304 train token_acc: 0.0480 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 1250 lr: 9.989e-05 train loss: 3.422570 train token_acc: 0.0612 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 1500 lr: 9.981e-05 train loss: 3.389039 train token_acc: 0.0641 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 1750 lr: 9.972e-05 train loss: 3.368730 train token_acc: 0.0663 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 2000 lr: 9.960e-05 train loss: 3.344728 train token_acc: 0.0686 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 2250 lr: 9.947e-05 train loss: 3.330642 train token_acc: 0.0709 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 2500 lr: 9.931e-05 train loss: 3.313692 train token_acc: 0.0725 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 2750 lr: 9.914e-05 train loss: 3.302334 train token_acc: 0.0738 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 3000 lr: 9.895e-05 train loss: 3.289083 train token_acc: 0.0749 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 3250 lr: 9.874e-05 train loss: 3.278315 train token_acc: 0.0778 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 3500 lr: 9.851e-05 train loss: 3.266139 train token_acc: 0.0785 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 3750 lr: 9.826e-05 train loss: 3.250803 train token_acc: 0.0807 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 4000 lr: 9.799e-05 train loss: 3.245355 train token_acc: 0.0813 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 4250 lr: 9.771e-05 train loss: 3.229961 train token_acc: 0.0819 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 4500 lr: 9.740e-05 train loss: 3.223887 train token_acc: 0.0821 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 4750 lr: 9.708e-05 train loss: 3.215276 train token_acc: 0.0844 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 5000 lr: 9.674e-05 train loss: 3.202970 train token_acc: 0.0866 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 5250 lr: 9.638e-05 train loss: 3.194123 train token_acc: 0.0866 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
