training:  19%|█▉        | 7746/40000 [02:38<11:01, 48.77it/s]
itr: 0 lr: 2.494e-07 train loss: 5.558478 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.27s)
itr: 250 lr: 6.259e-05 train loss: 5.507486 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.15s)
itr: 500 lr: 1.000e-04 train loss: 4.810800 train token_acc: 0.0004 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 750 lr: 9.998e-05 train loss: 3.722747 train token_acc: 0.0052 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 1000 lr: 9.994e-05 train loss: 3.487038 train token_acc: 0.0079 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 1250 lr: 9.989e-05 train loss: 3.432385 train token_acc: 0.0097 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 1500 lr: 9.981e-05 train loss: 3.390861 train token_acc: 0.0132 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 1750 lr: 9.972e-05 train loss: 3.346626 train token_acc: 0.0213 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 2000 lr: 9.960e-05 train loss: 3.289671 train token_acc: 0.0401 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 2250 lr: 9.947e-05 train loss: 3.214948 train token_acc: 0.0644 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 2500 lr: 9.931e-05 train loss: 3.114215 train token_acc: 0.0952 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 2750 lr: 9.914e-05 train loss: 2.969947 train token_acc: 0.1423 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 3000 lr: 9.895e-05 train loss: 2.842248 train token_acc: 0.1773 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 3250 lr: 9.874e-05 train loss: 2.753648 train token_acc: 0.2052 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 3500 lr: 9.851e-05 train loss: 2.650272 train token_acc: 0.2380 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 3750 lr: 9.826e-05 train loss: 2.528865 train token_acc: 0.2703 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 4000 lr: 9.799e-05 train loss: 2.366706 train token_acc: 0.3207 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 4250 lr: 9.771e-05 train loss: 2.198471 train token_acc: 0.3719 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 4500 lr: 9.740e-05 train loss: 2.058046 train token_acc: 0.4129 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 4750 lr: 9.708e-05 train loss: 1.885596 train token_acc: 0.4615 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 5000 lr: 9.674e-05 train loss: 1.715710 train token_acc: 0.5131 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 5250 lr: 9.638e-05 train loss: 1.564851 train token_acc: 0.5569 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 5500 lr: 9.600e-05 train loss: 1.407116 train token_acc: 0.6028 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 5750 lr: 9.561e-05 train loss: 1.282814 train token_acc: 0.6351 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 6000 lr: 9.519e-05 train loss: 1.169694 train token_acc: 0.6665 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 6250 lr: 9.476e-05 train loss: 1.062463 train token_acc: 0.6982 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
