training:  19%|█▉        | 7746/40000 [02:39<11:01, 48.72it/s]
itr: 0 lr: 2.494e-07 train loss: 5.557844 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.28s)
itr: 250 lr: 6.259e-05 train loss: 5.507847 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.15s)
itr: 500 lr: 1.000e-04 train loss: 4.902465 train token_acc: 0.0001 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 750 lr: 9.998e-05 train loss: 3.692340 train token_acc: 0.0052 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 1000 lr: 9.994e-05 train loss: 3.488958 train token_acc: 0.0079 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 1250 lr: 9.989e-05 train loss: 3.430079 train token_acc: 0.0098 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.14s)
itr: 1500 lr: 9.981e-05 train loss: 3.380024 train token_acc: 0.0142 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 1750 lr: 9.972e-05 train loss: 3.316323 train token_acc: 0.0283 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 2000 lr: 9.960e-05 train loss: 3.232825 train token_acc: 0.0525 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.14s)
itr: 2250 lr: 9.947e-05 train loss: 3.127772 train token_acc: 0.0849 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 2500 lr: 9.931e-05 train loss: 3.010074 train token_acc: 0.1198 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 2750 lr: 9.914e-05 train loss: 2.877445 train token_acc: 0.1613 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 3000 lr: 9.895e-05 train loss: 2.723307 train token_acc: 0.2162 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 3250 lr: 9.874e-05 train loss: 2.541896 train token_acc: 0.2732 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 3500 lr: 9.851e-05 train loss: 2.311919 train token_acc: 0.3448 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
itr: 3750 lr: 9.826e-05 train loss: 2.096909 train token_acc: 0.3995 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=5.13s)
