training:  19%|█▉        | 7739/40000 [01:12<04:49, 111.31it/s]
itr: 0 lr: 2.494e-07 train loss: 4.193181 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.81s)
itr: 250 lr: 6.259e-05 train loss: 4.030699 train token_acc: 0.0101 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.30s)
itr: 500 lr: 1.000e-04 train loss: 3.478316 train token_acc: 0.0851 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.25s)
itr: 750 lr: 9.998e-05 train loss: 3.019608 train token_acc: 0.1379 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.25s)
itr: 1000 lr: 9.994e-05 train loss: 2.685508 train token_acc: 0.1771 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.25s)
itr: 1250 lr: 9.989e-05 train loss: 2.434150 train token_acc: 0.2138 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.25s)
itr: 1500 lr: 9.981e-05 train loss: 2.226268 train token_acc: 0.2466 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.25s)
itr: 1750 lr: 9.972e-05 train loss: 2.041982 train token_acc: 0.3011 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.25s)
itr: 2000 lr: 9.960e-05 train loss: 1.886558 train token_acc: 0.3478 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.25s)
itr: 2250 lr: 9.947e-05 train loss: 1.745942 train token_acc: 0.3976 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.25s)
itr: 2500 lr: 9.931e-05 train loss: 1.628018 train token_acc: 0.4426 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.25s)
itr: 2750 lr: 9.914e-05 train loss: 1.519436 train token_acc: 0.4981 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.25s)
itr: 3000 lr: 9.895e-05 train loss: 1.422627 train token_acc: 0.5380 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=2.25s)
itr: 3250 lr: 9.874e-05 train loss: 1.327808 train token_acc: 0.5715 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.25s)
itr: 3500 lr: 9.851e-05 train loss: 1.236173 train token_acc: 0.6161 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=2.25s)
itr: 3750 lr: 9.826e-05 train loss: 1.144752 train token_acc: 0.6678 train exact_match_acc: 0.0010 (K~16.00, min=16, max=16, dt=2.25s)
itr: 4000 lr: 9.799e-05 train loss: 1.047900 train token_acc: 0.7092 train exact_match_acc: 0.0027 (K~16.00, min=16, max=16, dt=2.25s)
itr: 4250 lr: 9.771e-05 train loss: 0.947768 train token_acc: 0.7471 train exact_match_acc: 0.0100 (K~16.00, min=16, max=16, dt=2.25s)
itr: 4500 lr: 9.740e-05 train loss: 0.832429 train token_acc: 0.7899 train exact_match_acc: 0.0208 (K~16.00, min=16, max=16, dt=2.25s)
itr: 4750 lr: 9.708e-05 train loss: 0.719850 train token_acc: 0.8223 train exact_match_acc: 0.0471 (K~16.00, min=16, max=16, dt=2.25s)
itr: 5000 lr: 9.674e-05 train loss: 0.621529 train token_acc: 0.8493 train exact_match_acc: 0.0791 (K~16.00, min=16, max=16, dt=2.25s)
itr: 5250 lr: 9.638e-05 train loss: 0.544482 train token_acc: 0.8676 train exact_match_acc: 0.1062 (K~16.00, min=16, max=16, dt=2.25s)
itr: 5500 lr: 9.600e-05 train loss: 0.477796 train token_acc: 0.8829 train exact_match_acc: 0.1399 (K~16.00, min=16, max=16, dt=2.25s)
itr: 5750 lr: 9.561e-05 train loss: 0.416923 train token_acc: 0.9018 train exact_match_acc: 0.2017 (K~16.00, min=16, max=16, dt=2.25s)
itr: 6000 lr: 9.519e-05 train loss: 0.373801 train token_acc: 0.9116 train exact_match_acc: 0.2327 (K~16.00, min=16, max=16, dt=2.25s)
itr: 6250 lr: 9.476e-05 train loss: 0.329054 train token_acc: 0.9244 train exact_match_acc: 0.2844 (K~16.00, min=16, max=16, dt=2.25s)
itr: 6500 lr: 9.432e-05 train loss: 0.298144 train token_acc: 0.9332 train exact_match_acc: 0.3325 (K~16.00, min=16, max=16, dt=2.25s)
itr: 6750 lr: 9.385e-05 train loss: 0.266475 train token_acc: 0.9400 train exact_match_acc: 0.3706 (K~16.00, min=16, max=16, dt=2.25s)
itr: 7000 lr: 9.337e-05 train loss: 0.241714 train token_acc: 0.9453 train exact_match_acc: 0.4146 (K~16.00, min=16, max=16, dt=2.25s)
itr: 7250 lr: 9.287e-05 train loss: 0.222265 train token_acc: 0.9523 train exact_match_acc: 0.4597 (K~16.00, min=16, max=16, dt=2.25s)
itr: 7500 lr: 9.235e-05 train loss: 0.201588 train token_acc: 0.9604 train exact_match_acc: 0.5227 (K~16.00, min=16, max=16, dt=2.25s)
itr: 7750 lr: 9.182e-05 train loss: 0.180240 train token_acc: 0.9658 train exact_match_acc: 0.5771 (K~16.00, min=16, max=16, dt=2.25s)
itr: 8000 lr: 9.127e-05 train loss: 0.163854 train token_acc: 0.9696 train exact_match_acc: 0.6108 (K~16.00, min=16, max=16, dt=2.25s)
itr: 8250 lr: 9.071e-05 train loss: 0.151281 train token_acc: 0.9715 train exact_match_acc: 0.6284 (K~16.00, min=16, max=16, dt=2.25s)
itr: 8500 lr: 9.013e-05 train loss: 0.140074 train token_acc: 0.9742 train exact_match_acc: 0.6536 (K~16.00, min=16, max=16, dt=2.25s)
itr: 8750 lr: 8.953e-05 train loss: 0.126297 train token_acc: 0.9763 train exact_match_acc: 0.6738 (K~16.00, min=16, max=16, dt=2.25s)
itr: 9000 lr: 8.892e-05 train loss: 0.114424 train token_acc: 0.9784 train exact_match_acc: 0.7043 (K~16.00, min=16, max=16, dt=2.25s)
itr: 9250 lr: 8.829e-05 train loss: 0.111726 train token_acc: 0.9798 train exact_match_acc: 0.7180 (K~16.00, min=16, max=16, dt=2.25s)
itr: 9500 lr: 8.765e-05 train loss: 0.103216 train token_acc: 0.9802 train exact_match_acc: 0.7229 (K~16.00, min=16, max=16, dt=2.25s)
itr: 9750 lr: 8.700e-05 train loss: 0.100519 train token_acc: 0.9814 train exact_match_acc: 0.7329 (K~16.00, min=16, max=16, dt=2.25s)
itr: 10000 lr: 8.632e-05 train loss: 0.095131 train token_acc: 0.9822 train exact_match_acc: 0.7451 (K~16.00, min=16, max=16, dt=2.25s)
itr: 10250 lr: 8.564e-05 train loss: 0.088386 train token_acc: 0.9836 train exact_match_acc: 0.7634 (K~16.00, min=16, max=16, dt=2.25s)
itr: 10500 lr: 8.494e-05 train loss: 0.083514 train token_acc: 0.9845 train exact_match_acc: 0.7690 (K~16.00, min=16, max=16, dt=2.25s)
itr: 10750 lr: 8.423e-05 train loss: 0.078697 train token_acc: 0.9846 train exact_match_acc: 0.7729 (K~16.00, min=16, max=16, dt=2.25s)
itr: 11000 lr: 8.351e-05 train loss: 0.077315 train token_acc: 0.9851 train exact_match_acc: 0.7769 (K~16.00, min=16, max=16, dt=2.25s)
itr: 11250 lr: 8.277e-05 train loss: 0.072115 train token_acc: 0.9862 train exact_match_acc: 0.7903 (K~16.00, min=16, max=16, dt=2.25s)
itr: 11500 lr: 8.202e-05 train loss: 0.069269 train token_acc: 0.9863 train exact_match_acc: 0.7947 (K~16.00, min=16, max=16, dt=2.25s)
itr: 11750 lr: 8.125e-05 train loss: 0.067932 train token_acc: 0.9867 train exact_match_acc: 0.8005 (K~16.00, min=16, max=16, dt=2.25s)
