training:  15%|█▍        | 5873/40000 [01:15<07:14, 78.46it/s]
itr: 0 lr: 2.494e-07 train loss: 4.182043 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.81s)
itr: 250 lr: 6.259e-05 train loss: 3.865345 train token_acc: 0.1344 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.21s)
itr: 500 lr: 1.000e-04 train loss: 3.324540 train token_acc: 0.2287 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.19s)
itr: 750 lr: 9.998e-05 train loss: 2.773787 train token_acc: 0.3709 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.19s)
itr: 1000 lr: 9.994e-05 train loss: 2.293447 train token_acc: 0.5415 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.19s)
itr: 1250 lr: 9.989e-05 train loss: 1.872866 train token_acc: 0.6809 train exact_match_acc: 0.0012 (K~16.00, min=16, max=16, dt=3.19s)
itr: 1500 lr: 9.981e-05 train loss: 1.488480 train token_acc: 0.7855 train exact_match_acc: 0.0142 (K~16.00, min=16, max=16, dt=3.19s)
itr: 1750 lr: 9.972e-05 train loss: 1.133586 train token_acc: 0.8617 train exact_match_acc: 0.0837 (K~16.00, min=16, max=16, dt=3.19s)
itr: 2000 lr: 9.960e-05 train loss: 0.818021 train token_acc: 0.9133 train exact_match_acc: 0.2102 (K~16.00, min=16, max=16, dt=3.19s)
itr: 2250 lr: 9.947e-05 train loss: 0.534226 train token_acc: 0.9574 train exact_match_acc: 0.4810 (K~16.00, min=16, max=16, dt=3.19s)
itr: 2500 lr: 9.931e-05 train loss: 0.315690 train token_acc: 0.9862 train exact_match_acc: 0.8118 (K~16.00, min=16, max=16, dt=3.19s)
itr: 2750 lr: 9.914e-05 train loss: 0.173182 train token_acc: 0.9959 train exact_match_acc: 0.9385 (K~16.00, min=16, max=16, dt=3.19s)
itr: 3000 lr: 9.895e-05 train loss: 0.092185 train token_acc: 0.9981 train exact_match_acc: 0.9705 (K~16.00, min=16, max=16, dt=3.19s)
itr: 3250 lr: 9.874e-05 train loss: 0.048467 train token_acc: 0.9993 train exact_match_acc: 0.9880 (K~16.00, min=16, max=16, dt=3.19s)
itr: 3500 lr: 9.851e-05 train loss: 0.027630 train token_acc: 0.9993 train exact_match_acc: 0.9895 (K~16.00, min=16, max=16, dt=3.19s)
itr: 3750 lr: 9.826e-05 train loss: 0.016164 train token_acc: 0.9997 train exact_match_acc: 0.9949 (K~16.00, min=16, max=16, dt=3.19s)
itr: 4000 lr: 9.799e-05 train loss: 0.009854 train token_acc: 0.9998 train exact_match_acc: 0.9963 (K~16.00, min=16, max=16, dt=3.19s)
itr: 4250 lr: 9.771e-05 train loss: 0.006558 train token_acc: 0.9998 train exact_match_acc: 0.9973 (K~16.00, min=16, max=16, dt=3.19s)
itr: 4500 lr: 9.740e-05 train loss: 0.004318 train token_acc: 0.9999 train exact_match_acc: 0.9988 (K~16.00, min=16, max=16, dt=3.19s)
itr: 4750 lr: 9.708e-05 train loss: 0.003250 train token_acc: 0.9999 train exact_match_acc: 0.9988 (K~16.00, min=16, max=16, dt=3.19s)
itr: 5000 lr: 9.674e-05 train loss: 0.002188 train token_acc: 1.0000 train exact_match_acc: 0.9993 (K~16.00, min=16, max=16, dt=3.19s)
itr: 5250 lr: 9.638e-05 train loss: 0.001586 train token_acc: 1.0000 train exact_match_acc: 0.9998 (K~16.00, min=16, max=16, dt=3.19s)
itr: 5500 lr: 9.600e-05 train loss: 0.001293 train token_acc: 0.9999 train exact_match_acc: 0.9990 (K~16.00, min=16, max=16, dt=3.19s)
itr: 5750 lr: 9.561e-05 train loss: 0.000901 train token_acc: 1.0000 train exact_match_acc: 1.0000 (K~16.00, min=16, max=16, dt=3.19s)
