training:  19%|█▉        | 7740/40000 [01:10<04:51, 110.64it/s]
itr: 0 lr: 2.494e-07 train loss: 4.491262 train token_acc: 0.0131 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.36s)
itr: 250 lr: 6.259e-05 train loss: 4.260817 train token_acc: 0.0166 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.28s)
itr: 500 lr: 1.000e-04 train loss: 3.866153 train token_acc: 0.0563 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.26s)
itr: 750 lr: 9.998e-05 train loss: 3.253529 train token_acc: 0.1329 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.26s)
itr: 1000 lr: 9.994e-05 train loss: 2.733821 train token_acc: 0.2475 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.26s)
itr: 1250 lr: 9.989e-05 train loss: 2.196002 train token_acc: 0.4118 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.26s)
itr: 1500 lr: 9.981e-05 train loss: 1.730781 train token_acc: 0.5556 train exact_match_acc: 0.0005 (K~16.00, min=16, max=16, dt=2.26s)
itr: 1750 lr: 9.972e-05 train loss: 1.314102 train token_acc: 0.6915 train exact_match_acc: 0.0012 (K~16.00, min=16, max=16, dt=2.26s)
itr: 2000 lr: 9.960e-05 train loss: 0.990541 train token_acc: 0.7805 train exact_match_acc: 0.0146 (K~16.00, min=16, max=16, dt=2.26s)
itr: 2250 lr: 9.947e-05 train loss: 0.745859 train token_acc: 0.8410 train exact_match_acc: 0.0420 (K~16.00, min=16, max=16, dt=2.26s)
itr: 2500 lr: 9.931e-05 train loss: 0.566345 train token_acc: 0.8812 train exact_match_acc: 0.0850 (K~16.00, min=16, max=16, dt=2.26s)
itr: 2750 lr: 9.914e-05 train loss: 0.439071 train token_acc: 0.9105 train exact_match_acc: 0.1357 (K~16.00, min=16, max=16, dt=2.26s)
itr: 3000 lr: 9.895e-05 train loss: 0.354836 train token_acc: 0.9286 train exact_match_acc: 0.2019 (K~16.00, min=16, max=16, dt=2.26s)
itr: 3250 lr: 9.874e-05 train loss: 0.294081 train token_acc: 0.9397 train exact_match_acc: 0.2603 (K~16.00, min=16, max=16, dt=2.26s)
itr: 3500 lr: 9.851e-05 train loss: 0.249316 train token_acc: 0.9484 train exact_match_acc: 0.3330 (K~16.00, min=16, max=16, dt=2.26s)
itr: 3750 lr: 9.826e-05 train loss: 0.219268 train token_acc: 0.9545 train exact_match_acc: 0.3879 (K~16.00, min=16, max=16, dt=2.26s)
itr: 4000 lr: 9.799e-05 train loss: 0.193674 train token_acc: 0.9619 train exact_match_acc: 0.4695 (K~16.00, min=16, max=16, dt=2.26s)
