training:  19%|█▉        | 7749/40000 [01:10<04:50, 110.95it/s]
itr: 0 lr: 2.494e-07 train loss: 4.494598 train token_acc: 0.0100 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.38s)
itr: 250 lr: 6.259e-05 train loss: 4.250021 train token_acc: 0.0168 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.27s)
itr: 500 lr: 1.000e-04 train loss: 3.796210 train token_acc: 0.0522 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.26s)
itr: 750 lr: 9.998e-05 train loss: 3.214957 train token_acc: 0.1108 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.26s)
itr: 1000 lr: 9.994e-05 train loss: 2.762364 train token_acc: 0.2095 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.26s)
itr: 1250 lr: 9.989e-05 train loss: 2.314799 train token_acc: 0.3480 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.26s)
itr: 1500 lr: 9.981e-05 train loss: 1.895015 train token_acc: 0.4856 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.26s)
itr: 1750 lr: 9.972e-05 train loss: 1.449066 train token_acc: 0.6305 train exact_match_acc: 0.0007 (K~16.00, min=16, max=16, dt=2.26s)
itr: 2000 lr: 9.960e-05 train loss: 1.077701 train token_acc: 0.7427 train exact_match_acc: 0.0068 (K~16.00, min=16, max=16, dt=2.26s)
itr: 2250 lr: 9.947e-05 train loss: 0.766917 train token_acc: 0.8312 train exact_match_acc: 0.0476 (K~16.00, min=16, max=16, dt=2.26s)
itr: 2500 lr: 9.931e-05 train loss: 0.546900 train token_acc: 0.8868 train exact_match_acc: 0.1279 (K~16.00, min=16, max=16, dt=2.26s)
itr: 2750 lr: 9.914e-05 train loss: 0.404291 train token_acc: 0.9181 train exact_match_acc: 0.2075 (K~16.00, min=16, max=16, dt=2.26s)
itr: 3000 lr: 9.895e-05 train loss: 0.297625 train token_acc: 0.9421 train exact_match_acc: 0.3367 (K~16.00, min=16, max=16, dt=2.26s)
itr: 3250 lr: 9.874e-05 train loss: 0.237565 train token_acc: 0.9530 train exact_match_acc: 0.3943 (K~16.00, min=16, max=16, dt=2.26s)
itr: 3500 lr: 9.851e-05 train loss: 0.197651 train token_acc: 0.9592 train exact_match_acc: 0.4480 (K~16.00, min=16, max=16, dt=2.26s)
itr: 3750 lr: 9.826e-05 train loss: 0.166429 train token_acc: 0.9640 train exact_match_acc: 0.5005 (K~16.00, min=16, max=16, dt=2.26s)
itr: 4000 lr: 9.799e-05 train loss: 0.148491 train token_acc: 0.9678 train exact_match_acc: 0.5466 (K~16.00, min=16, max=16, dt=2.26s)
itr: 4250 lr: 9.771e-05 train loss: 0.129209 train token_acc: 0.9724 train exact_match_acc: 0.6023 (K~16.00, min=16, max=16, dt=2.26s)
itr: 4500 lr: 9.740e-05 train loss: 0.117513 train token_acc: 0.9740 train exact_match_acc: 0.6208 (K~16.00, min=16, max=16, dt=2.26s)
itr: 4750 lr: 9.708e-05 train loss: 0.106683 train token_acc: 0.9761 train exact_match_acc: 0.6438 (K~16.00, min=16, max=16, dt=2.26s)
