training:  19%|█▉        | 7739/40000 [01:09<04:49, 111.25it/s]
itr: 0 lr: 2.494e-07 train loss: 4.204821 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.28s)
itr: 250 lr: 6.259e-05 train loss: 4.058462 train token_acc: 0.0004 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.27s)
itr: 500 lr: 1.000e-04 train loss: 3.499840 train token_acc: 0.0941 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.25s)
itr: 750 lr: 9.998e-05 train loss: 3.048327 train token_acc: 0.1438 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.25s)
itr: 1000 lr: 9.994e-05 train loss: 2.704259 train token_acc: 0.1762 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.25s)
itr: 1250 lr: 9.989e-05 train loss: 2.431210 train token_acc: 0.2121 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.25s)
itr: 1500 lr: 9.981e-05 train loss: 2.220306 train token_acc: 0.2495 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.25s)
itr: 1750 lr: 9.972e-05 train loss: 2.049503 train token_acc: 0.2807 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.25s)
itr: 2000 lr: 9.960e-05 train loss: 1.910183 train token_acc: 0.3168 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.25s)
itr: 2250 lr: 9.947e-05 train loss: 1.784927 train token_acc: 0.3656 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.25s)
itr: 2500 lr: 9.931e-05 train loss: 1.668682 train token_acc: 0.4199 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.25s)
itr: 2750 lr: 9.914e-05 train loss: 1.556952 train token_acc: 0.4686 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.25s)
itr: 3000 lr: 9.895e-05 train loss: 1.454470 train token_acc: 0.5131 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=2.25s)
itr: 3250 lr: 9.874e-05 train loss: 1.355768 train token_acc: 0.5615 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=2.25s)
itr: 3500 lr: 9.851e-05 train loss: 1.257635 train token_acc: 0.6178 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=2.25s)
itr: 3750 lr: 9.826e-05 train loss: 1.168288 train token_acc: 0.6541 train exact_match_acc: 0.0005 (K~16.00, min=16, max=16, dt=2.25s)
itr: 4000 lr: 9.799e-05 train loss: 1.088876 train token_acc: 0.6873 train exact_match_acc: 0.0022 (K~16.00, min=16, max=16, dt=2.25s)
itr: 4250 lr: 9.771e-05 train loss: 1.013533 train token_acc: 0.7150 train exact_match_acc: 0.0027 (K~16.00, min=16, max=16, dt=2.25s)
itr: 4500 lr: 9.740e-05 train loss: 0.943645 train token_acc: 0.7410 train exact_match_acc: 0.0063 (K~16.00, min=16, max=16, dt=2.25s)
itr: 4750 lr: 9.708e-05 train loss: 0.882440 train token_acc: 0.7625 train exact_match_acc: 0.0093 (K~16.00, min=16, max=16, dt=2.25s)
itr: 5000 lr: 9.674e-05 train loss: 0.824672 train token_acc: 0.7840 train exact_match_acc: 0.0132 (K~16.00, min=16, max=16, dt=2.25s)
itr: 5250 lr: 9.638e-05 train loss: 0.775477 train token_acc: 0.7973 train exact_match_acc: 0.0225 (K~16.00, min=16, max=16, dt=2.25s)
itr: 5500 lr: 9.600e-05 train loss: 0.727689 train token_acc: 0.8151 train exact_match_acc: 0.0305 (K~16.00, min=16, max=16, dt=2.25s)
itr: 5750 lr: 9.561e-05 train loss: 0.683770 train token_acc: 0.8266 train exact_match_acc: 0.0381 (K~16.00, min=16, max=16, dt=2.25s)
itr: 6000 lr: 9.519e-05 train loss: 0.643972 train token_acc: 0.8432 train exact_match_acc: 0.0571 (K~16.00, min=16, max=16, dt=2.25s)
itr: 6250 lr: 9.476e-05 train loss: 0.598221 train token_acc: 0.8570 train exact_match_acc: 0.0718 (K~16.00, min=16, max=16, dt=2.25s)
itr: 6500 lr: 9.432e-05 train loss: 0.569268 train token_acc: 0.8645 train exact_match_acc: 0.0852 (K~16.00, min=16, max=16, dt=2.25s)
itr: 6750 lr: 9.385e-05 train loss: 0.532522 train token_acc: 0.8759 train exact_match_acc: 0.0984 (K~16.00, min=16, max=16, dt=2.25s)
itr: 7000 lr: 9.337e-05 train loss: 0.498886 train token_acc: 0.8863 train exact_match_acc: 0.1235 (K~16.00, min=16, max=16, dt=2.25s)
itr: 7250 lr: 9.287e-05 train loss: 0.472671 train token_acc: 0.8916 train exact_match_acc: 0.1445 (K~16.00, min=16, max=16, dt=2.25s)
itr: 7500 lr: 9.235e-05 train loss: 0.451589 train token_acc: 0.8986 train exact_match_acc: 0.1582 (K~16.00, min=16, max=16, dt=2.25s)
itr: 7750 lr: 9.182e-05 train loss: 0.426440 train token_acc: 0.9029 train exact_match_acc: 0.1697 (K~16.00, min=16, max=16, dt=2.25s)
itr: 8000 lr: 9.127e-05 train loss: 0.406411 train token_acc: 0.9077 train exact_match_acc: 0.1865 (K~16.00, min=16, max=16, dt=2.25s)
itr: 8250 lr: 9.071e-05 train loss: 0.384193 train token_acc: 0.9143 train exact_match_acc: 0.2139 (K~16.00, min=16, max=16, dt=2.25s)
itr: 8500 lr: 9.013e-05 train loss: 0.364940 train token_acc: 0.9205 train exact_match_acc: 0.2317 (K~16.00, min=16, max=16, dt=2.25s)
itr: 8750 lr: 8.953e-05 train loss: 0.351535 train token_acc: 0.9221 train exact_match_acc: 0.2505 (K~16.00, min=16, max=16, dt=2.25s)
