training:  19%|█▉        | 7739/40000 [01:10<04:50, 111.15it/s]
itr: 0 lr: 2.494e-07 train loss: 4.188575 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.25s)
itr: 250 lr: 6.259e-05 train loss: 4.026199 train token_acc: 0.0106 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.28s)
itr: 500 lr: 1.000e-04 train loss: 3.474399 train token_acc: 0.0877 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.25s)
itr: 750 lr: 9.998e-05 train loss: 3.027938 train token_acc: 0.1356 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.25s)
itr: 1000 lr: 9.994e-05 train loss: 2.696298 train token_acc: 0.1764 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.25s)
itr: 1250 lr: 9.989e-05 train loss: 2.435745 train token_acc: 0.2167 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.25s)
itr: 1500 lr: 9.981e-05 train loss: 2.220254 train token_acc: 0.2607 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.25s)
itr: 1750 lr: 9.972e-05 train loss: 2.030461 train token_acc: 0.3120 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.25s)
itr: 2000 lr: 9.960e-05 train loss: 1.870451 train token_acc: 0.3719 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.25s)
itr: 2250 lr: 9.947e-05 train loss: 1.719799 train token_acc: 0.4303 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.25s)
itr: 2500 lr: 9.931e-05 train loss: 1.581757 train token_acc: 0.4942 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.25s)
itr: 2750 lr: 9.914e-05 train loss: 1.453325 train token_acc: 0.5496 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.25s)
itr: 3000 lr: 9.895e-05 train loss: 1.325244 train token_acc: 0.6050 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.25s)
itr: 3250 lr: 9.874e-05 train loss: 1.199283 train token_acc: 0.6547 train exact_match_acc: 0.0010 (K~16.00, min=16, max=16, dt=2.25s)
itr: 3500 lr: 9.851e-05 train loss: 1.065214 train token_acc: 0.7094 train exact_match_acc: 0.0034 (K~16.00, min=16, max=16, dt=2.25s)
itr: 3750 lr: 9.826e-05 train loss: 0.924574 train token_acc: 0.7651 train exact_match_acc: 0.0159 (K~16.00, min=16, max=16, dt=2.25s)
itr: 4000 lr: 9.799e-05 train loss: 0.787949 train token_acc: 0.8187 train exact_match_acc: 0.0481 (K~16.00, min=16, max=16, dt=2.25s)
itr: 4250 lr: 9.771e-05 train loss: 0.659165 train token_acc: 0.8570 train exact_match_acc: 0.1028 (K~16.00, min=16, max=16, dt=2.25s)
itr: 4500 lr: 9.740e-05 train loss: 0.552638 train token_acc: 0.8860 train exact_match_acc: 0.1506 (K~16.00, min=16, max=16, dt=2.25s)
itr: 4750 lr: 9.708e-05 train loss: 0.454138 train token_acc: 0.9087 train exact_match_acc: 0.2251 (K~16.00, min=16, max=16, dt=2.25s)
itr: 5000 lr: 9.674e-05 train loss: 0.372898 train token_acc: 0.9280 train exact_match_acc: 0.3184 (K~16.00, min=16, max=16, dt=2.25s)
itr: 5250 lr: 9.638e-05 train loss: 0.298802 train token_acc: 0.9483 train exact_match_acc: 0.4453 (K~16.00, min=16, max=16, dt=2.25s)
itr: 5500 lr: 9.600e-05 train loss: 0.249196 train token_acc: 0.9585 train exact_match_acc: 0.5093 (K~16.00, min=16, max=16, dt=2.25s)
itr: 5750 lr: 9.561e-05 train loss: 0.202882 train token_acc: 0.9670 train exact_match_acc: 0.5942 (K~16.00, min=16, max=16, dt=2.25s)
itr: 6000 lr: 9.519e-05 train loss: 0.168026 train token_acc: 0.9737 train exact_match_acc: 0.6624 (K~16.00, min=16, max=16, dt=2.25s)
itr: 6250 lr: 9.476e-05 train loss: 0.135468 train token_acc: 0.9791 train exact_match_acc: 0.7183 (K~16.00, min=16, max=16, dt=2.25s)
itr: 6500 lr: 9.432e-05 train loss: 0.114243 train token_acc: 0.9836 train exact_match_acc: 0.7695 (K~16.00, min=16, max=16, dt=2.25s)
itr: 6750 lr: 9.385e-05 train loss: 0.097669 train token_acc: 0.9870 train exact_match_acc: 0.8086 (K~16.00, min=16, max=16, dt=2.25s)
itr: 7000 lr: 9.337e-05 train loss: 0.082287 train token_acc: 0.9886 train exact_match_acc: 0.8337 (K~16.00, min=16, max=16, dt=2.25s)
itr: 7250 lr: 9.287e-05 train loss: 0.070996 train token_acc: 0.9903 train exact_match_acc: 0.8557 (K~16.00, min=16, max=16, dt=2.25s)
itr: 7500 lr: 9.235e-05 train loss: 0.062722 train token_acc: 0.9920 train exact_match_acc: 0.8779 (K~16.00, min=16, max=16, dt=2.25s)
itr: 7750 lr: 9.182e-05 train loss: 0.055131 train token_acc: 0.9933 train exact_match_acc: 0.8999 (K~16.00, min=16, max=16, dt=2.25s)
itr: 8000 lr: 9.127e-05 train loss: 0.049162 train token_acc: 0.9943 train exact_match_acc: 0.9153 (K~16.00, min=16, max=16, dt=2.25s)
itr: 8250 lr: 9.071e-05 train loss: 0.043007 train token_acc: 0.9953 train exact_match_acc: 0.9258 (K~16.00, min=16, max=16, dt=2.25s)
itr: 8500 lr: 9.013e-05 train loss: 0.039255 train token_acc: 0.9957 train exact_match_acc: 0.9324 (K~16.00, min=16, max=16, dt=2.25s)
itr: 8750 lr: 8.953e-05 train loss: 0.036708 train token_acc: 0.9958 train exact_match_acc: 0.9336 (K~16.00, min=16, max=16, dt=2.25s)
itr: 9000 lr: 8.892e-05 train loss: 0.032317 train token_acc: 0.9968 train exact_match_acc: 0.9490 (K~16.00, min=16, max=16, dt=2.25s)
itr: 9250 lr: 8.829e-05 train loss: 0.031056 train token_acc: 0.9965 train exact_match_acc: 0.9451 (K~16.00, min=16, max=16, dt=2.25s)
itr: 9500 lr: 8.765e-05 train loss: 0.026946 train token_acc: 0.9970 train exact_match_acc: 0.9526 (K~16.00, min=16, max=16, dt=2.25s)
itr: 9750 lr: 8.700e-05 train loss: 0.023701 train token_acc: 0.9974 train exact_match_acc: 0.9583 (K~16.00, min=16, max=16, dt=2.25s)
itr: 10000 lr: 8.632e-05 train loss: 0.022761 train token_acc: 0.9973 train exact_match_acc: 0.9573 (K~16.00, min=16, max=16, dt=2.25s)
itr: 10250 lr: 8.564e-05 train loss: 0.019822 train token_acc: 0.9977 train exact_match_acc: 0.9639 (K~16.00, min=16, max=16, dt=2.25s)
itr: 10500 lr: 8.494e-05 train loss: 0.018822 train token_acc: 0.9978 train exact_match_acc: 0.9644 (K~16.00, min=16, max=16, dt=2.25s)
itr: 10750 lr: 8.423e-05 train loss: 0.018798 train token_acc: 0.9977 train exact_match_acc: 0.9636 (K~16.00, min=16, max=16, dt=2.25s)
itr: 11000 lr: 8.351e-05 train loss: 0.018077 train token_acc: 0.9978 train exact_match_acc: 0.9648 (K~16.00, min=16, max=16, dt=2.25s)
itr: 11250 lr: 8.277e-05 train loss: 0.014092 train token_acc: 0.9982 train exact_match_acc: 0.9714 (K~16.00, min=16, max=16, dt=2.25s)
itr: 11500 lr: 8.202e-05 train loss: 0.015774 train token_acc: 0.9980 train exact_match_acc: 0.9675 (K~16.00, min=16, max=16, dt=2.25s)
itr: 11750 lr: 8.125e-05 train loss: 0.013444 train token_acc: 0.9983 train exact_match_acc: 0.9734 (K~16.00, min=16, max=16, dt=2.25s)
