training:  19%|█▉        | 7743/40000 [01:38<06:51, 78.46it/s]
itr: 0 lr: 2.494e-07 train loss: 4.506308 train token_acc: 0.0152 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 4.097528 train token_acc: 0.0371 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.21s)
itr: 500 lr: 1.000e-04 train loss: 3.147871 train token_acc: 0.1996 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.19s)
itr: 750 lr: 9.998e-05 train loss: 2.437627 train token_acc: 0.3671 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=3.19s)
itr: 1000 lr: 9.994e-05 train loss: 1.749693 train token_acc: 0.6022 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=3.19s)
itr: 1250 lr: 9.989e-05 train loss: 1.055646 train token_acc: 0.8295 train exact_match_acc: 0.0396 (K~16.00, min=16, max=16, dt=3.19s)
itr: 1500 lr: 9.981e-05 train loss: 0.584344 train token_acc: 0.9374 train exact_match_acc: 0.3413 (K~16.00, min=16, max=16, dt=3.19s)
itr: 1750 lr: 9.972e-05 train loss: 0.305607 train token_acc: 0.9749 train exact_match_acc: 0.6494 (K~16.00, min=16, max=16, dt=3.19s)
itr: 2000 lr: 9.960e-05 train loss: 0.167264 train token_acc: 0.9861 train exact_match_acc: 0.7886 (K~16.00, min=16, max=16, dt=3.19s)
itr: 2250 lr: 9.947e-05 train loss: 0.092820 train token_acc: 0.9926 train exact_match_acc: 0.8850 (K~16.00, min=16, max=16, dt=3.19s)
itr: 2500 lr: 9.931e-05 train loss: 0.054022 train token_acc: 0.9958 train exact_match_acc: 0.9333 (K~16.00, min=16, max=16, dt=3.19s)
itr: 2750 lr: 9.914e-05 train loss: 0.036177 train token_acc: 0.9965 train exact_match_acc: 0.9441 (K~16.00, min=16, max=16, dt=3.19s)
itr: 3000 lr: 9.895e-05 train loss: 0.022675 train token_acc: 0.9977 train exact_match_acc: 0.9631 (K~16.00, min=16, max=16, dt=3.19s)
itr: 3250 lr: 9.874e-05 train loss: 0.016118 train token_acc: 0.9984 train exact_match_acc: 0.9741 (K~16.00, min=16, max=16, dt=3.19s)
itr: 3500 lr: 9.851e-05 train loss: 0.011831 train token_acc: 0.9987 train exact_match_acc: 0.9792 (K~16.00, min=16, max=16, dt=3.19s)
itr: 3750 lr: 9.826e-05 train loss: 0.008975 train token_acc: 0.9989 train exact_match_acc: 0.9819 (K~16.00, min=16, max=16, dt=3.19s)
itr: 4000 lr: 9.799e-05 train loss: 0.007885 train token_acc: 0.9988 train exact_match_acc: 0.9812 (K~16.00, min=16, max=16, dt=3.19s)
itr: 4250 lr: 9.771e-05 train loss: 0.005534 train token_acc: 0.9991 train exact_match_acc: 0.9849 (K~16.00, min=16, max=16, dt=3.19s)
itr: 4500 lr: 9.740e-05 train loss: 0.004401 train token_acc: 0.9993 train exact_match_acc: 0.9883 (K~16.00, min=16, max=16, dt=3.19s)
itr: 4750 lr: 9.708e-05 train loss: 0.003801 train token_acc: 0.9993 train exact_match_acc: 0.9885 (K~16.00, min=16, max=16, dt=3.19s)
itr: 5000 lr: 9.674e-05 train loss: 0.004131 train token_acc: 0.9990 train exact_match_acc: 0.9846 (K~16.00, min=16, max=16, dt=3.19s)
itr: 5250 lr: 9.638e-05 train loss: 0.003464 train token_acc: 0.9993 train exact_match_acc: 0.9880 (K~16.00, min=16, max=16, dt=3.19s)
itr: 5500 lr: 9.600e-05 train loss: 0.003391 train token_acc: 0.9992 train exact_match_acc: 0.9875 (K~16.00, min=16, max=16, dt=3.19s)
itr: 5750 lr: 9.561e-05 train loss: 0.003230 train token_acc: 0.9992 train exact_match_acc: 0.9868 (K~16.00, min=16, max=16, dt=3.19s)
itr: 6000 lr: 9.519e-05 train loss: 0.002593 train token_acc: 0.9993 train exact_match_acc: 0.9885 (K~16.00, min=16, max=16, dt=3.19s)
