training:  19%|█▉        | 7739/40000 [01:10<04:50, 111.09it/s]
itr: 0 lr: 2.494e-07 train loss: 4.520269 train token_acc: 0.0137 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 4.267231 train token_acc: 0.0187 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.27s)
itr: 500 lr: 1.000e-04 train loss: 3.792711 train token_acc: 0.0622 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.26s)
itr: 750 lr: 9.998e-05 train loss: 3.215916 train token_acc: 0.1209 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.26s)
itr: 1000 lr: 9.994e-05 train loss: 2.737377 train token_acc: 0.2277 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.26s)
itr: 1250 lr: 9.989e-05 train loss: 2.293475 train token_acc: 0.3619 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.26s)
itr: 1500 lr: 9.981e-05 train loss: 1.916178 train token_acc: 0.4694 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.26s)
itr: 1750 lr: 9.972e-05 train loss: 1.541163 train token_acc: 0.5805 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.26s)
itr: 2000 lr: 9.960e-05 train loss: 1.206351 train token_acc: 0.6845 train exact_match_acc: 0.0010 (K~16.00, min=16, max=16, dt=2.26s)
itr: 2250 lr: 9.947e-05 train loss: 0.939121 train token_acc: 0.7652 train exact_match_acc: 0.0129 (K~16.00, min=16, max=16, dt=2.26s)
itr: 2500 lr: 9.931e-05 train loss: 0.737231 train token_acc: 0.8204 train exact_match_acc: 0.0312 (K~16.00, min=16, max=16, dt=2.25s)
itr: 2750 lr: 9.914e-05 train loss: 0.580035 train token_acc: 0.8637 train exact_match_acc: 0.0776 (K~16.00, min=16, max=16, dt=2.26s)
itr: 3000 lr: 9.895e-05 train loss: 0.460562 train token_acc: 0.8953 train exact_match_acc: 0.1501 (K~16.00, min=16, max=16, dt=2.26s)
itr: 3250 lr: 9.874e-05 train loss: 0.371762 train token_acc: 0.9181 train exact_match_acc: 0.2305 (K~16.00, min=16, max=16, dt=2.26s)
itr: 3500 lr: 9.851e-05 train loss: 0.301608 train token_acc: 0.9345 train exact_match_acc: 0.3237 (K~16.00, min=16, max=16, dt=2.26s)
itr: 3750 lr: 9.826e-05 train loss: 0.254344 train token_acc: 0.9468 train exact_match_acc: 0.3896 (K~16.00, min=16, max=16, dt=2.25s)
itr: 4000 lr: 9.799e-05 train loss: 0.216717 train token_acc: 0.9552 train exact_match_acc: 0.4490 (K~16.00, min=16, max=16, dt=2.26s)
