training:  19%|█▉        | 7745/40000 [00:49<03:19, 162.01it/s]
itr: 0 lr: 2.494e-07 train loss: 4.187656 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.64s)
itr: 250 lr: 6.259e-05 train loss: 4.125548 train token_acc: 0.0005 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.59s)
itr: 500 lr: 1.000e-04 train loss: 3.766415 train token_acc: 0.0608 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.54s)
itr: 750 lr: 9.998e-05 train loss: 2.983027 train token_acc: 0.1229 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 1000 lr: 9.994e-05 train loss: 2.370560 train token_acc: 0.2085 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 1250 lr: 9.989e-05 train loss: 2.169527 train token_acc: 0.2548 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 1500 lr: 9.981e-05 train loss: 2.024039 train token_acc: 0.3004 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 1750 lr: 9.972e-05 train loss: 1.847565 train token_acc: 0.3670 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 2000 lr: 9.960e-05 train loss: 1.660040 train token_acc: 0.4356 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 2250 lr: 9.947e-05 train loss: 1.457067 train token_acc: 0.5103 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 2500 lr: 9.931e-05 train loss: 1.248752 train token_acc: 0.5874 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 2750 lr: 9.914e-05 train loss: 1.043590 train token_acc: 0.6560 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 3000 lr: 9.895e-05 train loss: 0.875100 train token_acc: 0.7168 train exact_match_acc: 0.0010 (K~16.00, min=16, max=16, dt=1.55s)
itr: 3250 lr: 9.874e-05 train loss: 0.711500 train token_acc: 0.7742 train exact_match_acc: 0.0071 (K~16.00, min=16, max=16, dt=1.55s)
itr: 3500 lr: 9.851e-05 train loss: 0.581637 train token_acc: 0.8182 train exact_match_acc: 0.0222 (K~16.00, min=16, max=16, dt=1.55s)
itr: 3750 lr: 9.826e-05 train loss: 0.483922 train token_acc: 0.8515 train exact_match_acc: 0.0481 (K~16.00, min=16, max=16, dt=1.55s)
itr: 4000 lr: 9.799e-05 train loss: 0.393378 train token_acc: 0.8805 train exact_match_acc: 0.1013 (K~16.00, min=16, max=16, dt=1.55s)
itr: 4250 lr: 9.771e-05 train loss: 0.311299 train token_acc: 0.9077 train exact_match_acc: 0.1904 (K~16.00, min=16, max=16, dt=1.55s)
itr: 4500 lr: 9.740e-05 train loss: 0.243923 train token_acc: 0.9310 train exact_match_acc: 0.3101 (K~16.00, min=16, max=16, dt=1.55s)
itr: 4750 lr: 9.708e-05 train loss: 0.190143 train token_acc: 0.9473 train exact_match_acc: 0.4109 (K~16.00, min=16, max=16, dt=1.55s)
itr: 5000 lr: 9.674e-05 train loss: 0.155136 train token_acc: 0.9608 train exact_match_acc: 0.5303 (K~16.00, min=16, max=16, dt=1.55s)
itr: 5250 lr: 9.638e-05 train loss: 0.127940 train token_acc: 0.9688 train exact_match_acc: 0.5962 (K~16.00, min=16, max=16, dt=1.55s)
itr: 5500 lr: 9.600e-05 train loss: 0.102582 train token_acc: 0.9757 train exact_match_acc: 0.6729 (K~16.00, min=16, max=16, dt=1.55s)
itr: 5750 lr: 9.561e-05 train loss: 0.086218 train token_acc: 0.9806 train exact_match_acc: 0.7297 (K~16.00, min=16, max=16, dt=1.55s)
itr: 6000 lr: 9.519e-05 train loss: 0.074059 train token_acc: 0.9836 train exact_match_acc: 0.7629 (K~16.00, min=16, max=16, dt=1.55s)
itr: 6250 lr: 9.476e-05 train loss: 0.059209 train token_acc: 0.9870 train exact_match_acc: 0.8123 (K~16.00, min=16, max=16, dt=1.55s)
itr: 6500 lr: 9.432e-05 train loss: 0.052600 train token_acc: 0.9886 train exact_match_acc: 0.8335 (K~16.00, min=16, max=16, dt=1.55s)
itr: 6750 lr: 9.385e-05 train loss: 0.045021 train token_acc: 0.9904 train exact_match_acc: 0.8562 (K~16.00, min=16, max=16, dt=1.55s)
itr: 7000 lr: 9.337e-05 train loss: 0.034803 train token_acc: 0.9926 train exact_match_acc: 0.8879 (K~16.00, min=16, max=16, dt=1.55s)
itr: 7250 lr: 9.287e-05 train loss: 0.030339 train token_acc: 0.9937 train exact_match_acc: 0.9048 (K~16.00, min=16, max=16, dt=1.55s)
itr: 7500 lr: 9.235e-05 train loss: 0.029295 train token_acc: 0.9937 train exact_match_acc: 0.9043 (K~16.00, min=16, max=16, dt=1.55s)
itr: 7750 lr: 9.182e-05 train loss: 0.025339 train token_acc: 0.9948 train exact_match_acc: 0.9202 (K~16.00, min=16, max=16, dt=1.55s)
itr: 8000 lr: 9.127e-05 train loss: 0.021019 train token_acc: 0.9955 train exact_match_acc: 0.9304 (K~16.00, min=16, max=16, dt=1.55s)
itr: 8250 lr: 9.071e-05 train loss: 0.020667 train token_acc: 0.9962 train exact_match_acc: 0.9397 (K~16.00, min=16, max=16, dt=1.55s)
itr: 8500 lr: 9.013e-05 train loss: 0.017710 train token_acc: 0.9966 train exact_match_acc: 0.9468 (K~16.00, min=16, max=16, dt=1.55s)
itr: 8750 lr: 8.953e-05 train loss: 0.016133 train token_acc: 0.9970 train exact_match_acc: 0.9531 (K~16.00, min=16, max=16, dt=1.55s)
itr: 9000 lr: 8.892e-05 train loss: 0.013470 train token_acc: 0.9975 train exact_match_acc: 0.9612 (K~16.00, min=16, max=16, dt=1.55s)
itr: 9250 lr: 8.829e-05 train loss: 0.011859 train token_acc: 0.9975 train exact_match_acc: 0.9602 (K~16.00, min=16, max=16, dt=1.55s)
itr: 9500 lr: 8.765e-05 train loss: 0.010992 train token_acc: 0.9979 train exact_match_acc: 0.9673 (K~16.00, min=16, max=16, dt=1.55s)
itr: 9750 lr: 8.700e-05 train loss: 0.009693 train token_acc: 0.9978 train exact_match_acc: 0.9658 (K~16.00, min=16, max=16, dt=1.55s)
itr: 10000 lr: 8.632e-05 train loss: 0.009369 train token_acc: 0.9980 train exact_match_acc: 0.9688 (K~16.00, min=16, max=16, dt=1.55s)
itr: 10250 lr: 8.564e-05 train loss: 0.009188 train token_acc: 0.9980 train exact_match_acc: 0.9680 (K~16.00, min=16, max=16, dt=1.55s)
itr: 10500 lr: 8.494e-05 train loss: 0.008635 train token_acc: 0.9984 train exact_match_acc: 0.9751 (K~16.00, min=16, max=16, dt=1.55s)
itr: 10750 lr: 8.423e-05 train loss: 0.007209 train token_acc: 0.9984 train exact_match_acc: 0.9761 (K~16.00, min=16, max=16, dt=1.55s)
itr: 11000 lr: 8.351e-05 train loss: 0.008032 train token_acc: 0.9986 train exact_match_acc: 0.9775 (K~16.00, min=16, max=16, dt=1.55s)
itr: 11250 lr: 8.277e-05 train loss: 0.005164 train token_acc: 0.9989 train exact_match_acc: 0.9832 (K~16.00, min=16, max=16, dt=1.55s)
itr: 11500 lr: 8.202e-05 train loss: 0.005089 train token_acc: 0.9990 train exact_match_acc: 0.9836 (K~16.00, min=16, max=16, dt=1.55s)
itr: 11750 lr: 8.125e-05 train loss: 0.006214 train token_acc: 0.9988 train exact_match_acc: 0.9807 (K~16.00, min=16, max=16, dt=1.55s)
itr: 12000 lr: 8.048e-05 train loss: 0.005911 train token_acc: 0.9989 train exact_match_acc: 0.9832 (K~16.00, min=16, max=16, dt=1.55s)
itr: 12250 lr: 7.969e-05 train loss: 0.005171 train token_acc: 0.9991 train exact_match_acc: 0.9851 (K~16.00, min=16, max=16, dt=1.55s)
itr: 12500 lr: 7.889e-05 train loss: 0.005038 train token_acc: 0.9992 train exact_match_acc: 0.9868 (K~16.00, min=16, max=16, dt=1.55s)
itr: 12750 lr: 7.808e-05 train loss: 0.004182 train token_acc: 0.9991 train exact_match_acc: 0.9851 (K~16.00, min=16, max=16, dt=1.55s)
itr: 13000 lr: 7.726e-05 train loss: 0.004442 train token_acc: 0.9991 train exact_match_acc: 0.9861 (K~16.00, min=16, max=16, dt=1.55s)
itr: 13250 lr: 7.643e-05 train loss: 0.003644 train token_acc: 0.9992 train exact_match_acc: 0.9875 (K~16.00, min=16, max=16, dt=1.55s)
itr: 13500 lr: 7.559e-05 train loss: 0.004327 train token_acc: 0.9992 train exact_match_acc: 0.9878 (K~16.00, min=16, max=16, dt=1.55s)
itr: 13750 lr: 7.474e-05 train loss: 0.003928 train token_acc: 0.9992 train exact_match_acc: 0.9871 (K~16.00, min=16, max=16, dt=1.55s)
itr: 14000 lr: 7.388e-05 train loss: 0.003980 train token_acc: 0.9992 train exact_match_acc: 0.9878 (K~16.00, min=16, max=16, dt=1.55s)
itr: 14250 lr: 7.301e-05 train loss: 0.002854 train token_acc: 0.9995 train exact_match_acc: 0.9917 (K~16.00, min=16, max=16, dt=1.55s)
itr: 14500 lr: 7.213e-05 train loss: 0.003670 train token_acc: 0.9994 train exact_match_acc: 0.9900 (K~16.00, min=16, max=16, dt=1.55s)
itr: 14750 lr: 7.124e-05 train loss: 0.002668 train token_acc: 0.9995 train exact_match_acc: 0.9919 (K~16.00, min=16, max=16, dt=1.55s)
