training:  19%|█▉        | 7745/40000 [00:48<03:19, 161.87it/s]
itr: 0 lr: 2.494e-07 train loss: 4.220928 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.37s)
itr: 250 lr: 6.259e-05 train loss: 4.166707 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.58s)
itr: 500 lr: 1.000e-04 train loss: 3.896087 train token_acc: 0.0497 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.54s)
itr: 750 lr: 9.998e-05 train loss: 3.147492 train token_acc: 0.1286 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 1000 lr: 9.994e-05 train loss: 2.418577 train token_acc: 0.2146 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 1250 lr: 9.989e-05 train loss: 2.034415 train token_acc: 0.3119 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 1500 lr: 9.981e-05 train loss: 1.667619 train token_acc: 0.4337 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 1750 lr: 9.972e-05 train loss: 1.206831 train token_acc: 0.5994 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 2000 lr: 9.960e-05 train loss: 0.833503 train token_acc: 0.7406 train exact_match_acc: 0.0083 (K~16.00, min=16, max=16, dt=1.55s)
itr: 2250 lr: 9.947e-05 train loss: 0.578634 train token_acc: 0.8352 train exact_match_acc: 0.0476 (K~16.00, min=16, max=16, dt=1.55s)
itr: 2500 lr: 9.931e-05 train loss: 0.408455 train token_acc: 0.8933 train exact_match_acc: 0.1638 (K~16.00, min=16, max=16, dt=1.55s)
itr: 2750 lr: 9.914e-05 train loss: 0.293203 train token_acc: 0.9281 train exact_match_acc: 0.3010 (K~16.00, min=16, max=16, dt=1.55s)
itr: 3000 lr: 9.895e-05 train loss: 0.230474 train token_acc: 0.9513 train exact_match_acc: 0.4421 (K~16.00, min=16, max=16, dt=1.55s)
itr: 3250 lr: 9.874e-05 train loss: 0.175929 train token_acc: 0.9652 train exact_match_acc: 0.5615 (K~16.00, min=16, max=16, dt=1.55s)
itr: 3500 lr: 9.851e-05 train loss: 0.140448 train token_acc: 0.9743 train exact_match_acc: 0.6509 (K~16.00, min=16, max=16, dt=1.55s)
itr: 3750 lr: 9.826e-05 train loss: 0.115474 train token_acc: 0.9795 train exact_match_acc: 0.7109 (K~16.00, min=16, max=16, dt=1.55s)
itr: 4000 lr: 9.799e-05 train loss: 0.085095 train token_acc: 0.9846 train exact_match_acc: 0.7759 (K~16.00, min=16, max=16, dt=1.55s)
itr: 4250 lr: 9.771e-05 train loss: 0.072129 train token_acc: 0.9875 train exact_match_acc: 0.8140 (K~16.00, min=16, max=16, dt=1.55s)
itr: 4500 lr: 9.740e-05 train loss: 0.057054 train token_acc: 0.9898 train exact_match_acc: 0.8455 (K~16.00, min=16, max=16, dt=1.55s)
itr: 4750 lr: 9.708e-05 train loss: 0.051682 train token_acc: 0.9909 train exact_match_acc: 0.8630 (K~16.00, min=16, max=16, dt=1.55s)
itr: 5000 lr: 9.674e-05 train loss: 0.038122 train token_acc: 0.9933 train exact_match_acc: 0.8975 (K~16.00, min=16, max=16, dt=1.55s)
itr: 5250 lr: 9.638e-05 train loss: 0.030973 train token_acc: 0.9943 train exact_match_acc: 0.9121 (K~16.00, min=16, max=16, dt=1.55s)
itr: 5500 lr: 9.600e-05 train loss: 0.029442 train token_acc: 0.9949 train exact_match_acc: 0.9224 (K~16.00, min=16, max=16, dt=1.55s)
itr: 5750 lr: 9.561e-05 train loss: 0.023234 train token_acc: 0.9958 train exact_match_acc: 0.9338 (K~16.00, min=16, max=16, dt=1.55s)
itr: 6000 lr: 9.519e-05 train loss: 0.024111 train token_acc: 0.9966 train exact_match_acc: 0.9470 (K~16.00, min=16, max=16, dt=1.55s)
itr: 6250 lr: 9.476e-05 train loss: 0.019982 train token_acc: 0.9968 train exact_match_acc: 0.9500 (K~16.00, min=16, max=16, dt=1.55s)
itr: 6500 lr: 9.432e-05 train loss: 0.015444 train token_acc: 0.9974 train exact_match_acc: 0.9590 (K~16.00, min=16, max=16, dt=1.55s)
itr: 6750 lr: 9.385e-05 train loss: 0.014300 train token_acc: 0.9978 train exact_match_acc: 0.9661 (K~16.00, min=16, max=16, dt=1.55s)
itr: 7000 lr: 9.337e-05 train loss: 0.012763 train token_acc: 0.9983 train exact_match_acc: 0.9729 (K~16.00, min=16, max=16, dt=1.55s)
itr: 7250 lr: 9.287e-05 train loss: 0.012479 train token_acc: 0.9984 train exact_match_acc: 0.9736 (K~16.00, min=16, max=16, dt=1.55s)
itr: 7500 lr: 9.235e-05 train loss: 0.009795 train token_acc: 0.9984 train exact_match_acc: 0.9744 (K~16.00, min=16, max=16, dt=1.55s)
itr: 7750 lr: 9.182e-05 train loss: 0.007500 train token_acc: 0.9988 train exact_match_acc: 0.9807 (K~16.00, min=16, max=16, dt=1.55s)
itr: 8000 lr: 9.127e-05 train loss: 0.007439 train token_acc: 0.9990 train exact_match_acc: 0.9839 (K~16.00, min=16, max=16, dt=1.55s)
itr: 8250 lr: 9.071e-05 train loss: 0.008344 train token_acc: 0.9989 train exact_match_acc: 0.9832 (K~16.00, min=16, max=16, dt=1.55s)
itr: 8500 lr: 9.013e-05 train loss: 0.006012 train token_acc: 0.9990 train exact_match_acc: 0.9836 (K~16.00, min=16, max=16, dt=1.55s)
itr: 8750 lr: 8.953e-05 train loss: 0.005592 train token_acc: 0.9992 train exact_match_acc: 0.9875 (K~16.00, min=16, max=16, dt=1.55s)
itr: 9000 lr: 8.892e-05 train loss: 0.005389 train token_acc: 0.9992 train exact_match_acc: 0.9873 (K~16.00, min=16, max=16, dt=1.55s)
itr: 9250 lr: 8.829e-05 train loss: 0.004945 train token_acc: 0.9992 train exact_match_acc: 0.9875 (K~16.00, min=16, max=16, dt=1.55s)
itr: 9500 lr: 8.765e-05 train loss: 0.003872 train token_acc: 0.9993 train exact_match_acc: 0.9883 (K~16.00, min=16, max=16, dt=1.55s)
itr: 9750 lr: 8.700e-05 train loss: 0.006469 train token_acc: 0.9993 train exact_match_acc: 0.9885 (K~16.00, min=16, max=16, dt=1.55s)
itr: 10000 lr: 8.632e-05 train loss: 0.003708 train token_acc: 0.9994 train exact_match_acc: 0.9907 (K~16.00, min=16, max=16, dt=1.55s)
itr: 10250 lr: 8.564e-05 train loss: 0.002647 train token_acc: 0.9994 train exact_match_acc: 0.9900 (K~16.00, min=16, max=16, dt=1.55s)
itr: 10500 lr: 8.494e-05 train loss: 0.003724 train token_acc: 0.9994 train exact_match_acc: 0.9910 (K~16.00, min=16, max=16, dt=1.55s)
itr: 10750 lr: 8.423e-05 train loss: 0.004046 train token_acc: 0.9994 train exact_match_acc: 0.9905 (K~16.00, min=16, max=16, dt=1.55s)
itr: 11000 lr: 8.351e-05 train loss: 0.003552 train token_acc: 0.9995 train exact_match_acc: 0.9917 (K~16.00, min=16, max=16, dt=1.55s)
itr: 11250 lr: 8.277e-05 train loss: 0.004005 train token_acc: 0.9994 train exact_match_acc: 0.9902 (K~16.00, min=16, max=16, dt=1.55s)
itr: 11500 lr: 8.202e-05 train loss: 0.002938 train token_acc: 0.9995 train exact_match_acc: 0.9924 (K~16.00, min=16, max=16, dt=1.55s)
itr: 11750 lr: 8.125e-05 train loss: 0.001791 train token_acc: 0.9996 train exact_match_acc: 0.9941 (K~16.00, min=16, max=16, dt=1.55s)
itr: 12000 lr: 8.048e-05 train loss: 0.001915 train token_acc: 0.9998 train exact_match_acc: 0.9961 (K~16.00, min=16, max=16, dt=1.55s)
itr: 12250 lr: 7.969e-05 train loss: 0.001616 train token_acc: 0.9997 train exact_match_acc: 0.9951 (K~16.00, min=16, max=16, dt=1.55s)
itr: 12500 lr: 7.889e-05 train loss: 0.002175 train token_acc: 0.9997 train exact_match_acc: 0.9949 (K~16.00, min=16, max=16, dt=1.55s)
itr: 12750 lr: 7.808e-05 train loss: 0.001586 train token_acc: 0.9998 train exact_match_acc: 0.9961 (K~16.00, min=16, max=16, dt=1.55s)
itr: 13000 lr: 7.726e-05 train loss: 0.001110 train token_acc: 0.9997 train exact_match_acc: 0.9958 (K~16.00, min=16, max=16, dt=1.55s)
itr: 13250 lr: 7.643e-05 train loss: 0.002421 train token_acc: 0.9997 train exact_match_acc: 0.9958 (K~16.00, min=16, max=16, dt=1.55s)
itr: 13500 lr: 7.559e-05 train loss: 0.001236 train token_acc: 0.9998 train exact_match_acc: 0.9973 (K~16.00, min=16, max=16, dt=1.55s)
itr: 13750 lr: 7.474e-05 train loss: 0.000875 train token_acc: 0.9998 train exact_match_acc: 0.9976 (K~16.00, min=16, max=16, dt=1.55s)
itr: 14000 lr: 7.388e-05 train loss: 0.000633 train token_acc: 0.9999 train exact_match_acc: 0.9983 (K~16.00, min=16, max=16, dt=1.55s)
itr: 14250 lr: 7.301e-05 train loss: 0.001134 train token_acc: 0.9998 train exact_match_acc: 0.9963 (K~16.00, min=16, max=16, dt=1.55s)
itr: 14500 lr: 7.213e-05 train loss: 0.001788 train token_acc: 0.9999 train exact_match_acc: 0.9980 (K~16.00, min=16, max=16, dt=1.55s)
itr: 14750 lr: 7.124e-05 train loss: 0.001340 train token_acc: 0.9998 train exact_match_acc: 0.9961 (K~16.00, min=16, max=16, dt=1.55s)
itr: 15000 lr: 7.035e-05 train loss: 0.000600 train token_acc: 0.9999 train exact_match_acc: 0.9988 (K~16.00, min=16, max=16, dt=1.55s)
itr: 15250 lr: 6.944e-05 train loss: 0.000768 train token_acc: 0.9998 train exact_match_acc: 0.9976 (K~16.00, min=16, max=16, dt=1.55s)
itr: 15500 lr: 6.853e-05 train loss: 0.000597 train token_acc: 0.9998 train exact_match_acc: 0.9973 (K~16.00, min=16, max=16, dt=1.55s)
itr: 15750 lr: 6.761e-05 train loss: 0.000836 train token_acc: 0.9998 train exact_match_acc: 0.9976 (K~16.00, min=16, max=16, dt=1.55s)
itr: 16000 lr: 6.669e-05 train loss: 0.000640 train token_acc: 0.9999 train exact_match_acc: 0.9983 (K~16.00, min=16, max=16, dt=1.55s)
itr: 16250 lr: 6.576e-05 train loss: 0.000782 train token_acc: 0.9998 train exact_match_acc: 0.9966 (K~16.00, min=16, max=16, dt=1.55s)
itr: 16500 lr: 6.482e-05 train loss: 0.000489 train token_acc: 0.9999 train exact_match_acc: 0.9983 (K~16.00, min=16, max=16, dt=1.55s)
itr: 16750 lr: 6.388e-05 train loss: 0.000522 train token_acc: 0.9998 train exact_match_acc: 0.9976 (K~16.00, min=16, max=16, dt=1.55s)
itr: 17000 lr: 6.293e-05 train loss: 0.001348 train token_acc: 0.9999 train exact_match_acc: 0.9980 (K~16.00, min=16, max=16, dt=1.55s)
itr: 17250 lr: 6.198e-05 train loss: 0.000343 train token_acc: 0.9999 train exact_match_acc: 0.9990 (K~16.00, min=16, max=16, dt=1.55s)
itr: 17500 lr: 6.102e-05 train loss: 0.000493 train token_acc: 0.9998 train exact_match_acc: 0.9976 (K~16.00, min=16, max=16, dt=1.55s)
itr: 17750 lr: 6.006e-05 train loss: 0.000412 train token_acc: 0.9999 train exact_match_acc: 0.9983 (K~16.00, min=16, max=16, dt=1.55s)
itr: 18000 lr: 5.910e-05 train loss: 0.000696 train token_acc: 0.9998 train exact_match_acc: 0.9966 (K~16.00, min=16, max=16, dt=1.55s)
itr: 18250 lr: 5.813e-05 train loss: 0.000323 train token_acc: 0.9999 train exact_match_acc: 0.9985 (K~16.00, min=16, max=16, dt=1.55s)
itr: 18500 lr: 5.716e-05 train loss: 0.000424 train token_acc: 0.9999 train exact_match_acc: 0.9988 (K~16.00, min=16, max=16, dt=1.55s)
itr: 18750 lr: 5.618e-05 train loss: 0.000576 train token_acc: 0.9999 train exact_match_acc: 0.9985 (K~16.00, min=16, max=16, dt=1.55s)
itr: 19000 lr: 5.521e-05 train loss: 0.001037 train token_acc: 0.9999 train exact_match_acc: 0.9985 (K~16.00, min=16, max=16, dt=1.55s)
itr: 19250 lr: 5.423e-05 train loss: 0.000490 train token_acc: 0.9999 train exact_match_acc: 0.9990 (K~16.00, min=16, max=16, dt=1.55s)
itr: 19500 lr: 5.325e-05 train loss: 0.000764 train token_acc: 0.9999 train exact_match_acc: 0.9985 (K~16.00, min=16, max=16, dt=1.55s)
itr: 19750 lr: 5.227e-05 train loss: 0.000417 train token_acc: 0.9999 train exact_match_acc: 0.9983 (K~16.00, min=16, max=16, dt=1.55s)
itr: 20000 lr: 5.129e-05 train loss: 0.000433 train token_acc: 0.9999 train exact_match_acc: 0.9985 (K~16.00, min=16, max=16, dt=1.55s)
saved checkpoint: ./grid_outputs/len_gen_v64_e32_k16/task_0002/saved_models/Checkpoint_N64_d32_H1_L2_npos1_mlp1_ln0_normnone_qkn0_qkrms0_gate0_gateelem0_lenmix_trainK16to16_testK16to16_nodup1_iters20001.pt
itr: 20250 lr: 5.030e-05 train loss: 0.000446 train token_acc: 0.9999 train exact_match_acc: 0.9988 (K~16.00, min=16, max=16, dt=1.59s)
itr: 20500 lr: 4.932e-05 train loss: 0.000387 train token_acc: 0.9999 train exact_match_acc: 0.9983 (K~16.00, min=16, max=16, dt=1.55s)
itr: 20750 lr: 4.834e-05 train loss: 0.000305 train token_acc: 1.0000 train exact_match_acc: 0.9993 (K~16.00, min=16, max=16, dt=1.55s)
itr: 21000 lr: 4.736e-05 train loss: 0.000317 train token_acc: 1.0000 train exact_match_acc: 0.9995 (K~16.00, min=16, max=16, dt=1.55s)
itr: 21250 lr: 4.638e-05 train loss: 0.000245 train token_acc: 0.9999 train exact_match_acc: 0.9990 (K~16.00, min=16, max=16, dt=1.55s)
itr: 21500 lr: 4.540e-05 train loss: 0.000313 train token_acc: 1.0000 train exact_match_acc: 0.9993 (K~16.00, min=16, max=16, dt=1.55s)
itr: 21750 lr: 4.443e-05 train loss: 0.000334 train token_acc: 1.0000 train exact_match_acc: 0.9993 (K~16.00, min=16, max=16, dt=1.55s)
itr: 22000 lr: 4.346e-05 train loss: 0.000280 train token_acc: 1.0000 train exact_match_acc: 0.9993 (K~16.00, min=16, max=16, dt=1.55s)
itr: 22250 lr: 4.249e-05 train loss: 0.000347 train token_acc: 1.0000 train exact_match_acc: 0.9993 (K~16.00, min=16, max=16, dt=1.55s)
itr: 22500 lr: 4.152e-05 train loss: 0.000380 train token_acc: 0.9999 train exact_match_acc: 0.9983 (K~16.00, min=16, max=16, dt=1.55s)
itr: 22750 lr: 4.055e-05 train loss: 0.000230 train token_acc: 0.9999 train exact_match_acc: 0.9985 (K~16.00, min=16, max=16, dt=1.55s)
itr: 23000 lr: 3.959e-05 train loss: 0.000225 train token_acc: 1.0000 train exact_match_acc: 0.9993 (K~16.00, min=16, max=16, dt=1.55s)
itr: 23250 lr: 3.864e-05 train loss: 0.000523 train token_acc: 0.9999 train exact_match_acc: 0.9980 (K~16.00, min=16, max=16, dt=1.55s)
itr: 23500 lr: 3.769e-05 train loss: 0.000397 train token_acc: 1.0000 train exact_match_acc: 0.9993 (K~16.00, min=16, max=16, dt=1.55s)
itr: 23750 lr: 3.674e-05 train loss: 0.000196 train token_acc: 1.0000 train exact_match_acc: 0.9993 (K~16.00, min=16, max=16, dt=1.55s)
itr: 24000 lr: 3.580e-05 train loss: 0.000311 train token_acc: 0.9999 train exact_match_acc: 0.9985 (K~16.00, min=16, max=16, dt=1.55s)
itr: 24250 lr: 3.487e-05 train loss: 0.000109 train token_acc: 1.0000 train exact_match_acc: 0.9998 (K~16.00, min=16, max=16, dt=1.55s)
itr: 24500 lr: 3.394e-05 train loss: 0.000144 train token_acc: 1.0000 train exact_match_acc: 0.9998 (K~16.00, min=16, max=16, dt=1.55s)
itr: 24750 lr: 3.302e-05 train loss: 0.000192 train token_acc: 1.0000 train exact_match_acc: 0.9993 (K~16.00, min=16, max=16, dt=1.55s)
itr: 25000 lr: 3.210e-05 train loss: 0.000148 train token_acc: 1.0000 train exact_match_acc: 0.9995 (K~16.00, min=16, max=16, dt=1.55s)
itr: 25250 lr: 3.119e-05 train loss: 0.000297 train token_acc: 0.9999 train exact_match_acc: 0.9983 (K~16.00, min=16, max=16, dt=1.55s)
itr: 25500 lr: 3.029e-05 train loss: 0.000157 train token_acc: 1.0000 train exact_match_acc: 0.9995 (K~16.00, min=16, max=16, dt=1.55s)
itr: 25750 lr: 2.940e-05 train loss: 0.000265 train token_acc: 0.9999 train exact_match_acc: 0.9988 (K~16.00, min=16, max=16, dt=1.55s)
itr: 26000 lr: 2.852e-05 train loss: 0.000211 train token_acc: 1.0000 train exact_match_acc: 0.9995 (K~16.00, min=16, max=16, dt=1.55s)
itr: 26250 lr: 2.764e-05 train loss: 0.000549 train token_acc: 0.9999 train exact_match_acc: 0.9990 (K~16.00, min=16, max=16, dt=1.55s)
itr: 26500 lr: 2.678e-05 train loss: 0.000179 train token_acc: 1.0000 train exact_match_acc: 0.9995 (K~16.00, min=16, max=16, dt=1.55s)
itr: 26750 lr: 2.592e-05 train loss: 0.000078 train token_acc: 1.0000 train exact_match_acc: 1.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 27000 lr: 2.507e-05 train loss: 0.000443 train token_acc: 1.0000 train exact_match_acc: 0.9995 (K~16.00, min=16, max=16, dt=1.55s)
itr: 27250 lr: 2.424e-05 train loss: 0.000195 train token_acc: 0.9999 train exact_match_acc: 0.9990 (K~16.00, min=16, max=16, dt=1.55s)
itr: 27500 lr: 2.341e-05 train loss: 0.000530 train token_acc: 0.9999 train exact_match_acc: 0.9990 (K~16.00, min=16, max=16, dt=1.55s)
itr: 27750 lr: 2.259e-05 train loss: 0.000169 train token_acc: 0.9999 train exact_match_acc: 0.9990 (K~16.00, min=16, max=16, dt=1.55s)
itr: 28000 lr: 2.179e-05 train loss: 0.000151 train token_acc: 1.0000 train exact_match_acc: 0.9993 (K~16.00, min=16, max=16, dt=1.55s)
itr: 28250 lr: 2.099e-05 train loss: 0.000242 train token_acc: 1.0000 train exact_match_acc: 0.9998 (K~16.00, min=16, max=16, dt=1.55s)
itr: 28500 lr: 2.021e-05 train loss: 0.000740 train token_acc: 1.0000 train exact_match_acc: 0.9993 (K~16.00, min=16, max=16, dt=1.55s)
itr: 28750 lr: 1.944e-05 train loss: 0.000116 train token_acc: 1.0000 train exact_match_acc: 0.9995 (K~16.00, min=16, max=16, dt=1.55s)
itr: 29000 lr: 1.868e-05 train loss: 0.000071 train token_acc: 1.0000 train exact_match_acc: 1.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 29250 lr: 1.794e-05 train loss: 0.000200 train token_acc: 1.0000 train exact_match_acc: 0.9993 (K~16.00, min=16, max=16, dt=1.55s)
itr: 29500 lr: 1.720e-05 train loss: 0.000276 train token_acc: 1.0000 train exact_match_acc: 0.9993 (K~16.00, min=16, max=16, dt=1.55s)
itr: 29750 lr: 1.648e-05 train loss: 0.000254 train token_acc: 0.9999 train exact_match_acc: 0.9990 (K~16.00, min=16, max=16, dt=1.55s)
itr: 30000 lr: 1.578e-05 train loss: 0.000119 train token_acc: 1.0000 train exact_match_acc: 0.9995 (K~16.00, min=16, max=16, dt=1.55s)
itr: 30250 lr: 1.508e-05 train loss: 0.000200 train token_acc: 1.0000 train exact_match_acc: 0.9993 (K~16.00, min=16, max=16, dt=1.55s)
itr: 30500 lr: 1.441e-05 train loss: 0.000111 train token_acc: 1.0000 train exact_match_acc: 0.9995 (K~16.00, min=16, max=16, dt=1.55s)
itr: 30750 lr: 1.374e-05 train loss: 0.000236 train token_acc: 0.9999 train exact_match_acc: 0.9990 (K~16.00, min=16, max=16, dt=1.55s)
itr: 31000 lr: 1.309e-05 train loss: 0.000334 train token_acc: 1.0000 train exact_match_acc: 0.9993 (K~16.00, min=16, max=16, dt=1.55s)
itr: 31250 lr: 1.245e-05 train loss: 0.000244 train token_acc: 1.0000 train exact_match_acc: 0.9998 (K~16.00, min=16, max=16, dt=1.55s)
itr: 31500 lr: 1.183e-05 train loss: 0.000193 train token_acc: 1.0000 train exact_match_acc: 0.9995 (K~16.00, min=16, max=16, dt=1.55s)
itr: 31750 lr: 1.123e-05 train loss: 0.000594 train token_acc: 0.9999 train exact_match_acc: 0.9990 (K~16.00, min=16, max=16, dt=1.55s)
itr: 32000 lr: 1.064e-05 train loss: 0.000115 train token_acc: 0.9999 train exact_match_acc: 0.9990 (K~16.00, min=16, max=16, dt=1.55s)
itr: 32250 lr: 1.006e-05 train loss: 0.000214 train token_acc: 0.9999 train exact_match_acc: 0.9988 (K~16.00, min=16, max=16, dt=1.55s)
itr: 32500 lr: 9.507e-06 train loss: 0.000164 train token_acc: 1.0000 train exact_match_acc: 0.9995 (K~16.00, min=16, max=16, dt=1.55s)
itr: 32750 lr: 8.964e-06 train loss: 0.000118 train token_acc: 1.0000 train exact_match_acc: 0.9998 (K~16.00, min=16, max=16, dt=1.55s)
itr: 33000 lr: 8.439e-06 train loss: 0.000265 train token_acc: 0.9999 train exact_match_acc: 0.9990 (K~16.00, min=16, max=16, dt=1.55s)
itr: 33250 lr: 7.929e-06 train loss: 0.000092 train token_acc: 1.0000 train exact_match_acc: 1.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 33500 lr: 7.437e-06 train loss: 0.000095 train token_acc: 1.0000 train exact_match_acc: 0.9998 (K~16.00, min=16, max=16, dt=1.55s)
itr: 33750 lr: 6.961e-06 train loss: 0.000567 train token_acc: 1.0000 train exact_match_acc: 0.9993 (K~16.00, min=16, max=16, dt=1.55s)
itr: 34000 lr: 6.503e-06 train loss: 0.000136 train token_acc: 1.0000 train exact_match_acc: 0.9995 (K~16.00, min=16, max=16, dt=1.55s)
itr: 34250 lr: 6.061e-06 train loss: 0.000321 train token_acc: 0.9999 train exact_match_acc: 0.9985 (K~16.00, min=16, max=16, dt=1.55s)
itr: 34500 lr: 5.638e-06 train loss: 0.000164 train token_acc: 1.0000 train exact_match_acc: 0.9993 (K~16.00, min=16, max=16, dt=1.55s)
itr: 34750 lr: 5.232e-06 train loss: 0.000205 train token_acc: 0.9999 train exact_match_acc: 0.9990 (K~16.00, min=16, max=16, dt=1.55s)
itr: 35000 lr: 4.843e-06 train loss: 0.000160 train token_acc: 1.0000 train exact_match_acc: 0.9993 (K~16.00, min=16, max=16, dt=1.55s)
itr: 35250 lr: 4.473e-06 train loss: 0.000326 train token_acc: 1.0000 train exact_match_acc: 0.9993 (K~16.00, min=16, max=16, dt=1.55s)
itr: 35500 lr: 4.121e-06 train loss: 0.000048 train token_acc: 1.0000 train exact_match_acc: 1.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 35750 lr: 3.787e-06 train loss: 0.000375 train token_acc: 1.0000 train exact_match_acc: 0.9993 (K~16.00, min=16, max=16, dt=1.55s)
itr: 36000 lr: 3.471e-06 train loss: 0.000441 train token_acc: 0.9999 train exact_match_acc: 0.9990 (K~16.00, min=16, max=16, dt=1.55s)
