training:  19%|█▉        | 7733/40000 [00:39<02:43, 197.51it/s]
itr: 0 lr: 2.494e-07 train loss: 4.198884 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.30s)
itr: 250 lr: 6.259e-05 train loss: 4.177732 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.30s)
itr: 500 lr: 1.000e-04 train loss: 4.109424 train token_acc: 0.0001 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 750 lr: 9.998e-05 train loss: 3.999772 train token_acc: 0.0055 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 1000 lr: 9.994e-05 train loss: 3.817045 train token_acc: 0.0212 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 1250 lr: 9.989e-05 train loss: 3.510742 train token_acc: 0.0508 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 1500 lr: 9.981e-05 train loss: 3.198468 train token_acc: 0.0724 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 1750 lr: 9.972e-05 train loss: 2.836603 train token_acc: 0.1050 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 2000 lr: 9.960e-05 train loss: 2.559935 train token_acc: 0.1431 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 2250 lr: 9.947e-05 train loss: 2.359567 train token_acc: 0.1893 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 2500 lr: 9.931e-05 train loss: 2.187494 train token_acc: 0.2462 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 2750 lr: 9.914e-05 train loss: 2.025916 train token_acc: 0.3013 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 3000 lr: 9.895e-05 train loss: 1.860880 train token_acc: 0.3566 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 3250 lr: 9.874e-05 train loss: 1.699434 train token_acc: 0.4102 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 3500 lr: 9.851e-05 train loss: 1.546820 train token_acc: 0.4651 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 3750 lr: 9.826e-05 train loss: 1.419962 train token_acc: 0.5064 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 4000 lr: 9.799e-05 train loss: 1.292393 train token_acc: 0.5470 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 4250 lr: 9.771e-05 train loss: 1.188921 train token_acc: 0.5860 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=1.27s)
itr: 4500 lr: 9.740e-05 train loss: 1.095110 train token_acc: 0.6166 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=1.27s)
itr: 4750 lr: 9.708e-05 train loss: 1.023597 train token_acc: 0.6416 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 5000 lr: 9.674e-05 train loss: 0.944546 train token_acc: 0.6742 train exact_match_acc: 0.0007 (K~16.00, min=16, max=16, dt=1.27s)
itr: 5250 lr: 9.638e-05 train loss: 0.895495 train token_acc: 0.6933 train exact_match_acc: 0.0020 (K~16.00, min=16, max=16, dt=1.27s)
itr: 5500 lr: 9.600e-05 train loss: 0.841221 train token_acc: 0.7121 train exact_match_acc: 0.0029 (K~16.00, min=16, max=16, dt=1.27s)
itr: 5750 lr: 9.561e-05 train loss: 0.789176 train token_acc: 0.7323 train exact_match_acc: 0.0061 (K~16.00, min=16, max=16, dt=1.27s)
itr: 6000 lr: 9.519e-05 train loss: 0.744008 train token_acc: 0.7498 train exact_match_acc: 0.0078 (K~16.00, min=16, max=16, dt=1.27s)
itr: 6250 lr: 9.476e-05 train loss: 0.700306 train token_acc: 0.7648 train exact_match_acc: 0.0134 (K~16.00, min=16, max=16, dt=1.27s)
itr: 6500 lr: 9.432e-05 train loss: 0.670315 train token_acc: 0.7801 train exact_match_acc: 0.0212 (K~16.00, min=16, max=16, dt=1.27s)
itr: 6750 lr: 9.385e-05 train loss: 0.625821 train token_acc: 0.7944 train exact_match_acc: 0.0249 (K~16.00, min=16, max=16, dt=1.27s)
itr: 7000 lr: 9.337e-05 train loss: 0.590853 train token_acc: 0.8064 train exact_match_acc: 0.0303 (K~16.00, min=16, max=16, dt=1.27s)
itr: 7250 lr: 9.287e-05 train loss: 0.564948 train token_acc: 0.8170 train exact_match_acc: 0.0461 (K~16.00, min=16, max=16, dt=1.27s)
itr: 7500 lr: 9.235e-05 train loss: 0.549046 train token_acc: 0.8249 train exact_match_acc: 0.0481 (K~16.00, min=16, max=16, dt=1.27s)
itr: 7750 lr: 9.182e-05 train loss: 0.500645 train token_acc: 0.8372 train exact_match_acc: 0.0557 (K~16.00, min=16, max=16, dt=1.27s)
itr: 8000 lr: 9.127e-05 train loss: 0.479323 train token_acc: 0.8444 train exact_match_acc: 0.0696 (K~16.00, min=16, max=16, dt=1.27s)
itr: 8250 lr: 9.071e-05 train loss: 0.467968 train token_acc: 0.8534 train exact_match_acc: 0.0918 (K~16.00, min=16, max=16, dt=1.27s)
itr: 8500 lr: 9.013e-05 train loss: 0.458119 train token_acc: 0.8568 train exact_match_acc: 0.0874 (K~16.00, min=16, max=16, dt=1.27s)
itr: 8750 lr: 8.953e-05 train loss: 0.423287 train token_acc: 0.8668 train exact_match_acc: 0.1052 (K~16.00, min=16, max=16, dt=1.27s)
itr: 9000 lr: 8.892e-05 train loss: 0.413449 train token_acc: 0.8705 train exact_match_acc: 0.1255 (K~16.00, min=16, max=16, dt=1.27s)
itr: 9250 lr: 8.829e-05 train loss: 0.407048 train token_acc: 0.8761 train exact_match_acc: 0.1350 (K~16.00, min=16, max=16, dt=1.27s)
itr: 9500 lr: 8.765e-05 train loss: 0.383769 train token_acc: 0.8835 train exact_match_acc: 0.1514 (K~16.00, min=16, max=16, dt=1.27s)
itr: 9750 lr: 8.700e-05 train loss: 0.381495 train token_acc: 0.8852 train exact_match_acc: 0.1538 (K~16.00, min=16, max=16, dt=1.27s)
itr: 10000 lr: 8.632e-05 train loss: 0.350041 train token_acc: 0.8920 train exact_match_acc: 0.1785 (K~16.00, min=16, max=16, dt=1.27s)
itr: 10250 lr: 8.564e-05 train loss: 0.333053 train token_acc: 0.8992 train exact_match_acc: 0.1931 (K~16.00, min=16, max=16, dt=1.27s)
itr: 10500 lr: 8.494e-05 train loss: 0.327632 train token_acc: 0.9039 train exact_match_acc: 0.2104 (K~16.00, min=16, max=16, dt=1.27s)
itr: 10750 lr: 8.423e-05 train loss: 0.335103 train token_acc: 0.9012 train exact_match_acc: 0.2065 (K~16.00, min=16, max=16, dt=1.27s)
itr: 11000 lr: 8.351e-05 train loss: 0.310028 train token_acc: 0.9086 train exact_match_acc: 0.2307 (K~16.00, min=16, max=16, dt=1.27s)
itr: 11250 lr: 8.277e-05 train loss: 0.305021 train token_acc: 0.9131 train exact_match_acc: 0.2532 (K~16.00, min=16, max=16, dt=1.27s)
itr: 11500 lr: 8.202e-05 train loss: 0.293008 train token_acc: 0.9141 train exact_match_acc: 0.2500 (K~16.00, min=16, max=16, dt=1.27s)
itr: 11750 lr: 8.125e-05 train loss: 0.284220 train token_acc: 0.9198 train exact_match_acc: 0.2759 (K~16.00, min=16, max=16, dt=1.27s)
itr: 12000 lr: 8.048e-05 train loss: 0.269886 train token_acc: 0.9248 train exact_match_acc: 0.2986 (K~16.00, min=16, max=16, dt=1.27s)
itr: 12250 lr: 7.969e-05 train loss: 0.260691 train token_acc: 0.9233 train exact_match_acc: 0.2986 (K~16.00, min=16, max=16, dt=1.27s)
itr: 12500 lr: 7.889e-05 train loss: 0.258060 train token_acc: 0.9259 train exact_match_acc: 0.3186 (K~16.00, min=16, max=16, dt=1.27s)
itr: 12750 lr: 7.808e-05 train loss: 0.249288 train token_acc: 0.9297 train exact_match_acc: 0.3313 (K~16.00, min=16, max=16, dt=1.27s)
itr: 13000 lr: 7.726e-05 train loss: 0.239306 train token_acc: 0.9340 train exact_match_acc: 0.3464 (K~16.00, min=16, max=16, dt=1.27s)
itr: 13250 lr: 7.643e-05 train loss: 0.229924 train token_acc: 0.9360 train exact_match_acc: 0.3748 (K~16.00, min=16, max=16, dt=1.27s)
itr: 13500 lr: 7.559e-05 train loss: 0.218431 train token_acc: 0.9391 train exact_match_acc: 0.3862 (K~16.00, min=16, max=16, dt=1.27s)
itr: 13750 lr: 7.474e-05 train loss: 0.221990 train token_acc: 0.9397 train exact_match_acc: 0.3904 (K~16.00, min=16, max=16, dt=1.27s)
itr: 14000 lr: 7.388e-05 train loss: 0.206730 train token_acc: 0.9428 train exact_match_acc: 0.4111 (K~16.00, min=16, max=16, dt=1.27s)
itr: 14250 lr: 7.301e-05 train loss: 0.214258 train token_acc: 0.9442 train exact_match_acc: 0.4182 (K~16.00, min=16, max=16, dt=1.27s)
itr: 14500 lr: 7.213e-05 train loss: 0.219917 train token_acc: 0.9432 train exact_match_acc: 0.4104 (K~16.00, min=16, max=16, dt=1.27s)
itr: 14750 lr: 7.124e-05 train loss: 0.202815 train token_acc: 0.9473 train exact_match_acc: 0.4409 (K~16.00, min=16, max=16, dt=1.27s)
itr: 15000 lr: 7.035e-05 train loss: 0.212396 train token_acc: 0.9458 train exact_match_acc: 0.4360 (K~16.00, min=16, max=16, dt=1.27s)
itr: 15250 lr: 6.944e-05 train loss: 0.191689 train token_acc: 0.9488 train exact_match_acc: 0.4419 (K~16.00, min=16, max=16, dt=1.27s)
itr: 15500 lr: 6.853e-05 train loss: 0.180615 train token_acc: 0.9514 train exact_match_acc: 0.4717 (K~16.00, min=16, max=16, dt=1.27s)
itr: 15750 lr: 6.761e-05 train loss: 0.181173 train token_acc: 0.9552 train exact_match_acc: 0.5037 (K~16.00, min=16, max=16, dt=1.27s)
itr: 16000 lr: 6.669e-05 train loss: 0.186994 train token_acc: 0.9505 train exact_match_acc: 0.4563 (K~16.00, min=16, max=16, dt=1.27s)
itr: 16250 lr: 6.576e-05 train loss: 0.161842 train token_acc: 0.9563 train exact_match_acc: 0.4998 (K~16.00, min=16, max=16, dt=1.27s)
itr: 16500 lr: 6.482e-05 train loss: 0.164044 train token_acc: 0.9570 train exact_match_acc: 0.5137 (K~16.00, min=16, max=16, dt=1.27s)
itr: 16750 lr: 6.388e-05 train loss: 0.167213 train token_acc: 0.9584 train exact_match_acc: 0.5312 (K~16.00, min=16, max=16, dt=1.27s)
itr: 17000 lr: 6.293e-05 train loss: 0.158248 train token_acc: 0.9599 train exact_match_acc: 0.5420 (K~16.00, min=16, max=16, dt=1.27s)
itr: 17250 lr: 6.198e-05 train loss: 0.152743 train token_acc: 0.9599 train exact_match_acc: 0.5366 (K~16.00, min=16, max=16, dt=1.27s)
itr: 17500 lr: 6.102e-05 train loss: 0.155893 train token_acc: 0.9600 train exact_match_acc: 0.5398 (K~16.00, min=16, max=16, dt=1.27s)
itr: 17750 lr: 6.006e-05 train loss: 0.144334 train token_acc: 0.9612 train exact_match_acc: 0.5417 (K~16.00, min=16, max=16, dt=1.27s)
itr: 18000 lr: 5.910e-05 train loss: 0.153411 train token_acc: 0.9603 train exact_match_acc: 0.5449 (K~16.00, min=16, max=16, dt=1.27s)
itr: 18250 lr: 5.813e-05 train loss: 0.147231 train token_acc: 0.9652 train exact_match_acc: 0.5823 (K~16.00, min=16, max=16, dt=1.27s)
itr: 18500 lr: 5.716e-05 train loss: 0.132424 train token_acc: 0.9657 train exact_match_acc: 0.5889 (K~16.00, min=16, max=16, dt=1.27s)
itr: 18750 lr: 5.618e-05 train loss: 0.132629 train token_acc: 0.9663 train exact_match_acc: 0.5942 (K~16.00, min=16, max=16, dt=1.27s)
itr: 19000 lr: 5.521e-05 train loss: 0.144760 train token_acc: 0.9683 train exact_match_acc: 0.6113 (K~16.00, min=16, max=16, dt=1.27s)
itr: 19250 lr: 5.423e-05 train loss: 0.142273 train token_acc: 0.9654 train exact_match_acc: 0.5867 (K~16.00, min=16, max=16, dt=1.27s)
itr: 19500 lr: 5.325e-05 train loss: 0.134247 train token_acc: 0.9674 train exact_match_acc: 0.6033 (K~16.00, min=16, max=16, dt=1.27s)
itr: 19750 lr: 5.227e-05 train loss: 0.131254 train token_acc: 0.9689 train exact_match_acc: 0.6199 (K~16.00, min=16, max=16, dt=1.27s)
itr: 20000 lr: 5.129e-05 train loss: 0.124228 train token_acc: 0.9695 train exact_match_acc: 0.6169 (K~16.00, min=16, max=16, dt=1.27s)
saved checkpoint: ./grid_outputs/len_gen_v64_e32_k16/task_0002/saved_models/Checkpoint_N64_d32_H1_L2_npos1_mlp0_ln0_normnone_qkn0_qkrms0_gate0_gateelem0_lenmix_trainK16to16_testK16to16_nodup1_iters20001.pt
itr: 20250 lr: 5.030e-05 train loss: 0.122350 train token_acc: 0.9677 train exact_match_acc: 0.6052 (K~16.00, min=16, max=16, dt=1.28s)
itr: 20500 lr: 4.932e-05 train loss: 0.133000 train token_acc: 0.9698 train exact_match_acc: 0.6316 (K~16.00, min=16, max=16, dt=1.27s)
itr: 20750 lr: 4.834e-05 train loss: 0.125707 train token_acc: 0.9711 train exact_match_acc: 0.6416 (K~16.00, min=16, max=16, dt=1.27s)
itr: 21000 lr: 4.736e-05 train loss: 0.120930 train token_acc: 0.9727 train exact_match_acc: 0.6533 (K~16.00, min=16, max=16, dt=1.27s)
itr: 21250 lr: 4.638e-05 train loss: 0.115378 train token_acc: 0.9720 train exact_match_acc: 0.6558 (K~16.00, min=16, max=16, dt=1.27s)
itr: 21500 lr: 4.540e-05 train loss: 0.112487 train token_acc: 0.9740 train exact_match_acc: 0.6702 (K~16.00, min=16, max=16, dt=1.27s)
itr: 21750 lr: 4.443e-05 train loss: 0.115113 train token_acc: 0.9719 train exact_match_acc: 0.6514 (K~16.00, min=16, max=16, dt=1.27s)
