training:  19%|█▉        | 7733/40000 [00:41<02:43, 197.51it/s]
itr: 0 lr: 2.494e-07 train loss: 4.184633 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.93s)
itr: 250 lr: 6.259e-05 train loss: 4.170140 train token_acc: 0.0086 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.35s)
itr: 500 lr: 1.000e-04 train loss: 4.144855 train token_acc: 0.0373 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 750 lr: 9.998e-05 train loss: 4.081355 train token_acc: 0.0659 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 1000 lr: 9.994e-05 train loss: 3.961375 train token_acc: 0.0629 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 1250 lr: 9.989e-05 train loss: 3.728517 train token_acc: 0.0606 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 1500 lr: 9.981e-05 train loss: 3.359747 train token_acc: 0.0774 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 1750 lr: 9.972e-05 train loss: 3.031593 train token_acc: 0.1047 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 2000 lr: 9.960e-05 train loss: 2.792922 train token_acc: 0.1247 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 2250 lr: 9.947e-05 train loss: 2.634050 train token_acc: 0.1349 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 2500 lr: 9.931e-05 train loss: 2.546968 train token_acc: 0.1430 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 2750 lr: 9.914e-05 train loss: 2.465944 train token_acc: 0.1626 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 3000 lr: 9.895e-05 train loss: 2.389963 train token_acc: 0.1772 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 3250 lr: 9.874e-05 train loss: 2.343570 train token_acc: 0.1882 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 3500 lr: 9.851e-05 train loss: 2.305640 train token_acc: 0.1965 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 3750 lr: 9.826e-05 train loss: 2.263399 train token_acc: 0.2112 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 4000 lr: 9.799e-05 train loss: 2.224376 train token_acc: 0.2240 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 4250 lr: 9.771e-05 train loss: 2.187227 train token_acc: 0.2335 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 4500 lr: 9.740e-05 train loss: 2.158737 train token_acc: 0.2392 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 4750 lr: 9.708e-05 train loss: 2.132319 train token_acc: 0.2444 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 5000 lr: 9.674e-05 train loss: 2.104676 train token_acc: 0.2538 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 5250 lr: 9.638e-05 train loss: 2.079424 train token_acc: 0.2655 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 5500 lr: 9.600e-05 train loss: 2.063959 train token_acc: 0.2727 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 5750 lr: 9.561e-05 train loss: 2.043664 train token_acc: 0.2822 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 6000 lr: 9.519e-05 train loss: 2.023074 train token_acc: 0.2833 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 6250 lr: 9.476e-05 train loss: 2.006459 train token_acc: 0.2869 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 6500 lr: 9.432e-05 train loss: 1.991469 train token_acc: 0.2924 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 6750 lr: 9.385e-05 train loss: 1.981039 train token_acc: 0.2971 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 7000 lr: 9.337e-05 train loss: 1.955718 train token_acc: 0.3027 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 7250 lr: 9.287e-05 train loss: 1.948614 train token_acc: 0.3045 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 7500 lr: 9.235e-05 train loss: 1.932855 train token_acc: 0.3108 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 7750 lr: 9.182e-05 train loss: 1.922318 train token_acc: 0.3165 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 8000 lr: 9.127e-05 train loss: 1.907603 train token_acc: 0.3173 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 8250 lr: 9.071e-05 train loss: 1.896847 train token_acc: 0.3211 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 8500 lr: 9.013e-05 train loss: 1.879219 train token_acc: 0.3323 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 8750 lr: 8.953e-05 train loss: 1.873547 train token_acc: 0.3340 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 9000 lr: 8.892e-05 train loss: 1.859119 train token_acc: 0.3393 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 9250 lr: 8.829e-05 train loss: 1.854921 train token_acc: 0.3424 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 9500 lr: 8.765e-05 train loss: 1.845491 train token_acc: 0.3502 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 9750 lr: 8.700e-05 train loss: 1.832427 train token_acc: 0.3534 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 10000 lr: 8.632e-05 train loss: 1.814958 train token_acc: 0.3587 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 10250 lr: 8.564e-05 train loss: 1.811946 train token_acc: 0.3631 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 10500 lr: 8.494e-05 train loss: 1.799587 train token_acc: 0.3662 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 10750 lr: 8.423e-05 train loss: 1.792734 train token_acc: 0.3704 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 11000 lr: 8.351e-05 train loss: 1.786524 train token_acc: 0.3722 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 11250 lr: 8.277e-05 train loss: 1.782139 train token_acc: 0.3719 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 11500 lr: 8.202e-05 train loss: 1.774767 train token_acc: 0.3791 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 11750 lr: 8.125e-05 train loss: 1.769024 train token_acc: 0.3786 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 12000 lr: 8.048e-05 train loss: 1.764700 train token_acc: 0.3833 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 12250 lr: 7.969e-05 train loss: 1.746400 train token_acc: 0.3850 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 12500 lr: 7.889e-05 train loss: 1.739771 train token_acc: 0.3864 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 12750 lr: 7.808e-05 train loss: 1.736080 train token_acc: 0.3884 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 13000 lr: 7.726e-05 train loss: 1.723019 train token_acc: 0.3910 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 13250 lr: 7.643e-05 train loss: 1.726682 train token_acc: 0.3915 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 13500 lr: 7.559e-05 train loss: 1.708431 train token_acc: 0.3915 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 13750 lr: 7.474e-05 train loss: 1.715070 train token_acc: 0.3922 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 14000 lr: 7.388e-05 train loss: 1.695938 train token_acc: 0.4017 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 14250 lr: 7.301e-05 train loss: 1.689701 train token_acc: 0.4091 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 14500 lr: 7.213e-05 train loss: 1.722306 train token_acc: 0.3993 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 14750 lr: 7.124e-05 train loss: 1.677383 train token_acc: 0.4112 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 15000 lr: 7.035e-05 train loss: 1.710079 train token_acc: 0.3992 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 15250 lr: 6.944e-05 train loss: 1.666477 train token_acc: 0.4044 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 15500 lr: 6.853e-05 train loss: 1.659188 train token_acc: 0.4119 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 15750 lr: 6.761e-05 train loss: 1.641961 train token_acc: 0.4217 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 16000 lr: 6.669e-05 train loss: 1.650425 train token_acc: 0.4224 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 16250 lr: 6.576e-05 train loss: 1.641037 train token_acc: 0.4221 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 16500 lr: 6.482e-05 train loss: 1.621080 train token_acc: 0.4249 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 16750 lr: 6.388e-05 train loss: 1.612326 train token_acc: 0.4268 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 17000 lr: 6.293e-05 train loss: 1.607892 train token_acc: 0.4330 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 17250 lr: 6.198e-05 train loss: 1.609985 train token_acc: 0.4375 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 17500 lr: 6.102e-05 train loss: 1.592614 train token_acc: 0.4410 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 17750 lr: 6.006e-05 train loss: 1.601995 train token_acc: 0.4359 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 18000 lr: 5.910e-05 train loss: 1.572916 train token_acc: 0.4420 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 18250 lr: 5.813e-05 train loss: 1.576533 train token_acc: 0.4408 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 18500 lr: 5.716e-05 train loss: 1.575830 train token_acc: 0.4393 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 18750 lr: 5.618e-05 train loss: 1.562263 train token_acc: 0.4418 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 19000 lr: 5.521e-05 train loss: 1.566532 train token_acc: 0.4555 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 19250 lr: 5.423e-05 train loss: 1.542361 train token_acc: 0.4557 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 19500 lr: 5.325e-05 train loss: 1.567935 train token_acc: 0.4540 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 19750 lr: 5.227e-05 train loss: 1.534097 train token_acc: 0.4582 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 20000 lr: 5.129e-05 train loss: 1.531943 train token_acc: 0.4586 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
saved checkpoint: ./grid_outputs/len_gen_v64_e32_k16/task_0003/saved_models/Checkpoint_N64_d32_H1_L2_npos1_mlp0_ln0_normnone_qkn0_qkrms0_gate0_gateelem0_lencurriculum_trainK16to16_testK16to16_nodup1_iters20001.pt
itr: 20250 lr: 5.030e-05 train loss: 1.536819 train token_acc: 0.4605 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.30s)
itr: 20500 lr: 4.932e-05 train loss: 1.520932 train token_acc: 0.4614 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 20750 lr: 4.834e-05 train loss: 1.509410 train token_acc: 0.4654 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 21000 lr: 4.736e-05 train loss: 1.531273 train token_acc: 0.4744 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 21250 lr: 4.638e-05 train loss: 1.503773 train token_acc: 0.4669 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 21500 lr: 4.540e-05 train loss: 1.501570 train token_acc: 0.4749 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 21750 lr: 4.443e-05 train loss: 1.496756 train token_acc: 0.4777 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 22000 lr: 4.346e-05 train loss: 1.493215 train token_acc: 0.4742 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 22250 lr: 4.249e-05 train loss: 1.484791 train token_acc: 0.4813 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 22500 lr: 4.152e-05 train loss: 1.486504 train token_acc: 0.4834 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 22750 lr: 4.055e-05 train loss: 1.473415 train token_acc: 0.4899 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 23000 lr: 3.959e-05 train loss: 1.476830 train token_acc: 0.4806 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 23250 lr: 3.864e-05 train loss: 1.472031 train token_acc: 0.4836 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 23500 lr: 3.769e-05 train loss: 1.484395 train token_acc: 0.4813 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 23750 lr: 3.674e-05 train loss: 1.455984 train token_acc: 0.4981 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 24000 lr: 3.580e-05 train loss: 1.460372 train token_acc: 0.4992 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 24250 lr: 3.487e-05 train loss: 1.457051 train token_acc: 0.4984 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 24500 lr: 3.394e-05 train loss: 1.460098 train token_acc: 0.4925 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 24750 lr: 3.302e-05 train loss: 1.442637 train token_acc: 0.5009 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 25000 lr: 3.210e-05 train loss: 1.450087 train token_acc: 0.4992 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 25250 lr: 3.119e-05 train loss: 1.445872 train token_acc: 0.4956 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 25500 lr: 3.029e-05 train loss: 1.438934 train token_acc: 0.5007 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 25750 lr: 2.940e-05 train loss: 1.430453 train token_acc: 0.5070 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 26000 lr: 2.852e-05 train loss: 1.444527 train token_acc: 0.5048 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 26250 lr: 2.764e-05 train loss: 1.422449 train token_acc: 0.5047 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 26500 lr: 2.678e-05 train loss: 1.426710 train token_acc: 0.5080 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 26750 lr: 2.592e-05 train loss: 1.431528 train token_acc: 0.5000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 27000 lr: 2.507e-05 train loss: 1.424856 train token_acc: 0.5031 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 27250 lr: 2.424e-05 train loss: 1.410633 train token_acc: 0.5099 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 27500 lr: 2.341e-05 train loss: 1.420039 train token_acc: 0.5092 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 27750 lr: 2.259e-05 train loss: 1.424529 train token_acc: 0.5119 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 28000 lr: 2.179e-05 train loss: 1.421092 train token_acc: 0.5133 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
