training:  19%|█▉        | 7745/40000 [00:48<03:19, 161.69it/s]
itr: 0 lr: 2.494e-07 train loss: 4.182790 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.30s)
itr: 250 lr: 6.259e-05 train loss: 4.170393 train token_acc: 0.0104 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.57s)
itr: 500 lr: 1.000e-04 train loss: 4.103642 train token_acc: 0.0272 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 750 lr: 9.998e-05 train loss: 3.560721 train token_acc: 0.0426 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 1000 lr: 9.994e-05 train loss: 2.960535 train token_acc: 0.1043 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 1250 lr: 9.989e-05 train loss: 2.514444 train token_acc: 0.1412 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 1500 lr: 9.981e-05 train loss: 2.429383 train token_acc: 0.1555 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 1750 lr: 9.972e-05 train loss: 2.391324 train token_acc: 0.1620 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 2000 lr: 9.960e-05 train loss: 2.367308 train token_acc: 0.1654 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 2250 lr: 9.947e-05 train loss: 2.337742 train token_acc: 0.1726 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 2500 lr: 9.931e-05 train loss: 2.303341 train token_acc: 0.1829 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 2750 lr: 9.914e-05 train loss: 2.260040 train token_acc: 0.1978 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.62s)
itr: 3000 lr: 9.895e-05 train loss: 2.227201 train token_acc: 0.2103 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 3250 lr: 9.874e-05 train loss: 2.192114 train token_acc: 0.2254 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 3500 lr: 9.851e-05 train loss: 2.171396 train token_acc: 0.2331 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 3750 lr: 9.826e-05 train loss: 2.157306 train token_acc: 0.2402 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 4000 lr: 9.799e-05 train loss: 2.142678 train token_acc: 0.2417 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 4250 lr: 9.771e-05 train loss: 2.123965 train token_acc: 0.2460 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 4500 lr: 9.740e-05 train loss: 2.110450 train token_acc: 0.2547 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 4750 lr: 9.708e-05 train loss: 2.101912 train token_acc: 0.2531 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 5000 lr: 9.674e-05 train loss: 2.084702 train token_acc: 0.2587 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 5250 lr: 9.638e-05 train loss: 2.079909 train token_acc: 0.2609 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 5500 lr: 9.600e-05 train loss: 2.072272 train token_acc: 0.2659 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 5750 lr: 9.561e-05 train loss: 2.060723 train token_acc: 0.2650 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 6000 lr: 9.519e-05 train loss: 2.056112 train token_acc: 0.2738 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 6250 lr: 9.476e-05 train loss: 2.040187 train token_acc: 0.2742 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 6500 lr: 9.432e-05 train loss: 2.040046 train token_acc: 0.2739 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 6750 lr: 9.385e-05 train loss: 2.030627 train token_acc: 0.2789 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 7000 lr: 9.337e-05 train loss: 2.017992 train token_acc: 0.2802 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 7250 lr: 9.287e-05 train loss: 2.017503 train token_acc: 0.2793 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 7500 lr: 9.235e-05 train loss: 2.012935 train token_acc: 0.2804 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 7750 lr: 9.182e-05 train loss: 2.005519 train token_acc: 0.2828 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 8000 lr: 9.127e-05 train loss: 1.997764 train token_acc: 0.2856 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 8250 lr: 9.071e-05 train loss: 1.992617 train token_acc: 0.2859 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 8500 lr: 9.013e-05 train loss: 1.985835 train token_acc: 0.2865 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 8750 lr: 8.953e-05 train loss: 1.971872 train token_acc: 0.2893 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 9000 lr: 8.892e-05 train loss: 1.972848 train token_acc: 0.2889 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 9250 lr: 8.829e-05 train loss: 1.967466 train token_acc: 0.2926 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 9500 lr: 8.765e-05 train loss: 1.961379 train token_acc: 0.2920 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 9750 lr: 8.700e-05 train loss: 1.952626 train token_acc: 0.2972 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 10000 lr: 8.632e-05 train loss: 1.950602 train token_acc: 0.2982 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 10250 lr: 8.564e-05 train loss: 1.941046 train token_acc: 0.3007 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 10500 lr: 8.494e-05 train loss: 1.943377 train token_acc: 0.2944 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 10750 lr: 8.423e-05 train loss: 1.931734 train token_acc: 0.3003 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 11000 lr: 8.351e-05 train loss: 1.933651 train token_acc: 0.3036 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 11250 lr: 8.277e-05 train loss: 1.924681 train token_acc: 0.3023 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 11500 lr: 8.202e-05 train loss: 1.916566 train token_acc: 0.3026 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 11750 lr: 8.125e-05 train loss: 1.916801 train token_acc: 0.3088 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 12000 lr: 8.048e-05 train loss: 1.922110 train token_acc: 0.3044 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 12250 lr: 7.969e-05 train loss: 1.916245 train token_acc: 0.3032 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 12500 lr: 7.889e-05 train loss: 1.918407 train token_acc: 0.3042 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 12750 lr: 7.808e-05 train loss: 1.905473 train token_acc: 0.3101 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 13000 lr: 7.726e-05 train loss: 1.904532 train token_acc: 0.3066 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 13250 lr: 7.643e-05 train loss: 1.900131 train token_acc: 0.3094 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 13500 lr: 7.559e-05 train loss: 1.900177 train token_acc: 0.3065 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 13750 lr: 7.474e-05 train loss: 1.893999 train token_acc: 0.3081 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.86s)
itr: 14000 lr: 7.388e-05 train loss: 1.892752 train token_acc: 0.3110 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 14250 lr: 7.301e-05 train loss: 1.888798 train token_acc: 0.3132 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 14500 lr: 7.213e-05 train loss: 1.893993 train token_acc: 0.3096 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.41s)
itr: 14750 lr: 7.124e-05 train loss: 1.887263 train token_acc: 0.3112 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 15000 lr: 7.035e-05 train loss: 1.891151 train token_acc: 0.3116 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 15250 lr: 6.944e-05 train loss: 1.885654 train token_acc: 0.3118 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.45s)
itr: 15500 lr: 6.853e-05 train loss: 1.889114 train token_acc: 0.3133 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 15750 lr: 6.761e-05 train loss: 1.882637 train token_acc: 0.3103 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 16000 lr: 6.669e-05 train loss: 1.878603 train token_acc: 0.3106 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 16250 lr: 6.576e-05 train loss: 1.878976 train token_acc: 0.3157 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 16500 lr: 6.482e-05 train loss: 1.878236 train token_acc: 0.3130 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 16750 lr: 6.388e-05 train loss: 1.873698 train token_acc: 0.3151 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 17000 lr: 6.293e-05 train loss: 1.876492 train token_acc: 0.3111 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 17250 lr: 6.198e-05 train loss: 1.876001 train token_acc: 0.3151 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 17500 lr: 6.102e-05 train loss: 1.871029 train token_acc: 0.3130 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 17750 lr: 6.006e-05 train loss: 1.870374 train token_acc: 0.3157 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 18000 lr: 5.910e-05 train loss: 1.870757 train token_acc: 0.3133 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 18250 lr: 5.813e-05 train loss: 1.862199 train token_acc: 0.3146 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 18500 lr: 5.716e-05 train loss: 1.864678 train token_acc: 0.3148 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 18750 lr: 5.618e-05 train loss: 1.865469 train token_acc: 0.3139 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 19000 lr: 5.521e-05 train loss: 1.869182 train token_acc: 0.3162 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 19250 lr: 5.423e-05 train loss: 1.866273 train token_acc: 0.3156 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 19500 lr: 5.325e-05 train loss: 1.865934 train token_acc: 0.3169 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 19750 lr: 5.227e-05 train loss: 1.867720 train token_acc: 0.3183 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 20000 lr: 5.129e-05 train loss: 1.866471 train token_acc: 0.3165 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
saved checkpoint: ./grid_outputs/len_gen_v64_e32_k16/task_0003/saved_models/Checkpoint_N64_d32_H1_L2_npos1_mlp1_ln0_normnone_qkn0_qkrms0_gate0_gateelem0_lencurriculum_trainK16to16_testK16to16_nodup1_iters20001.pt
itr: 20250 lr: 5.030e-05 train loss: 1.859608 train token_acc: 0.3175 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.57s)
itr: 20500 lr: 4.932e-05 train loss: 1.865530 train token_acc: 0.3163 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 20750 lr: 4.834e-05 train loss: 1.868264 train token_acc: 0.3180 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 21000 lr: 4.736e-05 train loss: 1.857696 train token_acc: 0.3203 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 21250 lr: 4.638e-05 train loss: 1.858551 train token_acc: 0.3190 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 21500 lr: 4.540e-05 train loss: 1.854557 train token_acc: 0.3203 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
itr: 21750 lr: 4.443e-05 train loss: 1.858608 train token_acc: 0.3195 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.55s)
