training:  19%|█▉        | 7733/40000 [00:39<02:43, 197.69it/s]
itr: 0 lr: 2.494e-07 train loss: 4.192603 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.56s)
itr: 250 lr: 6.259e-05 train loss: 4.169557 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.32s)
itr: 500 lr: 1.000e-04 train loss: 4.096128 train token_acc: 0.0001 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 750 lr: 9.998e-05 train loss: 3.980480 train token_acc: 0.0105 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 1000 lr: 9.994e-05 train loss: 3.783572 train token_acc: 0.0224 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 1250 lr: 9.989e-05 train loss: 3.439327 train token_acc: 0.0448 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 1500 lr: 9.981e-05 train loss: 3.126541 train token_acc: 0.0616 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 1750 lr: 9.972e-05 train loss: 2.847029 train token_acc: 0.0742 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 2000 lr: 9.960e-05 train loss: 2.612567 train token_acc: 0.1038 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 2250 lr: 9.947e-05 train loss: 2.476585 train token_acc: 0.1378 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 2500 lr: 9.931e-05 train loss: 2.405422 train token_acc: 0.1676 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 2750 lr: 9.914e-05 train loss: 2.353730 train token_acc: 0.1858 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 3000 lr: 9.895e-05 train loss: 2.304497 train token_acc: 0.2072 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 3250 lr: 9.874e-05 train loss: 2.248873 train token_acc: 0.2275 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 3500 lr: 9.851e-05 train loss: 2.198236 train token_acc: 0.2473 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 3750 lr: 9.826e-05 train loss: 2.148220 train token_acc: 0.2640 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 4000 lr: 9.799e-05 train loss: 2.097370 train token_acc: 0.2798 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 4250 lr: 9.771e-05 train loss: 2.048634 train token_acc: 0.2930 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 4500 lr: 9.740e-05 train loss: 1.993175 train token_acc: 0.3121 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 4750 lr: 9.708e-05 train loss: 1.941371 train token_acc: 0.3294 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 5000 lr: 9.674e-05 train loss: 1.888065 train token_acc: 0.3507 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 5250 lr: 9.638e-05 train loss: 1.829102 train token_acc: 0.3715 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 5500 lr: 9.600e-05 train loss: 1.784619 train token_acc: 0.3839 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 5750 lr: 9.561e-05 train loss: 1.722183 train token_acc: 0.4075 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 6000 lr: 9.519e-05 train loss: 1.678004 train token_acc: 0.4240 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 6250 lr: 9.476e-05 train loss: 1.619946 train token_acc: 0.4395 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 6500 lr: 9.432e-05 train loss: 1.579811 train token_acc: 0.4538 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 6750 lr: 9.385e-05 train loss: 1.534343 train token_acc: 0.4692 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 7000 lr: 9.337e-05 train loss: 1.489278 train token_acc: 0.4869 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 7250 lr: 9.287e-05 train loss: 1.450730 train token_acc: 0.4951 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 7500 lr: 9.235e-05 train loss: 1.409024 train token_acc: 0.5114 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 7750 lr: 9.182e-05 train loss: 1.368122 train token_acc: 0.5271 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 8000 lr: 9.127e-05 train loss: 1.332534 train token_acc: 0.5418 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 8250 lr: 9.071e-05 train loss: 1.294252 train token_acc: 0.5544 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=1.27s)
itr: 8500 lr: 9.013e-05 train loss: 1.247505 train token_acc: 0.5739 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 8750 lr: 8.953e-05 train loss: 1.223116 train token_acc: 0.5856 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 9000 lr: 8.892e-05 train loss: 1.181422 train token_acc: 0.6012 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=1.27s)
itr: 9250 lr: 8.829e-05 train loss: 1.150739 train token_acc: 0.6119 train exact_match_acc: 0.0005 (K~16.00, min=16, max=16, dt=1.27s)
itr: 9500 lr: 8.765e-05 train loss: 1.114480 train token_acc: 0.6258 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 9750 lr: 8.700e-05 train loss: 1.083241 train token_acc: 0.6386 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 10000 lr: 8.632e-05 train loss: 1.058428 train token_acc: 0.6475 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=1.27s)
itr: 10250 lr: 8.564e-05 train loss: 1.014372 train token_acc: 0.6623 train exact_match_acc: 0.0005 (K~16.00, min=16, max=16, dt=1.27s)
itr: 10500 lr: 8.494e-05 train loss: 0.990465 train token_acc: 0.6725 train exact_match_acc: 0.0012 (K~16.00, min=16, max=16, dt=1.27s)
itr: 10750 lr: 8.423e-05 train loss: 0.949256 train token_acc: 0.6873 train exact_match_acc: 0.0020 (K~16.00, min=16, max=16, dt=1.27s)
itr: 11000 lr: 8.351e-05 train loss: 0.930113 train token_acc: 0.6940 train exact_match_acc: 0.0027 (K~16.00, min=16, max=16, dt=1.27s)
itr: 11250 lr: 8.277e-05 train loss: 0.899172 train token_acc: 0.7022 train exact_match_acc: 0.0024 (K~16.00, min=16, max=16, dt=1.27s)
itr: 11500 lr: 8.202e-05 train loss: 0.873036 train token_acc: 0.7145 train exact_match_acc: 0.0044 (K~16.00, min=16, max=16, dt=1.27s)
itr: 11750 lr: 8.125e-05 train loss: 0.849815 train token_acc: 0.7245 train exact_match_acc: 0.0088 (K~16.00, min=16, max=16, dt=1.27s)
itr: 12000 lr: 8.048e-05 train loss: 0.809279 train token_acc: 0.7377 train exact_match_acc: 0.0066 (K~16.00, min=16, max=16, dt=1.27s)
itr: 12250 lr: 7.969e-05 train loss: 0.798004 train token_acc: 0.7480 train exact_match_acc: 0.0100 (K~16.00, min=16, max=16, dt=1.27s)
itr: 12500 lr: 7.889e-05 train loss: 0.761881 train token_acc: 0.7593 train exact_match_acc: 0.0110 (K~16.00, min=16, max=16, dt=1.27s)
itr: 12750 lr: 7.808e-05 train loss: 0.740129 train token_acc: 0.7670 train exact_match_acc: 0.0151 (K~16.00, min=16, max=16, dt=1.27s)
itr: 13000 lr: 7.726e-05 train loss: 0.713995 train token_acc: 0.7776 train exact_match_acc: 0.0205 (K~16.00, min=16, max=16, dt=1.27s)
itr: 13250 lr: 7.643e-05 train loss: 0.690281 train token_acc: 0.7836 train exact_match_acc: 0.0222 (K~16.00, min=16, max=16, dt=1.27s)
itr: 13500 lr: 7.559e-05 train loss: 0.675037 train token_acc: 0.7904 train exact_match_acc: 0.0247 (K~16.00, min=16, max=16, dt=1.27s)
itr: 13750 lr: 7.474e-05 train loss: 0.653121 train token_acc: 0.7985 train exact_match_acc: 0.0283 (K~16.00, min=16, max=16, dt=1.27s)
itr: 14000 lr: 7.388e-05 train loss: 0.635813 train token_acc: 0.8096 train exact_match_acc: 0.0400 (K~16.00, min=16, max=16, dt=1.27s)
itr: 14250 lr: 7.301e-05 train loss: 0.604419 train token_acc: 0.8179 train exact_match_acc: 0.0454 (K~16.00, min=16, max=16, dt=1.27s)
itr: 14500 lr: 7.213e-05 train loss: 0.594153 train token_acc: 0.8211 train exact_match_acc: 0.0530 (K~16.00, min=16, max=16, dt=1.27s)
itr: 14750 lr: 7.124e-05 train loss: 0.571761 train token_acc: 0.8311 train exact_match_acc: 0.0623 (K~16.00, min=16, max=16, dt=1.27s)
itr: 15000 lr: 7.035e-05 train loss: 0.555063 train token_acc: 0.8385 train exact_match_acc: 0.0642 (K~16.00, min=16, max=16, dt=1.27s)
itr: 15250 lr: 6.944e-05 train loss: 0.540560 train token_acc: 0.8409 train exact_match_acc: 0.0728 (K~16.00, min=16, max=16, dt=1.27s)
itr: 15500 lr: 6.853e-05 train loss: 0.519116 train token_acc: 0.8496 train exact_match_acc: 0.0791 (K~16.00, min=16, max=16, dt=1.27s)
itr: 15750 lr: 6.761e-05 train loss: 0.499288 train token_acc: 0.8529 train exact_match_acc: 0.0881 (K~16.00, min=16, max=16, dt=1.27s)
itr: 16000 lr: 6.669e-05 train loss: 0.492754 train token_acc: 0.8584 train exact_match_acc: 0.1091 (K~16.00, min=16, max=16, dt=1.27s)
itr: 16250 lr: 6.576e-05 train loss: 0.490656 train token_acc: 0.8606 train exact_match_acc: 0.1035 (K~16.00, min=16, max=16, dt=1.27s)
itr: 16500 lr: 6.482e-05 train loss: 0.472806 train token_acc: 0.8685 train exact_match_acc: 0.1169 (K~16.00, min=16, max=16, dt=1.27s)
itr: 16750 lr: 6.388e-05 train loss: 0.448024 train token_acc: 0.8741 train exact_match_acc: 0.1274 (K~16.00, min=16, max=16, dt=1.27s)
itr: 17000 lr: 6.293e-05 train loss: 0.444692 train token_acc: 0.8755 train exact_match_acc: 0.1328 (K~16.00, min=16, max=16, dt=1.27s)
