training:  19%|█▉        | 7735/40000 [00:52<03:34, 150.12it/s]
itr: 0 lr: 2.494e-07 train loss: 4.193036 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.35s)
itr: 250 lr: 6.259e-05 train loss: 4.037264 train token_acc: 0.0029 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.72s)
itr: 500 lr: 1.000e-04 train loss: 3.485795 train token_acc: 0.0735 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.67s)
itr: 750 lr: 9.998e-05 train loss: 3.052873 train token_acc: 0.1296 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.67s)
itr: 1000 lr: 9.994e-05 train loss: 2.765513 train token_acc: 0.1399 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.67s)
itr: 1250 lr: 9.989e-05 train loss: 2.570036 train token_acc: 0.1586 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.67s)
itr: 1500 lr: 9.981e-05 train loss: 2.410079 train token_acc: 0.1766 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.67s)
itr: 1750 lr: 9.972e-05 train loss: 2.283654 train token_acc: 0.2110 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.67s)
itr: 2000 lr: 9.960e-05 train loss: 2.183147 train token_acc: 0.2511 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.67s)
itr: 2250 lr: 9.947e-05 train loss: 2.098221 train token_acc: 0.2880 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.67s)
itr: 2500 lr: 9.931e-05 train loss: 2.037568 train token_acc: 0.3208 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.67s)
itr: 2750 lr: 9.914e-05 train loss: 1.983378 train token_acc: 0.3343 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.67s)
itr: 3000 lr: 9.895e-05 train loss: 1.927887 train token_acc: 0.3559 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.67s)
itr: 3250 lr: 9.874e-05 train loss: 1.871008 train token_acc: 0.3762 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.67s)
itr: 3500 lr: 9.851e-05 train loss: 1.823639 train token_acc: 0.3898 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.67s)
