training:  19%|█▉        | 7741/40000 [01:06<04:33, 117.77it/s]
itr: 0 lr: 2.494e-07 train loss: 4.568192 train token_acc: 0.0128 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.43s)
itr: 250 lr: 6.259e-05 train loss: 4.244542 train token_acc: 0.0207 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.17s)
itr: 500 lr: 1.000e-04 train loss: 3.573770 train token_acc: 0.1280 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.13s)
itr: 750 lr: 9.998e-05 train loss: 2.824960 train token_acc: 0.3004 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.13s)
itr: 1000 lr: 9.994e-05 train loss: 2.118174 train token_acc: 0.4968 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.13s)
itr: 1250 lr: 9.989e-05 train loss: 1.425238 train token_acc: 0.7180 train exact_match_acc: 0.0015 (K~16.00, min=16, max=16, dt=2.13s)
itr: 1500 lr: 9.981e-05 train loss: 0.875200 train token_acc: 0.8651 train exact_match_acc: 0.0896 (K~16.00, min=16, max=16, dt=2.13s)
itr: 1750 lr: 9.972e-05 train loss: 0.511745 train token_acc: 0.9396 train exact_match_acc: 0.3435 (K~16.00, min=16, max=16, dt=2.13s)
itr: 2000 lr: 9.960e-05 train loss: 0.294351 train token_acc: 0.9697 train exact_match_acc: 0.5847 (K~16.00, min=16, max=16, dt=2.13s)
itr: 2250 lr: 9.947e-05 train loss: 0.168102 train token_acc: 0.9829 train exact_match_acc: 0.7390 (K~16.00, min=16, max=16, dt=2.13s)
itr: 2500 lr: 9.931e-05 train loss: 0.102901 train token_acc: 0.9882 train exact_match_acc: 0.8162 (K~16.00, min=16, max=16, dt=2.13s)
itr: 2750 lr: 9.914e-05 train loss: 0.063369 train token_acc: 0.9927 train exact_match_acc: 0.8855 (K~16.00, min=16, max=16, dt=2.13s)
itr: 3000 lr: 9.895e-05 train loss: 0.043479 train token_acc: 0.9946 train exact_match_acc: 0.9143 (K~16.00, min=16, max=16, dt=2.13s)
itr: 3250 lr: 9.874e-05 train loss: 0.029527 train token_acc: 0.9960 train exact_match_acc: 0.9363 (K~16.00, min=16, max=16, dt=2.13s)
itr: 3500 lr: 9.851e-05 train loss: 0.022958 train token_acc: 0.9967 train exact_match_acc: 0.9470 (K~16.00, min=16, max=16, dt=2.13s)
itr: 3750 lr: 9.826e-05 train loss: 0.017267 train token_acc: 0.9972 train exact_match_acc: 0.9553 (K~16.00, min=16, max=16, dt=2.13s)
itr: 4000 lr: 9.799e-05 train loss: 0.013662 train token_acc: 0.9979 train exact_match_acc: 0.9670 (K~16.00, min=16, max=16, dt=2.13s)
itr: 4250 lr: 9.771e-05 train loss: 0.011202 train token_acc: 0.9982 train exact_match_acc: 0.9705 (K~16.00, min=16, max=16, dt=2.13s)
itr: 4500 lr: 9.740e-05 train loss: 0.007675 train token_acc: 0.9987 train exact_match_acc: 0.9795 (K~16.00, min=16, max=16, dt=2.13s)
itr: 4750 lr: 9.708e-05 train loss: 0.007161 train token_acc: 0.9988 train exact_match_acc: 0.9810 (K~16.00, min=16, max=16, dt=2.13s)
itr: 5000 lr: 9.674e-05 train loss: 0.006001 train token_acc: 0.9989 train exact_match_acc: 0.9817 (K~16.00, min=16, max=16, dt=2.13s)
itr: 5250 lr: 9.638e-05 train loss: 0.004805 train token_acc: 0.9991 train exact_match_acc: 0.9856 (K~16.00, min=16, max=16, dt=2.13s)
itr: 5500 lr: 9.600e-05 train loss: 0.004521 train token_acc: 0.9991 train exact_match_acc: 0.9863 (K~16.00, min=16, max=16, dt=2.13s)
itr: 5750 lr: 9.561e-05 train loss: 0.003820 train token_acc: 0.9993 train exact_match_acc: 0.9888 (K~16.00, min=16, max=16, dt=2.13s)
itr: 6000 lr: 9.519e-05 train loss: 0.004355 train token_acc: 0.9990 train exact_match_acc: 0.9834 (K~16.00, min=16, max=16, dt=2.13s)
itr: 6250 lr: 9.476e-05 train loss: 0.003029 train token_acc: 0.9994 train exact_match_acc: 0.9897 (K~16.00, min=16, max=16, dt=2.13s)
itr: 6500 lr: 9.432e-05 train loss: 0.002934 train token_acc: 0.9993 train exact_match_acc: 0.9893 (K~16.00, min=16, max=16, dt=2.13s)
itr: 6750 lr: 9.385e-05 train loss: 0.002430 train token_acc: 0.9995 train exact_match_acc: 0.9912 (K~16.00, min=16, max=16, dt=2.13s)
itr: 7000 lr: 9.337e-05 train loss: 0.002300 train token_acc: 0.9995 train exact_match_acc: 0.9912 (K~16.00, min=16, max=16, dt=2.13s)
itr: 7250 lr: 9.287e-05 train loss: 0.002286 train token_acc: 0.9995 train exact_match_acc: 0.9915 (K~16.00, min=16, max=16, dt=2.13s)
itr: 7500 lr: 9.235e-05 train loss: 0.002987 train token_acc: 0.9993 train exact_match_acc: 0.9893 (K~16.00, min=16, max=16, dt=2.13s)
itr: 7750 lr: 9.182e-05 train loss: 0.002437 train token_acc: 0.9994 train exact_match_acc: 0.9907 (K~16.00, min=16, max=16, dt=2.13s)
itr: 8000 lr: 9.127e-05 train loss: 0.002169 train token_acc: 0.9995 train exact_match_acc: 0.9912 (K~16.00, min=16, max=16, dt=2.13s)
itr: 8250 lr: 9.071e-05 train loss: 0.001972 train token_acc: 0.9995 train exact_match_acc: 0.9919 (K~16.00, min=16, max=16, dt=2.13s)
itr: 8500 lr: 9.013e-05 train loss: 0.001728 train token_acc: 0.9996 train exact_match_acc: 0.9937 (K~16.00, min=16, max=16, dt=2.13s)
itr: 8750 lr: 8.953e-05 train loss: 0.001855 train token_acc: 0.9996 train exact_match_acc: 0.9937 (K~16.00, min=16, max=16, dt=2.12s)
itr: 9000 lr: 8.892e-05 train loss: 0.001283 train token_acc: 0.9997 train exact_match_acc: 0.9951 (K~16.00, min=16, max=16, dt=2.13s)
itr: 9250 lr: 8.829e-05 train loss: 0.001466 train token_acc: 0.9996 train exact_match_acc: 0.9944 (K~16.00, min=16, max=16, dt=2.13s)
itr: 9500 lr: 8.765e-05 train loss: 0.001325 train token_acc: 0.9996 train exact_match_acc: 0.9941 (K~16.00, min=16, max=16, dt=2.13s)
