training:  19%|█▉        | 7741/40000 [01:06<04:34, 117.65it/s]
itr: 0 lr: 2.494e-07 train loss: 4.487585 train token_acc: 0.0117 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.40s)
itr: 250 lr: 6.259e-05 train loss: 4.181344 train token_acc: 0.0287 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.17s)
itr: 500 lr: 1.000e-04 train loss: 3.399181 train token_acc: 0.1626 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.13s)
itr: 750 lr: 9.998e-05 train loss: 2.609777 train token_acc: 0.3519 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.13s)
itr: 1000 lr: 9.994e-05 train loss: 1.928073 train token_acc: 0.5555 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.13s)
itr: 1250 lr: 9.989e-05 train loss: 1.275960 train token_acc: 0.7593 train exact_match_acc: 0.0061 (K~16.00, min=16, max=16, dt=2.13s)
itr: 1500 lr: 9.981e-05 train loss: 0.783461 train token_acc: 0.8832 train exact_match_acc: 0.1399 (K~16.00, min=16, max=16, dt=2.13s)
itr: 1750 lr: 9.972e-05 train loss: 0.457972 train token_acc: 0.9483 train exact_match_acc: 0.4153 (K~16.00, min=16, max=16, dt=2.13s)
itr: 2000 lr: 9.960e-05 train loss: 0.262914 train token_acc: 0.9746 train exact_match_acc: 0.6355 (K~16.00, min=16, max=16, dt=2.13s)
itr: 2250 lr: 9.947e-05 train loss: 0.151555 train token_acc: 0.9842 train exact_match_acc: 0.7612 (K~16.00, min=16, max=16, dt=2.13s)
itr: 2500 lr: 9.931e-05 train loss: 0.089942 train token_acc: 0.9899 train exact_match_acc: 0.8428 (K~16.00, min=16, max=16, dt=2.13s)
itr: 2750 lr: 9.914e-05 train loss: 0.055489 train token_acc: 0.9929 train exact_match_acc: 0.8872 (K~16.00, min=16, max=16, dt=2.13s)
itr: 3000 lr: 9.895e-05 train loss: 0.037057 train token_acc: 0.9951 train exact_match_acc: 0.9216 (K~16.00, min=16, max=16, dt=2.15s)
itr: 3250 lr: 9.874e-05 train loss: 0.025498 train token_acc: 0.9966 train exact_match_acc: 0.9453 (K~16.00, min=16, max=16, dt=2.13s)
itr: 3500 lr: 9.851e-05 train loss: 0.016769 train token_acc: 0.9979 train exact_match_acc: 0.9666 (K~16.00, min=16, max=16, dt=2.13s)
itr: 3750 lr: 9.826e-05 train loss: 0.011977 train token_acc: 0.9983 train exact_match_acc: 0.9731 (K~16.00, min=16, max=16, dt=2.13s)
itr: 4000 lr: 9.799e-05 train loss: 0.008344 train token_acc: 0.9987 train exact_match_acc: 0.9800 (K~16.00, min=16, max=16, dt=2.13s)
itr: 4250 lr: 9.771e-05 train loss: 0.007132 train token_acc: 0.9986 train exact_match_acc: 0.9780 (K~16.00, min=16, max=16, dt=2.13s)
itr: 4500 lr: 9.740e-05 train loss: 0.005126 train token_acc: 0.9992 train exact_match_acc: 0.9868 (K~16.00, min=16, max=16, dt=2.13s)
itr: 4750 lr: 9.708e-05 train loss: 0.003915 train token_acc: 0.9992 train exact_match_acc: 0.9875 (K~16.00, min=16, max=16, dt=2.13s)
itr: 5000 lr: 9.674e-05 train loss: 0.003587 train token_acc: 0.9992 train exact_match_acc: 0.9878 (K~16.00, min=16, max=16, dt=2.13s)
itr: 5250 lr: 9.638e-05 train loss: 0.002854 train token_acc: 0.9993 train exact_match_acc: 0.9895 (K~16.00, min=16, max=16, dt=2.13s)
itr: 5500 lr: 9.600e-05 train loss: 0.003290 train token_acc: 0.9992 train exact_match_acc: 0.9871 (K~16.00, min=16, max=16, dt=2.13s)
itr: 5750 lr: 9.561e-05 train loss: 0.002041 train token_acc: 0.9995 train exact_match_acc: 0.9919 (K~16.00, min=16, max=16, dt=2.13s)
itr: 6000 lr: 9.519e-05 train loss: 0.002625 train token_acc: 0.9993 train exact_match_acc: 0.9890 (K~16.00, min=16, max=16, dt=2.13s)
itr: 6250 lr: 9.476e-05 train loss: 0.002054 train token_acc: 0.9995 train exact_match_acc: 0.9919 (K~16.00, min=16, max=16, dt=2.13s)
itr: 6500 lr: 9.432e-05 train loss: 0.002023 train token_acc: 0.9995 train exact_match_acc: 0.9924 (K~16.00, min=16, max=16, dt=2.13s)
itr: 6750 lr: 9.385e-05 train loss: 0.001611 train token_acc: 0.9995 train exact_match_acc: 0.9924 (K~16.00, min=16, max=16, dt=2.13s)
itr: 7000 lr: 9.337e-05 train loss: 0.001646 train token_acc: 0.9996 train exact_match_acc: 0.9934 (K~16.00, min=16, max=16, dt=2.13s)
itr: 7250 lr: 9.287e-05 train loss: 0.001630 train token_acc: 0.9995 train exact_match_acc: 0.9917 (K~16.00, min=16, max=16, dt=2.13s)
itr: 7500 lr: 9.235e-05 train loss: 0.001936 train token_acc: 0.9995 train exact_match_acc: 0.9912 (K~16.00, min=16, max=16, dt=2.13s)
itr: 7750 lr: 9.182e-05 train loss: 0.001241 train token_acc: 0.9996 train exact_match_acc: 0.9941 (K~16.00, min=16, max=16, dt=2.13s)
itr: 8000 lr: 9.127e-05 train loss: 0.000968 train token_acc: 0.9997 train exact_match_acc: 0.9954 (K~16.00, min=16, max=16, dt=2.13s)
itr: 8250 lr: 9.071e-05 train loss: 0.001417 train token_acc: 0.9996 train exact_match_acc: 0.9941 (K~16.00, min=16, max=16, dt=2.13s)
itr: 8500 lr: 9.013e-05 train loss: 0.001494 train token_acc: 0.9996 train exact_match_acc: 0.9937 (K~16.00, min=16, max=16, dt=2.13s)
itr: 8750 lr: 8.953e-05 train loss: 0.001210 train token_acc: 0.9996 train exact_match_acc: 0.9939 (K~16.00, min=16, max=16, dt=2.13s)
itr: 9000 lr: 8.892e-05 train loss: 0.000817 train token_acc: 0.9998 train exact_match_acc: 0.9966 (K~16.00, min=16, max=16, dt=2.13s)
itr: 9250 lr: 8.829e-05 train loss: 0.001163 train token_acc: 0.9997 train exact_match_acc: 0.9949 (K~16.00, min=16, max=16, dt=2.13s)
itr: 9500 lr: 8.765e-05 train loss: 0.000757 train token_acc: 0.9997 train exact_match_acc: 0.9956 (K~16.00, min=16, max=16, dt=2.13s)
itr: 9750 lr: 8.700e-05 train loss: 0.001531 train token_acc: 0.9996 train exact_match_acc: 0.9932 (K~16.00, min=16, max=16, dt=2.13s)
itr: 10000 lr: 8.632e-05 train loss: 0.001119 train token_acc: 0.9996 train exact_match_acc: 0.9939 (K~16.00, min=16, max=16, dt=2.13s)
itr: 10250 lr: 8.564e-05 train loss: 0.000685 train token_acc: 0.9998 train exact_match_acc: 0.9963 (K~16.00, min=16, max=16, dt=2.13s)
itr: 10500 lr: 8.494e-05 train loss: 0.000985 train token_acc: 0.9997 train exact_match_acc: 0.9951 (K~16.00, min=16, max=16, dt=2.13s)
itr: 10750 lr: 8.423e-05 train loss: 0.001082 train token_acc: 0.9997 train exact_match_acc: 0.9951 (K~16.00, min=16, max=16, dt=2.13s)
itr: 11000 lr: 8.351e-05 train loss: 0.001215 train token_acc: 0.9996 train exact_match_acc: 0.9941 (K~16.00, min=16, max=16, dt=2.13s)
itr: 11250 lr: 8.277e-05 train loss: 0.000993 train token_acc: 0.9997 train exact_match_acc: 0.9958 (K~16.00, min=16, max=16, dt=2.13s)
itr: 11500 lr: 8.202e-05 train loss: 0.000717 train token_acc: 0.9998 train exact_match_acc: 0.9966 (K~16.00, min=16, max=16, dt=2.13s)
itr: 11750 lr: 8.125e-05 train loss: 0.000534 train token_acc: 0.9998 train exact_match_acc: 0.9973 (K~16.00, min=16, max=16, dt=2.13s)
itr: 12000 lr: 8.048e-05 train loss: 0.000705 train token_acc: 0.9998 train exact_match_acc: 0.9968 (K~16.00, min=16, max=16, dt=2.13s)
itr: 12250 lr: 7.969e-05 train loss: 0.000589 train token_acc: 0.9998 train exact_match_acc: 0.9971 (K~16.00, min=16, max=16, dt=2.13s)
itr: 12500 lr: 7.889e-05 train loss: 0.000875 train token_acc: 0.9997 train exact_match_acc: 0.9956 (K~16.00, min=16, max=16, dt=2.13s)
itr: 12750 lr: 7.808e-05 train loss: 0.000654 train token_acc: 0.9998 train exact_match_acc: 0.9963 (K~16.00, min=16, max=16, dt=2.13s)
itr: 13000 lr: 7.726e-05 train loss: 0.000710 train token_acc: 0.9998 train exact_match_acc: 0.9963 (K~16.00, min=16, max=16, dt=2.13s)
itr: 13250 lr: 7.643e-05 train loss: 0.000904 train token_acc: 0.9998 train exact_match_acc: 0.9971 (K~16.00, min=16, max=16, dt=2.13s)
