training:  19%|█▉        | 7741/40000 [01:06<04:34, 117.67it/s]
itr: 0 lr: 2.494e-07 train loss: 4.498240 train token_acc: 0.0150 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 4.176148 train token_acc: 0.0340 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.17s)
itr: 500 lr: 1.000e-04 train loss: 3.374743 train token_acc: 0.1594 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.13s)
itr: 750 lr: 9.998e-05 train loss: 2.601331 train token_acc: 0.3194 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.13s)
itr: 1000 lr: 9.994e-05 train loss: 1.943846 train token_acc: 0.5332 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.13s)
itr: 1250 lr: 9.989e-05 train loss: 1.285240 train token_acc: 0.7471 train exact_match_acc: 0.0051 (K~16.00, min=16, max=16, dt=2.13s)
itr: 1500 lr: 9.981e-05 train loss: 0.783935 train token_acc: 0.8847 train exact_match_acc: 0.1406 (K~16.00, min=16, max=16, dt=2.13s)
itr: 1750 lr: 9.972e-05 train loss: 0.442836 train token_acc: 0.9498 train exact_match_acc: 0.4229 (K~16.00, min=16, max=16, dt=2.13s)
itr: 2000 lr: 9.960e-05 train loss: 0.251158 train token_acc: 0.9756 train exact_match_acc: 0.6538 (K~16.00, min=16, max=16, dt=2.13s)
itr: 2250 lr: 9.947e-05 train loss: 0.141182 train token_acc: 0.9861 train exact_match_acc: 0.7917 (K~16.00, min=16, max=16, dt=2.13s)
itr: 2500 lr: 9.931e-05 train loss: 0.081064 train token_acc: 0.9923 train exact_match_acc: 0.8787 (K~16.00, min=16, max=16, dt=2.13s)
itr: 2750 lr: 9.914e-05 train loss: 0.050763 train token_acc: 0.9948 train exact_match_acc: 0.9170 (K~16.00, min=16, max=16, dt=2.13s)
itr: 3000 lr: 9.895e-05 train loss: 0.030594 train token_acc: 0.9966 train exact_match_acc: 0.9465 (K~16.00, min=16, max=16, dt=2.13s)
itr: 3250 lr: 9.874e-05 train loss: 0.022363 train token_acc: 0.9971 train exact_match_acc: 0.9531 (K~16.00, min=16, max=16, dt=2.13s)
itr: 3500 lr: 9.851e-05 train loss: 0.015797 train token_acc: 0.9976 train exact_match_acc: 0.9619 (K~16.00, min=16, max=16, dt=2.13s)
itr: 3750 lr: 9.826e-05 train loss: 0.011851 train token_acc: 0.9981 train exact_match_acc: 0.9700 (K~16.00, min=16, max=16, dt=2.13s)
itr: 4000 lr: 9.799e-05 train loss: 0.010329 train token_acc: 0.9981 train exact_match_acc: 0.9695 (K~16.00, min=16, max=16, dt=2.13s)
itr: 4250 lr: 9.771e-05 train loss: 0.007887 train token_acc: 0.9986 train exact_match_acc: 0.9778 (K~16.00, min=16, max=16, dt=2.13s)
itr: 4500 lr: 9.740e-05 train loss: 0.006864 train token_acc: 0.9987 train exact_match_acc: 0.9792 (K~16.00, min=16, max=16, dt=2.13s)
itr: 4750 lr: 9.708e-05 train loss: 0.005303 train token_acc: 0.9989 train exact_match_acc: 0.9829 (K~16.00, min=16, max=16, dt=2.13s)
itr: 5000 lr: 9.674e-05 train loss: 0.004536 train token_acc: 0.9992 train exact_match_acc: 0.9871 (K~16.00, min=16, max=16, dt=2.13s)
itr: 5250 lr: 9.638e-05 train loss: 0.003987 train token_acc: 0.9992 train exact_match_acc: 0.9866 (K~16.00, min=16, max=16, dt=2.13s)
itr: 5500 lr: 9.600e-05 train loss: 0.003874 train token_acc: 0.9992 train exact_match_acc: 0.9878 (K~16.00, min=16, max=16, dt=2.13s)
itr: 5750 lr: 9.561e-05 train loss: 0.003303 train token_acc: 0.9994 train exact_match_acc: 0.9902 (K~16.00, min=16, max=16, dt=2.13s)
itr: 6000 lr: 9.519e-05 train loss: 0.002775 train token_acc: 0.9995 train exact_match_acc: 0.9927 (K~16.00, min=16, max=16, dt=2.13s)
itr: 6250 lr: 9.476e-05 train loss: 0.002249 train token_acc: 0.9996 train exact_match_acc: 0.9939 (K~16.00, min=16, max=16, dt=2.13s)
