training:  19%|█▉        | 7749/40000 [00:52<03:35, 149.90it/s]
itr: 0 lr: 2.494e-07 train loss: 4.191682 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 4.036332 train token_acc: 0.0040 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.71s)
itr: 500 lr: 1.000e-04 train loss: 3.495890 train token_acc: 0.0660 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.67s)
itr: 750 lr: 9.998e-05 train loss: 3.079217 train token_acc: 0.1135 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.67s)
itr: 1000 lr: 9.994e-05 train loss: 2.786289 train token_acc: 0.1765 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.67s)
itr: 1250 lr: 9.989e-05 train loss: 2.529159 train token_acc: 0.2229 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.67s)
itr: 1500 lr: 9.981e-05 train loss: 2.306318 train token_acc: 0.2643 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.67s)
itr: 1750 lr: 9.972e-05 train loss: 2.109159 train token_acc: 0.3099 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.67s)
itr: 2000 lr: 9.960e-05 train loss: 1.916989 train token_acc: 0.3943 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.67s)
itr: 2250 lr: 9.947e-05 train loss: 1.719678 train token_acc: 0.4732 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.67s)
itr: 2500 lr: 9.931e-05 train loss: 1.520126 train token_acc: 0.5609 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=1.67s)
itr: 2750 lr: 9.914e-05 train loss: 1.331623 train token_acc: 0.6450 train exact_match_acc: 0.0005 (K~16.00, min=16, max=16, dt=1.67s)
itr: 3000 lr: 9.895e-05 train loss: 1.150315 train token_acc: 0.7087 train exact_match_acc: 0.0032 (K~16.00, min=16, max=16, dt=1.67s)
itr: 3250 lr: 9.874e-05 train loss: 0.981231 train token_acc: 0.7703 train exact_match_acc: 0.0210 (K~16.00, min=16, max=16, dt=1.67s)
itr: 3500 lr: 9.851e-05 train loss: 0.820221 train token_acc: 0.8198 train exact_match_acc: 0.0549 (K~16.00, min=16, max=16, dt=1.67s)
itr: 3750 lr: 9.826e-05 train loss: 0.676362 train token_acc: 0.8574 train exact_match_acc: 0.1248 (K~16.00, min=16, max=16, dt=1.67s)
itr: 4000 lr: 9.799e-05 train loss: 0.568010 train token_acc: 0.8849 train exact_match_acc: 0.1768 (K~16.00, min=16, max=16, dt=1.67s)
itr: 4250 lr: 9.771e-05 train loss: 0.473189 train token_acc: 0.9090 train exact_match_acc: 0.2437 (K~16.00, min=16, max=16, dt=1.67s)
itr: 4500 lr: 9.740e-05 train loss: 0.399529 train token_acc: 0.9254 train exact_match_acc: 0.3152 (K~16.00, min=16, max=16, dt=1.67s)
itr: 4750 lr: 9.708e-05 train loss: 0.347489 train token_acc: 0.9350 train exact_match_acc: 0.3691 (K~16.00, min=16, max=16, dt=1.67s)
itr: 5000 lr: 9.674e-05 train loss: 0.302771 train token_acc: 0.9482 train exact_match_acc: 0.4419 (K~16.00, min=16, max=16, dt=1.67s)
itr: 5250 lr: 9.638e-05 train loss: 0.269503 train token_acc: 0.9556 train exact_match_acc: 0.4905 (K~16.00, min=16, max=16, dt=1.67s)
itr: 5500 lr: 9.600e-05 train loss: 0.236233 train token_acc: 0.9653 train exact_match_acc: 0.5720 (K~16.00, min=16, max=16, dt=1.67s)
itr: 5750 lr: 9.561e-05 train loss: 0.219760 train token_acc: 0.9702 train exact_match_acc: 0.6003 (K~16.00, min=16, max=16, dt=1.67s)
itr: 6000 lr: 9.519e-05 train loss: 0.195374 train token_acc: 0.9741 train exact_match_acc: 0.6497 (K~16.00, min=16, max=16, dt=1.67s)
itr: 6250 lr: 9.476e-05 train loss: 0.179494 train token_acc: 0.9771 train exact_match_acc: 0.6807 (K~16.00, min=16, max=16, dt=1.67s)
itr: 6500 lr: 9.432e-05 train loss: 0.168693 train token_acc: 0.9781 train exact_match_acc: 0.6938 (K~16.00, min=16, max=16, dt=1.67s)
itr: 6750 lr: 9.385e-05 train loss: 0.153880 train token_acc: 0.9805 train exact_match_acc: 0.7151 (K~16.00, min=16, max=16, dt=1.67s)
itr: 7000 lr: 9.337e-05 train loss: 0.141266 train token_acc: 0.9820 train exact_match_acc: 0.7361 (K~16.00, min=16, max=16, dt=1.67s)
itr: 7250 lr: 9.287e-05 train loss: 0.134732 train token_acc: 0.9833 train exact_match_acc: 0.7546 (K~16.00, min=16, max=16, dt=1.67s)
itr: 7500 lr: 9.235e-05 train loss: 0.124933 train token_acc: 0.9845 train exact_match_acc: 0.7720 (K~16.00, min=16, max=16, dt=1.67s)
itr: 7750 lr: 9.182e-05 train loss: 0.128444 train token_acc: 0.9842 train exact_match_acc: 0.7637 (K~16.00, min=16, max=16, dt=1.67s)
itr: 8000 lr: 9.127e-05 train loss: 0.119463 train token_acc: 0.9844 train exact_match_acc: 0.7715 (K~16.00, min=16, max=16, dt=1.67s)
itr: 8250 lr: 9.071e-05 train loss: 0.112899 train token_acc: 0.9851 train exact_match_acc: 0.7751 (K~16.00, min=16, max=16, dt=1.67s)
itr: 8500 lr: 9.013e-05 train loss: 0.114185 train token_acc: 0.9852 train exact_match_acc: 0.7803 (K~16.00, min=16, max=16, dt=1.67s)
itr: 8750 lr: 8.953e-05 train loss: 0.115003 train token_acc: 0.9845 train exact_match_acc: 0.7690 (K~16.00, min=16, max=16, dt=1.67s)
itr: 9000 lr: 8.892e-05 train loss: 0.102985 train token_acc: 0.9861 train exact_match_acc: 0.7925 (K~16.00, min=16, max=16, dt=1.67s)
itr: 9250 lr: 8.829e-05 train loss: 0.110002 train token_acc: 0.9852 train exact_match_acc: 0.7793 (K~16.00, min=16, max=16, dt=1.67s)
itr: 9500 lr: 8.765e-05 train loss: 0.103557 train token_acc: 0.9858 train exact_match_acc: 0.7881 (K~16.00, min=16, max=16, dt=1.67s)
itr: 9750 lr: 8.700e-05 train loss: 0.105385 train token_acc: 0.9857 train exact_match_acc: 0.7854 (K~16.00, min=16, max=16, dt=1.67s)
itr: 10000 lr: 8.632e-05 train loss: 0.096338 train token_acc: 0.9865 train exact_match_acc: 0.7981 (K~16.00, min=16, max=16, dt=1.67s)
itr: 10250 lr: 8.564e-05 train loss: 0.092948 train token_acc: 0.9871 train exact_match_acc: 0.8064 (K~16.00, min=16, max=16, dt=1.67s)
itr: 10500 lr: 8.494e-05 train loss: 0.092732 train token_acc: 0.9873 train exact_match_acc: 0.8066 (K~16.00, min=16, max=16, dt=1.67s)
itr: 10750 lr: 8.423e-05 train loss: 0.095298 train token_acc: 0.9871 train exact_match_acc: 0.8042 (K~16.00, min=16, max=16, dt=1.67s)
itr: 11000 lr: 8.351e-05 train loss: 0.090813 train token_acc: 0.9870 train exact_match_acc: 0.8057 (K~16.00, min=16, max=16, dt=1.67s)
itr: 11250 lr: 8.277e-05 train loss: 0.089935 train token_acc: 0.9874 train exact_match_acc: 0.8096 (K~16.00, min=16, max=16, dt=1.67s)
itr: 11500 lr: 8.202e-05 train loss: 0.090617 train token_acc: 0.9875 train exact_match_acc: 0.8093 (K~16.00, min=16, max=16, dt=1.67s)
itr: 11750 lr: 8.125e-05 train loss: 0.087377 train token_acc: 0.9878 train exact_match_acc: 0.8154 (K~16.00, min=16, max=16, dt=1.67s)
itr: 12000 lr: 8.048e-05 train loss: 0.089316 train token_acc: 0.9871 train exact_match_acc: 0.8044 (K~16.00, min=16, max=16, dt=1.67s)
itr: 12250 lr: 7.969e-05 train loss: 0.085625 train token_acc: 0.9876 train exact_match_acc: 0.8132 (K~16.00, min=16, max=16, dt=1.67s)
itr: 12500 lr: 7.889e-05 train loss: 0.081741 train token_acc: 0.9881 train exact_match_acc: 0.8174 (K~16.00, min=16, max=16, dt=1.67s)
itr: 12750 lr: 7.808e-05 train loss: 0.084071 train token_acc: 0.9872 train exact_match_acc: 0.8086 (K~16.00, min=16, max=16, dt=1.67s)
itr: 13000 lr: 7.726e-05 train loss: 0.085978 train token_acc: 0.9874 train exact_match_acc: 0.8093 (K~16.00, min=16, max=16, dt=1.67s)
itr: 13250 lr: 7.643e-05 train loss: 0.082792 train token_acc: 0.9879 train exact_match_acc: 0.8154 (K~16.00, min=16, max=16, dt=1.67s)
itr: 13500 lr: 7.559e-05 train loss: 0.085964 train token_acc: 0.9873 train exact_match_acc: 0.8074 (K~16.00, min=16, max=16, dt=1.67s)
itr: 13750 lr: 7.474e-05 train loss: 0.080911 train token_acc: 0.9879 train exact_match_acc: 0.8149 (K~16.00, min=16, max=16, dt=1.67s)
itr: 14000 lr: 7.388e-05 train loss: 0.079523 train token_acc: 0.9878 train exact_match_acc: 0.8159 (K~16.00, min=16, max=16, dt=1.67s)
itr: 14250 lr: 7.301e-05 train loss: 0.082640 train token_acc: 0.9875 train exact_match_acc: 0.8086 (K~16.00, min=16, max=16, dt=1.67s)
itr: 14500 lr: 7.213e-05 train loss: 0.087492 train token_acc: 0.9868 train exact_match_acc: 0.8015 (K~16.00, min=16, max=16, dt=1.67s)
itr: 14750 lr: 7.124e-05 train loss: 0.078215 train token_acc: 0.9878 train exact_match_acc: 0.8130 (K~16.00, min=16, max=16, dt=1.67s)
