training:  10%|▉         | 3942/40000 [00:35<05:07, 117.31it/s]
itr: 0 lr: 2.494e-07 train loss: 4.192741 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.34s)
itr: 250 lr: 6.259e-05 train loss: 3.922322 train token_acc: 0.0733 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.22s)
itr: 500 lr: 1.000e-04 train loss: 3.369780 train token_acc: 0.1742 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.13s)
itr: 750 lr: 9.998e-05 train loss: 2.862394 train token_acc: 0.2699 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.13s)
itr: 1000 lr: 9.994e-05 train loss: 2.415339 train token_acc: 0.4240 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.13s)
itr: 1250 lr: 9.989e-05 train loss: 2.012462 train token_acc: 0.5920 train exact_match_acc: 0.0005 (K~16.00, min=16, max=16, dt=2.13s)
itr: 1500 lr: 9.981e-05 train loss: 1.630615 train token_acc: 0.7219 train exact_match_acc: 0.0061 (K~16.00, min=16, max=16, dt=2.13s)
itr: 1750 lr: 9.972e-05 train loss: 1.266938 train token_acc: 0.8157 train exact_match_acc: 0.0432 (K~16.00, min=16, max=16, dt=2.13s)
itr: 2000 lr: 9.960e-05 train loss: 0.943281 train token_acc: 0.8914 train exact_match_acc: 0.1763 (K~16.00, min=16, max=16, dt=2.13s)
itr: 2250 lr: 9.947e-05 train loss: 0.672734 train token_acc: 0.9414 train exact_match_acc: 0.3840 (K~16.00, min=16, max=16, dt=2.13s)
itr: 2500 lr: 9.931e-05 train loss: 0.470663 train token_acc: 0.9658 train exact_match_acc: 0.5649 (K~16.00, min=16, max=16, dt=2.13s)
itr: 2750 lr: 9.914e-05 train loss: 0.325811 train token_acc: 0.9770 train exact_match_acc: 0.6799 (K~16.00, min=16, max=16, dt=2.13s)
itr: 3000 lr: 9.895e-05 train loss: 0.229539 train token_acc: 0.9825 train exact_match_acc: 0.7412 (K~16.00, min=16, max=16, dt=2.13s)
itr: 3250 lr: 9.874e-05 train loss: 0.162370 train token_acc: 0.9865 train exact_match_acc: 0.7913 (K~16.00, min=16, max=16, dt=2.13s)
itr: 3500 lr: 9.851e-05 train loss: 0.121203 train token_acc: 0.9887 train exact_match_acc: 0.8245 (K~16.00, min=16, max=16, dt=2.13s)
itr: 3750 lr: 9.826e-05 train loss: 0.093944 train token_acc: 0.9904 train exact_match_acc: 0.8494 (K~16.00, min=16, max=16, dt=2.13s)
