training:  19%|█▉        | 7741/40000 [01:06<04:33, 117.81it/s]
itr: 0 lr: 2.494e-07 train loss: 4.192741 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.32s)
itr: 250 lr: 6.259e-05 train loss: 3.922322 train token_acc: 0.0733 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.19s)
itr: 500 lr: 1.000e-04 train loss: 3.369780 train token_acc: 0.1742 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.12s)
itr: 750 lr: 9.998e-05 train loss: 2.862394 train token_acc: 0.2699 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.12s)
itr: 1000 lr: 9.994e-05 train loss: 2.415339 train token_acc: 0.4240 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.12s)
itr: 1250 lr: 9.989e-05 train loss: 2.012462 train token_acc: 0.5920 train exact_match_acc: 0.0005 (K~16.00, min=16, max=16, dt=2.12s)
itr: 1500 lr: 9.981e-05 train loss: 1.630615 train token_acc: 0.7219 train exact_match_acc: 0.0061 (K~16.00, min=16, max=16, dt=2.13s)
itr: 1750 lr: 9.972e-05 train loss: 1.266938 train token_acc: 0.8157 train exact_match_acc: 0.0432 (K~16.00, min=16, max=16, dt=2.13s)
itr: 2000 lr: 9.960e-05 train loss: 0.943281 train token_acc: 0.8914 train exact_match_acc: 0.1763 (K~16.00, min=16, max=16, dt=2.13s)
itr: 2250 lr: 9.947e-05 train loss: 0.672734 train token_acc: 0.9414 train exact_match_acc: 0.3840 (K~16.00, min=16, max=16, dt=2.13s)
itr: 2500 lr: 9.931e-05 train loss: 0.470663 train token_acc: 0.9658 train exact_match_acc: 0.5649 (K~16.00, min=16, max=16, dt=2.13s)
itr: 2750 lr: 9.914e-05 train loss: 0.325811 train token_acc: 0.9770 train exact_match_acc: 0.6799 (K~16.00, min=16, max=16, dt=2.12s)
itr: 3000 lr: 9.895e-05 train loss: 0.229539 train token_acc: 0.9825 train exact_match_acc: 0.7412 (K~16.00, min=16, max=16, dt=2.13s)
itr: 3250 lr: 9.874e-05 train loss: 0.162370 train token_acc: 0.9865 train exact_match_acc: 0.7913 (K~16.00, min=16, max=16, dt=2.13s)
itr: 3500 lr: 9.851e-05 train loss: 0.121203 train token_acc: 0.9887 train exact_match_acc: 0.8245 (K~16.00, min=16, max=16, dt=2.13s)
itr: 3750 lr: 9.826e-05 train loss: 0.093944 train token_acc: 0.9904 train exact_match_acc: 0.8494 (K~16.00, min=16, max=16, dt=2.13s)
itr: 4000 lr: 9.799e-05 train loss: 0.075850 train token_acc: 0.9914 train exact_match_acc: 0.8638 (K~16.00, min=16, max=16, dt=2.13s)
itr: 4250 lr: 9.771e-05 train loss: 0.061802 train token_acc: 0.9923 train exact_match_acc: 0.8777 (K~16.00, min=16, max=16, dt=2.13s)
itr: 4500 lr: 9.740e-05 train loss: 0.051260 train token_acc: 0.9931 train exact_match_acc: 0.8906 (K~16.00, min=16, max=16, dt=2.13s)
itr: 4750 lr: 9.708e-05 train loss: 0.044057 train token_acc: 0.9937 train exact_match_acc: 0.9004 (K~16.00, min=16, max=16, dt=2.13s)
itr: 5000 lr: 9.674e-05 train loss: 0.037928 train token_acc: 0.9939 train exact_match_acc: 0.9028 (K~16.00, min=16, max=16, dt=2.13s)
itr: 5250 lr: 9.638e-05 train loss: 0.034553 train token_acc: 0.9944 train exact_match_acc: 0.9104 (K~16.00, min=16, max=16, dt=2.13s)
itr: 5500 lr: 9.600e-05 train loss: 0.033349 train token_acc: 0.9940 train exact_match_acc: 0.9050 (K~16.00, min=16, max=16, dt=2.13s)
itr: 5750 lr: 9.561e-05 train loss: 0.028219 train token_acc: 0.9949 train exact_match_acc: 0.9185 (K~16.00, min=16, max=16, dt=2.12s)
itr: 6000 lr: 9.519e-05 train loss: 0.026545 train token_acc: 0.9951 train exact_match_acc: 0.9219 (K~16.00, min=16, max=16, dt=2.13s)
itr: 6250 lr: 9.476e-05 train loss: 0.022617 train token_acc: 0.9960 train exact_match_acc: 0.9363 (K~16.00, min=16, max=16, dt=2.13s)
itr: 6500 lr: 9.432e-05 train loss: 0.022116 train token_acc: 0.9959 train exact_match_acc: 0.9341 (K~16.00, min=16, max=16, dt=2.12s)
itr: 6750 lr: 9.385e-05 train loss: 0.019201 train token_acc: 0.9962 train exact_match_acc: 0.9402 (K~16.00, min=16, max=16, dt=2.13s)
itr: 7000 lr: 9.337e-05 train loss: 0.016931 train token_acc: 0.9969 train exact_match_acc: 0.9514 (K~16.00, min=16, max=16, dt=2.13s)
itr: 7250 lr: 9.287e-05 train loss: 0.015981 train token_acc: 0.9972 train exact_match_acc: 0.9558 (K~16.00, min=16, max=16, dt=2.13s)
itr: 7500 lr: 9.235e-05 train loss: 0.016051 train token_acc: 0.9970 train exact_match_acc: 0.9524 (K~16.00, min=16, max=16, dt=2.13s)
itr: 7750 lr: 9.182e-05 train loss: 0.013662 train token_acc: 0.9975 train exact_match_acc: 0.9607 (K~16.00, min=16, max=16, dt=2.12s)
itr: 8000 lr: 9.127e-05 train loss: 0.012672 train token_acc: 0.9976 train exact_match_acc: 0.9612 (K~16.00, min=16, max=16, dt=2.12s)
itr: 8250 lr: 9.071e-05 train loss: 0.011626 train token_acc: 0.9978 train exact_match_acc: 0.9641 (K~16.00, min=16, max=16, dt=2.13s)
itr: 8500 lr: 9.013e-05 train loss: 0.011033 train token_acc: 0.9980 train exact_match_acc: 0.9683 (K~16.00, min=16, max=16, dt=2.13s)
