training:  19%|█▉        | 7746/40000 [00:53<03:35, 149.74it/s]
itr: 0 lr: 2.494e-07 train loss: 4.673190 train token_acc: 0.0011 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.35s)
itr: 250 lr: 6.259e-05 train loss: 4.418119 train token_acc: 0.0042 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.73s)
itr: 500 lr: 1.000e-04 train loss: 3.971585 train token_acc: 0.0284 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.67s)
itr: 750 lr: 9.998e-05 train loss: 3.436911 train token_acc: 0.0612 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.67s)
itr: 1000 lr: 9.994e-05 train loss: 2.980680 train token_acc: 0.1487 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.67s)
itr: 1250 lr: 9.989e-05 train loss: 2.584520 train token_acc: 0.2781 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.67s)
itr: 1500 lr: 9.981e-05 train loss: 2.176622 train token_acc: 0.4233 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.67s)
itr: 1750 lr: 9.972e-05 train loss: 1.686755 train token_acc: 0.6009 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.67s)
itr: 2000 lr: 9.960e-05 train loss: 1.206228 train token_acc: 0.7395 train exact_match_acc: 0.0049 (K~16.00, min=16, max=16, dt=1.67s)
itr: 2250 lr: 9.947e-05 train loss: 0.808759 train token_acc: 0.8513 train exact_match_acc: 0.0850 (K~16.00, min=16, max=16, dt=1.67s)
itr: 2500 lr: 9.931e-05 train loss: 0.539038 train token_acc: 0.9076 train exact_match_acc: 0.2224 (K~16.00, min=16, max=16, dt=1.67s)
itr: 2750 lr: 9.914e-05 train loss: 0.352990 train token_acc: 0.9498 train exact_match_acc: 0.4290 (K~16.00, min=16, max=16, dt=1.67s)
itr: 3000 lr: 9.895e-05 train loss: 0.244010 train token_acc: 0.9694 train exact_match_acc: 0.5815 (K~16.00, min=16, max=16, dt=1.67s)
itr: 3250 lr: 9.874e-05 train loss: 0.163045 train token_acc: 0.9811 train exact_match_acc: 0.7205 (K~16.00, min=16, max=16, dt=1.67s)
itr: 3500 lr: 9.851e-05 train loss: 0.121202 train token_acc: 0.9856 train exact_match_acc: 0.7766 (K~16.00, min=16, max=16, dt=1.67s)
itr: 3750 lr: 9.826e-05 train loss: 0.090562 train token_acc: 0.9880 train exact_match_acc: 0.8113 (K~16.00, min=16, max=16, dt=1.67s)
itr: 4000 lr: 9.799e-05 train loss: 0.076486 train token_acc: 0.9894 train exact_match_acc: 0.8313 (K~16.00, min=16, max=16, dt=1.67s)
itr: 4250 lr: 9.771e-05 train loss: 0.063809 train token_acc: 0.9911 train exact_match_acc: 0.8599 (K~16.00, min=16, max=16, dt=1.67s)
itr: 4500 lr: 9.740e-05 train loss: 0.053154 train token_acc: 0.9920 train exact_match_acc: 0.8745 (K~16.00, min=16, max=16, dt=1.67s)
