training:  19%|█▉        | 7750/40000 [00:52<03:35, 149.97it/s]
itr: 0 lr: 2.494e-07 train loss: 4.629636 train token_acc: 0.0024 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 4.373813 train token_acc: 0.0089 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.70s)
itr: 500 lr: 1.000e-04 train loss: 3.889196 train token_acc: 0.0464 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.67s)
itr: 750 lr: 9.998e-05 train loss: 3.336356 train token_acc: 0.1256 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.67s)
itr: 1000 lr: 9.994e-05 train loss: 2.796046 train token_acc: 0.2547 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.67s)
itr: 1250 lr: 9.989e-05 train loss: 2.270906 train token_acc: 0.4116 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.67s)
itr: 1500 lr: 9.981e-05 train loss: 1.742839 train token_acc: 0.5836 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.67s)
itr: 1750 lr: 9.972e-05 train loss: 1.255496 train token_acc: 0.7327 train exact_match_acc: 0.0051 (K~16.00, min=16, max=16, dt=1.67s)
itr: 2000 lr: 9.960e-05 train loss: 0.871813 train token_acc: 0.8405 train exact_match_acc: 0.0679 (K~16.00, min=16, max=16, dt=1.67s)
itr: 2250 lr: 9.947e-05 train loss: 0.584706 train token_acc: 0.9057 train exact_match_acc: 0.2002 (K~16.00, min=16, max=16, dt=1.67s)
itr: 2500 lr: 9.931e-05 train loss: 0.393856 train token_acc: 0.9416 train exact_match_acc: 0.3530 (K~16.00, min=16, max=16, dt=1.67s)
itr: 2750 lr: 9.914e-05 train loss: 0.262705 train token_acc: 0.9641 train exact_match_acc: 0.5291 (K~16.00, min=16, max=16, dt=1.67s)
itr: 3000 lr: 9.895e-05 train loss: 0.184743 train token_acc: 0.9739 train exact_match_acc: 0.6267 (K~16.00, min=16, max=16, dt=1.67s)
itr: 3250 lr: 9.874e-05 train loss: 0.135945 train token_acc: 0.9802 train exact_match_acc: 0.7036 (K~16.00, min=16, max=16, dt=1.67s)
itr: 3500 lr: 9.851e-05 train loss: 0.106937 train token_acc: 0.9833 train exact_match_acc: 0.7461 (K~16.00, min=16, max=16, dt=1.67s)
itr: 3750 lr: 9.826e-05 train loss: 0.088244 train token_acc: 0.9853 train exact_match_acc: 0.7734 (K~16.00, min=16, max=16, dt=1.67s)
itr: 4000 lr: 9.799e-05 train loss: 0.075648 train token_acc: 0.9865 train exact_match_acc: 0.7893 (K~16.00, min=16, max=16, dt=1.67s)
itr: 4250 lr: 9.771e-05 train loss: 0.070051 train token_acc: 0.9870 train exact_match_acc: 0.8005 (K~16.00, min=16, max=16, dt=1.67s)
itr: 4500 lr: 9.740e-05 train loss: 0.060337 train token_acc: 0.9881 train exact_match_acc: 0.8137 (K~16.00, min=16, max=16, dt=1.67s)
itr: 4750 lr: 9.708e-05 train loss: 0.053220 train token_acc: 0.9895 train exact_match_acc: 0.8342 (K~16.00, min=16, max=16, dt=1.67s)
itr: 5000 lr: 9.674e-05 train loss: 0.046425 train token_acc: 0.9905 train exact_match_acc: 0.8489 (K~16.00, min=16, max=16, dt=1.67s)
itr: 5250 lr: 9.638e-05 train loss: 0.047007 train token_acc: 0.9903 train exact_match_acc: 0.8491 (K~16.00, min=16, max=16, dt=1.67s)
itr: 5500 lr: 9.600e-05 train loss: 0.041942 train token_acc: 0.9908 train exact_match_acc: 0.8550 (K~16.00, min=16, max=16, dt=1.67s)
itr: 5750 lr: 9.561e-05 train loss: 0.041906 train token_acc: 0.9909 train exact_match_acc: 0.8555 (K~16.00, min=16, max=16, dt=1.67s)
itr: 6000 lr: 9.519e-05 train loss: 0.040419 train token_acc: 0.9911 train exact_match_acc: 0.8579 (K~16.00, min=16, max=16, dt=1.67s)
itr: 6250 lr: 9.476e-05 train loss: 0.036231 train token_acc: 0.9918 train exact_match_acc: 0.8704 (K~16.00, min=16, max=16, dt=1.67s)
itr: 6500 lr: 9.432e-05 train loss: 0.035304 train token_acc: 0.9920 train exact_match_acc: 0.8733 (K~16.00, min=16, max=16, dt=1.67s)
itr: 6750 lr: 9.385e-05 train loss: 0.032909 train token_acc: 0.9922 train exact_match_acc: 0.8772 (K~16.00, min=16, max=16, dt=1.67s)
itr: 7000 lr: 9.337e-05 train loss: 0.031421 train token_acc: 0.9925 train exact_match_acc: 0.8806 (K~16.00, min=16, max=16, dt=1.67s)
