training:  19%|█▉        | 7749/40000 [00:31<02:09, 249.92it/s]
itr: 0 lr: 2.494e-07 train loss: 4.184888 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.28s)
itr: 250 lr: 6.259e-05 train loss: 4.169991 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.05s)
itr: 500 lr: 1.000e-04 train loss: 4.146840 train token_acc: 0.0396 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 750 lr: 9.998e-05 train loss: 4.087431 train token_acc: 0.0442 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 1000 lr: 9.994e-05 train loss: 3.979032 train token_acc: 0.0573 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 1250 lr: 9.989e-05 train loss: 3.757465 train token_acc: 0.0690 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 1500 lr: 9.981e-05 train loss: 3.423628 train token_acc: 0.0590 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 1750 lr: 9.972e-05 train loss: 3.232006 train token_acc: 0.0743 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 2000 lr: 9.960e-05 train loss: 3.059187 train token_acc: 0.1002 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 2250 lr: 9.947e-05 train loss: 2.913850 train token_acc: 0.1087 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 2500 lr: 9.931e-05 train loss: 2.798266 train token_acc: 0.1244 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 2750 lr: 9.914e-05 train loss: 2.718529 train token_acc: 0.1306 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 3000 lr: 9.895e-05 train loss: 2.656567 train token_acc: 0.1376 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 3250 lr: 9.874e-05 train loss: 2.609362 train token_acc: 0.1485 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 3500 lr: 9.851e-05 train loss: 2.561660 train token_acc: 0.1553 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
