training:  19%|█▉        | 7745/40000 [00:31<02:09, 249.33it/s]
itr: 0 lr: 2.494e-07 train loss: 4.184321 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.33s)
itr: 250 lr: 6.259e-05 train loss: 4.168761 train token_acc: 0.0038 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.04s)
itr: 500 lr: 1.000e-04 train loss: 4.145839 train token_acc: 0.0423 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.01s)
itr: 750 lr: 9.998e-05 train loss: 4.082716 train token_acc: 0.0598 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 1000 lr: 9.994e-05 train loss: 3.971129 train token_acc: 0.0698 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 1250 lr: 9.989e-05 train loss: 3.762295 train token_acc: 0.0739 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 1500 lr: 9.981e-05 train loss: 3.436062 train token_acc: 0.0595 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 1750 lr: 9.972e-05 train loss: 3.209746 train token_acc: 0.0764 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 2000 lr: 9.960e-05 train loss: 2.978298 train token_acc: 0.1046 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.01s)
itr: 2250 lr: 9.947e-05 train loss: 2.785140 train token_acc: 0.1154 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 2500 lr: 9.931e-05 train loss: 2.700053 train token_acc: 0.1291 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.01s)
itr: 2750 lr: 9.914e-05 train loss: 2.656071 train token_acc: 0.1391 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 3000 lr: 9.895e-05 train loss: 2.607808 train token_acc: 0.1498 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 3250 lr: 9.874e-05 train loss: 2.564111 train token_acc: 0.1619 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 3500 lr: 9.851e-05 train loss: 2.499059 train token_acc: 0.1746 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.01s)
itr: 3750 lr: 9.826e-05 train loss: 2.417171 train token_acc: 0.1874 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
