training:  18%|█▊        | 7283/40000 [00:35<02:27, 221.11it/s]
itr: 0 lr: 2.494e-07 train loss: 4.182914 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.34s)
itr: 250 lr: 6.259e-05 train loss: 4.168092 train token_acc: 0.0022 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.23s)
itr: 500 lr: 1.000e-04 train loss: 4.128326 train token_acc: 0.0495 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.15s)
itr: 750 lr: 9.998e-05 train loss: 3.899969 train token_acc: 0.0728 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.15s)
itr: 1000 lr: 9.994e-05 train loss: 3.481551 train token_acc: 0.0726 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.15s)
itr: 1250 lr: 9.989e-05 train loss: 3.106304 train token_acc: 0.0987 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.15s)
itr: 1500 lr: 9.981e-05 train loss: 2.757004 train token_acc: 0.1242 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.16s)
itr: 1750 lr: 9.972e-05 train loss: 2.547930 train token_acc: 0.1412 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.15s)
itr: 2000 lr: 9.960e-05 train loss: 2.455757 train token_acc: 0.1531 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.16s)
itr: 2250 lr: 9.947e-05 train loss: 2.387043 train token_acc: 0.1660 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.15s)
itr: 2500 lr: 9.931e-05 train loss: 2.337780 train token_acc: 0.1766 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.15s)
itr: 2750 lr: 9.914e-05 train loss: 2.302094 train token_acc: 0.1830 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.15s)
itr: 3000 lr: 9.895e-05 train loss: 2.271139 train token_acc: 0.1889 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.16s)
itr: 3250 lr: 9.874e-05 train loss: 2.230769 train token_acc: 0.1962 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.15s)
itr: 3500 lr: 9.851e-05 train loss: 2.190761 train token_acc: 0.2048 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.16s)
itr: 3750 lr: 9.826e-05 train loss: 2.164833 train token_acc: 0.2132 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.15s)
itr: 4000 lr: 9.799e-05 train loss: 2.130391 train token_acc: 0.2211 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.15s)
itr: 4250 lr: 9.771e-05 train loss: 2.083547 train token_acc: 0.2396 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.15s)
itr: 4500 lr: 9.740e-05 train loss: 2.029310 train token_acc: 0.2565 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.16s)
itr: 4750 lr: 9.708e-05 train loss: 1.988403 train token_acc: 0.2621 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.15s)
itr: 5000 lr: 9.674e-05 train loss: 1.945610 train token_acc: 0.2764 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.15s)
itr: 5250 lr: 9.638e-05 train loss: 1.915149 train token_acc: 0.2852 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.15s)
itr: 5500 lr: 9.600e-05 train loss: 1.886012 train token_acc: 0.2926 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.15s)
itr: 5750 lr: 9.561e-05 train loss: 1.838858 train token_acc: 0.3017 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.15s)
itr: 6000 lr: 9.519e-05 train loss: 1.809340 train token_acc: 0.3174 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.15s)
itr: 6250 lr: 9.476e-05 train loss: 1.774455 train token_acc: 0.3252 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.15s)
itr: 6500 lr: 9.432e-05 train loss: 1.749112 train token_acc: 0.3331 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.15s)
itr: 6750 lr: 9.385e-05 train loss: 1.717883 train token_acc: 0.3375 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.15s)
itr: 7000 lr: 9.337e-05 train loss: 1.685691 train token_acc: 0.3464 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.15s)
itr: 7250 lr: 9.287e-05 train loss: 1.659348 train token_acc: 0.3589 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.15s)
