training:  19%|█▉        | 7736/40000 [00:35<02:27, 218.34it/s]
itr: 0 lr: 2.494e-07 train loss: 4.207590 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.30s)
itr: 250 lr: 6.259e-05 train loss: 4.173160 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.18s)
itr: 500 lr: 1.000e-04 train loss: 4.035210 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.15s)
itr: 750 lr: 9.998e-05 train loss: 3.702961 train token_acc: 0.0305 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.15s)
itr: 1000 lr: 9.994e-05 train loss: 3.215136 train token_acc: 0.0956 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.15s)
itr: 1250 lr: 9.989e-05 train loss: 2.748994 train token_acc: 0.1465 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.15s)
itr: 1500 lr: 9.981e-05 train loss: 2.456823 train token_acc: 0.1910 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.15s)
itr: 1750 lr: 9.972e-05 train loss: 2.285999 train token_acc: 0.2263 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.15s)
itr: 2000 lr: 9.960e-05 train loss: 2.142118 train token_acc: 0.2758 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.15s)
itr: 2250 lr: 9.947e-05 train loss: 1.987328 train token_acc: 0.3285 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.15s)
itr: 2500 lr: 9.931e-05 train loss: 1.826432 train token_acc: 0.3782 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.15s)
itr: 2750 lr: 9.914e-05 train loss: 1.662615 train token_acc: 0.4297 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.15s)
itr: 3000 lr: 9.895e-05 train loss: 1.481925 train token_acc: 0.4884 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.15s)
itr: 3250 lr: 9.874e-05 train loss: 1.296789 train token_acc: 0.5500 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=1.15s)
itr: 3500 lr: 9.851e-05 train loss: 1.095604 train token_acc: 0.6210 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.15s)
itr: 3750 lr: 9.826e-05 train loss: 0.896607 train token_acc: 0.6923 train exact_match_acc: 0.0010 (K~16.00, min=16, max=16, dt=1.15s)
itr: 4000 lr: 9.799e-05 train loss: 0.715482 train token_acc: 0.7602 train exact_match_acc: 0.0066 (K~16.00, min=16, max=16, dt=1.15s)
itr: 4250 lr: 9.771e-05 train loss: 0.550381 train token_acc: 0.8240 train exact_match_acc: 0.0459 (K~16.00, min=16, max=16, dt=1.15s)
itr: 4500 lr: 9.740e-05 train loss: 0.399641 train token_acc: 0.8821 train exact_match_acc: 0.1467 (K~16.00, min=16, max=16, dt=1.15s)
itr: 4750 lr: 9.708e-05 train loss: 0.282066 train token_acc: 0.9238 train exact_match_acc: 0.3000 (K~16.00, min=16, max=16, dt=1.15s)
itr: 5000 lr: 9.674e-05 train loss: 0.201198 train token_acc: 0.9492 train exact_match_acc: 0.4534 (K~16.00, min=16, max=16, dt=1.15s)
itr: 5250 lr: 9.638e-05 train loss: 0.144350 train token_acc: 0.9668 train exact_match_acc: 0.5872 (K~16.00, min=16, max=16, dt=1.15s)
itr: 5500 lr: 9.600e-05 train loss: 0.113531 train token_acc: 0.9761 train exact_match_acc: 0.6802 (K~16.00, min=16, max=16, dt=1.15s)
itr: 5750 lr: 9.561e-05 train loss: 0.083157 train token_acc: 0.9830 train exact_match_acc: 0.7664 (K~16.00, min=16, max=16, dt=1.15s)
itr: 6000 lr: 9.519e-05 train loss: 0.064161 train token_acc: 0.9878 train exact_match_acc: 0.8201 (K~16.00, min=16, max=16, dt=1.15s)
itr: 6250 lr: 9.476e-05 train loss: 0.048994 train token_acc: 0.9896 train exact_match_acc: 0.8435 (K~16.00, min=16, max=16, dt=1.15s)
itr: 6500 lr: 9.432e-05 train loss: 0.042858 train token_acc: 0.9917 train exact_match_acc: 0.8735 (K~16.00, min=16, max=16, dt=1.15s)
itr: 6750 lr: 9.385e-05 train loss: 0.037110 train token_acc: 0.9932 train exact_match_acc: 0.8953 (K~16.00, min=16, max=16, dt=1.15s)
