training:  19%|█▉        | 7749/40000 [00:31<02:09, 249.72it/s]
itr: 0 lr: 2.494e-07 train loss: 4.198153 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.28s)
itr: 250 lr: 6.259e-05 train loss: 4.179056 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.03s)
itr: 500 lr: 1.000e-04 train loss: 4.116873 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 750 lr: 9.998e-05 train loss: 4.019737 train token_acc: 0.0034 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 1000 lr: 9.994e-05 train loss: 3.860944 train token_acc: 0.0117 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 1250 lr: 9.989e-05 train loss: 3.588160 train token_acc: 0.0304 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 1500 lr: 9.981e-05 train loss: 3.286226 train token_acc: 0.0422 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 1750 lr: 9.972e-05 train loss: 3.024076 train token_acc: 0.0457 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 2000 lr: 9.960e-05 train loss: 2.826497 train token_acc: 0.0630 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 2250 lr: 9.947e-05 train loss: 2.699235 train token_acc: 0.0878 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 2500 lr: 9.931e-05 train loss: 2.623638 train token_acc: 0.1134 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 2750 lr: 9.914e-05 train loss: 2.561320 train token_acc: 0.1439 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 3000 lr: 9.895e-05 train loss: 2.500127 train token_acc: 0.1726 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 3250 lr: 9.874e-05 train loss: 2.412438 train token_acc: 0.2019 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 3500 lr: 9.851e-05 train loss: 2.299512 train token_acc: 0.2313 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 3750 lr: 9.826e-05 train loss: 2.199988 train token_acc: 0.2560 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 4000 lr: 9.799e-05 train loss: 2.099176 train token_acc: 0.2913 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 4250 lr: 9.771e-05 train loss: 1.989154 train token_acc: 0.3344 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 4500 lr: 9.740e-05 train loss: 1.881192 train token_acc: 0.3760 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 4750 lr: 9.708e-05 train loss: 1.776319 train token_acc: 0.4139 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 5000 lr: 9.674e-05 train loss: 1.666887 train token_acc: 0.4467 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 5250 lr: 9.638e-05 train loss: 1.566653 train token_acc: 0.4791 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.01s)
itr: 5500 lr: 9.600e-05 train loss: 1.466707 train token_acc: 0.5174 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 5750 lr: 9.561e-05 train loss: 1.355054 train token_acc: 0.5559 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=1.00s)
itr: 6000 lr: 9.519e-05 train loss: 1.262398 train token_acc: 0.5871 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 6250 lr: 9.476e-05 train loss: 1.155426 train token_acc: 0.6281 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=1.00s)
itr: 6500 lr: 9.432e-05 train loss: 1.073412 train token_acc: 0.6570 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=1.00s)
itr: 6750 lr: 9.385e-05 train loss: 0.995461 train token_acc: 0.6806 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=1.00s)
itr: 7000 lr: 9.337e-05 train loss: 0.894101 train token_acc: 0.7123 train exact_match_acc: 0.0017 (K~16.00, min=16, max=16, dt=1.00s)
itr: 7250 lr: 9.287e-05 train loss: 0.820086 train token_acc: 0.7386 train exact_match_acc: 0.0022 (K~16.00, min=16, max=16, dt=1.00s)
itr: 7500 lr: 9.235e-05 train loss: 0.752637 train token_acc: 0.7710 train exact_match_acc: 0.0081 (K~16.00, min=16, max=16, dt=1.00s)
itr: 7750 lr: 9.182e-05 train loss: 0.656478 train token_acc: 0.7986 train exact_match_acc: 0.0178 (K~16.00, min=16, max=16, dt=1.00s)
itr: 8000 lr: 9.127e-05 train loss: 0.584718 train token_acc: 0.8277 train exact_match_acc: 0.0364 (K~16.00, min=16, max=16, dt=1.00s)
itr: 8250 lr: 9.071e-05 train loss: 0.515176 train token_acc: 0.8477 train exact_match_acc: 0.0615 (K~16.00, min=16, max=16, dt=1.00s)
itr: 8500 lr: 9.013e-05 train loss: 0.464797 train token_acc: 0.8691 train exact_match_acc: 0.0901 (K~16.00, min=16, max=16, dt=1.00s)
itr: 8750 lr: 8.953e-05 train loss: 0.416353 train token_acc: 0.8883 train exact_match_acc: 0.1357 (K~16.00, min=16, max=16, dt=1.00s)
itr: 9000 lr: 8.892e-05 train loss: 0.352913 train token_acc: 0.9099 train exact_match_acc: 0.2151 (K~16.00, min=16, max=16, dt=1.00s)
itr: 9250 lr: 8.829e-05 train loss: 0.324424 train token_acc: 0.9233 train exact_match_acc: 0.2864 (K~16.00, min=16, max=16, dt=1.00s)
itr: 9500 lr: 8.765e-05 train loss: 0.279507 train token_acc: 0.9370 train exact_match_acc: 0.3589 (K~16.00, min=16, max=16, dt=1.00s)
itr: 9750 lr: 8.700e-05 train loss: 0.259539 train token_acc: 0.9469 train exact_match_acc: 0.4194 (K~16.00, min=16, max=16, dt=1.00s)
itr: 10000 lr: 8.632e-05 train loss: 0.220857 train token_acc: 0.9566 train exact_match_acc: 0.4871 (K~16.00, min=16, max=16, dt=1.00s)
itr: 10250 lr: 8.564e-05 train loss: 0.202561 train token_acc: 0.9642 train exact_match_acc: 0.5542 (K~16.00, min=16, max=16, dt=1.00s)
itr: 10500 lr: 8.494e-05 train loss: 0.170162 train token_acc: 0.9707 train exact_match_acc: 0.6165 (K~16.00, min=16, max=16, dt=1.00s)
itr: 10750 lr: 8.423e-05 train loss: 0.148782 train token_acc: 0.9761 train exact_match_acc: 0.6760 (K~16.00, min=16, max=16, dt=1.00s)
itr: 11000 lr: 8.351e-05 train loss: 0.140058 train token_acc: 0.9802 train exact_match_acc: 0.7227 (K~16.00, min=16, max=16, dt=1.00s)
itr: 11250 lr: 8.277e-05 train loss: 0.121098 train token_acc: 0.9841 train exact_match_acc: 0.7703 (K~16.00, min=16, max=16, dt=1.00s)
itr: 11500 lr: 8.202e-05 train loss: 0.099580 train token_acc: 0.9861 train exact_match_acc: 0.8005 (K~16.00, min=16, max=16, dt=1.00s)
itr: 11750 lr: 8.125e-05 train loss: 0.105735 train token_acc: 0.9862 train exact_match_acc: 0.7942 (K~16.00, min=16, max=16, dt=1.00s)
itr: 12000 lr: 8.048e-05 train loss: 0.094425 train token_acc: 0.9882 train exact_match_acc: 0.8257 (K~16.00, min=16, max=16, dt=1.00s)
itr: 12250 lr: 7.969e-05 train loss: 0.093965 train token_acc: 0.9890 train exact_match_acc: 0.8308 (K~16.00, min=16, max=16, dt=1.00s)
itr: 12500 lr: 7.889e-05 train loss: 0.081910 train token_acc: 0.9900 train exact_match_acc: 0.8474 (K~16.00, min=16, max=16, dt=1.00s)
itr: 12750 lr: 7.808e-05 train loss: 0.076114 train token_acc: 0.9912 train exact_match_acc: 0.8665 (K~16.00, min=16, max=16, dt=1.00s)
itr: 13000 lr: 7.726e-05 train loss: 0.068317 train token_acc: 0.9909 train exact_match_acc: 0.8611 (K~16.00, min=16, max=16, dt=1.00s)
itr: 13250 lr: 7.643e-05 train loss: 0.064507 train token_acc: 0.9921 train exact_match_acc: 0.8772 (K~16.00, min=16, max=16, dt=1.00s)
itr: 13500 lr: 7.559e-05 train loss: 0.064954 train token_acc: 0.9923 train exact_match_acc: 0.8809 (K~16.00, min=16, max=16, dt=1.00s)
itr: 13750 lr: 7.474e-05 train loss: 0.058492 train token_acc: 0.9929 train exact_match_acc: 0.8901 (K~16.00, min=16, max=16, dt=1.00s)
itr: 14000 lr: 7.388e-05 train loss: 0.058564 train token_acc: 0.9926 train exact_match_acc: 0.8835 (K~16.00, min=16, max=16, dt=1.00s)
itr: 14250 lr: 7.301e-05 train loss: 0.049340 train token_acc: 0.9937 train exact_match_acc: 0.9004 (K~16.00, min=16, max=16, dt=1.00s)
itr: 14500 lr: 7.213e-05 train loss: 0.048157 train token_acc: 0.9938 train exact_match_acc: 0.9011 (K~16.00, min=16, max=16, dt=1.00s)
itr: 14750 lr: 7.124e-05 train loss: 0.041422 train token_acc: 0.9940 train exact_match_acc: 0.9062 (K~16.00, min=16, max=16, dt=1.00s)
itr: 15000 lr: 7.035e-05 train loss: 0.048222 train token_acc: 0.9944 train exact_match_acc: 0.9124 (K~16.00, min=16, max=16, dt=1.00s)
