training:  19%|█▉        | 7747/40000 [00:33<02:09, 248.94it/s]
itr: 0 lr: 2.494e-07 train loss: 4.184078 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 250 lr: 6.259e-05 train loss: 4.170534 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.06s)
itr: 500 lr: 1.000e-04 train loss: 4.146397 train token_acc: 0.0194 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.01s)
itr: 750 lr: 9.998e-05 train loss: 4.085003 train token_acc: 0.0416 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.01s)
itr: 1000 lr: 9.994e-05 train loss: 3.974720 train token_acc: 0.0541 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.01s)
itr: 1250 lr: 9.989e-05 train loss: 3.771358 train token_acc: 0.0753 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.01s)
itr: 1500 lr: 9.981e-05 train loss: 3.443290 train token_acc: 0.0642 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.01s)
itr: 1750 lr: 9.972e-05 train loss: 3.204639 train token_acc: 0.0732 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.01s)
itr: 2000 lr: 9.960e-05 train loss: 2.985528 train token_acc: 0.0967 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.01s)
itr: 2250 lr: 9.947e-05 train loss: 2.792252 train token_acc: 0.1152 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.01s)
itr: 2500 lr: 9.931e-05 train loss: 2.699531 train token_acc: 0.1273 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.01s)
itr: 2750 lr: 9.914e-05 train loss: 2.630733 train token_acc: 0.1372 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.01s)
