training:  19%|█▉        | 7734/40000 [00:36<02:28, 217.49it/s]
itr: 0 lr: 2.494e-07 train loss: 4.195554 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.30s)
itr: 250 lr: 6.259e-05 train loss: 4.161984 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.18s)
itr: 500 lr: 1.000e-04 train loss: 4.011439 train token_acc: 0.0009 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.16s)
itr: 750 lr: 9.998e-05 train loss: 3.652658 train token_acc: 0.0418 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.15s)
itr: 1000 lr: 9.994e-05 train loss: 3.158337 train token_acc: 0.0882 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.16s)
itr: 1250 lr: 9.989e-05 train loss: 2.707130 train token_acc: 0.1365 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.15s)
itr: 1500 lr: 9.981e-05 train loss: 2.425166 train token_acc: 0.1814 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.16s)
itr: 1750 lr: 9.972e-05 train loss: 2.260446 train token_acc: 0.2169 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.15s)
itr: 2000 lr: 9.960e-05 train loss: 2.122436 train token_acc: 0.2594 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.16s)
itr: 2250 lr: 9.947e-05 train loss: 1.981383 train token_acc: 0.3112 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.15s)
itr: 2500 lr: 9.931e-05 train loss: 1.834181 train token_acc: 0.3644 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.16s)
itr: 2750 lr: 9.914e-05 train loss: 1.661517 train token_acc: 0.4233 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.15s)
itr: 3000 lr: 9.895e-05 train loss: 1.457035 train token_acc: 0.4946 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.16s)
itr: 3250 lr: 9.874e-05 train loss: 1.234030 train token_acc: 0.5763 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.15s)
itr: 3500 lr: 9.851e-05 train loss: 1.001361 train token_acc: 0.6589 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=1.16s)
itr: 3750 lr: 9.826e-05 train loss: 0.788118 train token_acc: 0.7363 train exact_match_acc: 0.0046 (K~16.00, min=16, max=16, dt=1.15s)
itr: 4000 lr: 9.799e-05 train loss: 0.604795 train token_acc: 0.8031 train exact_match_acc: 0.0254 (K~16.00, min=16, max=16, dt=1.16s)
itr: 4250 lr: 9.771e-05 train loss: 0.455830 train token_acc: 0.8620 train exact_match_acc: 0.0959 (K~16.00, min=16, max=16, dt=1.15s)
itr: 4500 lr: 9.740e-05 train loss: 0.330230 train token_acc: 0.9053 train exact_match_acc: 0.2112 (K~16.00, min=16, max=16, dt=1.16s)
