training:  19%|█▉        | 7747/40000 [00:31<02:09, 249.69it/s]
itr: 0 lr: 2.494e-07 train loss: 4.200182 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 4.181301 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.04s)
itr: 500 lr: 1.000e-04 train loss: 4.122680 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 750 lr: 9.998e-05 train loss: 4.028494 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 1000 lr: 9.994e-05 train loss: 3.875168 train token_acc: 0.0022 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 1250 lr: 9.989e-05 train loss: 3.609385 train token_acc: 0.0233 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 1500 lr: 9.981e-05 train loss: 3.256163 train token_acc: 0.0476 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 1750 lr: 9.972e-05 train loss: 2.962220 train token_acc: 0.0621 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 2000 lr: 9.960e-05 train loss: 2.775681 train token_acc: 0.0654 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 2250 lr: 9.947e-05 train loss: 2.660677 train token_acc: 0.0809 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 2500 lr: 9.931e-05 train loss: 2.599607 train token_acc: 0.1031 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 2750 lr: 9.914e-05 train loss: 2.565650 train token_acc: 0.1256 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.01s)
itr: 3000 lr: 9.895e-05 train loss: 2.525482 train token_acc: 0.1502 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 3250 lr: 9.874e-05 train loss: 2.494409 train token_acc: 0.1742 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 3500 lr: 9.851e-05 train loss: 2.459280 train token_acc: 0.1903 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 3750 lr: 9.826e-05 train loss: 2.415870 train token_acc: 0.2052 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 4000 lr: 9.799e-05 train loss: 2.346133 train token_acc: 0.2307 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 4250 lr: 9.771e-05 train loss: 2.257414 train token_acc: 0.2444 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 4500 lr: 9.740e-05 train loss: 2.168094 train token_acc: 0.2638 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 4750 lr: 9.708e-05 train loss: 2.077977 train token_acc: 0.2939 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 5000 lr: 9.674e-05 train loss: 1.975786 train token_acc: 0.3319 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 5250 lr: 9.638e-05 train loss: 1.869061 train token_acc: 0.3715 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 5500 lr: 9.600e-05 train loss: 1.775761 train token_acc: 0.4082 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 5750 lr: 9.561e-05 train loss: 1.671773 train token_acc: 0.4484 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 6000 lr: 9.519e-05 train loss: 1.570222 train token_acc: 0.4795 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 6250 lr: 9.476e-05 train loss: 1.473177 train token_acc: 0.5130 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 6500 lr: 9.432e-05 train loss: 1.386475 train token_acc: 0.5400 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 6750 lr: 9.385e-05 train loss: 1.302607 train token_acc: 0.5703 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 7000 lr: 9.337e-05 train loss: 1.207212 train token_acc: 0.6071 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 7250 lr: 9.287e-05 train loss: 1.129623 train token_acc: 0.6283 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 7500 lr: 9.235e-05 train loss: 1.060546 train token_acc: 0.6548 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 7750 lr: 9.182e-05 train loss: 1.013881 train token_acc: 0.6727 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 8000 lr: 9.127e-05 train loss: 0.945765 train token_acc: 0.6943 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 8250 lr: 9.071e-05 train loss: 0.888667 train token_acc: 0.7125 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.00s)
itr: 8500 lr: 9.013e-05 train loss: 0.838319 train token_acc: 0.7329 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=1.00s)
itr: 8750 lr: 8.953e-05 train loss: 0.804375 train token_acc: 0.7469 train exact_match_acc: 0.0005 (K~16.00, min=16, max=16, dt=1.00s)
itr: 9000 lr: 8.892e-05 train loss: 0.743751 train token_acc: 0.7611 train exact_match_acc: 0.0005 (K~16.00, min=16, max=16, dt=1.00s)
itr: 9250 lr: 8.829e-05 train loss: 0.721675 train token_acc: 0.7742 train exact_match_acc: 0.0002 (K~16.00, min=16, max=16, dt=1.00s)
itr: 9500 lr: 8.765e-05 train loss: 0.684444 train token_acc: 0.7876 train exact_match_acc: 0.0007 (K~16.00, min=16, max=16, dt=1.00s)
itr: 9750 lr: 8.700e-05 train loss: 0.637550 train token_acc: 0.7992 train exact_match_acc: 0.0015 (K~16.00, min=16, max=16, dt=1.00s)
itr: 10000 lr: 8.632e-05 train loss: 0.602914 train token_acc: 0.8107 train exact_match_acc: 0.0022 (K~16.00, min=16, max=16, dt=1.00s)
itr: 10250 lr: 8.564e-05 train loss: 0.576037 train token_acc: 0.8227 train exact_match_acc: 0.0015 (K~16.00, min=16, max=16, dt=1.00s)
itr: 10500 lr: 8.494e-05 train loss: 0.549806 train token_acc: 0.8291 train exact_match_acc: 0.0032 (K~16.00, min=16, max=16, dt=1.00s)
itr: 10750 lr: 8.423e-05 train loss: 0.534789 train token_acc: 0.8345 train exact_match_acc: 0.0029 (K~16.00, min=16, max=16, dt=1.00s)
itr: 11000 lr: 8.351e-05 train loss: 0.505646 train token_acc: 0.8434 train exact_match_acc: 0.0022 (K~16.00, min=16, max=16, dt=1.00s)
itr: 11250 lr: 8.277e-05 train loss: 0.472643 train token_acc: 0.8509 train exact_match_acc: 0.0039 (K~16.00, min=16, max=16, dt=1.00s)
itr: 11500 lr: 8.202e-05 train loss: 0.463814 train token_acc: 0.8591 train exact_match_acc: 0.0063 (K~16.00, min=16, max=16, dt=1.00s)
itr: 11750 lr: 8.125e-05 train loss: 0.450390 train token_acc: 0.8641 train exact_match_acc: 0.0073 (K~16.00, min=16, max=16, dt=1.00s)
itr: 12000 lr: 8.048e-05 train loss: 0.435810 train token_acc: 0.8704 train exact_match_acc: 0.0066 (K~16.00, min=16, max=16, dt=1.00s)
itr: 12250 lr: 7.969e-05 train loss: 0.423387 train token_acc: 0.8765 train exact_match_acc: 0.0085 (K~16.00, min=16, max=16, dt=1.00s)
itr: 12500 lr: 7.889e-05 train loss: 0.412986 train token_acc: 0.8802 train exact_match_acc: 0.0125 (K~16.00, min=16, max=16, dt=1.00s)
itr: 12750 lr: 7.808e-05 train loss: 0.408365 train token_acc: 0.8802 train exact_match_acc: 0.0117 (K~16.00, min=16, max=16, dt=1.00s)
itr: 13000 lr: 7.726e-05 train loss: 0.394302 train token_acc: 0.8849 train exact_match_acc: 0.0127 (K~16.00, min=16, max=16, dt=1.00s)
itr: 13250 lr: 7.643e-05 train loss: 0.387238 train token_acc: 0.8878 train exact_match_acc: 0.0161 (K~16.00, min=16, max=16, dt=1.00s)
itr: 13500 lr: 7.559e-05 train loss: 0.377834 train token_acc: 0.8900 train exact_match_acc: 0.0171 (K~16.00, min=16, max=16, dt=1.00s)
itr: 13750 lr: 7.474e-05 train loss: 0.363734 train token_acc: 0.8909 train exact_match_acc: 0.0205 (K~16.00, min=16, max=16, dt=1.00s)
itr: 14000 lr: 7.388e-05 train loss: 0.350837 train token_acc: 0.8949 train exact_match_acc: 0.0254 (K~16.00, min=16, max=16, dt=1.00s)
itr: 14250 lr: 7.301e-05 train loss: 0.344105 train token_acc: 0.8954 train exact_match_acc: 0.0220 (K~16.00, min=16, max=16, dt=1.00s)
itr: 14500 lr: 7.213e-05 train loss: 0.351873 train token_acc: 0.8960 train exact_match_acc: 0.0237 (K~16.00, min=16, max=16, dt=1.00s)
itr: 14750 lr: 7.124e-05 train loss: 0.334043 train token_acc: 0.8991 train exact_match_acc: 0.0259 (K~16.00, min=16, max=16, dt=1.00s)
itr: 15000 lr: 7.035e-05 train loss: 0.328670 train token_acc: 0.9008 train exact_match_acc: 0.0266 (K~16.00, min=16, max=16, dt=1.00s)
itr: 15250 lr: 6.944e-05 train loss: 0.319907 train token_acc: 0.9012 train exact_match_acc: 0.0234 (K~16.00, min=16, max=16, dt=1.00s)
itr: 15500 lr: 6.853e-05 train loss: 0.321207 train token_acc: 0.9038 train exact_match_acc: 0.0254 (K~16.00, min=16, max=16, dt=1.00s)
itr: 15750 lr: 6.761e-05 train loss: 0.312701 train token_acc: 0.9055 train exact_match_acc: 0.0281 (K~16.00, min=16, max=16, dt=1.00s)
itr: 16000 lr: 6.669e-05 train loss: 0.318939 train token_acc: 0.9068 train exact_match_acc: 0.0232 (K~16.00, min=16, max=16, dt=1.00s)
itr: 16250 lr: 6.576e-05 train loss: 0.308279 train token_acc: 0.9095 train exact_match_acc: 0.0283 (K~16.00, min=16, max=16, dt=1.00s)
itr: 16500 lr: 6.482e-05 train loss: 0.294994 train token_acc: 0.9117 train exact_match_acc: 0.0298 (K~16.00, min=16, max=16, dt=1.00s)
itr: 16750 lr: 6.388e-05 train loss: 0.292196 train token_acc: 0.9134 train exact_match_acc: 0.0320 (K~16.00, min=16, max=16, dt=1.00s)
itr: 17000 lr: 6.293e-05 train loss: 0.288630 train token_acc: 0.9144 train exact_match_acc: 0.0303 (K~16.00, min=16, max=16, dt=1.00s)
itr: 17250 lr: 6.198e-05 train loss: 0.285362 train token_acc: 0.9159 train exact_match_acc: 0.0356 (K~16.00, min=16, max=16, dt=1.00s)
itr: 17500 lr: 6.102e-05 train loss: 0.270124 train token_acc: 0.9177 train exact_match_acc: 0.0461 (K~16.00, min=16, max=16, dt=1.00s)
itr: 17750 lr: 6.006e-05 train loss: 0.268308 train token_acc: 0.9202 train exact_match_acc: 0.0652 (K~16.00, min=16, max=16, dt=1.00s)
itr: 18000 lr: 5.910e-05 train loss: 0.250862 train token_acc: 0.9225 train exact_match_acc: 0.0740 (K~16.00, min=16, max=16, dt=1.00s)
itr: 18250 lr: 5.813e-05 train loss: 0.253581 train token_acc: 0.9243 train exact_match_acc: 0.0803 (K~16.00, min=16, max=16, dt=1.00s)
itr: 18500 lr: 5.716e-05 train loss: 0.250332 train token_acc: 0.9276 train exact_match_acc: 0.1057 (K~16.00, min=16, max=16, dt=1.00s)
itr: 18750 lr: 5.618e-05 train loss: 0.242791 train token_acc: 0.9306 train exact_match_acc: 0.1204 (K~16.00, min=16, max=16, dt=1.00s)
itr: 19000 lr: 5.521e-05 train loss: 0.231934 train token_acc: 0.9354 train exact_match_acc: 0.1455 (K~16.00, min=16, max=16, dt=1.00s)
itr: 19250 lr: 5.423e-05 train loss: 0.208863 train token_acc: 0.9353 train exact_match_acc: 0.1545 (K~16.00, min=16, max=16, dt=1.00s)
itr: 19500 lr: 5.325e-05 train loss: 0.193096 train token_acc: 0.9393 train exact_match_acc: 0.2166 (K~16.00, min=16, max=16, dt=1.00s)
itr: 19750 lr: 5.227e-05 train loss: 0.175399 train token_acc: 0.9423 train exact_match_acc: 0.2556 (K~16.00, min=16, max=16, dt=1.00s)
itr: 20000 lr: 5.129e-05 train loss: 0.163978 train token_acc: 0.9500 train exact_match_acc: 0.3696 (K~16.00, min=16, max=16, dt=1.00s)
saved checkpoint: ./grid_outputs/len_gen_v64_e32_k16/task_0007/saved_models/Checkpoint_N64_d32_H1_L1_npos1_mlp0_ln0_normnone_qkn0_qkrms0_gate0_gateelem0_lencurriculum_trainK16to16_testK16to16_nodup1_iters20001.pt
itr: 20250 lr: 5.030e-05 train loss: 0.143952 train token_acc: 0.9564 train exact_match_acc: 0.4397 (K~16.00, min=16, max=16, dt=1.01s)
itr: 20500 lr: 4.932e-05 train loss: 0.115657 train token_acc: 0.9673 train exact_match_acc: 0.5857 (K~16.00, min=16, max=16, dt=1.00s)
itr: 20750 lr: 4.834e-05 train loss: 0.095173 train token_acc: 0.9747 train exact_match_acc: 0.6680 (K~16.00, min=16, max=16, dt=1.00s)
