training:  19%|█▉        | 7749/40000 [02:19<09:39, 55.61it/s]
itr: 0 lr: 2.494e-07 train loss: 4.189147 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.30s)
itr: 250 lr: 6.259e-05 train loss: 3.985413 train token_acc: 0.0071 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.52s)
itr: 500 lr: 1.000e-04 train loss: 3.388291 train token_acc: 0.1329 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.50s)
itr: 750 lr: 9.998e-05 train loss: 2.830680 train token_acc: 0.2353 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.50s)
itr: 1000 lr: 9.994e-05 train loss: 2.394125 train token_acc: 0.3110 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.50s)
itr: 1250 lr: 9.989e-05 train loss: 2.065995 train token_acc: 0.3724 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.50s)
itr: 1500 lr: 9.981e-05 train loss: 1.819094 train token_acc: 0.4170 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.50s)
itr: 1750 lr: 9.972e-05 train loss: 1.620492 train token_acc: 0.4612 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.50s)
itr: 2000 lr: 9.960e-05 train loss: 1.453227 train token_acc: 0.5211 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.50s)
itr: 2250 lr: 9.947e-05 train loss: 1.301033 train token_acc: 0.5807 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.50s)
itr: 2500 lr: 9.931e-05 train loss: 1.162915 train token_acc: 0.6385 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.50s)
itr: 2750 lr: 9.914e-05 train loss: 1.025567 train token_acc: 0.7046 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.50s)
itr: 3000 lr: 9.895e-05 train loss: 0.897093 train token_acc: 0.7690 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.50s)
itr: 3250 lr: 9.874e-05 train loss: 0.773700 train token_acc: 0.8306 train exact_match_acc: 0.0007 (K~32.00, min=32, max=32, dt=4.50s)
itr: 3500 lr: 9.851e-05 train loss: 0.667077 train token_acc: 0.8750 train exact_match_acc: 0.0090 (K~32.00, min=32, max=32, dt=4.50s)
itr: 3750 lr: 9.826e-05 train loss: 0.575560 train token_acc: 0.9040 train exact_match_acc: 0.0291 (K~32.00, min=32, max=32, dt=4.50s)
itr: 4000 lr: 9.799e-05 train loss: 0.499887 train token_acc: 0.9232 train exact_match_acc: 0.0623 (K~32.00, min=32, max=32, dt=4.50s)
itr: 4250 lr: 9.771e-05 train loss: 0.428977 train token_acc: 0.9391 train exact_match_acc: 0.1167 (K~32.00, min=32, max=32, dt=4.50s)
