training:  19%|█▉        | 7749/40000 [02:19<09:40, 55.58it/s]
itr: 0 lr: 2.494e-07 train loss: 4.191362 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.30s)
itr: 250 lr: 6.259e-05 train loss: 3.990235 train token_acc: 0.0026 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.52s)
itr: 500 lr: 1.000e-04 train loss: 3.395485 train token_acc: 0.1253 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.50s)
itr: 750 lr: 9.998e-05 train loss: 2.816686 train token_acc: 0.2595 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.50s)
itr: 1000 lr: 9.994e-05 train loss: 2.371745 train token_acc: 0.3340 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.50s)
itr: 1250 lr: 9.989e-05 train loss: 2.051628 train token_acc: 0.3673 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.50s)
itr: 1500 lr: 9.981e-05 train loss: 1.815865 train token_acc: 0.4060 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.50s)
itr: 1750 lr: 9.972e-05 train loss: 1.622757 train token_acc: 0.4602 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.50s)
itr: 2000 lr: 9.960e-05 train loss: 1.449059 train token_acc: 0.5207 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.50s)
itr: 2250 lr: 9.947e-05 train loss: 1.294852 train token_acc: 0.5865 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.50s)
itr: 2500 lr: 9.931e-05 train loss: 1.148939 train token_acc: 0.6609 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.50s)
itr: 2750 lr: 9.914e-05 train loss: 1.012331 train token_acc: 0.7329 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.50s)
itr: 3000 lr: 9.895e-05 train loss: 0.882743 train token_acc: 0.8025 train exact_match_acc: 0.0005 (K~32.00, min=32, max=32, dt=4.50s)
itr: 3250 lr: 9.874e-05 train loss: 0.761568 train token_acc: 0.8551 train exact_match_acc: 0.0015 (K~32.00, min=32, max=32, dt=4.50s)
itr: 3500 lr: 9.851e-05 train loss: 0.650047 train token_acc: 0.8937 train exact_match_acc: 0.0100 (K~32.00, min=32, max=32, dt=4.50s)
itr: 3750 lr: 9.826e-05 train loss: 0.552185 train token_acc: 0.9157 train exact_match_acc: 0.0264 (K~32.00, min=32, max=32, dt=4.50s)
itr: 4000 lr: 9.799e-05 train loss: 0.462963 train token_acc: 0.9322 train exact_match_acc: 0.0625 (K~32.00, min=32, max=32, dt=4.50s)
itr: 4250 lr: 9.771e-05 train loss: 0.377800 train token_acc: 0.9488 train exact_match_acc: 0.1526 (K~32.00, min=32, max=32, dt=4.50s)
itr: 4500 lr: 9.740e-05 train loss: 0.301273 train token_acc: 0.9650 train exact_match_acc: 0.2976 (K~32.00, min=32, max=32, dt=4.50s)
itr: 4750 lr: 9.708e-05 train loss: 0.244262 train token_acc: 0.9712 train exact_match_acc: 0.3689 (K~32.00, min=32, max=32, dt=4.50s)
itr: 5000 lr: 9.674e-05 train loss: 0.201402 train token_acc: 0.9752 train exact_match_acc: 0.4192 (K~32.00, min=32, max=32, dt=4.50s)
itr: 5250 lr: 9.638e-05 train loss: 0.166632 train token_acc: 0.9797 train exact_match_acc: 0.4902 (K~32.00, min=32, max=32, dt=4.50s)
itr: 5500 lr: 9.600e-05 train loss: 0.139746 train token_acc: 0.9832 train exact_match_acc: 0.5688 (K~32.00, min=32, max=32, dt=4.50s)
itr: 5750 lr: 9.561e-05 train loss: 0.119018 train token_acc: 0.9853 train exact_match_acc: 0.6089 (K~32.00, min=32, max=32, dt=4.50s)
itr: 6000 lr: 9.519e-05 train loss: 0.105349 train token_acc: 0.9859 train exact_match_acc: 0.6199 (K~32.00, min=32, max=32, dt=4.50s)
itr: 6250 lr: 9.476e-05 train loss: 0.088648 train token_acc: 0.9883 train exact_match_acc: 0.6709 (K~32.00, min=32, max=32, dt=4.50s)
itr: 6500 lr: 9.432e-05 train loss: 0.077955 train token_acc: 0.9888 train exact_match_acc: 0.6865 (K~32.00, min=32, max=32, dt=4.50s)
itr: 6750 lr: 9.385e-05 train loss: 0.070454 train token_acc: 0.9896 train exact_match_acc: 0.7090 (K~32.00, min=32, max=32, dt=4.50s)
itr: 7000 lr: 9.337e-05 train loss: 0.063800 train token_acc: 0.9903 train exact_match_acc: 0.7207 (K~32.00, min=32, max=32, dt=4.50s)
itr: 7250 lr: 9.287e-05 train loss: 0.057711 train token_acc: 0.9909 train exact_match_acc: 0.7358 (K~32.00, min=32, max=32, dt=4.50s)
itr: 7500 lr: 9.235e-05 train loss: 0.053128 train token_acc: 0.9918 train exact_match_acc: 0.7583 (K~32.00, min=32, max=32, dt=4.50s)
itr: 7750 lr: 9.182e-05 train loss: 0.048126 train token_acc: 0.9919 train exact_match_acc: 0.7615 (K~32.00, min=32, max=32, dt=4.50s)
itr: 8000 lr: 9.127e-05 train loss: 0.044112 train token_acc: 0.9928 train exact_match_acc: 0.7898 (K~32.00, min=32, max=32, dt=4.50s)
itr: 8250 lr: 9.071e-05 train loss: 0.040746 train token_acc: 0.9930 train exact_match_acc: 0.7900 (K~32.00, min=32, max=32, dt=4.50s)
itr: 8500 lr: 9.013e-05 train loss: 0.038350 train token_acc: 0.9932 train exact_match_acc: 0.7976 (K~32.00, min=32, max=32, dt=4.50s)
itr: 8750 lr: 8.953e-05 train loss: 0.036598 train token_acc: 0.9933 train exact_match_acc: 0.7998 (K~32.00, min=32, max=32, dt=4.50s)
itr: 9000 lr: 8.892e-05 train loss: 0.034720 train token_acc: 0.9937 train exact_match_acc: 0.8110 (K~32.00, min=32, max=32, dt=4.50s)
itr: 9250 lr: 8.829e-05 train loss: 0.031444 train token_acc: 0.9943 train exact_match_acc: 0.8267 (K~32.00, min=32, max=32, dt=4.50s)
itr: 9500 lr: 8.765e-05 train loss: 0.029090 train token_acc: 0.9946 train exact_match_acc: 0.8357 (K~32.00, min=32, max=32, dt=4.50s)
itr: 9750 lr: 8.700e-05 train loss: 0.027164 train token_acc: 0.9949 train exact_match_acc: 0.8477 (K~32.00, min=32, max=32, dt=4.50s)
itr: 10000 lr: 8.632e-05 train loss: 0.026709 train token_acc: 0.9948 train exact_match_acc: 0.8450 (K~32.00, min=32, max=32, dt=4.50s)
itr: 10250 lr: 8.564e-05 train loss: 0.024454 train token_acc: 0.9952 train exact_match_acc: 0.8574 (K~32.00, min=32, max=32, dt=4.50s)
