training:  19%|█▉        | 7749/40000 [02:19<09:39, 55.61it/s]
itr: 0 lr: 2.494e-07 train loss: 4.181278 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.39s)
itr: 250 lr: 6.259e-05 train loss: 3.979060 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.52s)
itr: 500 lr: 1.000e-04 train loss: 3.377213 train token_acc: 0.1270 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.50s)
itr: 750 lr: 9.998e-05 train loss: 2.807544 train token_acc: 0.2588 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.50s)
itr: 1000 lr: 9.994e-05 train loss: 2.376714 train token_acc: 0.3106 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.50s)
itr: 1250 lr: 9.989e-05 train loss: 2.063118 train token_acc: 0.3645 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.50s)
itr: 1500 lr: 9.981e-05 train loss: 1.825901 train token_acc: 0.4226 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.50s)
itr: 1750 lr: 9.972e-05 train loss: 1.632169 train token_acc: 0.4662 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.50s)
itr: 2000 lr: 9.960e-05 train loss: 1.466278 train token_acc: 0.5150 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.50s)
itr: 2250 lr: 9.947e-05 train loss: 1.313047 train token_acc: 0.5836 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.50s)
itr: 2500 lr: 9.931e-05 train loss: 1.165160 train token_acc: 0.6580 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.50s)
itr: 2750 lr: 9.914e-05 train loss: 1.028822 train token_acc: 0.7216 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.50s)
itr: 3000 lr: 9.895e-05 train loss: 0.903468 train token_acc: 0.7789 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.50s)
itr: 3250 lr: 9.874e-05 train loss: 0.804377 train token_acc: 0.8196 train exact_match_acc: 0.0015 (K~32.00, min=32, max=32, dt=4.50s)
itr: 3500 lr: 9.851e-05 train loss: 0.709239 train token_acc: 0.8569 train exact_match_acc: 0.0068 (K~32.00, min=32, max=32, dt=4.50s)
itr: 3750 lr: 9.826e-05 train loss: 0.624892 train token_acc: 0.8819 train exact_match_acc: 0.0134 (K~32.00, min=32, max=32, dt=4.50s)
itr: 4000 lr: 9.799e-05 train loss: 0.545661 train token_acc: 0.9056 train exact_match_acc: 0.0378 (K~32.00, min=32, max=32, dt=4.50s)
itr: 4250 lr: 9.771e-05 train loss: 0.473770 train token_acc: 0.9236 train exact_match_acc: 0.0681 (K~32.00, min=32, max=32, dt=4.50s)
itr: 4500 lr: 9.740e-05 train loss: 0.408754 train token_acc: 0.9377 train exact_match_acc: 0.1025 (K~32.00, min=32, max=32, dt=4.50s)
itr: 4750 lr: 9.708e-05 train loss: 0.352377 train token_acc: 0.9495 train exact_match_acc: 0.1746 (K~32.00, min=32, max=32, dt=4.50s)
itr: 5000 lr: 9.674e-05 train loss: 0.303191 train token_acc: 0.9582 train exact_match_acc: 0.2405 (K~32.00, min=32, max=32, dt=4.50s)
itr: 5250 lr: 9.638e-05 train loss: 0.261327 train token_acc: 0.9635 train exact_match_acc: 0.2866 (K~32.00, min=32, max=32, dt=4.50s)
itr: 5500 lr: 9.600e-05 train loss: 0.223580 train token_acc: 0.9692 train exact_match_acc: 0.3518 (K~32.00, min=32, max=32, dt=4.50s)
itr: 5750 lr: 9.561e-05 train loss: 0.190625 train token_acc: 0.9741 train exact_match_acc: 0.4221 (K~32.00, min=32, max=32, dt=4.50s)
itr: 6000 lr: 9.519e-05 train loss: 0.165694 train token_acc: 0.9765 train exact_match_acc: 0.4592 (K~32.00, min=32, max=32, dt=4.50s)
itr: 6250 lr: 9.476e-05 train loss: 0.143933 train token_acc: 0.9798 train exact_match_acc: 0.5125 (K~32.00, min=32, max=32, dt=4.50s)
itr: 6500 lr: 9.432e-05 train loss: 0.128130 train token_acc: 0.9810 train exact_match_acc: 0.5295 (K~32.00, min=32, max=32, dt=4.50s)
itr: 6750 lr: 9.385e-05 train loss: 0.111166 train token_acc: 0.9831 train exact_match_acc: 0.5759 (K~32.00, min=32, max=32, dt=4.50s)
itr: 7000 lr: 9.337e-05 train loss: 0.100158 train token_acc: 0.9841 train exact_match_acc: 0.5862 (K~32.00, min=32, max=32, dt=4.50s)
itr: 7250 lr: 9.287e-05 train loss: 0.088763 train token_acc: 0.9853 train exact_match_acc: 0.6145 (K~32.00, min=32, max=32, dt=4.50s)
itr: 7500 lr: 9.235e-05 train loss: 0.081157 train token_acc: 0.9865 train exact_match_acc: 0.6453 (K~32.00, min=32, max=32, dt=4.50s)
itr: 7750 lr: 9.182e-05 train loss: 0.075535 train token_acc: 0.9866 train exact_match_acc: 0.6462 (K~32.00, min=32, max=32, dt=4.50s)
itr: 8000 lr: 9.127e-05 train loss: 0.068773 train token_acc: 0.9877 train exact_match_acc: 0.6646 (K~32.00, min=32, max=32, dt=4.50s)
itr: 8250 lr: 9.071e-05 train loss: 0.063199 train token_acc: 0.9883 train exact_match_acc: 0.6770 (K~32.00, min=32, max=32, dt=4.50s)
itr: 8500 lr: 9.013e-05 train loss: 0.058315 train token_acc: 0.9892 train exact_match_acc: 0.7061 (K~32.00, min=32, max=32, dt=4.50s)
itr: 8750 lr: 8.953e-05 train loss: 0.054291 train token_acc: 0.9900 train exact_match_acc: 0.7214 (K~32.00, min=32, max=32, dt=4.50s)
itr: 9000 lr: 8.892e-05 train loss: 0.048739 train token_acc: 0.9909 train exact_match_acc: 0.7454 (K~32.00, min=32, max=32, dt=4.50s)
itr: 9250 lr: 8.829e-05 train loss: 0.048286 train token_acc: 0.9912 train exact_match_acc: 0.7524 (K~32.00, min=32, max=32, dt=4.50s)
itr: 9500 lr: 8.765e-05 train loss: 0.044519 train token_acc: 0.9914 train exact_match_acc: 0.7563 (K~32.00, min=32, max=32, dt=4.50s)
itr: 9750 lr: 8.700e-05 train loss: 0.040832 train token_acc: 0.9921 train exact_match_acc: 0.7761 (K~32.00, min=32, max=32, dt=4.50s)
itr: 10000 lr: 8.632e-05 train loss: 0.038737 train token_acc: 0.9923 train exact_match_acc: 0.7812 (K~32.00, min=32, max=32, dt=4.50s)
itr: 10250 lr: 8.564e-05 train loss: 0.036014 train token_acc: 0.9926 train exact_match_acc: 0.7861 (K~32.00, min=32, max=32, dt=4.50s)
itr: 10500 lr: 8.494e-05 train loss: 0.035313 train token_acc: 0.9928 train exact_match_acc: 0.7920 (K~32.00, min=32, max=32, dt=4.50s)
itr: 10750 lr: 8.423e-05 train loss: 0.036359 train token_acc: 0.9925 train exact_match_acc: 0.7888 (K~32.00, min=32, max=32, dt=4.50s)
itr: 11000 lr: 8.351e-05 train loss: 0.033787 train token_acc: 0.9929 train exact_match_acc: 0.7942 (K~32.00, min=32, max=32, dt=4.50s)
itr: 11250 lr: 8.277e-05 train loss: 0.032440 train token_acc: 0.9931 train exact_match_acc: 0.8010 (K~32.00, min=32, max=32, dt=4.50s)
itr: 11500 lr: 8.202e-05 train loss: 0.030348 train token_acc: 0.9934 train exact_match_acc: 0.8098 (K~32.00, min=32, max=32, dt=4.50s)
itr: 11750 lr: 8.125e-05 train loss: 0.027882 train token_acc: 0.9938 train exact_match_acc: 0.8198 (K~32.00, min=32, max=32, dt=4.50s)
itr: 12000 lr: 8.048e-05 train loss: 0.027857 train token_acc: 0.9940 train exact_match_acc: 0.8213 (K~32.00, min=32, max=32, dt=4.50s)
itr: 12250 lr: 7.969e-05 train loss: 0.027707 train token_acc: 0.9940 train exact_match_acc: 0.8254 (K~32.00, min=32, max=32, dt=4.50s)
itr: 12500 lr: 7.889e-05 train loss: 0.025336 train token_acc: 0.9941 train exact_match_acc: 0.8230 (K~32.00, min=32, max=32, dt=4.50s)
itr: 12750 lr: 7.808e-05 train loss: 0.025012 train token_acc: 0.9944 train exact_match_acc: 0.8340 (K~32.00, min=32, max=32, dt=4.50s)
itr: 13000 lr: 7.726e-05 train loss: 0.023794 train token_acc: 0.9944 train exact_match_acc: 0.8347 (K~32.00, min=32, max=32, dt=4.50s)
itr: 13250 lr: 7.643e-05 train loss: 0.024185 train token_acc: 0.9941 train exact_match_acc: 0.8269 (K~32.00, min=32, max=32, dt=4.50s)
itr: 13500 lr: 7.559e-05 train loss: 0.023268 train token_acc: 0.9944 train exact_match_acc: 0.8315 (K~32.00, min=32, max=32, dt=4.50s)
itr: 13750 lr: 7.474e-05 train loss: 0.022518 train token_acc: 0.9947 train exact_match_acc: 0.8423 (K~32.00, min=32, max=32, dt=4.50s)
itr: 14000 lr: 7.388e-05 train loss: 0.022465 train token_acc: 0.9946 train exact_match_acc: 0.8403 (K~32.00, min=32, max=32, dt=4.50s)
itr: 14250 lr: 7.301e-05 train loss: 0.021227 train token_acc: 0.9948 train exact_match_acc: 0.8459 (K~32.00, min=32, max=32, dt=4.50s)
itr: 14500 lr: 7.213e-05 train loss: 0.020510 train token_acc: 0.9949 train exact_match_acc: 0.8469 (K~32.00, min=32, max=32, dt=4.50s)
itr: 14750 lr: 7.124e-05 train loss: 0.019698 train token_acc: 0.9951 train exact_match_acc: 0.8501 (K~32.00, min=32, max=32, dt=4.50s)
itr: 15000 lr: 7.035e-05 train loss: 0.018862 train token_acc: 0.9951 train exact_match_acc: 0.8523 (K~32.00, min=32, max=32, dt=4.50s)
itr: 15250 lr: 6.944e-05 train loss: 0.019924 train token_acc: 0.9949 train exact_match_acc: 0.8469 (K~32.00, min=32, max=32, dt=4.50s)
itr: 15500 lr: 6.853e-05 train loss: 0.018823 train token_acc: 0.9952 train exact_match_acc: 0.8574 (K~32.00, min=32, max=32, dt=4.50s)
itr: 15750 lr: 6.761e-05 train loss: 0.019466 train token_acc: 0.9949 train exact_match_acc: 0.8462 (K~32.00, min=32, max=32, dt=4.50s)
itr: 16000 lr: 6.669e-05 train loss: 0.018158 train token_acc: 0.9953 train exact_match_acc: 0.8591 (K~32.00, min=32, max=32, dt=4.50s)
itr: 16250 lr: 6.576e-05 train loss: 0.018004 train token_acc: 0.9954 train exact_match_acc: 0.8616 (K~32.00, min=32, max=32, dt=4.50s)
itr: 16500 lr: 6.482e-05 train loss: 0.019643 train token_acc: 0.9948 train exact_match_acc: 0.8440 (K~32.00, min=32, max=32, dt=4.50s)
itr: 16750 lr: 6.388e-05 train loss: 0.017302 train token_acc: 0.9955 train exact_match_acc: 0.8640 (K~32.00, min=32, max=32, dt=4.50s)
itr: 17000 lr: 6.293e-05 train loss: 0.018147 train token_acc: 0.9952 train exact_match_acc: 0.8530 (K~32.00, min=32, max=32, dt=4.50s)
itr: 17250 lr: 6.198e-05 train loss: 0.017188 train token_acc: 0.9953 train exact_match_acc: 0.8582 (K~32.00, min=32, max=32, dt=4.50s)
itr: 17500 lr: 6.102e-05 train loss: 0.017076 train token_acc: 0.9952 train exact_match_acc: 0.8540 (K~32.00, min=32, max=32, dt=4.50s)
itr: 17750 lr: 6.006e-05 train loss: 0.016819 train token_acc: 0.9956 train exact_match_acc: 0.8667 (K~32.00, min=32, max=32, dt=4.50s)
itr: 18000 lr: 5.910e-05 train loss: 0.015454 train token_acc: 0.9957 train exact_match_acc: 0.8687 (K~32.00, min=32, max=32, dt=4.50s)
itr: 18250 lr: 5.813e-05 train loss: 0.016411 train token_acc: 0.9955 train exact_match_acc: 0.8625 (K~32.00, min=32, max=32, dt=4.50s)
itr: 18500 lr: 5.716e-05 train loss: 0.016406 train token_acc: 0.9957 train exact_match_acc: 0.8682 (K~32.00, min=32, max=32, dt=4.50s)
itr: 18750 lr: 5.618e-05 train loss: 0.015829 train token_acc: 0.9956 train exact_match_acc: 0.8667 (K~32.00, min=32, max=32, dt=4.50s)
itr: 19000 lr: 5.521e-05 train loss: 0.015067 train token_acc: 0.9958 train exact_match_acc: 0.8730 (K~32.00, min=32, max=32, dt=4.50s)
itr: 19250 lr: 5.423e-05 train loss: 0.016165 train token_acc: 0.9958 train exact_match_acc: 0.8701 (K~32.00, min=32, max=32, dt=4.50s)
itr: 19500 lr: 5.325e-05 train loss: 0.015319 train token_acc: 0.9959 train exact_match_acc: 0.8752 (K~32.00, min=32, max=32, dt=4.50s)
itr: 19750 lr: 5.227e-05 train loss: 0.015622 train token_acc: 0.9957 train exact_match_acc: 0.8667 (K~32.00, min=32, max=32, dt=4.50s)
itr: 20000 lr: 5.129e-05 train loss: 0.014555 train token_acc: 0.9960 train exact_match_acc: 0.8779 (K~32.00, min=32, max=32, dt=4.50s)
saved checkpoint: ./grid_outputs/len_gen_v64_e32_k32/task_0000/saved_models/Checkpoint_N64_d32_H1_L2_npos1_mlp0_ln1_normlayernorm_qkn0_qkrms0_gate0_gateelem0_lenmix_trainK32to32_testK32to32_nodup1_iters20001.pt
itr: 20250 lr: 5.030e-05 train loss: 0.016157 train token_acc: 0.9955 train exact_match_acc: 0.8647 (K~32.00, min=32, max=32, dt=4.50s)
