training:  19%|█▉        | 7749/40000 [02:19<09:38, 55.77it/s]
itr: 0 lr: 2.494e-07 train loss: 4.570989 train token_acc: 0.0111 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.28s)
itr: 250 lr: 6.259e-05 train loss: 4.272955 train token_acc: 0.0183 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.53s)
itr: 500 lr: 1.000e-04 train loss: 3.743105 train token_acc: 0.0591 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.49s)
itr: 750 lr: 9.998e-05 train loss: 3.039272 train token_acc: 0.1756 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.49s)
itr: 1000 lr: 9.994e-05 train loss: 2.454592 train token_acc: 0.3131 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.49s)
itr: 1250 lr: 9.989e-05 train loss: 2.029928 train token_acc: 0.4028 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.49s)
itr: 1500 lr: 9.981e-05 train loss: 1.705028 train token_acc: 0.4887 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.49s)
itr: 1750 lr: 9.972e-05 train loss: 1.385724 train token_acc: 0.5959 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.49s)
itr: 2000 lr: 9.960e-05 train loss: 1.119801 train token_acc: 0.6834 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.49s)
itr: 2250 lr: 9.947e-05 train loss: 0.886358 train token_acc: 0.7694 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.49s)
itr: 2500 lr: 9.931e-05 train loss: 0.681125 train token_acc: 0.8351 train exact_match_acc: 0.0005 (K~32.00, min=32, max=32, dt=4.49s)
itr: 2750 lr: 9.914e-05 train loss: 0.525459 train token_acc: 0.8747 train exact_match_acc: 0.0059 (K~32.00, min=32, max=32, dt=4.49s)
itr: 3000 lr: 9.895e-05 train loss: 0.412303 train token_acc: 0.8998 train exact_match_acc: 0.0139 (K~32.00, min=32, max=32, dt=4.49s)
itr: 3250 lr: 9.874e-05 train loss: 0.326331 train token_acc: 0.9228 train exact_match_acc: 0.0479 (K~32.00, min=32, max=32, dt=4.49s)
