training:  19%|█▉        | 7749/40000 [02:19<09:39, 55.69it/s]
itr: 0 lr: 2.494e-07 train loss: 4.519715 train token_acc: 0.0076 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.28s)
itr: 250 lr: 6.259e-05 train loss: 4.215725 train token_acc: 0.0130 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.51s)
itr: 500 lr: 1.000e-04 train loss: 3.563235 train token_acc: 0.0724 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.49s)
itr: 750 lr: 9.998e-05 train loss: 2.853299 train token_acc: 0.2202 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.49s)
itr: 1000 lr: 9.994e-05 train loss: 2.320314 train token_acc: 0.3496 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.49s)
itr: 1250 lr: 9.989e-05 train loss: 1.902199 train token_acc: 0.4540 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.49s)
itr: 1500 lr: 9.981e-05 train loss: 1.545629 train token_acc: 0.5500 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.49s)
itr: 1750 lr: 9.972e-05 train loss: 1.255356 train token_acc: 0.6398 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.49s)
itr: 2000 lr: 9.960e-05 train loss: 0.988099 train token_acc: 0.7314 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.49s)
itr: 2250 lr: 9.947e-05 train loss: 0.756466 train token_acc: 0.8079 train exact_match_acc: 0.0002 (K~32.00, min=32, max=32, dt=4.49s)
itr: 2500 lr: 9.931e-05 train loss: 0.556878 train token_acc: 0.8695 train exact_match_acc: 0.0042 (K~32.00, min=32, max=32, dt=4.49s)
itr: 2750 lr: 9.914e-05 train loss: 0.409817 train token_acc: 0.9085 train exact_match_acc: 0.0303 (K~32.00, min=32, max=32, dt=4.49s)
itr: 3000 lr: 9.895e-05 train loss: 0.299499 train token_acc: 0.9398 train exact_match_acc: 0.1079 (K~32.00, min=32, max=32, dt=4.49s)
itr: 3250 lr: 9.874e-05 train loss: 0.222444 train token_acc: 0.9577 train exact_match_acc: 0.2083 (K~32.00, min=32, max=32, dt=4.49s)
itr: 3500 lr: 9.851e-05 train loss: 0.165452 train token_acc: 0.9700 train exact_match_acc: 0.3401 (K~32.00, min=32, max=32, dt=4.49s)
itr: 3750 lr: 9.826e-05 train loss: 0.129293 train token_acc: 0.9758 train exact_match_acc: 0.4104 (K~32.00, min=32, max=32, dt=4.49s)
itr: 4000 lr: 9.799e-05 train loss: 0.102623 train token_acc: 0.9807 train exact_match_acc: 0.5024 (K~32.00, min=32, max=32, dt=4.49s)
itr: 4250 lr: 9.771e-05 train loss: 0.081869 train token_acc: 0.9842 train exact_match_acc: 0.5671 (K~32.00, min=32, max=32, dt=4.49s)
itr: 4500 lr: 9.740e-05 train loss: 0.069348 train token_acc: 0.9865 train exact_match_acc: 0.6255 (K~32.00, min=32, max=32, dt=4.49s)
itr: 4750 lr: 9.708e-05 train loss: 0.056388 train token_acc: 0.9886 train exact_match_acc: 0.6731 (K~32.00, min=32, max=32, dt=4.49s)
itr: 5000 lr: 9.674e-05 train loss: 0.048585 train token_acc: 0.9894 train exact_match_acc: 0.6941 (K~32.00, min=32, max=32, dt=4.49s)
itr: 5250 lr: 9.638e-05 train loss: 0.041967 train token_acc: 0.9908 train exact_match_acc: 0.7297 (K~32.00, min=32, max=32, dt=4.49s)
itr: 5500 lr: 9.600e-05 train loss: 0.037749 train token_acc: 0.9916 train exact_match_acc: 0.7493 (K~32.00, min=32, max=32, dt=4.49s)
itr: 5750 lr: 9.561e-05 train loss: 0.034280 train token_acc: 0.9920 train exact_match_acc: 0.7583 (K~32.00, min=32, max=32, dt=4.49s)
itr: 6000 lr: 9.519e-05 train loss: 0.031631 train token_acc: 0.9924 train exact_match_acc: 0.7727 (K~32.00, min=32, max=32, dt=4.49s)
