training:  19%|█▉        | 7750/40000 [01:20<05:32, 97.08it/s]
itr: 0 lr: 2.494e-07 train loss: 4.184216 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.31s)
itr: 250 lr: 6.259e-05 train loss: 4.167438 train token_acc: 0.0001 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 500 lr: 1.000e-04 train loss: 4.143661 train token_acc: 0.0708 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 750 lr: 9.998e-05 train loss: 4.082147 train token_acc: 0.0989 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 1000 lr: 9.994e-05 train loss: 3.979001 train token_acc: 0.1353 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 1250 lr: 9.989e-05 train loss: 3.778649 train token_acc: 0.1191 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 1500 lr: 9.981e-05 train loss: 3.244181 train token_acc: 0.1128 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 1750 lr: 9.972e-05 train loss: 2.759498 train token_acc: 0.1489 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 2000 lr: 9.960e-05 train loss: 2.328937 train token_acc: 0.2287 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 2250 lr: 9.947e-05 train loss: 2.083364 train token_acc: 0.2863 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 2500 lr: 9.931e-05 train loss: 1.965334 train token_acc: 0.3102 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 2750 lr: 9.914e-05 train loss: 1.905845 train token_acc: 0.3193 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 3000 lr: 9.895e-05 train loss: 1.879071 train token_acc: 0.3271 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 3250 lr: 9.874e-05 train loss: 1.854204 train token_acc: 0.3271 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 3500 lr: 9.851e-05 train loss: 1.843164 train token_acc: 0.3322 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 3750 lr: 9.826e-05 train loss: 1.836941 train token_acc: 0.3311 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 4000 lr: 9.799e-05 train loss: 1.829232 train token_acc: 0.3360 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 4250 lr: 9.771e-05 train loss: 1.820438 train token_acc: 0.3352 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 4500 lr: 9.740e-05 train loss: 1.816814 train token_acc: 0.3485 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 4750 lr: 9.708e-05 train loss: 1.810592 train token_acc: 0.3526 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 5000 lr: 9.674e-05 train loss: 1.802062 train token_acc: 0.3515 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 5250 lr: 9.638e-05 train loss: 1.798663 train token_acc: 0.3426 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 5500 lr: 9.600e-05 train loss: 1.795709 train token_acc: 0.3549 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 5750 lr: 9.561e-05 train loss: 1.789924 train token_acc: 0.3523 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 6000 lr: 9.519e-05 train loss: 1.792603 train token_acc: 0.3424 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 6250 lr: 9.476e-05 train loss: 1.777727 train token_acc: 0.3522 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 6500 lr: 9.432e-05 train loss: 1.778287 train token_acc: 0.3618 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 6750 lr: 9.385e-05 train loss: 1.772624 train token_acc: 0.3551 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 7000 lr: 9.337e-05 train loss: 1.760728 train token_acc: 0.3566 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 7250 lr: 9.287e-05 train loss: 1.759075 train token_acc: 0.3631 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 7500 lr: 9.235e-05 train loss: 1.756871 train token_acc: 0.3599 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 7750 lr: 9.182e-05 train loss: 1.748991 train token_acc: 0.3645 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 8000 lr: 9.127e-05 train loss: 1.747643 train token_acc: 0.3671 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 8250 lr: 9.071e-05 train loss: 1.746601 train token_acc: 0.3652 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 8500 lr: 9.013e-05 train loss: 1.742298 train token_acc: 0.3469 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 8750 lr: 8.953e-05 train loss: 1.738743 train token_acc: 0.3509 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 9000 lr: 8.892e-05 train loss: 1.730707 train token_acc: 0.3680 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 9250 lr: 8.829e-05 train loss: 1.722495 train token_acc: 0.3617 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
