training:  19%|█▉        | 7743/40000 [01:20<05:32, 97.08it/s] 
itr: 0 lr: 2.494e-07 train loss: 4.184497 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.32s)
itr: 250 lr: 6.259e-05 train loss: 4.166394 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.61s)
itr: 500 lr: 1.000e-04 train loss: 4.141103 train token_acc: 0.0348 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 750 lr: 9.998e-05 train loss: 4.077338 train token_acc: 0.1010 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 1000 lr: 9.994e-05 train loss: 3.969239 train token_acc: 0.1134 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 1250 lr: 9.989e-05 train loss: 3.745710 train token_acc: 0.1069 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 1500 lr: 9.981e-05 train loss: 3.101168 train token_acc: 0.1155 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 1750 lr: 9.972e-05 train loss: 2.544500 train token_acc: 0.1641 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 2000 lr: 9.960e-05 train loss: 2.171198 train token_acc: 0.2769 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 2250 lr: 9.947e-05 train loss: 1.949811 train token_acc: 0.3253 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 2500 lr: 9.931e-05 train loss: 1.865475 train token_acc: 0.3254 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 2750 lr: 9.914e-05 train loss: 1.821372 train token_acc: 0.3329 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 3000 lr: 9.895e-05 train loss: 1.794136 train token_acc: 0.3449 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 3250 lr: 9.874e-05 train loss: 1.778183 train token_acc: 0.3440 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 3500 lr: 9.851e-05 train loss: 1.768512 train token_acc: 0.3544 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 3750 lr: 9.826e-05 train loss: 1.759624 train token_acc: 0.3547 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 4000 lr: 9.799e-05 train loss: 1.754851 train token_acc: 0.3466 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 4250 lr: 9.771e-05 train loss: 1.749003 train token_acc: 0.3498 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 4500 lr: 9.740e-05 train loss: 1.736739 train token_acc: 0.3531 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 4750 lr: 9.708e-05 train loss: 1.735175 train token_acc: 0.3595 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 5000 lr: 9.674e-05 train loss: 1.726858 train token_acc: 0.3561 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 5250 lr: 9.638e-05 train loss: 1.730287 train token_acc: 0.3678 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 5500 lr: 9.600e-05 train loss: 1.728897 train token_acc: 0.3700 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 5750 lr: 9.561e-05 train loss: 1.719500 train token_acc: 0.3726 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 6000 lr: 9.519e-05 train loss: 1.713165 train token_acc: 0.3666 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 6250 lr: 9.476e-05 train loss: 1.713391 train token_acc: 0.3668 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 6500 lr: 9.432e-05 train loss: 1.709917 train token_acc: 0.3753 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 6750 lr: 9.385e-05 train loss: 1.699137 train token_acc: 0.3685 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 7000 lr: 9.337e-05 train loss: 1.701801 train token_acc: 0.3723 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 7250 lr: 9.287e-05 train loss: 1.691820 train token_acc: 0.3757 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 7500 lr: 9.235e-05 train loss: 1.685696 train token_acc: 0.3750 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 7750 lr: 9.182e-05 train loss: 1.687369 train token_acc: 0.3796 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 8000 lr: 9.127e-05 train loss: 1.680651 train token_acc: 0.3804 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 8250 lr: 9.071e-05 train loss: 1.676401 train token_acc: 0.3893 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 8500 lr: 9.013e-05 train loss: 1.669149 train token_acc: 0.3865 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 8750 lr: 8.953e-05 train loss: 1.668716 train token_acc: 0.3916 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
