training:  19%|█▉        | 7742/40000 [01:36<06:40, 80.51it/s]
itr: 0 lr: 2.494e-07 train loss: 4.189439 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 4.101546 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.12s)
itr: 500 lr: 1.000e-04 train loss: 3.672016 train token_acc: 0.0604 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.11s)
itr: 750 lr: 9.998e-05 train loss: 2.617095 train token_acc: 0.2600 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.11s)
itr: 1000 lr: 9.994e-05 train loss: 1.721574 train token_acc: 0.4396 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.11s)
itr: 1250 lr: 9.989e-05 train loss: 1.470034 train token_acc: 0.4865 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.11s)
itr: 1500 lr: 9.981e-05 train loss: 1.371849 train token_acc: 0.5024 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.11s)
itr: 1750 lr: 9.972e-05 train loss: 1.286065 train token_acc: 0.5299 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.11s)
itr: 2000 lr: 9.960e-05 train loss: 1.212048 train token_acc: 0.5452 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.11s)
itr: 2250 lr: 9.947e-05 train loss: 1.133495 train token_acc: 0.5732 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.11s)
itr: 2500 lr: 9.931e-05 train loss: 1.056077 train token_acc: 0.6015 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.11s)
itr: 2750 lr: 9.914e-05 train loss: 0.966983 train token_acc: 0.6330 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.11s)
itr: 3000 lr: 9.895e-05 train loss: 0.870554 train token_acc: 0.6719 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.11s)
itr: 3250 lr: 9.874e-05 train loss: 0.762474 train token_acc: 0.7162 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.11s)
itr: 3500 lr: 9.851e-05 train loss: 0.634360 train token_acc: 0.7664 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.11s)
itr: 3750 lr: 9.826e-05 train loss: 0.527196 train token_acc: 0.8117 train exact_match_acc: 0.0002 (K~32.00, min=32, max=32, dt=3.11s)
itr: 4000 lr: 9.799e-05 train loss: 0.426320 train token_acc: 0.8558 train exact_match_acc: 0.0007 (K~32.00, min=32, max=32, dt=3.11s)
itr: 4250 lr: 9.771e-05 train loss: 0.330995 train token_acc: 0.8922 train exact_match_acc: 0.0076 (K~32.00, min=32, max=32, dt=3.11s)
itr: 4500 lr: 9.740e-05 train loss: 0.262556 train token_acc: 0.9164 train exact_match_acc: 0.0217 (K~32.00, min=32, max=32, dt=3.11s)
itr: 4750 lr: 9.708e-05 train loss: 0.209100 train token_acc: 0.9341 train exact_match_acc: 0.0640 (K~32.00, min=32, max=32, dt=3.11s)
itr: 5000 lr: 9.674e-05 train loss: 0.171754 train token_acc: 0.9474 train exact_match_acc: 0.1235 (K~32.00, min=32, max=32, dt=3.11s)
itr: 5250 lr: 9.638e-05 train loss: 0.139028 train token_acc: 0.9600 train exact_match_acc: 0.2275 (K~32.00, min=32, max=32, dt=3.11s)
itr: 5500 lr: 9.600e-05 train loss: 0.106170 train token_acc: 0.9722 train exact_match_acc: 0.3745 (K~32.00, min=32, max=32, dt=3.11s)
itr: 5750 lr: 9.561e-05 train loss: 0.083413 train token_acc: 0.9802 train exact_match_acc: 0.5110 (K~32.00, min=32, max=32, dt=3.11s)
itr: 6000 lr: 9.519e-05 train loss: 0.069689 train token_acc: 0.9847 train exact_match_acc: 0.5928 (K~32.00, min=32, max=32, dt=3.11s)
itr: 6250 lr: 9.476e-05 train loss: 0.054405 train token_acc: 0.9889 train exact_match_acc: 0.6907 (K~32.00, min=32, max=32, dt=3.11s)
itr: 6500 lr: 9.432e-05 train loss: 0.041563 train token_acc: 0.9921 train exact_match_acc: 0.7708 (K~32.00, min=32, max=32, dt=3.11s)
itr: 6750 lr: 9.385e-05 train loss: 0.033102 train token_acc: 0.9933 train exact_match_acc: 0.7993 (K~32.00, min=32, max=32, dt=3.11s)
itr: 7000 lr: 9.337e-05 train loss: 0.026273 train token_acc: 0.9946 train exact_match_acc: 0.8394 (K~32.00, min=32, max=32, dt=3.11s)
itr: 7250 lr: 9.287e-05 train loss: 0.022148 train token_acc: 0.9956 train exact_match_acc: 0.8647 (K~32.00, min=32, max=32, dt=3.11s)
itr: 7500 lr: 9.235e-05 train loss: 0.021093 train token_acc: 0.9960 train exact_match_acc: 0.8774 (K~32.00, min=32, max=32, dt=3.11s)
itr: 7750 lr: 9.182e-05 train loss: 0.015598 train token_acc: 0.9969 train exact_match_acc: 0.9023 (K~32.00, min=32, max=32, dt=3.11s)
itr: 8000 lr: 9.127e-05 train loss: 0.013128 train token_acc: 0.9975 train exact_match_acc: 0.9209 (K~32.00, min=32, max=32, dt=3.11s)
itr: 8250 lr: 9.071e-05 train loss: 0.013057 train token_acc: 0.9976 train exact_match_acc: 0.9265 (K~32.00, min=32, max=32, dt=3.11s)
itr: 8500 lr: 9.013e-05 train loss: 0.011029 train token_acc: 0.9978 train exact_match_acc: 0.9321 (K~32.00, min=32, max=32, dt=3.11s)
itr: 8750 lr: 8.953e-05 train loss: 0.009736 train token_acc: 0.9981 train exact_match_acc: 0.9385 (K~32.00, min=32, max=32, dt=3.11s)
itr: 9000 lr: 8.892e-05 train loss: 0.009691 train token_acc: 0.9984 train exact_match_acc: 0.9480 (K~32.00, min=32, max=32, dt=3.11s)
itr: 9250 lr: 8.829e-05 train loss: 0.007607 train token_acc: 0.9985 train exact_match_acc: 0.9517 (K~32.00, min=32, max=32, dt=3.11s)
itr: 9500 lr: 8.765e-05 train loss: 0.006221 train token_acc: 0.9985 train exact_match_acc: 0.9521 (K~32.00, min=32, max=32, dt=3.11s)
itr: 9750 lr: 8.700e-05 train loss: 0.005889 train token_acc: 0.9988 train exact_match_acc: 0.9626 (K~32.00, min=32, max=32, dt=3.11s)
itr: 10000 lr: 8.632e-05 train loss: 0.005781 train token_acc: 0.9988 train exact_match_acc: 0.9619 (K~32.00, min=32, max=32, dt=3.11s)
itr: 10250 lr: 8.564e-05 train loss: 0.005761 train token_acc: 0.9988 train exact_match_acc: 0.9619 (K~32.00, min=32, max=32, dt=3.11s)
itr: 10500 lr: 8.494e-05 train loss: 0.004810 train token_acc: 0.9989 train exact_match_acc: 0.9658 (K~32.00, min=32, max=32, dt=3.11s)
itr: 10750 lr: 8.423e-05 train loss: 0.005163 train token_acc: 0.9989 train exact_match_acc: 0.9651 (K~32.00, min=32, max=32, dt=3.11s)
itr: 11000 lr: 8.351e-05 train loss: 0.004887 train token_acc: 0.9990 train exact_match_acc: 0.9675 (K~32.00, min=32, max=32, dt=3.11s)
itr: 11250 lr: 8.277e-05 train loss: 0.004400 train token_acc: 0.9989 train exact_match_acc: 0.9658 (K~32.00, min=32, max=32, dt=3.11s)
itr: 11500 lr: 8.202e-05 train loss: 0.003749 train token_acc: 0.9991 train exact_match_acc: 0.9727 (K~32.00, min=32, max=32, dt=3.11s)
itr: 11750 lr: 8.125e-05 train loss: 0.004397 train token_acc: 0.9992 train exact_match_acc: 0.9746 (K~32.00, min=32, max=32, dt=3.11s)
itr: 12000 lr: 8.048e-05 train loss: 0.003525 train token_acc: 0.9993 train exact_match_acc: 0.9766 (K~32.00, min=32, max=32, dt=3.11s)
itr: 12250 lr: 7.969e-05 train loss: 0.003765 train token_acc: 0.9993 train exact_match_acc: 0.9763 (K~32.00, min=32, max=32, dt=3.11s)
itr: 12500 lr: 7.889e-05 train loss: 0.003198 train token_acc: 0.9993 train exact_match_acc: 0.9778 (K~32.00, min=32, max=32, dt=3.11s)
itr: 12750 lr: 7.808e-05 train loss: 0.003076 train token_acc: 0.9995 train exact_match_acc: 0.9832 (K~32.00, min=32, max=32, dt=3.11s)
itr: 13000 lr: 7.726e-05 train loss: 0.003162 train token_acc: 0.9993 train exact_match_acc: 0.9790 (K~32.00, min=32, max=32, dt=3.11s)
itr: 13250 lr: 7.643e-05 train loss: 0.002803 train token_acc: 0.9994 train exact_match_acc: 0.9822 (K~32.00, min=32, max=32, dt=3.11s)
itr: 13500 lr: 7.559e-05 train loss: 0.002813 train token_acc: 0.9993 train exact_match_acc: 0.9790 (K~32.00, min=32, max=32, dt=3.11s)
itr: 13750 lr: 7.474e-05 train loss: 0.002168 train token_acc: 0.9995 train exact_match_acc: 0.9824 (K~32.00, min=32, max=32, dt=3.11s)
itr: 14000 lr: 7.388e-05 train loss: 0.002282 train token_acc: 0.9995 train exact_match_acc: 0.9841 (K~32.00, min=32, max=32, dt=3.11s)
itr: 14250 lr: 7.301e-05 train loss: 0.002420 train token_acc: 0.9995 train exact_match_acc: 0.9844 (K~32.00, min=32, max=32, dt=3.11s)
itr: 14500 lr: 7.213e-05 train loss: 0.001972 train token_acc: 0.9997 train exact_match_acc: 0.9890 (K~32.00, min=32, max=32, dt=3.11s)
itr: 14750 lr: 7.124e-05 train loss: 0.002269 train token_acc: 0.9996 train exact_match_acc: 0.9858 (K~32.00, min=32, max=32, dt=3.11s)
itr: 15000 lr: 7.035e-05 train loss: 0.002134 train token_acc: 0.9997 train exact_match_acc: 0.9890 (K~32.00, min=32, max=32, dt=3.11s)
itr: 15250 lr: 6.944e-05 train loss: 0.002199 train token_acc: 0.9996 train exact_match_acc: 0.9863 (K~32.00, min=32, max=32, dt=3.11s)
itr: 15500 lr: 6.853e-05 train loss: 0.001786 train token_acc: 0.9997 train exact_match_acc: 0.9900 (K~32.00, min=32, max=32, dt=3.11s)
itr: 15750 lr: 6.761e-05 train loss: 0.001169 train token_acc: 0.9998 train exact_match_acc: 0.9927 (K~32.00, min=32, max=32, dt=3.11s)
itr: 16000 lr: 6.669e-05 train loss: 0.001392 train token_acc: 0.9997 train exact_match_acc: 0.9897 (K~32.00, min=32, max=32, dt=3.11s)
itr: 16250 lr: 6.576e-05 train loss: 0.001175 train token_acc: 0.9998 train exact_match_acc: 0.9941 (K~32.00, min=32, max=32, dt=3.11s)
itr: 16500 lr: 6.482e-05 train loss: 0.002046 train token_acc: 0.9997 train exact_match_acc: 0.9905 (K~32.00, min=32, max=32, dt=3.11s)
itr: 16750 lr: 6.388e-05 train loss: 0.001041 train token_acc: 0.9998 train exact_match_acc: 0.9939 (K~32.00, min=32, max=32, dt=3.11s)
itr: 17000 lr: 6.293e-05 train loss: 0.001136 train token_acc: 0.9997 train exact_match_acc: 0.9915 (K~32.00, min=32, max=32, dt=3.11s)
itr: 17250 lr: 6.198e-05 train loss: 0.001186 train token_acc: 0.9998 train exact_match_acc: 0.9924 (K~32.00, min=32, max=32, dt=3.11s)
itr: 17500 lr: 6.102e-05 train loss: 0.001292 train token_acc: 0.9997 train exact_match_acc: 0.9915 (K~32.00, min=32, max=32, dt=3.11s)
itr: 17750 lr: 6.006e-05 train loss: 0.001041 train token_acc: 0.9997 train exact_match_acc: 0.9910 (K~32.00, min=32, max=32, dt=3.11s)
itr: 18000 lr: 5.910e-05 train loss: 0.001280 train token_acc: 0.9998 train exact_match_acc: 0.9949 (K~32.00, min=32, max=32, dt=3.11s)
itr: 18250 lr: 5.813e-05 train loss: 0.001061 train token_acc: 0.9999 train exact_match_acc: 0.9954 (K~32.00, min=32, max=32, dt=3.11s)
itr: 18500 lr: 5.716e-05 train loss: 0.001211 train token_acc: 0.9998 train exact_match_acc: 0.9922 (K~32.00, min=32, max=32, dt=3.11s)
itr: 18750 lr: 5.618e-05 train loss: 0.001002 train token_acc: 0.9998 train exact_match_acc: 0.9937 (K~32.00, min=32, max=32, dt=3.11s)
itr: 19000 lr: 5.521e-05 train loss: 0.001112 train token_acc: 0.9998 train exact_match_acc: 0.9932 (K~32.00, min=32, max=32, dt=3.11s)
itr: 19250 lr: 5.423e-05 train loss: 0.001441 train token_acc: 0.9998 train exact_match_acc: 0.9927 (K~32.00, min=32, max=32, dt=3.11s)
itr: 19500 lr: 5.325e-05 train loss: 0.000679 train token_acc: 0.9999 train exact_match_acc: 0.9968 (K~32.00, min=32, max=32, dt=3.11s)
itr: 19750 lr: 5.227e-05 train loss: 0.000952 train token_acc: 0.9998 train exact_match_acc: 0.9949 (K~32.00, min=32, max=32, dt=3.11s)
itr: 20000 lr: 5.129e-05 train loss: 0.000829 train token_acc: 0.9999 train exact_match_acc: 0.9963 (K~32.00, min=32, max=32, dt=3.11s)
saved checkpoint: ./grid_outputs/len_gen_v64_e32_k32/task_0002/saved_models/Checkpoint_N64_d32_H1_L2_npos1_mlp1_ln0_normnone_qkn0_qkrms0_gate0_gateelem0_lenmix_trainK32to32_testK32to32_nodup1_iters20001.pt
itr: 20250 lr: 5.030e-05 train loss: 0.000843 train token_acc: 0.9998 train exact_match_acc: 0.9939 (K~32.00, min=32, max=32, dt=3.15s)
itr: 20500 lr: 4.932e-05 train loss: 0.000943 train token_acc: 0.9999 train exact_match_acc: 0.9954 (K~32.00, min=32, max=32, dt=3.11s)
itr: 20750 lr: 4.834e-05 train loss: 0.000722 train token_acc: 0.9999 train exact_match_acc: 0.9961 (K~32.00, min=32, max=32, dt=3.11s)
itr: 21000 lr: 4.736e-05 train loss: 0.001219 train token_acc: 0.9998 train exact_match_acc: 0.9949 (K~32.00, min=32, max=32, dt=3.11s)
itr: 21250 lr: 4.638e-05 train loss: 0.000868 train token_acc: 0.9999 train exact_match_acc: 0.9963 (K~32.00, min=32, max=32, dt=3.11s)
itr: 21500 lr: 4.540e-05 train loss: 0.000491 train token_acc: 0.9999 train exact_match_acc: 0.9963 (K~32.00, min=32, max=32, dt=3.11s)
itr: 21750 lr: 4.443e-05 train loss: 0.000814 train token_acc: 0.9999 train exact_match_acc: 0.9958 (K~32.00, min=32, max=32, dt=3.11s)
itr: 22000 lr: 4.346e-05 train loss: 0.000651 train token_acc: 0.9999 train exact_match_acc: 0.9958 (K~32.00, min=32, max=32, dt=3.11s)
itr: 22250 lr: 4.249e-05 train loss: 0.000693 train token_acc: 0.9999 train exact_match_acc: 0.9966 (K~32.00, min=32, max=32, dt=3.11s)
itr: 22500 lr: 4.152e-05 train loss: 0.000698 train token_acc: 0.9999 train exact_match_acc: 0.9963 (K~32.00, min=32, max=32, dt=3.11s)
itr: 22750 lr: 4.055e-05 train loss: 0.000860 train token_acc: 0.9999 train exact_match_acc: 0.9956 (K~32.00, min=32, max=32, dt=3.11s)
itr: 23000 lr: 3.959e-05 train loss: 0.000354 train token_acc: 0.9999 train exact_match_acc: 0.9980 (K~32.00, min=32, max=32, dt=3.11s)
itr: 23250 lr: 3.864e-05 train loss: 0.001042 train token_acc: 0.9998 train exact_match_acc: 0.9951 (K~32.00, min=32, max=32, dt=3.11s)
itr: 23500 lr: 3.769e-05 train loss: 0.000403 train token_acc: 0.9999 train exact_match_acc: 0.9958 (K~32.00, min=32, max=32, dt=3.11s)
itr: 23750 lr: 3.674e-05 train loss: 0.000459 train token_acc: 0.9999 train exact_match_acc: 0.9968 (K~32.00, min=32, max=32, dt=3.11s)
itr: 24000 lr: 3.580e-05 train loss: 0.000374 train token_acc: 0.9999 train exact_match_acc: 0.9971 (K~32.00, min=32, max=32, dt=3.11s)
itr: 24250 lr: 3.487e-05 train loss: 0.000930 train token_acc: 0.9998 train exact_match_acc: 0.9949 (K~32.00, min=32, max=32, dt=3.11s)
itr: 24500 lr: 3.394e-05 train loss: 0.000491 train token_acc: 0.9999 train exact_match_acc: 0.9966 (K~32.00, min=32, max=32, dt=3.11s)
itr: 24750 lr: 3.302e-05 train loss: 0.000757 train token_acc: 0.9999 train exact_match_acc: 0.9961 (K~32.00, min=32, max=32, dt=3.11s)
itr: 25000 lr: 3.210e-05 train loss: 0.000298 train token_acc: 0.9999 train exact_match_acc: 0.9973 (K~32.00, min=32, max=32, dt=3.11s)
itr: 25250 lr: 3.119e-05 train loss: 0.000433 train token_acc: 0.9999 train exact_match_acc: 0.9966 (K~32.00, min=32, max=32, dt=3.11s)
