training:  19%|█▉        | 7742/40000 [01:36<06:40, 80.56it/s]
itr: 0 lr: 2.494e-07 train loss: 4.193255 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 4.109273 train token_acc: 0.0005 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.12s)
itr: 500 lr: 1.000e-04 train loss: 3.713999 train token_acc: 0.0739 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.11s)
itr: 750 lr: 9.998e-05 train loss: 2.611463 train token_acc: 0.2853 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.11s)
itr: 1000 lr: 9.994e-05 train loss: 1.710264 train token_acc: 0.4370 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.11s)
itr: 1250 lr: 9.989e-05 train loss: 1.440999 train token_acc: 0.4893 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.11s)
itr: 1500 lr: 9.981e-05 train loss: 1.359693 train token_acc: 0.5022 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.11s)
itr: 1750 lr: 9.972e-05 train loss: 1.281045 train token_acc: 0.5202 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.11s)
itr: 2000 lr: 9.960e-05 train loss: 1.172251 train token_acc: 0.5581 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.11s)
itr: 2250 lr: 9.947e-05 train loss: 1.066235 train token_acc: 0.5920 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.11s)
itr: 2500 lr: 9.931e-05 train loss: 0.929988 train token_acc: 0.6549 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.11s)
itr: 2750 lr: 9.914e-05 train loss: 0.779038 train token_acc: 0.7167 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.11s)
itr: 3000 lr: 9.895e-05 train loss: 0.633842 train token_acc: 0.7679 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.11s)
itr: 3250 lr: 9.874e-05 train loss: 0.489156 train token_acc: 0.8304 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=3.11s)
itr: 3500 lr: 9.851e-05 train loss: 0.357917 train token_acc: 0.8768 train exact_match_acc: 0.0002 (K~32.00, min=32, max=32, dt=3.11s)
itr: 3750 lr: 9.826e-05 train loss: 0.274856 train token_acc: 0.9094 train exact_match_acc: 0.0112 (K~32.00, min=32, max=32, dt=3.11s)
itr: 4000 lr: 9.799e-05 train loss: 0.212085 train token_acc: 0.9296 train exact_match_acc: 0.0369 (K~32.00, min=32, max=32, dt=3.11s)
itr: 4250 lr: 9.771e-05 train loss: 0.167296 train token_acc: 0.9451 train exact_match_acc: 0.0952 (K~32.00, min=32, max=32, dt=3.11s)
itr: 4500 lr: 9.740e-05 train loss: 0.125464 train token_acc: 0.9607 train exact_match_acc: 0.2180 (K~32.00, min=32, max=32, dt=3.11s)
itr: 4750 lr: 9.708e-05 train loss: 0.088483 train token_acc: 0.9765 train exact_match_acc: 0.4319 (K~32.00, min=32, max=32, dt=3.11s)
itr: 5000 lr: 9.674e-05 train loss: 0.063871 train token_acc: 0.9827 train exact_match_acc: 0.5452 (K~32.00, min=32, max=32, dt=3.11s)
itr: 5250 lr: 9.638e-05 train loss: 0.050424 train token_acc: 0.9874 train exact_match_acc: 0.6511 (K~32.00, min=32, max=32, dt=3.11s)
itr: 5500 lr: 9.600e-05 train loss: 0.034084 train token_acc: 0.9927 train exact_match_acc: 0.7798 (K~32.00, min=32, max=32, dt=3.11s)
itr: 5750 lr: 9.561e-05 train loss: 0.024605 train token_acc: 0.9952 train exact_match_acc: 0.8542 (K~32.00, min=32, max=32, dt=3.11s)
itr: 6000 lr: 9.519e-05 train loss: 0.018830 train token_acc: 0.9962 train exact_match_acc: 0.8821 (K~32.00, min=32, max=32, dt=3.11s)
itr: 6250 lr: 9.476e-05 train loss: 0.015240 train token_acc: 0.9970 train exact_match_acc: 0.9065 (K~32.00, min=32, max=32, dt=3.11s)
itr: 6500 lr: 9.432e-05 train loss: 0.013096 train token_acc: 0.9969 train exact_match_acc: 0.9038 (K~32.00, min=32, max=32, dt=3.11s)
itr: 6750 lr: 9.385e-05 train loss: 0.010755 train token_acc: 0.9979 train exact_match_acc: 0.9326 (K~32.00, min=32, max=32, dt=3.16s)
itr: 7000 lr: 9.337e-05 train loss: 0.009574 train token_acc: 0.9979 train exact_match_acc: 0.9336 (K~32.00, min=32, max=32, dt=3.11s)
itr: 7250 lr: 9.287e-05 train loss: 0.007197 train token_acc: 0.9981 train exact_match_acc: 0.9395 (K~32.00, min=32, max=32, dt=3.11s)
itr: 7500 lr: 9.235e-05 train loss: 0.007611 train token_acc: 0.9981 train exact_match_acc: 0.9412 (K~32.00, min=32, max=32, dt=3.11s)
itr: 7750 lr: 9.182e-05 train loss: 0.007846 train token_acc: 0.9984 train exact_match_acc: 0.9507 (K~32.00, min=32, max=32, dt=3.11s)
itr: 8000 lr: 9.127e-05 train loss: 0.006253 train token_acc: 0.9983 train exact_match_acc: 0.9473 (K~32.00, min=32, max=32, dt=3.11s)
itr: 8250 lr: 9.071e-05 train loss: 0.006179 train token_acc: 0.9985 train exact_match_acc: 0.9534 (K~32.00, min=32, max=32, dt=3.11s)
itr: 8500 lr: 9.013e-05 train loss: 0.006622 train token_acc: 0.9985 train exact_match_acc: 0.9524 (K~32.00, min=32, max=32, dt=3.11s)
itr: 8750 lr: 8.953e-05 train loss: 0.006117 train token_acc: 0.9985 train exact_match_acc: 0.9512 (K~32.00, min=32, max=32, dt=3.11s)
itr: 9000 lr: 8.892e-05 train loss: 0.004520 train token_acc: 0.9988 train exact_match_acc: 0.9614 (K~32.00, min=32, max=32, dt=3.11s)
itr: 9250 lr: 8.829e-05 train loss: 0.005994 train token_acc: 0.9987 train exact_match_acc: 0.9592 (K~32.00, min=32, max=32, dt=3.11s)
itr: 9500 lr: 8.765e-05 train loss: 0.004104 train token_acc: 0.9989 train exact_match_acc: 0.9646 (K~32.00, min=32, max=32, dt=3.11s)
itr: 9750 lr: 8.700e-05 train loss: 0.003464 train token_acc: 0.9991 train exact_match_acc: 0.9697 (K~32.00, min=32, max=32, dt=3.11s)
itr: 10000 lr: 8.632e-05 train loss: 0.003868 train token_acc: 0.9990 train exact_match_acc: 0.9692 (K~32.00, min=32, max=32, dt=3.11s)
itr: 10250 lr: 8.564e-05 train loss: 0.002709 train token_acc: 0.9994 train exact_match_acc: 0.9800 (K~32.00, min=32, max=32, dt=3.11s)
itr: 10500 lr: 8.494e-05 train loss: 0.003004 train token_acc: 0.9993 train exact_match_acc: 0.9761 (K~32.00, min=32, max=32, dt=3.11s)
itr: 10750 lr: 8.423e-05 train loss: 0.002926 train token_acc: 0.9994 train exact_match_acc: 0.9805 (K~32.00, min=32, max=32, dt=3.11s)
itr: 11000 lr: 8.351e-05 train loss: 0.002954 train token_acc: 0.9995 train exact_match_acc: 0.9834 (K~32.00, min=32, max=32, dt=3.11s)
itr: 11250 lr: 8.277e-05 train loss: 0.002028 train token_acc: 0.9995 train exact_match_acc: 0.9849 (K~32.00, min=32, max=32, dt=3.11s)
itr: 11500 lr: 8.202e-05 train loss: 0.002651 train token_acc: 0.9996 train exact_match_acc: 0.9885 (K~32.00, min=32, max=32, dt=3.11s)
itr: 11750 lr: 8.125e-05 train loss: 0.001742 train token_acc: 0.9996 train exact_match_acc: 0.9888 (K~32.00, min=32, max=32, dt=3.11s)
itr: 12000 lr: 8.048e-05 train loss: 0.001556 train token_acc: 0.9997 train exact_match_acc: 0.9912 (K~32.00, min=32, max=32, dt=3.11s)
itr: 12250 lr: 7.969e-05 train loss: 0.001534 train token_acc: 0.9997 train exact_match_acc: 0.9917 (K~32.00, min=32, max=32, dt=3.11s)
itr: 12500 lr: 7.889e-05 train loss: 0.001374 train token_acc: 0.9998 train exact_match_acc: 0.9929 (K~32.00, min=32, max=32, dt=3.11s)
itr: 12750 lr: 7.808e-05 train loss: 0.001876 train token_acc: 0.9997 train exact_match_acc: 0.9907 (K~32.00, min=32, max=32, dt=3.11s)
itr: 13000 lr: 7.726e-05 train loss: 0.001165 train token_acc: 0.9998 train exact_match_acc: 0.9932 (K~32.00, min=32, max=32, dt=3.11s)
itr: 13250 lr: 7.643e-05 train loss: 0.000879 train token_acc: 0.9999 train exact_match_acc: 0.9958 (K~32.00, min=32, max=32, dt=3.11s)
itr: 13500 lr: 7.559e-05 train loss: 0.000887 train token_acc: 0.9999 train exact_match_acc: 0.9956 (K~32.00, min=32, max=32, dt=3.11s)
itr: 13750 lr: 7.474e-05 train loss: 0.000975 train token_acc: 0.9998 train exact_match_acc: 0.9941 (K~32.00, min=32, max=32, dt=3.11s)
itr: 14000 lr: 7.388e-05 train loss: 0.001169 train token_acc: 0.9998 train exact_match_acc: 0.9951 (K~32.00, min=32, max=32, dt=3.11s)
itr: 14250 lr: 7.301e-05 train loss: 0.000828 train token_acc: 0.9999 train exact_match_acc: 0.9956 (K~32.00, min=32, max=32, dt=3.11s)
itr: 14500 lr: 7.213e-05 train loss: 0.000600 train token_acc: 0.9999 train exact_match_acc: 0.9973 (K~32.00, min=32, max=32, dt=3.11s)
itr: 14750 lr: 7.124e-05 train loss: 0.001162 train token_acc: 0.9999 train exact_match_acc: 0.9961 (K~32.00, min=32, max=32, dt=3.11s)
itr: 15000 lr: 7.035e-05 train loss: 0.000522 train token_acc: 0.9999 train exact_match_acc: 0.9968 (K~32.00, min=32, max=32, dt=3.11s)
itr: 15250 lr: 6.944e-05 train loss: 0.000571 train token_acc: 0.9999 train exact_match_acc: 0.9971 (K~32.00, min=32, max=32, dt=3.11s)
itr: 15500 lr: 6.853e-05 train loss: 0.000521 train token_acc: 0.9999 train exact_match_acc: 0.9973 (K~32.00, min=32, max=32, dt=3.11s)
itr: 15750 lr: 6.761e-05 train loss: 0.001462 train token_acc: 0.9999 train exact_match_acc: 0.9961 (K~32.00, min=32, max=32, dt=3.11s)
itr: 16000 lr: 6.669e-05 train loss: 0.000478 train token_acc: 0.9999 train exact_match_acc: 0.9976 (K~32.00, min=32, max=32, dt=3.11s)
itr: 16250 lr: 6.576e-05 train loss: 0.000411 train token_acc: 0.9999 train exact_match_acc: 0.9980 (K~32.00, min=32, max=32, dt=3.11s)
itr: 16500 lr: 6.482e-05 train loss: 0.000495 train token_acc: 0.9999 train exact_match_acc: 0.9963 (K~32.00, min=32, max=32, dt=3.11s)
itr: 16750 lr: 6.388e-05 train loss: 0.000250 train token_acc: 1.0000 train exact_match_acc: 0.9993 (K~32.00, min=32, max=32, dt=3.11s)
itr: 17000 lr: 6.293e-05 train loss: 0.000437 train token_acc: 0.9999 train exact_match_acc: 0.9980 (K~32.00, min=32, max=32, dt=3.11s)
itr: 17250 lr: 6.198e-05 train loss: 0.000229 train token_acc: 1.0000 train exact_match_acc: 0.9993 (K~32.00, min=32, max=32, dt=3.11s)
itr: 17500 lr: 6.102e-05 train loss: 0.000896 train token_acc: 0.9999 train exact_match_acc: 0.9968 (K~32.00, min=32, max=32, dt=3.11s)
itr: 17750 lr: 6.006e-05 train loss: 0.000578 train token_acc: 0.9999 train exact_match_acc: 0.9976 (K~32.00, min=32, max=32, dt=3.11s)
