training:  19%|█▉        | 7742/40000 [01:20<05:32, 96.97it/s] 
itr: 0 lr: 2.494e-07 train loss: 4.206362 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.29s)
itr: 250 lr: 6.259e-05 train loss: 4.178866 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.62s)
itr: 500 lr: 1.000e-04 train loss: 4.095243 train token_acc: 0.0002 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 750 lr: 9.998e-05 train loss: 3.968319 train token_acc: 0.0059 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 1000 lr: 9.994e-05 train loss: 3.763691 train token_acc: 0.0198 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 1250 lr: 9.989e-05 train loss: 3.365247 train token_acc: 0.0542 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 1500 lr: 9.981e-05 train loss: 2.859651 train token_acc: 0.0763 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 1750 lr: 9.972e-05 train loss: 2.444420 train token_acc: 0.0794 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 2000 lr: 9.960e-05 train loss: 2.172790 train token_acc: 0.1427 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 2250 lr: 9.947e-05 train loss: 1.968463 train token_acc: 0.2300 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 2500 lr: 9.931e-05 train loss: 1.845024 train token_acc: 0.2903 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 2750 lr: 9.914e-05 train loss: 1.776788 train token_acc: 0.3199 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 3000 lr: 9.895e-05 train loss: 1.726749 train token_acc: 0.3387 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 3250 lr: 9.874e-05 train loss: 1.693467 train token_acc: 0.3512 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 3500 lr: 9.851e-05 train loss: 1.669375 train token_acc: 0.3526 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 3750 lr: 9.826e-05 train loss: 1.655202 train token_acc: 0.3610 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 4000 lr: 9.799e-05 train loss: 1.639216 train token_acc: 0.3688 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 4250 lr: 9.771e-05 train loss: 1.621048 train token_acc: 0.3801 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 4500 lr: 9.740e-05 train loss: 1.604580 train token_acc: 0.3857 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 4750 lr: 9.708e-05 train loss: 1.590313 train token_acc: 0.3905 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 5000 lr: 9.674e-05 train loss: 1.574174 train token_acc: 0.3984 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 5250 lr: 9.638e-05 train loss: 1.562469 train token_acc: 0.4046 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 5500 lr: 9.600e-05 train loss: 1.544730 train token_acc: 0.4169 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 5750 lr: 9.561e-05 train loss: 1.527371 train token_acc: 0.4146 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 6000 lr: 9.519e-05 train loss: 1.506657 train token_acc: 0.4255 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 6250 lr: 9.476e-05 train loss: 1.497544 train token_acc: 0.4361 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 6500 lr: 9.432e-05 train loss: 1.483380 train token_acc: 0.4442 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 6750 lr: 9.385e-05 train loss: 1.469653 train token_acc: 0.4449 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 7000 lr: 9.337e-05 train loss: 1.456704 train token_acc: 0.4531 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 7250 lr: 9.287e-05 train loss: 1.441610 train token_acc: 0.4551 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 7500 lr: 9.235e-05 train loss: 1.427045 train token_acc: 0.4608 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 7750 lr: 9.182e-05 train loss: 1.415115 train token_acc: 0.4673 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 8000 lr: 9.127e-05 train loss: 1.400978 train token_acc: 0.4776 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 8250 lr: 9.071e-05 train loss: 1.388180 train token_acc: 0.4822 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 8500 lr: 9.013e-05 train loss: 1.373339 train token_acc: 0.4834 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 8750 lr: 8.953e-05 train loss: 1.364004 train token_acc: 0.4914 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 9000 lr: 8.892e-05 train loss: 1.354224 train token_acc: 0.4968 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 9250 lr: 8.829e-05 train loss: 1.341417 train token_acc: 0.5046 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 9500 lr: 8.765e-05 train loss: 1.329440 train token_acc: 0.5071 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 9750 lr: 8.700e-05 train loss: 1.317951 train token_acc: 0.5126 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 10000 lr: 8.632e-05 train loss: 1.302114 train token_acc: 0.5190 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 10250 lr: 8.564e-05 train loss: 1.291001 train token_acc: 0.5256 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 10500 lr: 8.494e-05 train loss: 1.276759 train token_acc: 0.5274 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
