training:  19%|█▉        | 7742/40000 [01:20<05:32, 97.01it/s] 
itr: 0 lr: 2.494e-07 train loss: 4.195494 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.38s)
itr: 250 lr: 6.259e-05 train loss: 4.168453 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.62s)
itr: 500 lr: 1.000e-04 train loss: 4.084946 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 750 lr: 9.998e-05 train loss: 3.961809 train token_acc: 0.0021 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 1000 lr: 9.994e-05 train loss: 3.764203 train token_acc: 0.0124 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 1250 lr: 9.989e-05 train loss: 3.371723 train token_acc: 0.0407 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 1500 lr: 9.981e-05 train loss: 2.888527 train token_acc: 0.0546 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 1750 lr: 9.972e-05 train loss: 2.420720 train token_acc: 0.0646 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 2000 lr: 9.960e-05 train loss: 2.155201 train token_acc: 0.1130 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 2250 lr: 9.947e-05 train loss: 1.993849 train token_acc: 0.1797 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 2500 lr: 9.931e-05 train loss: 1.901088 train token_acc: 0.2470 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 2750 lr: 9.914e-05 train loss: 1.833074 train token_acc: 0.2990 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 3000 lr: 9.895e-05 train loss: 1.789428 train token_acc: 0.3294 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 3250 lr: 9.874e-05 train loss: 1.756359 train token_acc: 0.3484 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 3500 lr: 9.851e-05 train loss: 1.731003 train token_acc: 0.3625 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 3750 lr: 9.826e-05 train loss: 1.716604 train token_acc: 0.3727 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 4000 lr: 9.799e-05 train loss: 1.698715 train token_acc: 0.3827 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 4250 lr: 9.771e-05 train loss: 1.685690 train token_acc: 0.3868 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 4500 lr: 9.740e-05 train loss: 1.669516 train token_acc: 0.3927 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 4750 lr: 9.708e-05 train loss: 1.658034 train token_acc: 0.3985 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 5000 lr: 9.674e-05 train loss: 1.648274 train token_acc: 0.4007 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 5250 lr: 9.638e-05 train loss: 1.637834 train token_acc: 0.4008 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 5500 lr: 9.600e-05 train loss: 1.624672 train token_acc: 0.4044 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 5750 lr: 9.561e-05 train loss: 1.614048 train token_acc: 0.4111 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 6000 lr: 9.519e-05 train loss: 1.611282 train token_acc: 0.4102 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 6250 lr: 9.476e-05 train loss: 1.594349 train token_acc: 0.4185 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 6500 lr: 9.432e-05 train loss: 1.584675 train token_acc: 0.4173 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
