training:  19%|█▉        | 7742/40000 [01:20<05:32, 96.95it/s] 
itr: 0 lr: 2.494e-07 train loss: 4.182307 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.53s)
itr: 250 lr: 6.259e-05 train loss: 4.166749 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.62s)
itr: 500 lr: 1.000e-04 train loss: 4.140460 train token_acc: 0.0624 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 750 lr: 9.998e-05 train loss: 4.075895 train token_acc: 0.0934 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 1000 lr: 9.994e-05 train loss: 3.963784 train token_acc: 0.1137 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 1250 lr: 9.989e-05 train loss: 3.698449 train token_acc: 0.1079 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 1500 lr: 9.981e-05 train loss: 3.038779 train token_acc: 0.1198 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 1750 lr: 9.972e-05 train loss: 2.585181 train token_acc: 0.1793 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 2000 lr: 9.960e-05 train loss: 2.263940 train token_acc: 0.2662 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 2250 lr: 9.947e-05 train loss: 2.057788 train token_acc: 0.3061 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 2500 lr: 9.931e-05 train loss: 1.943021 train token_acc: 0.3325 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 2750 lr: 9.914e-05 train loss: 1.888401 train token_acc: 0.3253 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 3000 lr: 9.895e-05 train loss: 1.850837 train token_acc: 0.3403 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 3250 lr: 9.874e-05 train loss: 1.836048 train token_acc: 0.3421 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 3500 lr: 9.851e-05 train loss: 1.813629 train token_acc: 0.3508 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 3750 lr: 9.826e-05 train loss: 1.811682 train token_acc: 0.3449 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 4000 lr: 9.799e-05 train loss: 1.806037 train token_acc: 0.3529 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 4250 lr: 9.771e-05 train loss: 1.799237 train token_acc: 0.3557 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 4500 lr: 9.740e-05 train loss: 1.789229 train token_acc: 0.3430 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 4750 lr: 9.708e-05 train loss: 1.790339 train token_acc: 0.3587 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 5000 lr: 9.674e-05 train loss: 1.776403 train token_acc: 0.3528 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 5250 lr: 9.638e-05 train loss: 1.774262 train token_acc: 0.3529 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 5500 lr: 9.600e-05 train loss: 1.774615 train token_acc: 0.3582 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 5750 lr: 9.561e-05 train loss: 1.764568 train token_acc: 0.3615 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 6000 lr: 9.519e-05 train loss: 1.757124 train token_acc: 0.3522 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 6250 lr: 9.476e-05 train loss: 1.747095 train token_acc: 0.3594 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 6500 lr: 9.432e-05 train loss: 1.751525 train token_acc: 0.3618 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 6750 lr: 9.385e-05 train loss: 1.740959 train token_acc: 0.3563 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 7000 lr: 9.337e-05 train loss: 1.735425 train token_acc: 0.3653 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 7250 lr: 9.287e-05 train loss: 1.728696 train token_acc: 0.3682 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 7500 lr: 9.235e-05 train loss: 1.726179 train token_acc: 0.3656 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 7750 lr: 9.182e-05 train loss: 1.727893 train token_acc: 0.3764 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 8000 lr: 9.127e-05 train loss: 1.714707 train token_acc: 0.3691 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 8250 lr: 9.071e-05 train loss: 1.710423 train token_acc: 0.3769 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 8500 lr: 9.013e-05 train loss: 1.707486 train token_acc: 0.3729 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 8750 lr: 8.953e-05 train loss: 1.702500 train token_acc: 0.3847 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 9000 lr: 8.892e-05 train loss: 1.688784 train token_acc: 0.3869 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 9250 lr: 8.829e-05 train loss: 1.685369 train token_acc: 0.3850 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 9500 lr: 8.765e-05 train loss: 1.682736 train token_acc: 0.3856 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 9750 lr: 8.700e-05 train loss: 1.674563 train token_acc: 0.3943 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 10000 lr: 8.632e-05 train loss: 1.671794 train token_acc: 0.3930 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 10250 lr: 8.564e-05 train loss: 1.664525 train token_acc: 0.3942 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 10500 lr: 8.494e-05 train loss: 1.662462 train token_acc: 0.3950 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 10750 lr: 8.423e-05 train loss: 1.662300 train token_acc: 0.3951 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 11000 lr: 8.351e-05 train loss: 1.653537 train token_acc: 0.4048 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 11250 lr: 8.277e-05 train loss: 1.645408 train token_acc: 0.4026 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 11500 lr: 8.202e-05 train loss: 1.642960 train token_acc: 0.4062 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 11750 lr: 8.125e-05 train loss: 1.641184 train token_acc: 0.3930 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 12000 lr: 8.048e-05 train loss: 1.631237 train token_acc: 0.4140 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 12250 lr: 7.969e-05 train loss: 1.628992 train token_acc: 0.4163 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 12500 lr: 7.889e-05 train loss: 1.627098 train token_acc: 0.4093 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 12750 lr: 7.808e-05 train loss: 1.620541 train token_acc: 0.4156 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 13000 lr: 7.726e-05 train loss: 1.613728 train token_acc: 0.4189 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
