training:  19%|█▉        | 7750/40000 [2:26:59<11:26:03,  1.28s/it]
itr: 0 lr: 2.494e-07 train loss: 4.195749 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=1.51s)
itr: 250 lr: 6.259e-05 train loss: 4.168322 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=246.43s)
itr: 500 lr: 1.000e-04 train loss: 4.085215 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=251.07s)
itr: 750 lr: 9.998e-05 train loss: 3.962773 train token_acc: 0.0020 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=253.30s)
itr: 1000 lr: 9.994e-05 train loss: 3.763165 train token_acc: 0.0125 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=254.29s)
itr: 1250 lr: 9.989e-05 train loss: 3.376240 train token_acc: 0.0415 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=253.54s)
itr: 1500 lr: 9.981e-05 train loss: 2.882911 train token_acc: 0.0567 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=257.27s)
itr: 1750 lr: 9.972e-05 train loss: 2.420616 train token_acc: 0.0683 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=257.89s)
itr: 2000 lr: 9.960e-05 train loss: 2.155681 train token_acc: 0.1208 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=251.63s)
itr: 2250 lr: 9.947e-05 train loss: 1.984223 train token_acc: 0.1969 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=252.76s)
itr: 2500 lr: 9.931e-05 train loss: 1.888684 train token_acc: 0.2647 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=247.44s)
itr: 2750 lr: 9.914e-05 train loss: 1.821074 train token_acc: 0.3074 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=241.63s)
itr: 3000 lr: 9.895e-05 train loss: 1.774689 train token_acc: 0.3287 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=274.19s)
itr: 3250 lr: 9.874e-05 train loss: 1.742169 train token_acc: 0.3392 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=272.05s)
itr: 3500 lr: 9.851e-05 train loss: 1.716187 train token_acc: 0.3488 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=274.40s)
itr: 3750 lr: 9.826e-05 train loss: 1.696880 train token_acc: 0.3472 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=301.99s)
itr: 4000 lr: 9.799e-05 train loss: 1.680205 train token_acc: 0.3544 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=293.12s)
itr: 4250 lr: 9.771e-05 train loss: 1.664978 train token_acc: 0.3565 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=303.13s)
itr: 4500 lr: 9.740e-05 train loss: 1.648747 train token_acc: 0.3635 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=316.52s)
itr: 4750 lr: 9.708e-05 train loss: 1.632285 train token_acc: 0.3682 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=304.10s)
itr: 5000 lr: 9.674e-05 train loss: 1.615442 train token_acc: 0.3744 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=297.09s)
itr: 5250 lr: 9.638e-05 train loss: 1.608300 train token_acc: 0.3724 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=313.18s)
itr: 5500 lr: 9.600e-05 train loss: 1.593475 train token_acc: 0.3797 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=312.18s)
itr: 5750 lr: 9.561e-05 train loss: 1.584977 train token_acc: 0.3837 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=306.52s)
itr: 6000 lr: 9.519e-05 train loss: 1.575613 train token_acc: 0.3841 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=317.05s)
itr: 6250 lr: 9.476e-05 train loss: 1.559795 train token_acc: 0.3874 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=308.33s)
itr: 6500 lr: 9.432e-05 train loss: 1.553866 train token_acc: 0.3951 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=306.58s)
itr: 6750 lr: 9.385e-05 train loss: 1.541084 train token_acc: 0.4010 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=317.21s)
itr: 7000 lr: 9.337e-05 train loss: 1.530812 train token_acc: 0.3967 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=307.77s)
itr: 7250 lr: 9.287e-05 train loss: 1.517393 train token_acc: 0.4041 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=299.91s)
itr: 7500 lr: 9.235e-05 train loss: 1.509841 train token_acc: 0.4057 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=318.58s)
itr: 7750 lr: 9.182e-05 train loss: 1.499182 train token_acc: 0.4127 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=307.95s)
itr: 8000 lr: 9.127e-05 train loss: 1.491969 train token_acc: 0.4106 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=316.62s)
itr: 8250 lr: 9.071e-05 train loss: 1.483730 train token_acc: 0.4144 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=307.80s)
itr: 8500 lr: 9.013e-05 train loss: 1.473440 train token_acc: 0.4166 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=304.09s)
itr: 8750 lr: 8.953e-05 train loss: 1.468711 train token_acc: 0.4263 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=301.34s)
itr: 9000 lr: 8.892e-05 train loss: 1.460938 train token_acc: 0.4308 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=305.38s)
itr: 9250 lr: 8.829e-05 train loss: 1.449919 train token_acc: 0.4358 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=300.90s)
itr: 9500 lr: 8.765e-05 train loss: 1.449215 train token_acc: 0.4351 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=313.08s)
itr: 9750 lr: 8.700e-05 train loss: 1.443733 train token_acc: 0.4376 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=291.65s)
itr: 10000 lr: 8.632e-05 train loss: 1.436074 train token_acc: 0.4397 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=312.70s)
itr: 10250 lr: 8.564e-05 train loss: 1.426625 train token_acc: 0.4458 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=303.42s)
itr: 10500 lr: 8.494e-05 train loss: 1.421584 train token_acc: 0.4506 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=303.81s)
itr: 10750 lr: 8.423e-05 train loss: 1.413252 train token_acc: 0.4518 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=310.72s)
itr: 11000 lr: 8.351e-05 train loss: 1.410535 train token_acc: 0.4501 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=299.40s)
itr: 11250 lr: 8.277e-05 train loss: 1.408390 train token_acc: 0.4528 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=302.99s)
