training:  19%|█▉        | 7750/40000 [01:20<05:32, 97.05it/s]
itr: 0 lr: 2.494e-07 train loss: 4.188796 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.27s)
itr: 250 lr: 6.259e-05 train loss: 4.161530 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.60s)
itr: 500 lr: 1.000e-04 train loss: 4.078894 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 750 lr: 9.998e-05 train loss: 3.954159 train token_acc: 0.0050 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 1000 lr: 9.994e-05 train loss: 3.742833 train token_acc: 0.0237 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 1250 lr: 9.989e-05 train loss: 3.343563 train token_acc: 0.0532 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 1500 lr: 9.981e-05 train loss: 2.847910 train token_acc: 0.0726 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 1750 lr: 9.972e-05 train loss: 2.459105 train token_acc: 0.0927 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 2000 lr: 9.960e-05 train loss: 2.145905 train token_acc: 0.1509 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 2250 lr: 9.947e-05 train loss: 1.938317 train token_acc: 0.2309 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 2500 lr: 9.931e-05 train loss: 1.816441 train token_acc: 0.2974 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 2750 lr: 9.914e-05 train loss: 1.744815 train token_acc: 0.3358 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 3000 lr: 9.895e-05 train loss: 1.689003 train token_acc: 0.3567 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 3250 lr: 9.874e-05 train loss: 1.652261 train token_acc: 0.3741 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 3500 lr: 9.851e-05 train loss: 1.616658 train token_acc: 0.3819 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 3750 lr: 9.826e-05 train loss: 1.585361 train token_acc: 0.3926 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 4000 lr: 9.799e-05 train loss: 1.561681 train token_acc: 0.4015 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 4250 lr: 9.771e-05 train loss: 1.540283 train token_acc: 0.4138 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 4500 lr: 9.740e-05 train loss: 1.518203 train token_acc: 0.4192 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 4750 lr: 9.708e-05 train loss: 1.501841 train token_acc: 0.4255 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 5000 lr: 9.674e-05 train loss: 1.487315 train token_acc: 0.4315 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 5250 lr: 9.638e-05 train loss: 1.474458 train token_acc: 0.4365 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
itr: 5500 lr: 9.600e-05 train loss: 1.460019 train token_acc: 0.4440 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=2.58s)
